,Top_10_Final_Round_Performance_RANK THIS WEEK,Top_10_Final_Round_Performance_RANK LAST WEEK,Top_10_Final_Round_Performance_PLAYER NAME,Top_10_Final_Round_Performance_EVENTS,Top_10_Final_Round_Performance_% TIMES IMPROVED,Top_10_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Chad Campbell,28,100.0,1.0
1,T1,T1,Stewart Cink,25,100.0,2.0
2,T1,T1,Ben Crane,21,100.0,1.0
3,T1,T1,Charles Howell III,28,100.0,1.0
4,T1,T1,Sung Kang,29,100.0,1.0
5,T1,T1,Si Woo Kim,31,100.0,2.0
6,T1,T1,Patton Kizzire,29,100.0,2.0
7,T1,T1,Jason Kokrak,29,100.0,2.0
8,T1,T1,Nicholas Lindheim,26,100.0,1.0
9,T1,T1,Tom Lovelady,28,100.0,2.0
10,T1,T1,William McGirt,26,100.0,1.0
11,T1,T1,Keith Mitchell,29,100.0,3.0
12,T1,T1,Trey Mullinax,24,100.0,2.0
13,T1,T1,Sean O'Hair,22,100.0,1.0
14,T1,T1,Cameron Percy,16,100.0,1.0
15,T1,T1,Martin Piller,28,100.0,1.0
16,T1,T1,D.A. Points,25,100.0,1.0
17,T1,T1,Jonathan Randolph,25,100.0,1.0
18,T1,T1,Patrick Reed,26,100.0,4.0
19,T1,T1,Adam Schenk,28,100.0,1.0
20,T1,T1,Adam Scott,21,100.0,2.0
21,T1,T1,Brendan Steele,22,100.0,2.0
22,T1,T1,Henrik Stenson,16,100.0,5.0
23,T1,T1,Nick Watney,26,100.0,1.0
24,25,25,Bryson DeChambeau,26,87.5,7.0
25,26,26,Billy Horschel,27,85.7,6.0
26,27,27,Phil Mickelson,24,83.3,5.0
27,28,28,Justin Rose,18,80.0,8.0
28,T29,T29,Chesson Hadley,30,75.0,6.0
29,T29,T29,J.B. Holmes,24,75.0,3.0
30,T29,T29,Whee Kim,30,75.0,3.0
31,T29,T29,Andrew Landry,27,75.0,3.0
32,T29,T29,Luke List,29,75.0,3.0
33,T29,T29,Pat Perez,23,75.0,3.0
34,T29,T29,Webb Simpson,26,75.0,3.0
35,T29,T29,Bubba Watson,24,75.0,3.0
36,T29,T29,Tiger Woods,18,75.0,6.0
37,38,38,Dustin Johnson,20,70.0,7.0
38,T39,T39,Keegan Bradley,27,66.7,2.0
39,T39,T39,Bronson Burgoon,24,66.7,2.0
40,T39,T39,Rafa Cabrera Bello,20,66.7,2.0
41,T39,T39,Joel Dahmen,28,66.7,2.0
42,T39,T39,Jason Dufner,22,66.7,2.0
43,T39,T39,Tyler Duncan,31,66.7,2.0
44,T39,T39,Brice Garnett,30,66.7,2.0
45,T39,T39,Zach Johnson,25,66.7,2.0
46,T39,T39,Brooks Koepka,17,66.7,4.0
47,T39,T39,Francesco Molinari,20,66.7,2.0
48,T39,T39,Kevin Na,26,66.7,2.0
49,T39,T39,Alex Noren,18,66.7,2.0
50,T39,T39,Sam Ryder,26,66.7,2.0
