,Back_9_Round_2_Scoring_Average_RANK THIS WEEK,Back_9_Round_2_Scoring_Average_RANK LAST WEEK,Back_9_Round_2_Scoring_Average_PLAYER NAME,Back_9_Round_2_Scoring_Average_AVG,Back_9_Round_2_Scoring_Average_TOTAL STROKES,Back_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Dustin Johnson,33.79,642,19
1,2,2,Justin Rose,34.24,582,17
2,3,3,Brian Gay,34.31,995,29
3,4,4,Brett Stegmaier,34.53,656,19
4,5,5,Kevin Streelman,34.54,898,26
5,T6,T6,Zach Johnson,34.57,795,23
6,T6,T6,Luke List,34.57,968,28
7,8,8,Kevin Tway,34.62,1004,29
8,T9,T9,Tommy Fleetwood,34.65,589,17
9,T9,T9,Rory McIlroy,34.65,589,17
10,T11,T11,Jason Day,34.67,624,18
11,T11,T11,Emiliano Grillo,34.67,832,24
12,T11,T11,Billy Horschel,34.67,832,24
13,T11,T11,Brandt Snedeker,34.67,832,24
14,15,15,Hideki Matsuyama,34.68,659,19
15,16,16,Jon Rahm,34.72,625,18
16,17,17,Byeong Hun An,34.74,799,23
17,T18,T18,Marc Leishman,34.75,834,24
18,T18,T18,Vaughn Taylor,34.75,834,24
19,20,20,Charles Howell III,34.78,939,27
20,T21,T21,Paul Casey,34.79,661,19
21,T21,T21,Chesson Hadley,34.79,1009,29
22,T21,T21,Johnson Wagner,34.79,661,19
23,T24,T24,Tony Finau,34.81,905,26
24,T24,T24,Justin Thomas,34.81,731,21
25,26,26,Aaron Wise,34.82,975,28
26,27,27,Webb Simpson,34.84,871,25
27,28,28,Henrik Stenson,34.87,523,15
28,T29,T29,Robert Garrigus,34.88,837,24
29,T29,T29,Brooks Koepka,34.88,558,16
30,31,31,Jordan Spieth,34.9,733,21
31,32,32,Bubba Watson,34.91,768,22
32,33,33,John Huh,34.93,978,28
33,T34,T34,Bryson DeChambeau,34.96,839,24
34,T34,T34,Beau Hossler,34.96,979,28
35,T34,T34,"Ted Potter, Jr.",34.96,979,28
36,37,37,Brice Garnett,34.97,1014,29
37,T38,T38,Kiradech Aphibarnrat,35.0,455,13
38,T38,T38,Stewart Cink,35.0,875,25
39,T38,T38,Pat Perez,35.0,735,21
40,T38,T38,Cameron Smith,35.0,770,22
41,T42,T42,Kevin Kisner,35.04,806,23
42,T42,T42,David Lingmerth,35.04,806,23
43,T42,T42,Patrick Reed,35.04,841,24
