,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Henrik Stenson,60,12.2,123,1008
1,2,2,Webb Simpson,95,12.44,206,1656
2,3,3,Dustin Johnson,77,12.61,168,1332
3,4,4,Rickie Fowler,74,12.69,169,1332
4,5,5,Johnson Wagner,75,12.8,159,1242
5,6,6,Kevin Streelman,94,12.92,214,1656
6,7,7,Justin Rose,70,13.05,155,1188
7,8,8,Ryan Moore,78,13.39,188,1404
8,9,9,Chris Kirk,108,13.78,263,1908
9,T10,T10,Billy Horschel,86,13.89,205,1476
10,T10,T10,Jordan Spieth,81,13.89,190,1368
11,12,12,Justin Thomas,91,13.96,206,1476
12,13,13,Charles Howell III,104,14.0,252,1800
13,14,14,Zach Johnson,94,14.05,220,1566
14,15,15,Tiger Woods,68,14.13,173,1224
15,T16,T16,Matt Kuchar,88,14.17,204,1440
16,T16,T16,William McGirt,84,14.17,199,1404
17,T16,T16,Andrew Putnam,97,14.17,227,1602
18,19,19,Joel Dahmen,93,14.18,217,1530
19,20,20,Brooks Koepka,64,14.25,159,1116
20,21,21,Chez Reavie,93,14.34,222,1548
21,T22,T22,Emiliano Grillo,94,14.43,239,1656
22,T22,T22,Hideki Matsuyama,75,14.43,187,1296
23,24,24,Tony Finau,105,14.51,256,1764
24,25,25,Zac Blair,64,14.56,152,1044
25,26,26,Rory McIlroy,64,14.57,160,1098
26,27,27,Sam Ryder,82,14.65,211,1440
27,28,28,Beau Hossler,104,14.69,275,1872
28,T29,T29,Hunter Mahan,67,14.73,167,1134
29,T29,T29,Denny McCarthy,71,14.73,167,1134
30,31,31,C.T. Pan,104,14.74,260,1764
31,32,32,Abraham Ancer,98,14.76,255,1728
32,33,33,Nate Lashley,51,14.78,125,846
33,34,34,Tyrrell Hatton,58,14.81,144,972
34,35,35,Francesco Molinari,73,14.84,187,1260
35,36,36,Jason Day,75,14.87,182,1224
36,37,37,Cameron Percy,56,14.89,134,900
37,38,38,Byeong Hun An,86,14.95,226,1512
38,39,39,Brian Gay,103,14.96,272,1818
39,T40,T40,Bryson DeChambeau,93,14.99,251,1674
40,T40,T40,Kevin Na,91,14.99,232,1548
41,42,42,Seamus Power,86,15.03,211,1404
42,43,43,Alex Cejka,77,15.06,187,1242
43,44,44,Ben Crane,65,15.07,160,1062
44,45,45,Alex Noren,67,15.09,163,1080
45,46,46,Paul Casey,74,15.1,193,1278
46,47,47,Patrick Cantlay,87,15.14,218,1440
47,48,48,Brian Stuard,103,15.18,265,1746
48,49,49,Steve Wheatcroft,60,15.23,159,1044
49,50,50,Kevin Kisner,89,15.24,214,1404
50,51,51,Russell Knox,94,15.25,247,1620
51,52,52,Austin Cook,107,15.26,294,1926
52,53,53,Nick Taylor,94,15.31,248,1620
53,54,54,Michael Thompson,62,15.33,160,1044
54,55,55,Fabián Gómez,88,15.34,232,1512
55,T56,T56,Ryan Armour,109,15.42,297,1926
56,T56,T56,Rory Sabbatini,91,15.42,247,1602
57,58,58,Patrick Reed,94,15.44,239,1548
58,59,59,Rafa Cabrera Bello,75,15.48,195,1260
59,T60,T60,Jason Kokrak,99,15.49,276,1782
60,T60,T60,J.T. Poston,73,15.49,198,1278
61,T62,T62,James Hahn,85,15.51,229,1476
62,T62,T62,Brandt Snedeker,84,15.51,229,1476
63,64,64,Scott Stallings,96,15.56,252,1620
64,65,65,Adam Hadwin,92,15.61,250,1602
65,66,66,Keegan Bradley,98,15.65,262,1674
66,67,67,Blayne Barber,69,15.67,189,1206
67,68,68,Kyle Stanley,93,15.72,249,1584
68,T69,T69,Louis Oosthuizen,62,15.74,153,972
69,T69,T69,Nick Watney,94,15.74,255,1620
70,71,71,Brett Stegmaier,67,15.76,173,1098
71,72,72,Jonathan Byrd,70,15.77,176,1116
72,73,73,Jon Rahm,71,15.82,188,1188
73,74,74,Bill Haas,76,15.84,211,1332
74,75,75,Peter Malnati,87,15.86,237,1494
75,76,76,Bubba Watson,90,15.89,226,1422
76,77,77,Patton Kizzire,92,15.92,255,1602
77,78,78,Cameron Smith,85,15.95,224,1404
78,T79,T79,Luke List,98,15.96,273,1710
79,T79,T79,J.J. Spaun,85,15.96,227,1422
80,T81,T81,Jamie Lovemark,92,15.97,253,1584
81,T81,T81,Conrad Shindler,60,15.97,161,1008
82,T83,T83,Tommy Fleetwood,73,15.99,190,1188
83,T83,T83,Chesson Hadley,103,15.99,285,1782
84,85,85,J.J. Henry,81,16.0,216,1350
85,86,86,Daniel Berger,81,16.01,219,1368
86,87,87,Danny Lee,88,16.02,248,1548
87,88,88,Corey Conners,97,16.07,269,1674
88,89,89,Jim Furyk,50,16.09,139,864
89,90,90,Marc Leishman,93,16.11,261,1620
90,91,91,Shawn Stefani,76,16.14,215,1332
91,92,92,Bronson Burgoon,69,16.18,201,1242
92,93,93,Brice Garnett,99,16.2,277,1710
93,94,94,Matt Jones,70,16.22,181,1116
94,95,95,Ian Poulter,73,16.23,187,1152
95,96,96,Aaron Baddeley,84,16.24,228,1404
96,97,97,Stewart Cink,87,16.28,255,1566
97,98,98,Kevin Tway,110,16.29,305,1872
98,99,99,John Huh,94,16.36,265,1620
99,T100,T100,Lucas Glover,65,16.39,180,1098
100,T100,T100,Vaughn Taylor,83,16.39,233,1422
101,102,102,Branden Grace,67,16.41,189,1152
102,103,103,Gary Woodland,96,16.42,269,1638
103,T104,T104,Russell Henley,77,16.44,219,1332
104,T104,T104,Keith Mitchell,99,16.44,287,1746
