,Round_2_Scoring_Average_RANK THIS WEEK,Round_2_Scoring_Average_RANK LAST WEEK,Round_2_Scoring_Average_PLAYER NAME,Round_2_Scoring_Average_AVG,Round_2_Scoring_Average_TOTAL STROKES,Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Dustin Johnson,67.53,1283,19
1,2,2,Johnson Wagner,68.68,1305,19
2,T3,T3,Tommy Fleetwood,68.94,1172,17
3,T3,T3,Brooks Koepka,68.94,1103,16
4,5,5,Bryson DeChambeau,68.96,1655,24
5,6,6,Jordan Spieth,69.05,1450,21
6,T7,T7,Jason Day,69.06,1243,18
7,T7,T7,Justin Rose,69.06,1174,17
8,9,9,Webb Simpson,69.12,1728,25
9,10,10,Hideki Matsuyama,69.32,1317,19
10,11,11,Kevin Streelman,69.38,1804,26
11,12,12,Brian Gay,69.41,2013,29
12,T13,T13,Zach Johnson,69.43,1597,23
13,T13,T13,Luke List,69.43,1944,28
14,T13,T13,Cameron Percy,69.43,972,14
15,16,16,Charles Howell III,69.44,1875,27
16,17,17,Bubba Watson,69.45,1528,22
17,18,18,Justin Thomas,69.52,1460,21
18,19,19,Marc Leishman,69.54,1669,24
19,20,20,Rickie Fowler,69.65,1393,20
20,21,21,Kevin Tway,69.66,2020,29
21,22,22,Henrik Stenson,69.67,1045,15
22,23,23,Beau Hossler,69.68,1951,28
23,24,24,Scott Piercy,69.74,1604,23
24,T25,T25,Lanto Griffin,69.75,1674,24
25,T25,T25,Sam Saunders,69.75,1674,24
26,T27,T27,Chesson Hadley,69.79,2024,29
27,T27,T27,Patrick Reed,69.79,1675,24
28,29,29,Tony Finau,69.85,1816,26
29,30,30,Zac Blair,69.89,1258,18
30,31,31,Phil Mickelson,69.91,1608,23
31,T32,T32,Emiliano Grillo,69.92,1678,24
32,T32,T32,James Hahn,69.92,1748,25
33,34,34,Louis Oosthuizen,69.93,1049,15
34,T35,T35,David Lingmerth,69.96,1609,23
35,T35,T35,C.T. Pan,69.96,1959,28
36,37,37,Tyrone Van Aswegen,69.97,2029,29
37,T38,T38,Blayne Barber,70.0,1470,21
38,T38,T38,Tyrrell Hatton,70.0,1050,15
39,T38,T38,Denny McCarthy,70.0,1400,20
40,T38,T38,Kevin Na,70.0,1680,24
41,T38,T38,Jon Rahm,70.0,1260,18
42,T38,T38,Harold Varner III,70.0,1820,26
43,T44,T44,Aaron Baddeley,70.04,1751,25
44,T44,T44,Andrew Putnam,70.04,1821,26
45,T46,T46,Rafa Cabrera Bello,70.06,1261,18
46,T46,T46,Tiger Woods,70.06,1261,18
47,T48,T48,Jamie Lovemark,70.08,1752,25
48,T48,T48,Kyle Stanley,70.08,1752,25
49,50,50,Pat Perez,70.1,1472,21
50,51,51,Scott Stallings,70.11,1963,28
51,52,52,Ollie Schniederjans,70.12,1823,26
