,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Henrik Stenson,16,1.96,110,56
1,2,2,Rickie Fowler,20,1.99,147,74
2,3,3,Webb Simpson,26,2.02,186,92
3,4,4,Dustin Johnson,20,2.04,151,74
4,5,5,Brooks Koepka,17,2.11,131,62
5,6,6,Johnson Wagner,21,2.12,146,69
6,7,7,Kevin Streelman,27,2.14,197,92
7,8,8,Justin Thomas,23,2.17,178,82
8,9,9,Justin Rose,18,2.21,146,66
9,10,10,Jordan Spieth,23,2.22,169,76
10,11,11,Tiger Woods,18,2.25,153,68
11,T12,T12,Hideki Matsuyama,21,2.26,163,72
12,T12,T12,Ryan Moore,22,2.26,176,78
13,14,14,Chris Kirk,29,2.27,241,106
14,T15,T15,Chez Reavie,28,2.28,196,86
15,T15,T15,Sam Ryder,26,2.28,182,80
16,T17,T17,Billy Horschel,27,2.29,188,82
17,T17,T17,William McGirt,26,2.29,179,78
18,T19,T19,Beau Hossler,28,2.3,239,104
19,T19,T19,Matt Kuchar,24,2.3,184,80
20,T21,T21,Joel Dahmen,28,2.31,196,85
21,T21,T21,Rory McIlroy,18,2.31,141,61
22,23,23,Byeong Hun An,24,2.32,195,84
23,T24,T24,Charles Howell III,28,2.33,233,100
24,T24,T24,Zach Johnson,25,2.33,203,87
25,T24,T24,Andrew Putnam,28,2.33,207,89
26,T27,T27,Zac Blair,20,2.34,136,58
27,T27,T27,Emiliano Grillo,25,2.34,215,92
28,T29,T29,Tony Finau,28,2.35,230,98
29,T29,T29,Tyrrell Hatton,16,2.35,127,54
30,T29,T29,C.T. Pan,30,2.35,230,98
31,32,32,Steve Wheatcroft,20,2.36,137,58
32,33,33,Nate Lashley,17,2.38,112,47
33,T34,T34,Kevin Kisner,25,2.4,187,78
34,T34,T34,Cameron Percy,16,2.4,120,50
35,T36,T36,Abraham Ancer,30,2.41,231,96
36,T36,T36,Hunter Mahan,21,2.41,152,63
37,T36,T36,Denny McCarthy,22,2.41,152,63
38,T36,T36,Seamus Power,28,2.41,188,78
39,T40,T40,Patton Kizzire,29,2.42,215,89
40,T40,T40,Danny Lee,30,2.42,208,86
41,T40,T40,Kevin Na,26,2.42,208,86
42,T43,T43,Fabián Gómez,28,2.43,204,84
43,T43,T43,Michael Thompson,19,2.43,141,58
44,T45,T45,Jonathan Byrd,24,2.44,151,62
45,T45,T45,Paul Casey,20,2.44,173,71
46,T45,T45,Bryson DeChambeau,26,2.44,227,93
