,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
0,1,1,Dustin Johnson,77,34.11,2524,74
1,2,2,Tiger Woods,68,34.32,2334,68
2,3,3,Webb Simpson,95,34.34,3159,92
3,4,4,Rickie Fowler,74,34.42,2547,74
4,5,5,Jordan Spieth,81,34.43,2617,76
5,6,6,Cameron Percy,56,34.52,1726,50
6,T7,T7,Brooks Koepka,64,34.55,2142,62
7,T7,T7,Justin Thomas,91,34.55,2833,82
8,9,9,Justin Rose,70,34.56,2281,66
9,10,10,Bryson DeChambeau,93,34.61,3219,93
10,11,11,Blayne Barber,69,34.64,2321,67
11,12,12,Rafa Cabrera Bello,75,34.67,2427,70
12,13,13,Jason Day,75,34.71,2360,68
13,14,14,Tony Finau,105,34.72,3403,98
14,15,15,Jon Rahm,71,34.74,2293,66
15,T16,T16,Rory McIlroy,64,34.75,2120,61
16,T16,T16,Johnson Wagner,75,34.75,2398,69
17,T18,T18,Sam Saunders,80,34.76,2572,74
18,T18,T18,Peter Uihlein,83,34.76,2711,78
19,T18,T18,Bubba Watson,90,34.76,2746,79
20,21,21,Phil Mickelson,90,34.77,3025,87
21,T22,T22,Abraham Ancer,98,34.78,3339,96
22,T22,T22,Hideki Matsuyama,75,34.78,2504,72
23,24,24,Michael Thompson,62,34.79,2018,58
24,25,25,Tommy Fleetwood,73,34.8,2297,66
25,26,26,Brian Harman,94,34.81,3133,90
26,T27,T27,Ryan Blaum,81,34.82,2716,78
27,T27,T27,Andrew Putnam,97,34.82,3099,89
28,29,29,C.T. Pan,104,34.83,3413,98
29,30,30,Brandt Snedeker,84,34.84,2857,82
30,T31,T31,Zach Johnson,94,34.87,3034,87
31,T31,T31,Ryan Moore,78,34.87,2720,78
32,T33,T33,Austin Cook,107,34.88,3732,107
33,T33,T33,Patton Kizzire,92,34.88,3104,89
34,35,35,Brandon Harkins,101,34.89,3315,95
35,36,36,James Hahn,85,34.9,2862,82
36,T37,T37,Stewart Cink,87,34.91,3037,87
37,T37,T37,Chesson Hadley,103,34.91,3456,99
38,39,39,Kevin Na,91,34.93,3004,86
39,T40,T40,Brian Gay,103,34.94,3529,101
40,T40,T40,Francesco Molinari,73,34.94,2446,70
41,T42,T42,Patrick Cantlay,87,34.95,2796,80
42,T42,T42,Corey Conners,97,34.95,3250,93
43,T42,T42,Chris Kirk,108,34.95,3705,106
44,T42,T42,Scott Piercy,84,34.95,2796,80
45,T42,T42,Henrik Stenson,60,34.95,1957,56
46,T47,T47,Sam Ryder,82,34.96,2797,80
47,T47,T47,Rory Sabbatini,91,34.96,3111,89
48,T49,T49,Hunter Mahan,67,34.97,2203,63
49,T49,T49,Denny McCarthy,71,34.97,2203,63
50,T51,T51,Emiliano Grillo,94,34.98,3218,92
51,T51,T51,Tyrrell Hatton,58,34.98,1889,54
52,T51,T51,Charles Howell III,104,34.98,3498,100
53,T54,T54,Bronson Burgoon,69,34.99,2414,69
54,T54,T54,Lanto Griffin,80,34.99,2589,74
55,T54,T54,Jamie Lovemark,92,34.99,3079,88
56,T57,T57,Ricky Barnes,65,35.0,2065,59
57,T57,T57,Keith Mitchell,99,35.0,3395,97
58,59,59,Vaughn Taylor,83,35.01,2766,79
59,T60,T60,Jason Kokrak,99,35.02,3467,99
60,T60,T60,Peter Malnati,87,35.02,2907,83
61,T60,T60,Chez Reavie,93,35.02,3012,86
62,T60,T60,Conrad Shindler,60,35.02,1961,56
63,T64,T64,Martin Laird,73,35.03,2277,65
64,T64,T64,Adam Scott,78,35.03,2732,78
65,T66,T66,Marc Leishman,93,35.04,3154,90
66,T66,T66,Gary Woodland,96,35.04,3189,91
67,68,68,J.J. Spaun,85,35.05,2769,79
68,69,69,Keegan Bradley,98,35.06,3261,93
69,T70,T70,Joel Dahmen,93,35.07,2981,85
