,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Dustin Johnson,77,2.372,147.04,123.179,23.861,62
1,2,2,Justin Rose,70,1.952,103.435,80.953,22.479,53
2,3,3,Justin Thomas,91,1.835,124.788,106.26100000000001,18.528,68
3,4,4,Tommy Fleetwood,73,1.6059999999999999,86.72,69.21,17.509,54
4,5,5,Tiger Woods,68,1.5959999999999999,94.154,78.44800000000001,15.703,59
5,6,6,Bryson DeChambeau,93,1.558,121.52600000000001,94.54299999999999,26.982,78
6,7,7,Tony Finau,105,1.435,116.24799999999999,97.473,18.774,81
7,8,8,Webb Simpson,95,1.432,116.022,60.005,56.016999999999996,81
8,9,9,Rory McIlroy,64,1.412,71.98899999999999,68.917,3.073,51
9,10,10,Jason Day,75,1.285,62.966,25.245,37.72,49
10,11,11,Rickie Fowler,74,1.275,77.798,59.766999999999996,18.028,61
11,12,12,Brooks Koepka,64,1.22,65.874,56.815,9.057,54
12,13,13,Hideki Matsuyama,75,1.196,68.157,60.648999999999994,7.507000000000001,57
13,14,14,Henrik Stenson,60,1.153,50.738,59.828,-9.091000000000001,44
14,15,15,Emiliano Grillo,94,1.133,82.69200000000001,42.85,39.84,73
15,16,16,Francesco Molinari,73,1.123,64.014,91.756,-27.74,57
16,T17,T17,Rafa Cabrera Bello,75,1.112,53.37,40.27,13.100999999999999,48
17,T17,T17,Billy Horschel,86,1.112,85.64299999999999,55.474,30.164,77
18,19,19,Patrick Cantlay,87,1.0959999999999999,73.418,85.596,-12.177,67
19,20,20,Gary Woodland,96,1.0659999999999998,74.632,74.14699999999999,0.48200000000000004,70
20,21,21,Alex Noren,67,1.044,51.168,14.013,37.154,49
21,22,22,Zach Johnson,94,1.035,74.544,59.71,14.835,72
22,23,23,Paul Casey,74,0.966,47.336000000000006,40.801,6.537000000000001,49
23,24,24,Patrick Reed,94,0.9470000000000001,59.645,49.325,10.315999999999999,63
24,25,25,Ryan Moore,78,0.941,62.09,79.953,-17.863,66
25,26,26,Tyrrell Hatton,58,0.938,39.39,25.315,14.077,42
26,27,27,Phil Mickelson,90,0.9309999999999999,65.141,29.429000000000002,35.71,70
27,28,28,Jon Rahm,71,0.889,45.323,53.008,-7.685,51
28,29,29,Luke List,98,0.87,67.87899999999999,104.322,-36.445,78
29,30,30,Chesson Hadley,103,0.8590000000000001,76.441,57.882,18.554000000000002,89
30,31,31,Ian Poulter,73,0.85,42.507,31.362,11.142999999999999,50
31,32,32,Jordan Spieth,81,0.83,54.751000000000005,56.977,-2.224,66
32,33,33,Daniel Berger,81,0.816,50.605,30.826,19.78,62
33,34,34,Branden Grace,67,0.812,35.747,20.359,15.389000000000001,44
34,35,35,Byeong Hun An,86,0.805,58.79,79.607,-20.82,73
35,T36,T36,Charles Howell III,104,0.8009999999999999,62.475,45.38399999999999,17.090999999999998,78
36,T36,T36,Kevin Na,91,0.8009999999999999,56.037,18.733,37.303000000000004,70
37,38,38,Keegan Bradley,98,0.7929999999999999,63.411,92.04700000000001,-28.639,80
38,39,39,Adam Scott,78,0.779,46.738,63.82899999999999,-17.090999999999998,60
39,40,40,Chris Kirk,108,0.732,70.28699999999999,63.288000000000004,6.996,96
40,41,41,Johnson Wagner,75,0.715,39.339,5.0489999999999995,34.291,55
41,42,42,Aaron Wise,90,0.703,56.223,37.152,19.070999999999998,80
42,43,43,Graeme McDowell,67,0.6970000000000001,32.061,10.093,21.967,46
43,44,44,Kyle Stanley,93,0.6859999999999999,45.986999999999995,43.483000000000004,2.504,67
44,45,45,Chez Reavie,93,0.674,40.453,28.956,11.495,60
45,46,46,Xander Schauffele,96,0.644,46.352,32.275999999999996,14.078,72
46,47,47,Brandt Snedeker,84,0.625,46.285,10.905,35.378,74
47,48,48,Marc Leishman,93,0.624,45.568999999999996,36.334,9.234,73
48,49,49,Kevin Streelman,94,0.619,50.729,71.20100000000001,-20.472,82
49,50,50,Adam Hadwin,92,0.596,39.353,32.336999999999996,7.013,66
50,51,51,Beau Hossler,104,0.584,52.528999999999996,-9.092,61.617,90
51,52,52,Matt Kuchar,88,0.5760000000000001,37.442,14.847999999999999,22.592,65
52,53,53,Austin Cook,107,0.569,52.338,23.377,28.962,92
53,54,54,Brian Gay,103,0.565,52.021,11.355,40.668,92
54,55,55,Bubba Watson,90,0.555,37.729,37.666,0.062,68
55,56,56,J.B. Holmes,77,0.5489999999999999,37.302,51.408,-14.109000000000002,68
56,57,57,Russell Henley,77,0.541,31.381,21.679000000000002,9.703,58
57,58,58,Jason Kokrak,99,0.539,47.388000000000005,45.455,1.93,88
58,59,59,Louis Oosthuizen,62,0.521,23.973000000000003,25.186,-1.213,46
59,60,60,Kiradech Aphibarnrat,51,0.511,17.365,12.665,4.699,34
60,61,61,Bronson Burgoon,69,0.48100000000000004,27.4,21.278000000000002,6.122999999999999,57
61,62,62,C.T. Pan,104,0.478,39.162,44.628,-5.47,82
62,63,63,Andrew Putnam,97,0.47200000000000003,36.369,32.359,4.008,77
63,64,64,Martin Laird,73,0.47,28.68,11.499,17.178,61
64,65,65,Stewart Cink,87,0.465,31.177,54.292,-23.115,67
65,66,66,Bud Cauley,55,0.461,18.901,3.845,15.055,41
66,67,67,Charley Hoffman,87,0.425,28.87,27.08,1.788,68
67,68,68,Jim Furyk,50,0.41200000000000003,18.945999999999998,1.042,17.903,46
68,69,69,Joel Dahmen,93,0.4,28.421999999999997,48.093,-19.67,71
69,70,70,Jamie Lovemark,92,0.38799999999999996,30.261,29.445999999999998,0.81,78
70,71,71,Russell Knox,94,0.38299999999999995,28.318,34.857,-6.537999999999999,74
71,72,72,Rory Sabbatini,91,0.358,26.877,22.425,4.449,75
72,73,73,Jimmy Walker,81,0.35700000000000004,23.548000000000002,2.175,21.369,66
73,74,74,Nick Watney,94,0.34299999999999997,27.476999999999997,11.474,15.999,80
74,75,75,Ryan Armour,109,0.337,32.37,37.915,-5.545,96
75,76,76,Kevin Tway,110,0.32899999999999996,29.634,24.908,4.721,90
76,T77,T77,Zac Blair,64,0.32299999999999995,14.862,5.517,9.346,46
77,T77,T77,Kevin Chappell,77,0.32299999999999995,20.042,41.395,-21.35,62
78,79,79,Abraham Ancer,98,0.32,26.573,31.219,-4.648,83
79,80,80,Alex Cejka,77,0.312,18.703,18.143,0.556,60
80,81,81,Nate Lashley,51,0.31,10.835999999999999,7.982,2.853,35
81,82,82,Aaron Baddeley,84,0.309,21.660999999999998,25.633000000000003,-3.9730000000000003,70
82,83,83,J.J. Spaun,85,0.292,20.761999999999997,31.344,-10.58,71
83,T84,T84,Brian Harman,94,0.29,20.894000000000002,1.214,19.683,72
84,T84,T84,Scott Piercy,84,0.29,19.719,58.406000000000006,-38.686,68
85,86,86,Cameron Percy,56,0.285,11.703,20.092,-8.386000000000001,41
86,87,87,James Hahn,85,0.27899999999999997,19.221,29.737,-10.517000000000001,69
87,88,88,Lucas Glover,65,0.276,12.697000000000001,21.266,-8.573,46
88,89,89,Brandon Harkins,101,0.275,23.4,4.254,19.146,85
89,90,90,Scott Stallings,96,0.27,21.629,27.246,-5.617000000000001,80
90,91,91,Peter Uihlein,83,0.268,17.434,16.08,1.3519999999999999,65
91,92,92,Ollie Schniederjans,91,0.254,19.567,-5.478,25.041999999999998,77
92,93,93,John Huh,94,0.251,20.555999999999997,6.825,13.73,82
93,94,94,Peter Malnati,87,0.244,18.337,-28.073,46.409,75
94,95,95,Shane Lowry,64,0.23800000000000002,12.126,26.705,-14.581,51
95,96,96,Patrick Rodgers,97,0.23199999999999998,16.969,-23.964000000000002,40.931,73
96,97,97,Sam Saunders,80,0.226,15.123,8.82,6.303999999999999,67
97,T98,T98,Cameron Smith,85,0.21899999999999997,13.353,6.3629999999999995,6.99,61
98,T98,T98,Vaughn Taylor,83,0.21899999999999997,15.344000000000001,20.928,-5.579,70
