,Round_4_Scoring_Average_RANK THIS WEEK,Round_4_Scoring_Average_RANK LAST WEEK,Round_4_Scoring_Average_PLAYER NAME,Round_4_Scoring_Average_AVG,Round_4_Scoring_Average_TOTAL STROKES,Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Brooks Koepka,68.27,1024,15
1,2,2,Hideki Matsuyama,68.38,1094,16
2,3,3,Dustin Johnson,68.44,1232,18
3,T4,T4,Phil Mickelson,68.65,1373,20
4,T4,T4,Justin Thomas,68.65,1373,20
5,6,6,Conrad Shindler,68.75,550,8
6,7,7,Jason Kokrak,68.8,1376,20
7,T8,T8,Francesco Molinari,69.0,1104,16
8,T8,T8,Kyle Thompson,69.0,138,2
9,T8,T8,Aaron Wise,69.0,1104,16
10,11,11,Justin Rose,69.13,1106,16
11,12,12,Zach Johnson,69.15,1383,20
12,13,13,Joel Dahmen,69.2,1038,15
13,14,14,Rafa Cabrera Bello,69.24,1177,17
14,15,15,Patton Kizzire,69.25,1108,16
15,16,16,Keith Mitchell,69.3,1386,20
16,17,17,Tommy Fleetwood,69.31,1109,16
17,18,18,J.J. Spaun,69.33,1040,15
18,19,19,Webb Simpson,69.38,1457,21
19,20,20,Nate Lashley,69.43,486,7
20,21,21,Billy Horschel,69.44,1111,16
21,22,22,Dominic Bozzelli,69.45,764,11
22,23,23,Alex Cejka,69.46,903,13
23,24,24,Kevin Na,69.47,1320,19
24,25,25,Patrick Rodgers,69.5,1251,18
25,26,26,Branden Grace,69.53,1043,15
26,27,27,Bryson DeChambeau,69.55,1530,22
27,28,28,Fabián Gómez,69.57,974,14
28,29,29,Tyrrell Hatton,69.58,835,12
29,30,30,Jordan Spieth,69.59,1183,17
30,31,31,Tony Finau,69.61,1601,23
31,T32,T32,Russell Henley,69.67,1045,15
32,T32,T32,Nick Taylor,69.67,1045,15
33,T34,T34,Paul Casey,69.69,1115,16
34,T34,T34,Stephan Jaeger,69.69,906,13
35,T34,T34,Alex Noren,69.69,906,13
36,T34,T34,Seamus Power,69.69,906,13
37,T34,T34,Brandt Snedeker,69.69,1115,16
38,39,39,Harris English,69.7,697,10
39,40,40,Cameron Smith,69.71,1185,17
40,41,41,Tiger Woods,69.75,1116,16
41,42,42,Adam Scott,69.76,1186,17
42,43,43,Richy Werenski,69.8,1047,15
43,44,44,Chesson Hadley,69.85,1397,20
44,T45,T45,Tyler Duncan,69.87,1048,15
45,T45,T45,William McGirt,69.87,1048,15
46,T47,T47,James Hahn,69.88,1118,16
47,T47,T47,Scott Stallings,69.88,1118,16
48,T49,T49,Ryan Blaum,69.92,839,12
49,T49,T49,Henrik Stenson,69.92,909,13
50,51,51,Chez Reavie,69.94,1189,17
51,T52,T52,Patrick Cantlay,69.95,1329,19
52,T52,T52,C.T. Pan,69.95,1399,20
53,T54,T54,Blayne Barber,70.0,840,12
54,T54,T54,Kevin Chappell,70.0,1050,15
55,T54,T54,Rickie Fowler,70.0,1190,17
56,T54,T54,Adam Hadwin,70.0,1400,20
57,T54,T54,Brandon Harkins,70.0,1330,19
58,T54,T54,Nicholas Lindheim,70.0,770,11
59,T54,T54,Rory McIlroy,70.0,910,13
60,T54,T54,Rob Oppenheim,70.0,700,10
61,T54,T54,Peter Uihlein,70.0,1050,15
62,T54,T54,Gary Woodland,70.0,1400,20
63,64,64,Charles Howell III,70.04,1611,23
64,65,65,Jonathan Byrd,70.13,561,8
65,66,66,Shane Lowry,70.18,772,11
66,T67,T67,Jason Day,70.19,1123,16
67,T67,T67,Brian Gay,70.19,1474,21
