,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Justin Thomas,91,86.8,1476,17
1,2,2,Dustin Johnson,77,88.8,1332,15
2,3,3,Conrad Shindler,60,91.6,1008,11
3,4,4,Webb Simpson,95,92.0,1656,18
4,5,5,Hideki Matsuyama,75,92.6,1296,14
5,6,6,Tony Finau,105,110.3,1764,16
6,7,7,Keegan Bradley,98,111.6,1674,15
7,8,8,Stewart Cink,87,111.9,1566,14
8,T9,T9,Matt Every,79,112.5,1350,12
9,T9,T9,Cameron Percy,56,112.5,900,8
10,11,11,Rafa Cabrera Bello,75,114.5,1260,11
11,12,12,Gary Woodland,96,117.0,1638,14
12,13,13,Kiradech Aphibarnrat,51,118.3,828,7
13,14,14,Bubba Watson,90,118.5,1422,12
14,T15,T15,Rory McIlroy,64,122.0,1098,9
15,T15,T15,D.A. Points,63,122.0,1098,9
16,17,17,Brandon Harkins,101,122.1,1710,14
17,18,18,Ethan Tracy,72,122.4,1224,10
18,19,19,J.B. Holmes,77,122.7,1350,11
19,20,20,James Hahn,85,123.0,1476,12
20,21,21,Jason Kokrak,99,127.3,1782,14
21,22,22,Bryson DeChambeau,93,128.8,1674,13
22,23,23,Phil Mickelson,90,130.5,1566,12
23,24,24,Tommy Fleetwood,73,132.0,1188,9
24,25,25,Rory Sabbatini,91,133.5,1602,12
25,26,26,Hudson Swafford,73,134.0,1206,9
26,27,27,John Huh,94,135.0,1620,12
27,28,28,Chesson Hadley,103,137.1,1782,13
28,T29,T29,Bronson Burgoon,69,138.0,1242,9
29,T29,T29,Alex Cejka,77,138.0,1242,9
30,T31,T31,Matt Jones,70,139.5,1116,8
31,T31,T31,Brooks Koepka,64,139.5,1116,8
32,33,33,Patrick Reed,94,140.7,1548,11
33,34,34,Ryan Palmer,69,141.8,1134,8
34,35,35,Satoshi Kodaira,51,144.0,864,6
35,36,36,Brandt Snedeker,84,147.6,1476,10
36,37,37,Richy Werenski,98,150.5,1656,11
37,38,38,Tyler Duncan,97,152.2,1674,11
38,39,39,Troy Merritt,89,153.0,1530,10
39,40,40,Kevin Na,91,154.8,1548,10
40,T41,T41,Aaron Baddeley,84,156.0,1404,9
41,T41,T41,Ryan Blaum,81,156.0,1404,9
42,T41,T41,Harris English,84,156.0,1404,9
43,T41,T41,Kevin Kisner,89,156.0,1404,9
44,T41,T41,Kevin Tway,110,156.0,1872,12
45,T41,T41,Peter Uihlein,83,156.0,1404,9
46,47,47,Jonathan Byrd,70,159.4,1116,7
47,T48,T48,Patrick Cantlay,87,160.0,1440,9
48,T48,T48,Derek Fathauer,84,160.0,1440,9
49,T50,T50,Whee Kim,93,160.2,1602,10
50,T50,T50,Harold Varner III,91,160.2,1602,10
51,T52,T52,Tom Lovelady,87,162.0,1458,9
52,T52,T52,Grayson Murray,72,162.0,1296,8
53,54,54,Lanto Griffin,80,166.5,1332,8
54,55,55,Martin Laird,73,167.1,1170,7
55,56,56,Xinjun Zhang,81,168.8,1350,8
56,57,57,Jon Rahm,71,169.7,1188,7
57,58,58,Daniel Berger,81,171.0,1368,8
58,59,59,Brendan Steele,74,172.3,1206,7
59,60,60,Ben Crane,65,177.0,1062,6
60,61,61,Johnson Wagner,75,177.4,1242,7
61,T62,T62,Charley Hoffman,87,180.0,1440,8
62,T62,T62,Andrew Landry,82,180.0,1440,8
63,64,64,Paul Casey,74,182.6,1278,7
64,T65,T65,Jonas Blixt,67,183.0,1098,6
65,T65,T65,Brett Stegmaier,67,183.0,1098,6
66,67,67,Billy Horschel,86,184.5,1476,8
67,68,68,Talor Gooch,78,185.1,1296,7
68,T69,T69,Matt Atkins,56,187.2,936,5
69,T69,T69,Beau Hossler,104,187.2,1872,10
70,T71,T71,Byeong Hun An,86,189.0,1512,8
71,T71,T71,Fabián Gómez,88,189.0,1512,8
72,T71,T71,Sean O'Hair,67,189.0,1134,6
73,T71,T71,Cameron Tringale,67,189.0,1134,6
74,T75,T75,Kevin Chappell,77,190.3,1332,7
75,T75,T75,Rickie Fowler,74,190.3,1332,7
76,T75,T75,Bill Haas,76,190.3,1332,7
77,T75,T75,Shawn Stefani,76,190.3,1332,7
78,79,79,Chris Kirk,108,190.8,1908,10
79,T80,T80,Branden Grace,67,192.0,1152,6
80,T80,T80,Billy Hurley III,70,192.0,1152,6
81,82,82,Keith Mitchell,99,194.0,1746,9
82,83,83,Jordan Spieth,81,195.4,1368,7
83,84,84,Zach Johnson,94,195.8,1566,8
84,85,85,Jamie Lovemark,92,198.0,1584,8
85,T86,T86,Ryan Moore,78,200.6,1404,7
86,T86,T86,Cameron Smith,85,200.6,1404,7
87,88,88,Henrik Stenson,60,201.6,1008,5
88,T89,T89,Russell Knox,94,202.5,1620,8
89,T89,T89,Marc Leishman,93,202.5,1620,8
90,91,91,Chad Campbell,87,203.1,1422,7
91,T92,T92,Rob Oppenheim,74,204.0,1224,6
92,T92,T92,Tiger Woods,68,204.0,1224,6
93,T94,T94,Sam Ryder,82,205.7,1440,7
94,T94,T94,Adam Schenk,86,205.7,1440,7
95,96,96,Michael Kim,74,210.0,1260,6
96,97,97,Nate Lashley,51,211.5,846,4
97,98,98,Ricky Barnes,65,212.4,1062,5
98,99,99,Luke List,98,213.8,1710,8
99,T100,T100,David Hearn,66,216.0,1080,5
100,T100,T100,Alex Noren,67,216.0,1080,5
101,T102,T102,Joel Dahmen,93,218.6,1530,7
102,T102,T102,Sung Kang,89,218.6,1530,7
103,104,104,Lucas Glover,65,219.6,1098,5
104,T105,T105,Danny Lee,88,221.1,1548,7
105,T105,T105,Chez Reavie,93,221.1,1548,7
106,107,107,"Ted Potter, Jr.",87,223.7,1566,7
107,T108,T108,Patton Kizzire,92,228.9,1602,7
108,T108,T108,Jhonattan Vegas,92,228.9,1602,7
109,110,110,Jimmy Walker,81,231.0,1386,6
110,T111,T111,Scott Stallings,96,231.4,1620,7
111,T111,T111,Nick Watney,94,231.4,1620,7
112,T113,T113,Dominic Bozzelli,65,234.0,1170,5
113,T113,T113,Adam Scott,78,234.0,1404,6
114,115,115,Kelly Kraft,94,236.6,1656,7
115,T116,T116,Tom Hoge,101,239.1,1674,7
116,T116,T116,Patrick Rodgers,97,239.1,1674,7
117,T116,T116,Xander Schauffele,96,239.1,1674,7
118,119,119,Tyrrell Hatton,58,243.0,972,4
119,120,120,Brice Garnett,99,244.3,1710,7
120,121,121,Jason Day,75,244.8,1224,5
121,122,122,Trey Mullinax,75,248.4,1242,5
122,T123,T123,Shane Lowry,64,252.0,1008,4
123,T123,T123,Francesco Molinari,73,252.0,1260,5
124,T123,T123,C.T. Pan,104,252.0,1764,7
125,126,126,Charles Howell III,104,257.1,1800,7
126,127,127,Brian Gay,103,259.7,1818,7
127,128,128,Chris Stroud,81,262.8,1314,5
128,129,129,Aaron Wise,90,264.0,1584,6
129,130,130,Graeme McDowell,67,265.5,1062,4
130,131,131,Russell Henley,77,266.4,1332,5
131,132,132,Adam Hadwin,92,267.0,1602,6
132,T133,T133,Brian Harman,94,270.0,1620,6
133,T133,T133,Stephan Jaeger,81,270.0,1350,5
134,135,135,Robert Garrigus,80,273.6,1368,5
135,136,136,William McGirt,84,280.8,1404,5
136,137,137,Denny McCarthy,71,283.5,1134,4
137,T138,T138,Jason Dufner,71,288.0,1152,4
138,T138,T138,Scott Piercy,84,288.0,1440,5
139,140,140,Jonathan Randolph,71,292.5,1170,4
140,141,141,Zecheng Dou,53,294.0,882,3
141,142,142,Wesley Bryan,69,301.5,1206,4
142,143,143,Roberto Díaz,72,306.0,1224,4
143,144,144,Retief Goosen,60,312.0,936,3
144,145,145,Ollie Schniederjans,91,313.2,1566,5
145,146,146,Kyle Stanley,93,316.8,1584,5
146,147,147,Andrew Putnam,97,320.4,1602,5
147,148,148,Ryan Armour,109,321.0,1926,6
148,149,149,Sam Saunders,80,333.0,1332,4
149,T150,T150,Corey Conners,97,334.8,1674,5
150,T150,T150,Tyrone Van Aswegen,101,334.8,1674,5
151,152,152,Mackenzie Hughes,80,342.0,1368,4
152,153,153,Abraham Ancer,98,345.6,1728,5
153,154,154,Martin Piller,79,346.5,1386,4
154,T155,T155,Zac Blair,64,348.0,1044,3
155,T155,T155,Charl Schwartzel,65,348.0,1044,3
156,T155,T155,Steve Wheatcroft,60,348.0,1044,3
157,T158,T158,David Lingmerth,82,351.0,1404,4
158,T158,T158,Seamus Power,86,351.0,1404,4
159,160,160,J.J. Spaun,85,355.5,1422,4
160,161,161,Matt Kuchar,88,360.0,1440,4
161,162,162,Anirban Lahiri,82,369.0,1476,4
162,163,163,Peter Malnati,87,373.5,1494,4
163,164,164,Si Woo Kim,108,374.4,1872,5
164,T165,T165,Hunter Mahan,67,378.0,1134,3
165,T165,T165,Ben Silverman,90,378.0,1512,4
166,167,167,Ben Martin,64,384.0,1152,3
167,168,168,Cody Gribble,71,390.0,1170,3
168,169,169,Justin Rose,70,396.0,1188,3
169,170,170,Blayne Barber,69,402.0,1206,3
170,T171,T171,Daniel Summerhays,51,405.0,810,2
171,T171,T171,Nick Taylor,94,405.0,1620,4
172,173,173,Kevin Streelman,94,414.0,1656,4
173,174,174,J.T. Poston,73,426.0,1278,3
174,175,175,Brian Stuard,103,436.5,1746,4
175,176,176,Scott Brown,102,441.0,1764,4
176,177,177,Robert Streb,78,444.0,1332,3
177,178,178,Vaughn Taylor,83,474.0,1422,3
178,179,179,Austin Cook,107,481.5,1926,4
179,180,180,Louis Oosthuizen,62,486.0,972,2
180,181,181,Martin Flores,92,516.0,1548,3
181,182,182,Rod Pampling,62,522.0,1044,2
182,183,183,Emiliano Grillo,94,552.0,1656,3
183,T184,T184,J.J. Henry,81,675.0,1350,2
184,T184,T184,Pat Perez,82,675.0,1350,2
185,186,186,Andrew Yun,51,810.0,810,1
186,187,187,Jim Furyk,50,864.0,864,1
187,188,188,Bud Cauley,55,954.0,954,1
188,189,189,Michael Thompson,62,1044.0,1044,1
189,190,190,Ian Poulter,73,1152.0,1152,1
190,191,191,Nicholas Lindheim,77,1242.0,1242,1
