,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Dustin Johnson,68.46,2670,39
1,2,2,Justin Rose,68.94,2344,34
2,3,3,Rickie Fowler,69.08,2763,40
3,4,4,Webb Simpson,69.18,3528,51
4,5,5,Johnson Wagner,69.38,2775,40
5,T6,T6,Henrik Stenson,69.4,2082,30
6,T6,T6,Justin Thomas,69.4,2915,42
7,8,8,Beau Hossler,69.41,4026,58
8,T9,T9,Tony Finau,69.5,3614,52
9,T9,T9,Tommy Fleetwood,69.5,2363,34
10,T9,T9,Brooks Koepka,69.5,2224,32
11,12,12,Cameron Percy,69.53,2086,30
12,13,13,Jason Day,69.59,2575,37
13,14,14,Zach Johnson,69.6,3271,47
14,15,15,Jon Rahm,69.63,2646,38
15,16,16,Andrew Putnam,69.76,3767,54
16,17,17,Brian Gay,69.77,4186,60
17,18,18,Marc Leishman,69.79,3350,48
18,T19,T19,Rafa Cabrera Bello,69.81,2583,37
19,T19,T19,Chris Kirk,69.81,4049,58
20,21,21,Bryson DeChambeau,69.82,3491,50
21,22,22,Patrick Cantlay,69.86,3004,43
22,23,23,Ryan Moore,69.91,3076,44
23,24,24,Billy Horschel,69.92,3496,50
24,25,25,Xander Schauffele,69.94,3637,52
25,26,26,Jordan Spieth,69.95,3008,43
26,T27,T27,Keegan Bradley,69.96,3498,50
27,T27,T27,Charles Howell III,69.96,3848,55
28,T27,T27,Kevin Na,69.96,3498,50
29,T27,T27,Rory Sabbatini,69.96,3708,53
30,31,31,Emiliano Grillo,69.98,3359,48
31,T32,T32,Corey Conners,70.02,3781,54
32,T32,T32,C.T. Pan,70.02,3991,57
33,T32,T32,Kyle Stanley,70.02,3501,50
34,T35,T35,Ryan Armour,70.03,4482,64
35,T35,T35,Rory McIlroy,70.03,2451,35
36,T37,T37,Luke List,70.04,3992,57
37,T37,T37,Bubba Watson,70.04,3222,46
38,39,39,Brian Harman,70.08,3434,49
39,T40,T40,Peter Malnati,70.09,3785,54
40,T40,T40,Kevin Tway,70.09,4065,58
41,42,42,Hunter Mahan,70.1,2944,42
42,43,43,Kevin Streelman,70.11,3786,54
43,44,44,Zac Blair,70.13,2665,38
44,T45,T45,Jamie Lovemark,70.16,3508,50
45,T45,T45,Pat Perez,70.16,3017,43
46,47,47,Tiger Woods,70.17,2526,36
47,48,48,Abraham Ancer,70.19,4001,57
48,T49,T49,Joel Dahmen,70.2,3791,54
49,T49,T49,Scott Piercy,70.2,3510,50
50,51,51,Hideki Matsuyama,70.21,2738,39
51,52,52,Patrick Reed,70.22,3511,50
52,53,53,Jason Kokrak,70.23,4214,60
53,54,54,Byeong Hun An,70.24,3231,46
54,55,55,Troy Merritt,70.26,3794,54
55,56,56,Sam Ryder,70.27,3654,52
56,57,57,Brett Stegmaier,70.28,2811,40
57,58,58,J.J. Spaun,70.29,3444,49
58,59,59,Keith Mitchell,70.31,4078,58
59,T60,T60,Brandt Snedeker,70.32,3516,50
60,T60,T60,Vaughn Taylor,70.32,3516,50
61,62,62,Alex Cejka,70.34,3095,44
62,T63,T63,Chesson Hadley,70.35,4221,60
63,T63,T63,Steve Wheatcroft,70.35,2814,40
64,T65,T65,Matt Kuchar,70.36,3166,45
65,T65,T65,Sam Saunders,70.36,3518,50
66,67,67,Brice Garnett,70.4,4224,60
67,68,68,Ryan Palmer,70.41,2887,41
68,T69,T69,Austin Cook,70.42,4225,60
69,T69,T69,Ollie Schniederjans,70.42,3662,52
70,T71,T71,Denny McCarthy,70.43,2958,42
71,T71,T71,Chez Reavie,70.43,3803,54
72,73,73,Fabián Gómez,70.44,3804,54
73,74,74,Ben Crane,70.45,2818,40
74,T75,T75,Stewart Cink,70.46,3664,52
75,T75,T75,John Huh,70.46,4016,57
76,T75,T75,Phil Mickelson,70.46,3382,48
77,T75,T75,Nick Watney,70.46,3664,52
78,79,79,Blayne Barber,70.47,3030,43
79,T80,T80,Kevin Kisner,70.48,3383,48
80,T80,T80,David Lingmerth,70.48,3383,48
81,T80,T80,Ben Silverman,70.48,3806,54
82,T80,T80,Aaron Wise,70.48,4088,58
83,84,84,Bronson Burgoon,70.49,3454,49
84,85,85,Tyrone Van Aswegen,70.5,4230,60
85,T86,T86,Bill Haas,70.51,3455,49
86,T86,T86,Russell Henley,70.51,3173,45
87,T88,T88,Brandon Harkins,70.52,4090,58
88,T88,T88,Tom Hoge,70.52,4231,60
89,T90,T90,Louis Oosthuizen,70.53,2116,30
90,T90,T90,Harold Varner III,70.53,3738,53
91,92,92,Martin Laird,70.54,2892,41
92,T93,T93,Aaron Baddeley,70.55,3598,51
93,T93,T93,Gary Woodland,70.55,3598,51
94,95,95,Paul Casey,70.56,2752,39
95,96,96,Russell Knox,70.57,3811,54
96,97,97,Seamus Power,70.58,3741,53
97,98,98,Hudson Swafford,70.59,2894,41
98,T99,T99,Daniel Berger,70.6,2965,42
99,T99,T99,Tyrrell Hatton,70.6,2118,30
100,T101,T101,Charley Hoffman,70.61,3248,46
101,T101,T101,Ian Poulter,70.61,2542,36
102,T103,T103,James Hahn,70.62,3672,52
103,T103,T103,Alex Noren,70.62,2401,34
104,T105,T105,Jim Furyk,70.64,1978,28
105,T105,T105,Lanto Griffin,70.64,3532,50
106,107,107,Francesco Molinari,70.66,2685,38
107,108,108,Adam Hadwin,70.67,3463,49
108,T109,T109,Ricky Barnes,70.68,2898,41
109,T109,T109,Ryan Blaum,70.68,3746,53
110,T109,T109,Brendan Steele,70.68,2898,41
111,T112,T112,Anirban Lahiri,70.69,3393,48
