,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Dustin Johnson,77,34.43,2548,74
1,2,2,Billy Horschel,86,34.46,2826,82
2,3,3,Justin Rose,70,34.47,2275,66
3,4,4,Justin Thomas,91,34.51,2830,82
4,T5,T5,Tommy Fleetwood,73,34.71,2291,66
5,T5,T5,Henrik Stenson,60,34.71,1944,56
6,7,7,Rory McIlroy,64,34.77,2121,61
7,8,8,Tony Finau,105,34.81,3411,98
8,9,9,Zach Johnson,94,34.82,3029,87
9,10,10,Brooks Koepka,64,34.84,2160,62
10,T11,T11,Jon Rahm,71,34.91,2304,66
11,T11,T11,Webb Simpson,95,34.91,3212,92
12,T11,T11,Aaron Wise,90,34.91,3072,88
13,14,14,Paul Casey,74,34.92,2479,71
14,15,15,Louis Oosthuizen,62,34.94,1887,54
15,16,16,Jason Kokrak,99,34.95,3460,99
16,T17,T17,Joel Dahmen,93,34.96,2972,85
17,T17,T17,Chris Kirk,108,34.96,3706,106
18,T19,T19,Francesco Molinari,73,34.97,2448,70
19,T19,T19,Kevin Na,91,34.97,3007,86
20,T19,T19,Kevin Streelman,94,34.97,3217,92
21,T22,T22,Patrick Cantlay,87,34.98,2798,80
22,T22,T22,Brian Gay,103,34.98,3533,101
23,T24,T24,Jason Day,75,34.99,2379,68
24,T24,T24,Bryson DeChambeau,93,34.99,3254,93
25,T24,T24,Rickie Fowler,74,34.99,2589,74
26,27,27,Emiliano Grillo,94,35.0,3220,92
27,T28,T28,Hideki Matsuyama,75,35.04,2523,72
28,T28,T28,J.J. Spaun,85,35.04,2768,79
29,30,30,Luke List,98,35.06,3331,95
30,31,31,Brett Stegmaier,67,35.07,2139,61
31,T32,T32,Byeong Hun An,86,35.08,2947,84
32,T32,T32,Kyle Stanley,93,35.08,3087,88
33,T34,T34,Marc Leishman,93,35.09,3158,90
34,T34,T34,Ryan Moore,78,35.09,2737,78
35,T34,T34,Jordan Spieth,81,35.09,2667,76
36,T37,T37,Keegan Bradley,98,35.1,3264,93
37,T37,T37,Alex Cejka,77,35.1,2422,69
38,39,39,Beau Hossler,104,35.11,3651,104
39,40,40,Daniel Berger,81,35.12,2669,76
40,41,41,Charles Howell III,104,35.13,3513,100
41,T42,T42,Ryan Armour,109,35.14,3760,107
42,T42,T42,Patrick Reed,94,35.14,3022,86
43,T42,T42,Cameron Smith,85,35.14,2741,78
44,T45,T45,Matt Kuchar,88,35.15,2812,80
45,T45,T45,Kevin Tway,110,35.15,3656,104
46,T47,T47,Branden Grace,67,35.16,2250,64
47,T47,T47,Chez Reavie,93,35.16,3024,86
48,T47,T47,Gary Woodland,96,35.16,3200,91
49,50,50,Kevin Kisner,89,35.17,2743,78
50,51,51,Seamus Power,86,35.18,2744,78
51,T52,T52,Sam Ryder,82,35.19,2815,80
52,T52,T52,Johnson Wagner,75,35.19,2428,69
53,54,54,Chesson Hadley,103,35.2,3485,99
54,55,55,William McGirt,84,35.21,2746,78
55,56,56,Nicholas Lindheim,77,35.22,2430,69
56,T57,T57,Bronson Burgoon,69,35.23,2431,69
57,T57,T57,John Huh,94,35.23,3171,90
58,T57,T57,Alex Noren,67,35.23,2114,60
59,T57,T57,C.T. Pan,104,35.23,3453,98
60,T57,T57,Pat Perez,82,35.23,2642,75
61,T57,T57,Ian Poulter,73,35.23,2255,64
62,T63,T63,Austin Cook,107,35.24,3771,107
63,T63,T63,Matt Jones,70,35.24,2185,62
64,T63,T63,Tiger Woods,68,35.24,2396,68
65,66,66,Rory Sabbatini,91,35.27,3139,89
66,T67,T67,J.T. Poston,73,35.28,2505,71
67,T67,T67,Andrew Putnam,97,35.28,3140,89
68,T69,T69,Russell Knox,94,35.29,3176,90
69,T69,T69,Phil Mickelson,90,35.29,3070,87
70,T69,T69,Vaughn Taylor,83,35.29,2788,79
71,T72,T72,Rafa Cabrera Bello,75,35.3,2471,70
72,T72,T72,Keith Mitchell,99,35.3,3424,97
73,T72,T72,Ryan Palmer,69,35.3,2224,63
74,T75,T75,Zac Blair,64,35.31,2048,58
75,T75,T75,Fabián Gómez,88,35.31,2966,84
76,T77,T77,Ben Crane,65,35.32,2084,59
77,T77,T77,Tyler Duncan,97,35.32,3285,93
78,T77,T77,Tom Hoge,101,35.32,3285,93
79,T77,T77,Brandt Snedeker,84,35.32,2896,82
80,T77,T77,Shawn Stefani,76,35.32,2614,74
81,T77,T77,Bubba Watson,90,35.32,2790,79
82,T83,T83,Jim Furyk,50,35.33,1696,48
83,T83,T83,Brice Garnett,99,35.33,3356,95
84,T83,T83,Charley Hoffman,87,35.33,2826,80
85,T83,T83,Xander Schauffele,96,35.33,3286,93
86,87,87,Scott Stallings,96,35.34,3181,90
87,T88,T88,Tom Lovelady,87,35.35,2863,81
88,T88,T88,Richy Werenski,98,35.35,3252,92
89,90,90,Stewart Cink,87,35.36,3076,87
90,91,91,Martin Laird,73,35.37,2299,65
91,T92,T92,Aaron Baddeley,84,35.38,2760,78
92,T92,T92,Denny McCarthy,71,35.38,2229,63
93,T94,T94,Jonathan Byrd,70,35.39,2194,62
94,T94,T94,Troy Merritt,89,35.39,3008,85
95,T94,T94,"Ted Potter, Jr.",87,35.39,3079,87
96,T94,T94,Brian Stuard,103,35.39,3433,97
97,T98,T98,Scott Brown,102,35.4,3469,98
98,T98,T98,J.B. Holmes,77,35.4,2655,75
99,100,100,Corey Conners,97,35.41,3293,93
100,101,101,Nick Watney,94,35.42,3188,90
101,T102,T102,Robert Garrigus,80,35.43,2693,76
102,T102,T102,Tyrrell Hatton,58,35.43,1913,54
103,T102,T102,Peter Malnati,87,35.43,2941,83
104,T105,T105,Adam Hadwin,92,35.44,3154,89
105,T105,T105,Patrick Rodgers,97,35.44,3296,93
106,107,107,David Lingmerth,82,35.45,2765,78
107,T108,T108,Bill Haas,76,35.46,2624,74
108,T108,T108,Russell Henley,77,35.46,2624,74
109,T108,T108,Anirban Lahiri,82,35.46,2908,82
110,T111,T111,David Hearn,66,35.47,2128,60
111,T111,T111,Stephan Jaeger,81,35.47,2660,75
112,T111,T111,Ben Martin,64,35.47,2270,64
113,T114,T114,Abraham Ancer,98,35.48,3406,96
114,T114,T114,Jamie Lovemark,92,35.48,3122,88
115,T114,T114,Scott Piercy,84,35.48,2838,80
116,T114,T114,Ollie Schniederjans,91,35.48,3087,87
117,T114,T114,Tyrone Van Aswegen,101,35.48,3300,93
118,T119,T119,Blayne Barber,69,35.49,2378,67
119,T119,T119,Patton Kizzire,92,35.49,3159,89
120,T119,T119,Nate Lashley,51,35.49,1668,47
121,T119,T119,Hunter Mahan,67,35.49,2236,63
122,T119,T119,Trey Mullinax,75,35.49,2449,69
123,T124,T124,Brandon Harkins,101,35.51,3373,95
124,T124,T124,Mackenzie Hughes,80,35.51,2699,76
125,T124,T124,Graeme McDowell,67,35.51,2095,59
126,127,127,Whee Kim,93,35.53,3162,89
127,T128,T128,Kevin Chappell,77,35.54,2630,74
128,T128,T128,Harris English,84,35.54,2772,78
129,T128,T128,Cameron Percy,56,35.54,1777,50
130,T128,T128,Adam Scott,78,35.54,2772,78
131,132,132,Conrad Shindler,60,35.55,1991,56
132,T133,T133,James Hahn,85,35.57,2917,82
133,T133,T133,Danny Lee,88,35.57,3059,86
134,T135,T135,Talor Gooch,78,35.58,2562,72
135,T135,T135,Brendan Steele,74,35.58,2384,67
136,T135,T135,Hudson Swafford,73,35.58,2384,67
137,T138,T138,Rob Oppenheim,74,35.59,2420,68
138,T138,T138,Adam Schenk,86,35.59,2847,80
139,140,140,Kiradech Aphibarnrat,51,35.61,1638,46
140,141,141,Sam Saunders,80,35.62,2636,74
141,T142,T142,Dominic Bozzelli,65,35.63,2316,65
142,T142,T142,Si Woo Kim,108,35.63,3706,104
143,T142,T142,Shane Lowry,64,35.63,1995,56
144,T145,T145,Brian Harman,94,35.64,3208,90
145,T145,T145,Andrew Landry,82,35.64,2851,80
146,T145,T145,Michael Thompson,62,35.64,2067,58
147,148,148,Jimmy Walker,81,35.65,2745,77
148,T149,T149,Lanto Griffin,80,35.66,2639,74
149,T149,T149,Steve Wheatcroft,60,35.66,2068,58
150,T151,T151,Harold Varner III,91,35.67,3175,89
151,T151,T151,Jhonattan Vegas,92,35.67,3175,89
152,153,153,Chris Stroud,81,35.68,2605,73
153,T154,T154,Peter Uihlein,83,35.69,2784,78
154,T154,T154,Xinjun Zhang,81,35.69,2677,75
155,156,156,Nick Taylor,94,35.7,3213,90
156,157,157,Ryan Blaum,81,35.72,2786,78
157,T158,T158,Lucas Glover,65,35.74,2180,61
158,T158,T158,Ben Silverman,90,35.74,3002,84
159,160,160,Ethan Tracy,72,35.75,2431,68
160,161,161,Martin Flores,92,35.76,3075,86
161,162,162,Sean O'Hair,67,35.78,2254,63
162,T163,T163,Matt Atkins,56,35.79,1861,52
163,T163,T163,Kelly Kraft,94,35.79,3293,92
164,T163,T163,Charl Schwartzel,65,35.79,2076,58
165,166,166,Chad Campbell,87,35.8,2828,79
166,T167,T167,J.J. Henry,81,35.81,2686,75
167,T167,T167,Grayson Murray,72,35.81,2578,72
168,T169,T169,Ricky Barnes,65,35.83,2114,59
169,T169,T169,Bud Cauley,55,35.83,1899,53
170,171,171,Jason Dufner,71,35.86,2295,64
171,T172,T172,Wesley Bryan,69,35.88,2404,67
172,T172,T172,Billy Hurley III,70,35.88,2296,64
173,174,174,Michael Kim,74,35.89,2512,70
174,T175,T175,Roberto Díaz,72,35.9,2441,68
175,T175,T175,Martin Piller,79,35.9,2764,77
176,T177,T177,Matt Every,79,35.92,2694,75
177,T177,T177,Robert Streb,78,35.92,2658,74
178,179,179,Retief Goosen,60,35.96,1870,52
179,180,180,Sung Kang,89,35.99,3059,85
180,181,181,Jonas Blixt,67,36.05,2199,61
181,T182,T182,Derek Fathauer,84,36.08,2886,80
182,T182,T182,Satoshi Kodaira,51,36.08,1732,48
183,184,184,Jonathan Randolph,71,36.14,2349,65
184,185,185,Cody Gribble,71,36.15,2350,65
185,186,186,Kyle Thompson,50,36.24,1667,46
186,187,187,Cameron Tringale,67,36.29,2286,63
187,188,188,Greg Chalmers,56,36.31,1888,52
188,189,189,Rod Pampling,62,36.34,2108,58
189,190,190,Zecheng Dou,53,36.45,1786,49
190,191,191,Andrew Yun,51,36.47,1641,45
191,192,192,Daniel Summerhays,51,36.53,1644,45
192,193,193,D.A. Points,63,36.69,2238,61
