,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Dustin Johnson,77,4.7,348,74
1,2,2,Justin Rose,70,4.53,299,66
2,3,3,Jon Rahm,71,4.44,293,66
3,4,4,Justin Thomas,91,4.34,356,82
4,5,5,Tommy Fleetwood,73,4.32,285,66
5,6,6,Phil Mickelson,90,4.31,375,87
6,7,7,Bryson DeChambeau,93,4.2,391,93
7,8,8,Brooks Koepka,64,4.19,260,62
8,9,9,Jason Day,75,4.18,284,68
9,10,10,Jordan Spieth,81,4.16,316,76
10,11,11,Tony Finau,105,4.13,405,98
11,12,12,Aaron Wise,90,4.11,362,88
12,13,13,Keith Mitchell,99,4.09,397,97
13,14,14,Ricky Barnes,65,4.07,240,59
14,15,15,Tiger Woods,68,4.03,274,68
15,16,16,Sam Saunders,80,4.01,297,74
16,T17,T17,Rickie Fowler,74,4.0,296,74
17,T17,T17,Rory McIlroy,64,4.0,244,61
18,T19,T19,Marc Leishman,93,3.96,356,90
19,T19,T19,Grayson Murray,72,3.96,285,72
20,T21,T21,Chesson Hadley,103,3.94,390,99
21,T21,T21,Brandon Harkins,101,3.94,374,95
22,T21,T21,Hideki Matsuyama,75,3.94,284,72
23,T21,T21,Ryan Palmer,69,3.94,248,63
24,T25,T25,Austin Cook,107,3.92,419,107
25,T25,T25,Ollie Schniederjans,91,3.92,341,87
26,T27,T27,Billy Horschel,86,3.91,321,82
27,T27,T27,Tom Lovelady,87,3.91,317,81
28,T27,T27,Kevin Na,91,3.91,336,86
29,T27,T27,J.J. Spaun,85,3.91,309,79
30,T27,T27,Vaughn Taylor,83,3.91,309,79
31,T32,T32,Emiliano Grillo,94,3.89,358,92
32,T32,T32,Martin Laird,73,3.89,253,65
33,34,34,Jason Kokrak,99,3.88,384,99
34,T35,T35,Zach Johnson,94,3.86,336,87
35,T35,T35,Luke List,98,3.86,367,95
36,37,37,Pat Perez,82,3.85,289,75
37,38,38,Sam Ryder,82,3.84,307,80
38,T39,T39,Patrick Cantlay,87,3.83,306,80
39,T39,T39,Danny Lee,88,3.83,329,86
40,T39,T39,Hunter Mahan,67,3.83,241,63
41,T39,T39,Trey Mullinax,75,3.83,264,69
42,T43,T43,Brian Gay,103,3.82,386,101
43,T43,T43,Kyle Stanley,93,3.82,336,88
44,T45,T45,Bronson Burgoon,69,3.81,263,69
45,T45,T45,Tom Hoge,101,3.81,354,93
46,T45,T45,Xander Schauffele,96,3.81,354,93
47,48,48,Gary Woodland,96,3.8,346,91
48,T49,T49,Blayne Barber,69,3.79,254,67
49,T49,T49,Beau Hossler,104,3.79,394,104
50,T49,T49,David Lingmerth,82,3.79,296,78
51,T49,T49,C.T. Pan,104,3.79,371,98
52,T49,T49,J.T. Poston,73,3.79,269,71
53,T49,T49,Brett Stegmaier,67,3.79,231,61
54,T55,T55,Ryan Blaum,81,3.78,295,78
55,T55,T55,Kevin Chappell,77,3.78,280,74
56,T55,T55,Patton Kizzire,92,3.78,336,89
57,T58,T58,Rafa Cabrera Bello,75,3.77,264,70
58,T58,T58,Paul Casey,74,3.77,268,71
59,T58,T58,Lanto Griffin,80,3.77,279,74
60,T58,T58,Chris Kirk,108,3.77,400,106
61,T58,T58,Francesco Molinari,73,3.77,264,70
62,T63,T63,Robert Garrigus,80,3.76,286,76
63,T63,T63,Jamie Lovemark,92,3.76,331,88
64,T63,T63,Cameron Percy,56,3.76,188,50
65,T63,T63,Patrick Reed,94,3.76,323,86
66,T63,T63,Adam Scott,78,3.76,293,78
67,T63,T63,Kevin Tway,110,3.76,391,104
68,T69,T69,Joel Dahmen,93,3.75,319,85
69,T69,T69,Ian Poulter,73,3.75,240,64
70,T69,T69,Bubba Watson,90,3.75,296,79
71,T72,T72,Brian Harman,94,3.73,336,90
72,T72,T72,Peter Malnati,87,3.73,310,83
73,T72,T72,Rory Sabbatini,91,3.73,332,89
74,75,75,Michael Thompson,62,3.72,216,58
75,T76,T76,Corey Conners,97,3.71,345,93
76,T76,T76,Troy Merritt,89,3.71,315,85
77,T76,T76,Chez Reavie,93,3.71,319,86
78,T79,T79,John Huh,94,3.7,333,90
79,T79,T79,Ben Silverman,90,3.7,311,84
80,T81,T81,Branden Grace,67,3.69,236,64
81,T81,T81,Russell Henley,77,3.69,273,74
82,T81,T81,Patrick Rodgers,97,3.69,343,93
83,T81,T81,Cameron Smith,85,3.69,288,78
84,85,85,Nicholas Lindheim,77,3.68,254,69
85,86,86,Nick Watney,94,3.67,330,90
86,T87,T87,Ryan Armour,109,3.66,392,107
87,T87,T87,Bud Cauley,55,3.66,194,53
88,T87,T87,Mackenzie Hughes,80,3.66,278,76
89,T87,T87,Scott Piercy,84,3.66,293,80
90,T91,T91,Byeong Hun An,86,3.65,307,84
91,T91,T91,Keegan Bradley,98,3.65,339,93
92,T91,T91,Peter Uihlein,83,3.65,285,78
93,T91,T91,Johnson Wagner,75,3.65,252,69
94,T95,T95,Abraham Ancer,98,3.64,349,96
95,T95,T95,Seamus Power,86,3.64,284,78
96,T95,T95,Shawn Stefani,76,3.64,269,74
97,T95,T95,Henrik Stenson,60,3.64,204,56
98,T95,T95,Hudson Swafford,73,3.64,244,67
99,T100,T100,David Hearn,66,3.63,218,60
100,T100,T100,Matt Jones,70,3.63,225,62
101,T100,T100,Andrew Putnam,97,3.63,323,89
102,T103,T103,Stewart Cink,87,3.62,315,87
103,T103,T103,Martin Flores,92,3.62,311,86
104,T103,T103,Whee Kim,93,3.62,322,89
105,T103,T103,Brandt Snedeker,84,3.62,297,82
106,T103,T103,Jimmy Walker,81,3.62,279,77
107,T108,T108,Scott Brown,102,3.6,353,98
108,T108,T108,Harris English,84,3.6,281,78
109,T108,T108,Adam Hadwin,92,3.6,320,89
110,T111,T111,Zac Blair,64,3.59,208,58
111,T111,T111,J.B. Holmes,77,3.59,269,75
112,T111,T111,Si Woo Kim,108,3.59,373,104
113,T111,T111,Ben Martin,64,3.59,230,64
114,T111,T111,Webb Simpson,95,3.59,330,92
115,116,116,Matt Kuchar,88,3.58,286,80
116,T117,T117,Dominic Bozzelli,65,3.57,232,65
117,T117,T117,Anirban Lahiri,82,3.57,293,82
118,T117,T117,"Ted Potter, Jr.",87,3.57,311,87
119,T117,T117,Kevin Streelman,94,3.57,328,92
120,T121,T121,James Hahn,85,3.56,292,82
121,T121,T121,Charley Hoffman,87,3.56,285,80
122,T123,T123,Cody Gribble,71,3.55,231,65
123,T123,T123,Charles Howell III,104,3.55,355,100
124,T123,T123,Xinjun Zhang,81,3.55,266,75
125,126,126,Daniel Berger,81,3.53,268,76
126,127,127,Chris Stroud,81,3.51,256,73
127,T128,T128,Matt Atkins,56,3.5,182,52
128,T128,T128,Andrew Landry,82,3.5,280,80
129,T128,T128,Ryan Moore,78,3.5,273,78
130,T128,T128,Scott Stallings,96,3.5,315,90
131,T132,T132,Tyler Duncan,97,3.49,325,93
132,T132,T132,Russell Knox,94,3.49,314,90
133,T132,T132,Denny McCarthy,71,3.49,220,63
134,T132,T132,Martin Piller,79,3.49,269,77
