,Tenth_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_1_Scoring_Average_AVG,Tenth_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,D.A. Points,66.5,133,2
1,2,2,Brooks Koepka,66.8,334,5
2,3,3,Shane Lowry,67.0,67,1
3,4,4,Billy Horschel,67.13,537,8
4,5,5,Jon Rahm,67.25,269,4
5,6,6,Andrew Landry,67.33,404,6
6,7,7,Rafa Cabrera Bello,67.67,203,3
7,8,8,Kyle Stanley,67.75,271,4
8,9,9,Dominic Bozzelli,67.8,339,5
9,T10,T10,Rickie Fowler,67.89,611,9
10,T10,T10,Webb Simpson,67.89,611,9
11,T12,T12,Keegan Bradley,68.0,272,4
12,T12,T12,Zecheng Dou,68.0,204,3
13,T12,T12,Nicholas Lindheim,68.0,204,3
14,T12,T12,Cameron Percy,68.0,136,2
15,16,16,Daniel Berger,68.2,341,5
16,T17,T17,Lucas Glover,68.25,273,4
17,T17,T17,Rory Sabbatini,68.25,546,8
18,T19,T19,Dustin Johnson,68.33,410,6
19,T19,T19,Chris Kirk,68.33,205,3
20,21,21,Johnson Wagner,68.4,342,5
21,22,22,Bryson DeChambeau,68.44,616,9
22,T23,T23,Kelly Kraft,68.5,685,10
23,T23,T23,Brendan Steele,68.5,274,4
24,T25,T25,Zac Blair,68.6,343,5
25,T25,T25,Keith Mitchell,68.6,686,10
26,T25,T25,Henrik Stenson,68.6,343,5
27,T28,T28,Xander Schauffele,68.63,549,8
28,T28,T28,Nick Taylor,68.63,549,8
29,T30,T30,Kiradech Aphibarnrat,68.67,206,3
30,T30,T30,Matt Jones,68.67,412,6
31,T30,T30,Vaughn Taylor,68.67,206,3
32,33,33,Ryan Blaum,68.75,275,4
33,34,34,Justin Rose,68.83,413,6
34,T35,T35,Jamie Lovemark,69.0,207,3
35,T35,T35,Tiger Woods,69.0,552,8
36,37,37,Jason Day,69.11,622,9
37,38,38,Adam Schenk,69.13,553,8
38,T39,T39,Alex Noren,69.14,484,7
39,T39,T39,Seamus Power,69.14,484,7
40,41,41,Brice Garnett,69.17,415,6
41,42,42,Brandon Harkins,69.22,623,9
42,T43,T43,Beau Hossler,69.29,485,7
43,T43,T43,Michael Kim,69.29,485,7
44,45,45,C.T. Pan,69.3,693,10
45,46,46,J.J. Henry,69.33,208,3
46,T47,T47,Patrick Cantlay,69.5,278,4
47,T47,T47,Austin Cook,69.5,139,2
48,T47,T47,Emiliano Grillo,69.5,278,4
49,T47,T47,Troy Merritt,69.5,139,2
50,T47,T47,Francesco Molinari,69.5,278,4
51,T47,T47,Pat Perez,69.5,417,6
52,T47,T47,Ollie Schniederjans,69.5,417,6
53,T54,T54,Charles Howell III,69.6,348,5
54,T54,T54,Conrad Shindler,69.6,348,5
55,T56,T56,Paul Casey,69.67,209,3
56,T56,T56,Roberto Díaz,69.67,209,3
57,T56,T56,Harris English,69.67,418,6
58,T56,T56,David Lingmerth,69.67,418,6
59,T56,T56,Ryan Palmer,69.67,418,6
60,T56,T56,Chez Reavie,69.67,418,6
61,T56,T56,Bubba Watson,69.67,627,9
62,T63,T63,Russell Henley,69.75,279,4
63,T63,T63,Martin Laird,69.75,279,4
64,T63,T63,Ryan Moore,69.75,279,4
65,66,66,Justin Thomas,69.78,628,9
66,T67,T67,Jim Furyk,69.8,349,5
67,T67,T67,Hunter Mahan,69.8,349,5
68,69,69,Harold Varner III,69.82,768,11
69,70,70,Steve Wheatcroft,69.83,419,6
70,71,71,Byeong Hun An,69.86,489,7
71,72,72,Peter Uihlein,69.88,559,8
72,T73,T73,Wesley Bryan,70.0,280,4
