,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Dustin Johnson,77,67.48,1687,25
1,2,2,Justin Thomas,91,68.82,2271,33
2,3,3,Jon Rahm,71,68.89,1860,27
3,4,4,Rickie Fowler,74,68.96,1793,26
4,5,5,Tommy Fleetwood,73,68.97,2000,29
5,6,6,Brooks Koepka,64,69.14,2005,29
6,7,7,Zach Johnson,94,69.19,2906,42
7,8,8,Justin Rose,70,69.22,1592,23
8,9,9,Webb Simpson,95,69.23,2700,39
9,10,10,Tony Finau,105,69.27,2840,41
10,11,11,Henrik Stenson,60,69.29,1663,24
11,12,12,Tiger Woods,68,69.31,1802,26
12,13,13,Jason Day,75,69.32,1941,28
13,14,14,Denny McCarthy,71,69.36,1942,28
14,15,15,Hideki Matsuyama,75,69.39,2498,36
15,16,16,Jordan Spieth,81,69.42,2638,38
16,17,17,Bryson DeChambeau,93,69.47,3265,47
17,18,18,Seamus Power,86,69.48,2918,42
18,19,19,Paul Casey,74,69.5,2641,38
19,20,20,Billy Horschel,86,69.53,2503,36
20,21,21,Patrick Cantlay,87,69.54,2434,35
21,22,22,C.T. Pan,104,69.55,3408,49
22,23,23,Luke List,98,69.6,2923,42
23,24,24,Gary Woodland,96,69.71,2858,41
24,T25,T25,Alex Cejka,77,69.76,2930,42
25,T25,T25,John Huh,94,69.76,3418,49
26,T25,T25,Michael Thompson,62,69.76,2023,29
27,28,28,Kevin Na,91,69.77,3070,44
28,T29,T29,Bronson Burgoon,69,69.84,2584,37
29,T29,T29,Jason Kokrak,99,69.84,3841,55
30,T29,T29,Hunter Mahan,67,69.84,2235,32
31,32,32,Brandt Snedeker,84,69.85,2794,40
32,T33,T33,Alex Noren,67,69.87,2096,30
33,T33,T33,Rory Sabbatini,91,69.87,3214,46
34,35,35,Scott Piercy,84,69.88,2865,41
35,36,36,Johnson Wagner,75,69.89,2656,38
36,37,37,Charles Howell III,104,69.94,3497,50
37,T38,T38,Rafa Cabrera Bello,75,69.97,2239,32
38,T38,T38,Matt Kuchar,88,69.97,2449,35
39,T40,T40,Brandon Harkins,101,69.98,3709,53
40,T40,T40,Beau Hossler,104,69.98,3079,44
41,T40,T40,Peter Malnati,87,69.98,3289,47
42,T43,T43,Brian Gay,103,70.0,3430,49
43,T43,T43,Ryan Palmer,69,70.0,1960,28
44,T43,T43,Sam Saunders,80,70.0,2660,38
45,46,46,Peter Uihlein,83,70.02,2941,42
46,47,47,Tyrrell Hatton,58,70.04,1891,27
47,T48,T48,Tom Hoge,101,70.06,3433,49
48,T48,T48,Nick Taylor,94,70.06,3293,47
49,T50,T50,Daniel Berger,81,70.07,3013,43
50,T50,T50,James Hahn,85,70.07,3153,45
51,T50,T50,Chez Reavie,93,70.07,3153,45
52,T53,T53,Corey Conners,97,70.08,3644,52
53,T53,T53,Vaughn Taylor,83,70.08,2803,40
54,55,55,Austin Cook,107,70.09,4556,65
55,56,56,Kevin Kisner,89,70.14,2525,36
56,57,57,Francesco Molinari,73,70.15,2385,34
57,58,58,Nick Watney,94,70.16,3859,55
58,T59,T59,Blayne Barber,69,70.17,2526,36
59,T59,T59,Nate Lashley,51,70.17,1614,23
60,61,61,Zac Blair,64,70.19,2176,31
61,62,62,Stewart Cink,87,70.21,3019,43
62,63,63,Cameron Percy,56,70.22,1896,27
63,T64,T64,Marc Leishman,93,70.23,3020,43
64,T64,T64,Rory McIlroy,64,70.23,1826,26
65,T64,T64,Phil Mickelson,90,70.23,3090,44
66,67,67,Patton Kizzire,92,70.25,3653,52
67,T68,T68,Matt Jones,70,70.26,2178,31
68,T68,T68,Kevin Tway,110,70.26,3794,54
69,70,70,Bubba Watson,90,70.27,2600,37
70,71,71,Brian Stuard,103,70.28,3303,47
71,T72,T72,Martin Laird,73,70.29,2179,31
72,T72,T72,Ollie Schniederjans,91,70.29,3374,48
73,74,74,Andrew Putnam,97,70.3,3093,44
74,T75,T75,Keith Mitchell,99,70.31,3656,52
75,T75,T75,Scott Stallings,96,70.31,2953,42
76,T75,T75,Kyle Stanley,93,70.31,2531,36
77,78,78,J.T. Poston,73,70.32,2391,34
78,T79,T79,Ryan Armour,109,70.33,4079,58
79,T79,T79,Ricky Barnes,65,70.33,2110,30
80,T79,T79,Branden Grace,67,70.33,2532,36
81,T82,T82,Charley Hoffman,87,70.34,2673,38
82,T82,T82,David Lingmerth,82,70.34,3095,44
83,T82,T82,J.J. Spaun,85,70.34,3095,44
84,T85,T85,Aaron Baddeley,84,70.36,2955,42
85,T85,T85,Robert Garrigus,80,70.36,2744,39
86,T85,T85,Emiliano Grillo,94,70.36,3166,45
87,T85,T85,Aaron Wise,90,70.36,3096,44
88,T89,T89,Byeong Hun An,86,70.37,3237,46
89,T89,T89,Joel Dahmen,93,70.37,2674,38
90,T89,T89,David Hearn,66,70.37,2111,30
91,T89,T89,Nicholas Lindheim,77,70.37,2674,38
92,T89,T89,Jamie Lovemark,92,70.37,3237,46
93,94,94,Louis Oosthuizen,62,70.38,1478,21
94,95,95,Troy Merritt,89,70.39,3238,46
95,96,96,Sam Ryder,82,70.41,2887,41
96,T97,T97,Chris Kirk,108,70.42,4014,57
97,T97,T97,Pat Perez,82,70.42,2535,36
98,T97,T97,Cameron Smith,85,70.42,2676,38
99,T97,T97,Kevin Streelman,94,70.42,3521,50
100,T101,T101,Dominic Bozzelli,65,70.43,2465,35
101,T101,T101,Andrew Landry,82,70.43,2958,42
102,T103,T103,Lanto Griffin,80,70.44,2747,39
103,T103,T103,Ian Poulter,73,70.44,2254,32
104,T105,T105,Jim Furyk,50,70.46,1691,24
105,T105,T105,Adam Hadwin,92,70.46,3664,52
106,T105,T105,William McGirt,84,70.46,2607,37
107,T108,T108,Keegan Bradley,98,70.48,3242,46
108,T108,T108,Danny Lee,88,70.48,3242,46
109,T110,T110,Chesson Hadley,103,70.5,3243,46
110,T110,T110,Trey Mullinax,75,70.5,2679,38
111,112,112,Ryan Moore,78,70.51,2468,35
112,T113,T113,J.B. Holmes,77,70.53,2398,34
113,T113,T113,Russell Knox,94,70.53,3315,47
114,115,115,Fabián Gómez,88,70.54,3245,46
115,T116,T116,Mackenzie Hughes,80,70.55,2963,42
116,T116,T116,Patrick Reed,94,70.55,2822,40
117,118,118,Talor Gooch,78,70.56,2540,36
118,T119,T119,Russell Henley,77,70.57,2964,42
119,T119,T119,Brett Stegmaier,67,70.57,2611,37
120,T121,T121,Patrick Rodgers,97,70.61,3813,54
121,T121,T121,Steve Wheatcroft,60,70.61,1977,28
122,123,123,Adam Scott,78,70.63,2825,40
123,124,124,Brice Garnett,99,70.64,3532,50
124,T125,T125,Kevin Chappell,77,70.66,3109,44
125,T125,T125,Richy Werenski,98,70.66,3533,50
126,127,127,Ryan Blaum,81,70.67,2968,42
127,128,128,Jason Dufner,71,70.69,2262,32
128,129,129,Lucas Glover,65,70.7,2333,33
129,130,130,Bud Cauley,55,70.71,1980,28
130,T131,T131,Scott Brown,102,70.72,3536,50
131,T131,T131,Shawn Stefani,76,70.72,2758,39
