,First_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_2_Scoring_Average_AVG,First_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Brian Gay,66.33,199,3
1,2,2,Ollie Schniederjans,67.4,337,5
2,T3,T3,Chris Kirk,67.5,270,4
3,T3,T3,Cameron Percy,67.5,135,2
4,T3,T3,D.A. Points,67.5,135,2
5,T6,T6,Lanto Griffin,68.0,408,6
6,T6,T6,Dustin Johnson,68.0,544,8
7,T6,T6,Brett Stegmaier,68.0,272,4
8,T6,T6,Johnson Wagner,68.0,340,5
9,T6,T6,Jimmy Walker,68.0,136,2
10,11,11,Marc Leishman,68.29,478,7
11,T12,T12,Austin Cook,68.33,205,3
12,T12,T12,J.J. Henry,68.33,205,3
13,T12,T12,Webb Simpson,68.33,820,12
14,T12,T12,Steve Wheatcroft,68.33,410,6
15,16,16,Bryson DeChambeau,68.36,752,11
16,T17,T17,Xander Schauffele,68.4,684,10
17,T17,T17,Bubba Watson,68.4,684,10
18,19,19,Beau Hossler,68.43,479,7
19,T20,T20,Abraham Ancer,68.5,274,4
20,T20,T20,Brooks Koepka,68.5,411,6
21,22,22,Jordan Spieth,68.57,480,7
22,23,23,Emiliano Grillo,68.6,343,5
23,T24,T24,Rafa Cabrera Bello,68.67,206,3
24,T24,T24,Rickie Fowler,68.67,824,12
25,26,26,Grayson Murray,68.75,275,4
26,27,27,Justin Rose,68.88,551,8
27,T28,T28,Keegan Bradley,69.0,276,4
28,T28,T28,Russell Henley,69.0,276,4
29,T28,T28,Charles Howell III,69.0,345,5
30,T28,T28,Martin Laird,69.0,276,4
31,T28,T28,Kevin Streelman,69.0,345,5
32,T28,T28,Aaron Wise,69.0,345,5
33,34,34,Russell Knox,69.13,553,8
34,35,35,Louis Oosthuizen,69.2,346,5
35,36,36,Patrick Rodgers,69.25,277,4
36,37,37,Brice Garnett,69.29,485,7
37,T38,T38,Kevin Kisner,69.33,416,6
38,T38,T38,David Lingmerth,69.33,416,6
39,T38,T38,Henrik Stenson,69.33,416,6
40,T38,T38,Brian Stuard,69.33,416,6
41,42,42,Patrick Reed,69.36,763,11
42,T43,T43,Jim Furyk,69.4,347,5
43,T43,T43,Luke List,69.4,347,5
44,T45,T45,Blayne Barber,69.5,417,6
45,T45,T45,Roberto Díaz,69.5,278,4
46,T45,T45,Charley Hoffman,69.5,556,8
47,T45,T45,Denny McCarthy,69.5,139,2
48,49,49,Scott Piercy,69.57,487,7
49,T50,T50,Corey Conners,69.67,418,6
50,T50,T50,Fabián Gómez,69.67,209,3
51,T50,T50,"Ted Potter, Jr.",69.67,418,6
52,53,53,Hideki Matsuyama,69.7,697,10
53,54,54,Phil Mickelson,69.73,767,11
54,55,55,Nicholas Lindheim,69.75,279,4
55,56,56,Tyler Duncan,69.83,419,6
56,57,57,Harold Varner III,69.89,629,9
57,58,58,Justin Thomas,69.92,909,13
58,T59,T59,Jason Day,70.0,770,11
59,T59,T59,Tommy Fleetwood,70.0,560,8
60,T59,T59,Billy Horschel,70.0,560,8
61,T59,T59,Trey Mullinax,70.0,140,2
62,T59,T59,Kyle Stanley,70.0,490,7
63,T59,T59,Tiger Woods,70.0,770,11
64,65,65,Keith Mitchell,70.1,701,10
65,66,66,Matt Atkins,70.13,561,8
66,T67,T67,Adam Hadwin,70.14,491,7
67,T67,T67,Danny Lee,70.14,491,7
68,T69,T69,Chesson Hadley,70.17,421,6
69,T69,T69,Michael Kim,70.17,421,6
70,T69,T69,Rob Oppenheim,70.17,421,6
71,T72,T72,Kiradech Aphibarnrat,70.2,351,5
72,T72,T72,Zac Blair,70.2,351,5
73,T72,T72,Ian Poulter,70.2,351,5
74,T75,T75,Brandon Harkins,70.25,562,8
75,T75,T75,Daniel Summerhays,70.25,281,4
76,77,77,Kevin Tway,70.31,914,13
77,T78,T78,Matt Kuchar,70.33,633,9
78,T78,T78,C.T. Pan,70.33,633,9
79,80,80,Joel Dahmen,70.38,563,8
