,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Rickie Fowler,74,9.76,28,287
1,2,2,Webb Simpson,95,9.88,33,334
2,3,3,Jason Day,75,10.43,29,278
3,4,4,Dustin Johnson,77,11.18,38,340
4,5,5,Nick Taylor,94,11.3,34,301
5,6,6,Sam Ryder,82,11.49,34,296
6,7,7,Johnson Wagner,75,11.69,29,248
7,8,8,Emiliano Grillo,94,11.8,40,339
8,9,9,Zac Blair,64,11.88,24,202
9,10,10,Shane Lowry,64,11.89,22,185
10,T11,T11,Russell Henley,77,11.92,31,260
11,T11,T11,Steve Wheatcroft,60,11.92,23,193
12,13,13,Brian Gay,103,11.96,44,368
13,14,14,Abraham Ancer,98,12.05,40,332
14,15,15,Bronson Burgoon,69,12.11,31,256
15,16,16,Hideki Matsuyama,75,12.14,34,280
16,17,17,Zach Johnson,94,12.15,39,321
17,18,18,Henrik Stenson,60,12.18,24,197
18,19,19,William McGirt,84,12.24,30,245
19,20,20,J.J. Spaun,85,12.29,36,293
20,21,21,Chris Kirk,108,12.31,48,390
21,22,22,Matt Jones,70,12.39,27,218
22,23,23,Ben Crane,65,12.5,25,200
23,24,24,Andrew Putnam,97,12.66,39,308
24,T25,T25,Justin Rose,70,12.72,36,283
25,T25,T25,Xander Schauffele,96,12.72,43,338
26,27,27,Talor Gooch,78,12.76,31,243
27,28,28,Beau Hossler,104,12.93,49,379
28,29,29,Francesco Molinari,73,12.94,33,255
29,T30,T30,Billy Horschel,86,13.02,41,315
30,T30,T30,Conrad Shindler,60,13.02,25,192
31,32,32,Tiger Woods,68,13.06,35,268
32,33,33,Jordan Spieth,81,13.11,40,305
33,T34,T34,Andrew Landry,82,13.38,36,269
34,T34,T34,Nate Lashley,51,13.38,21,157
35,36,36,Patrick Cantlay,87,13.4,39,291
36,37,37,Richy Werenski,98,13.46,42,312
37,38,38,Gary Woodland,96,13.73,46,335
38,39,39,Kevin Streelman,94,13.74,43,313
39,40,40,Cameron Percy,56,13.76,26,189
40,T41,T41,Ryan Armour,109,13.83,52,376
41,T41,T41,Chez Reavie,93,13.83,43,311
42,43,43,Retief Goosen,60,13.94,23,165
43,44,44,Tony Finau,105,13.99,55,393
44,45,45,Michael Thompson,62,14.01,29,207
45,46,46,Cameron Smith,85,14.03,39,278
46,47,47,Byeong Hun An,86,14.05,42,299
47,T48,T48,Fabián Gómez,88,14.08,39,277
48,T48,T48,Justin Thomas,91,14.08,49,348
49,50,50,Russell Knox,94,14.1,43,305
50,51,51,Austin Cook,107,14.11,56,397
51,T52,T52,Kevin Kisner,89,14.12,37,262
52,T52,T52,Brooks Koepka,64,14.12,36,255
53,54,54,Tyler Duncan,97,14.38,46,320
54,55,55,Charles Howell III,104,14.45,50,346
55,56,56,Patrick Rodgers,97,14.46,48,332
56,57,57,Matt Kuchar,88,14.49,40,276
57,58,58,Graeme McDowell,67,14.51,28,193
58,T59,T59,Branden Grace,67,14.53,34,234
59,T59,T59,Peter Malnati,87,14.53,43,296
60,61,61,David Lingmerth,82,14.58,42,288
61,62,62,Rafa Cabrera Bello,75,14.66,39,266
62,T63,T63,Danny Lee,88,14.69,47,320
63,T63,T63,Kyle Stanley,93,14.69,47,320
64,65,65,Adam Scott,78,14.7,41,279
65,66,66,Ryan Moore,78,14.77,39,264
66,67,67,Roberto Díaz,72,14.83,31,209
67,68,68,Alex Noren,67,14.85,30,202
68,69,69,Pat Perez,82,14.86,41,276
69,T70,T70,Joel Dahmen,93,14.89,46,309
70,T70,T70,Michael Kim,74,14.89,35,235
71,72,72,Tom Hoge,101,14.96,51,341
72,73,73,Blayne Barber,69,14.98,37,247
73,74,74,Rory McIlroy,64,15.06,36,239
74,75,75,Tommy Fleetwood,73,15.07,41,272
75,T76,T76,Louis Oosthuizen,62,15.08,27,179
76,T76,T76,Jonathan Randolph,71,15.08,30,199
77,78,78,Alex Cejka,77,15.15,35,231
78,79,79,Ollie Schniederjans,91,15.17,49,323
79,80,80,Whee Kim,93,15.24,48,315
80,81,81,Hunter Mahan,67,15.35,35,228
81,T82,T82,Paul Casey,74,15.38,40,260
82,T82,T82,Kevin Na,91,15.38,50,325
83,84,84,Tyrrell Hatton,58,15.43,27,175
84,85,85,Bud Cauley,55,15.51,29,187
85,86,86,Brian Stuard,103,15.53,50,322
86,87,87,Aaron Baddeley,84,15.54,39,251
87,88,88,James Hahn,85,15.57,45,289
88,89,89,Bill Haas,76,15.63,35,224
89,90,90,Brendan Steele,74,15.65,36,230
90,91,91,Patrick Reed,94,15.72,50,318
91,92,92,"Ted Potter, Jr.",87,15.84,48,303
92,93,93,Scott Stallings,96,15.91,49,308
93,94,94,Rob Oppenheim,74,15.95,37,232
94,95,95,Jhonattan Vegas,92,15.97,46,288
95,96,96,J.J. Henry,81,16.03,38,237
96,97,97,Patton Kizzire,92,16.04,51,318
97,98,98,Jamie Lovemark,92,16.05,52,324
98,99,99,Jim Furyk,50,16.08,23,143
99,100,100,Nick Watney,94,16.09,51,317
100,101,101,Keith Mitchell,99,16.1,62,385
101,102,102,Tyrone Van Aswegen,101,16.12,49,304
102,103,103,Kiradech Aphibarnrat,51,16.13,25,155
103,104,104,Chesson Hadley,103,16.19,62,383
104,105,105,David Hearn,66,16.27,34,209
105,106,106,Scott Brown,102,16.37,55,336
106,107,107,Ryan Palmer,69,16.39,39,238
107,108,108,Anirban Lahiri,82,16.43,46,280
108,109,109,Wesley Bryan,69,16.51,36,218
109,110,110,Jon Rahm,71,16.55,47,284
110,T111,T111,Adam Hadwin,92,16.61,52,313
111,T111,T111,Brandt Snedeker,84,16.61,48,289
112,113,113,Keegan Bradley,98,16.62,55,331
113,114,114,Harold Varner III,91,16.72,50,299
114,T115,T115,Ryan Blaum,81,16.78,48,286
115,T115,T115,Kelly Kraft,94,16.78,49,292
116,T117,T117,Bryson DeChambeau,93,16.8,64,381
117,T117,T117,Jason Kokrak,99,16.8,62,369
118,119,119,Ian Poulter,73,16.88,39,231
119,120,120,Dominic Bozzelli,65,16.96,38,224
120,121,121,Adam Schenk,86,17.0,43,253
121,122,122,Nicholas Lindheim,77,17.01,41,241
122,T123,T123,Robert Streb,78,17.02,40,235
123,T123,T123,Kyle Thompson,50,17.02,24,141
124,T125,T125,Lanto Griffin,80,17.05,45,264
125,T125,T125,Trey Mullinax,75,17.05,44,258
126,127,127,Seamus Power,86,17.15,47,274
127,128,128,Brice Garnett,99,17.18,56,326
128,T129,T129,Ben Martin,64,17.21,37,215
129,T129,T129,Chris Stroud,81,17.21,42,244
130,131,131,Marc Leishman,93,17.25,59,342
131,T132,T132,Grayson Murray,72,17.27,48,278
132,T132,T132,C.T. Pan,104,17.27,62,359
133,134,134,Aaron Wise,90,17.28,61,353
134,135,135,Robert Garrigus,80,17.39,48,276
135,136,136,Sung Kang,89,17.44,49,281
136,137,137,Vaughn Taylor,83,17.45,52,298
137,T138,T138,Jonathan Byrd,70,17.48,36,206
138,T138,T138,Stephan Jaeger,81,17.48,43,246
139,T140,T140,Phil Mickelson,90,17.49,64,366
140,T140,T140,J.T. Poston,73,17.49,46,263
141,142,142,Peter Uihlein,83,17.5,49,280
142,143,143,Sean O'Hair,67,17.54,37,211
143,144,144,Troy Merritt,89,17.59,54,307
144,T145,T145,Harris English,84,17.65,48,272
145,T145,T145,Billy Hurley III,70,17.65,36,204
146,147,147,Ben Silverman,90,17.75,52,293
147,148,148,Kevin Chappell,77,17.8,47,264
148,149,149,Mackenzie Hughes,80,17.82,49,275
149,150,150,John Huh,94,17.85,58,325
150,151,151,Martin Piller,79,17.87,47,263
151,152,152,Scott Piercy,84,17.92,50,279
152,T153,T153,Cody Gribble,71,17.97,39,217
153,T153,T153,Denny McCarthy,71,17.97,39,217
154,155,155,Matt Atkins,56,18.08,32,177
155,156,156,Bubba Watson,90,18.21,53,291
156,157,157,Jimmy Walker,81,18.28,49,268
157,158,158,Rod Pampling,62,18.29,32,175
158,T159,T159,Jason Dufner,71,18.32,37,202
159,T159,T159,Lucas Glover,65,18.32,37,202
160,161,161,Brandon Harkins,101,18.36,67,365
161,162,162,J.B. Holmes,77,18.42,49,266
162,163,163,Daniel Summerhays,51,18.57,26,140
163,164,164,Martin Laird,73,18.6,45,242
164,165,165,Matt Every,79,18.73,47,251
165,166,166,Kevin Tway,110,18.77,70,373
166,167,167,Brian Harman,94,18.81,60,319
167,168,168,Daniel Berger,81,19.08,50,262
168,169,169,Jonas Blixt,67,19.17,37,193
169,170,170,Brett Stegmaier,67,19.21,44,229
170,171,171,Ethan Tracy,72,19.28,43,223
171,172,172,Si Woo Kim,108,19.33,69,357
172,173,173,Stewart Cink,87,19.35,60,310
173,174,174,Sam Saunders,80,19.38,56,289
174,175,175,Martin Flores,92,19.46,58,298
175,T176,T176,Tom Lovelady,87,19.54,60,307
176,T176,T176,Xinjun Zhang,81,19.54,51,261
177,178,178,Rory Sabbatini,91,19.56,62,317
178,179,179,Charl Schwartzel,65,19.57,36,184
179,180,180,Hudson Swafford,73,19.66,46,234
180,181,181,Charley Hoffman,87,19.71,55,279
181,182,182,Ricky Barnes,65,19.82,45,227
182,183,183,Luke List,98,20.06,71,354
183,184,184,Shawn Stefani,76,20.15,53,263
184,185,185,Cameron Tringale,67,20.2,40,198
185,186,186,Derek Fathauer,84,20.52,55,268
186,187,187,D.A. Points,63,20.88,38,182
187,188,188,Chad Campbell,87,21.52,51,237
188,189,189,Corey Conners,97,21.56,72,334
189,190,190,Satoshi Kodaira,51,21.99,31,141
190,191,191,Greg Chalmers,56,22.44,35,156
191,192,192,Zecheng Dou,53,23.49,35,149
192,193,193,Andrew Yun,51,27.82,37,133
