,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Austin Cook,107,419
1,2,2,Tony Finau,105,405
2,3,3,Chris Kirk,108,400
3,4,4,Keith Mitchell,99,397
4,5,5,Beau Hossler,104,394
5,6,6,Ryan Armour,109,392
6,T7,T7,Bryson DeChambeau,93,391
7,T7,T7,Kevin Tway,110,391
8,9,9,Chesson Hadley,103,390
9,10,10,Brian Gay,103,386
10,11,11,Jason Kokrak,99,384
11,12,12,Phil Mickelson,90,375
12,13,13,Brandon Harkins,101,374
13,14,14,Si Woo Kim,108,373
14,15,15,C.T. Pan,104,371
15,16,16,Luke List,98,367
16,17,17,Aaron Wise,90,362
17,18,18,Emiliano Grillo,94,358
18,T19,T19,Marc Leishman,93,356
19,T19,T19,Justin Thomas,91,356
20,21,21,Charles Howell III,104,355
21,T22,T22,Tom Hoge,101,354
22,T22,T22,Xander Schauffele,96,354
23,24,24,Scott Brown,102,353
24,25,25,Abraham Ancer,98,349
25,26,26,Dustin Johnson,77,348
26,27,27,Gary Woodland,96,346
27,28,28,Corey Conners,97,345
28,29,29,Patrick Rodgers,97,343
29,30,30,Ollie Schniederjans,91,341
30,31,31,Keegan Bradley,98,339
31,T32,T32,Brian Harman,94,336
32,T32,T32,Zach Johnson,94,336
33,T32,T32,Patton Kizzire,92,336
34,T32,T32,Kevin Na,91,336
35,T32,T32,Kyle Stanley,93,336
36,37,37,John Huh,94,333
37,38,38,Rory Sabbatini,91,332
38,T39,T39,Brice Garnett,99,331
39,T39,T39,Jamie Lovemark,92,331
40,T39,T39,Brian Stuard,103,331
41,T42,T42,Webb Simpson,95,330
42,T42,T42,Nick Watney,94,330
43,44,44,Danny Lee,88,329
44,45,45,Kevin Streelman,94,328
45,46,46,Tyler Duncan,97,325
46,T47,T47,Andrew Putnam,97,323
47,T47,T47,Patrick Reed,94,323
48,49,49,Whee Kim,93,322
49,50,50,Billy Horschel,86,321
50,51,51,Adam Hadwin,92,320
51,T52,T52,Joel Dahmen,93,319
52,T52,T52,Chez Reavie,93,319
53,54,54,Tyrone Van Aswegen,101,318
54,55,55,Tom Lovelady,87,317
55,56,56,Jordan Spieth,81,316
56,T57,T57,Stewart Cink,87,315
57,T57,T57,Troy Merritt,89,315
58,T57,T57,Scott Stallings,96,315
59,T60,T60,Russell Knox,94,314
60,T60,T60,Richy Werenski,98,314
61,T62,T62,Martin Flores,92,311
62,T62,T62,"Ted Potter, Jr.",87,311
63,T62,T62,Ben Silverman,90,311
64,T62,T62,Nick Taylor,94,311
65,66,66,Peter Malnati,87,310
66,T67,T67,J.J. Spaun,85,309
67,T67,T67,Vaughn Taylor,83,309
68,T69,T69,Byeong Hun An,86,307
69,T69,T69,Sam Ryder,82,307
70,T69,T69,Harold Varner III,91,307
71,72,72,Patrick Cantlay,87,306
72,T73,T73,Kelly Kraft,94,305
73,T73,T73,Jhonattan Vegas,92,305
74,75,75,Justin Rose,70,299
75,T76,T76,Sam Saunders,80,297
76,T76,T76,Brandt Snedeker,84,297
77,T78,T78,Rickie Fowler,74,296
78,T78,T78,David Lingmerth,82,296
79,T78,T78,Bubba Watson,90,296
80,81,81,Ryan Blaum,81,295
81,T82,T82,Anirban Lahiri,82,293
82,T82,T82,Scott Piercy,84,293
83,T82,T82,Jon Rahm,71,293
84,T82,T82,Adam Scott,78,293
85,T86,T86,James Hahn,85,292
86,T86,T86,Sung Kang,89,292
87,88,88,Pat Perez,82,289
88,89,89,Cameron Smith,85,288
89,T90,T90,Robert Garrigus,80,286
90,T90,T90,Matt Kuchar,88,286
91,T92,T92,Tommy Fleetwood,73,285
92,T92,T92,Fabián Gómez,88,285
93,T92,T92,Charley Hoffman,87,285
94,T92,T92,Grayson Murray,72,285
