,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
0,1,1,Dustin Johnson,77,25.86,45,174
1,2,2,Bubba Watson,90,20.86,34,163
2,3,3,Brendan Steele,74,20.42,29,142
3,4,4,Michael Thompson,62,20.0,38,190
4,5,5,Tony Finau,105,19.65,45,229
5,6,6,Hideki Matsuyama,75,19.64,33,168
6,7,7,Trey Mullinax,75,19.38,31,160
7,8,8,Conrad Shindler,60,19.01,27,142
8,9,9,Bryson DeChambeau,93,18.75,45,240
9,10,10,Rafa Cabrera Bello,75,18.52,30,162
10,11,11,Brett Stegmaier,67,18.38,25,136
11,12,12,Austin Cook,107,18.12,54,298
12,13,13,Kevin Chappell,77,17.9,29,162
13,14,14,Adam Hadwin,92,17.65,39,221
14,15,15,Jimmy Walker,81,17.51,38,217
15,16,16,Matt Atkins,56,17.48,18,103
16,17,17,Justin Thomas,91,17.35,34,196
17,18,18,Chesson Hadley,103,17.24,45,261
18,19,19,Martin Laird,73,17.21,37,215
19,20,20,Rickie Fowler,74,16.93,32,189
20,21,21,Brooks Koepka,64,16.67,22,132
21,22,22,Talor Gooch,78,16.58,33,199
22,T23,T23,Danny Lee,88,16.53,41,248
23,T23,T23,Rory Sabbatini,91,16.53,39,236
24,25,25,Luke List,98,16.51,36,218
25,26,26,J.T. Poston,73,16.47,28,170
26,27,27,Justin Rose,70,16.46,27,164
27,28,28,Russell Henley,77,16.33,32,196
28,29,29,Patrick Cantlay,87,16.24,32,197
29,30,30,Robert Garrigus,80,16.22,36,222
30,31,31,Johnson Wagner,75,16.2,29,179
31,32,32,Shawn Stefani,76,16.15,31,192
32,33,33,Daniel Berger,81,16.11,34,211
33,34,34,Phil Mickelson,90,16.1,33,205
34,T35,T35,Marc Leishman,93,16.06,40,249
35,T35,T35,Tiger Woods,68,16.06,35,218
36,37,37,Ryan Palmer,69,15.79,27,171
37,38,38,Emiliano Grillo,94,15.77,38,241
38,39,39,Xander Schauffele,96,15.67,34,217
39,40,40,Patrick Rodgers,97,15.63,35,224
40,41,41,Jon Rahm,71,15.57,19,122
41,T42,T42,Branden Grace,67,15.54,23,148
42,T42,T42,Tom Hoge,101,15.54,46,296
43,44,44,Gary Woodland,96,15.53,32,206
44,45,45,Jason Kokrak,99,15.5,42,271
45,46,46,Hudson Swafford,73,15.48,24,155
46,47,47,Corey Conners,97,15.42,35,227
47,T48,T48,Brian Harman,94,15.35,33,215
48,T48,T48,Andrew Landry,82,15.35,35,228
49,50,50,Henrik Stenson,60,15.34,25,163
50,51,51,Chris Kirk,108,15.27,51,334
51,52,52,Mackenzie Hughes,80,15.15,35,231
52,T53,T53,Ricky Barnes,65,15.13,23,152
53,T53,T53,Rory McIlroy,64,15.13,23,152
54,T53,T53,C.T. Pan,104,15.13,41,271
55,56,56,Tyler Duncan,97,15.09,40,265
56,57,57,Shane Lowry,64,15.03,23,153
57,58,58,Denny McCarthy,71,14.97,22,147
58,59,59,Andrew Putnam,97,14.92,37,248
59,60,60,Grayson Murray,72,14.91,24,161
60,61,61,Ollie Schniederjans,91,14.87,40,269
61,62,62,Aaron Wise,90,14.81,32,216
62,63,63,Kevin Tway,110,14.8,41,277
63,64,64,Lanto Griffin,80,14.75,27,183
64,65,65,Cameron Smith,85,14.74,28,190
65,T66,T66,Adam Scott,78,14.66,28,191
66,T66,T66,Peter Uihlein,83,14.66,28,191
67,68,68,Kevin Na,91,14.64,35,239
68,69,69,Cameron Percy,56,14.62,19,130
69,70,70,Keegan Bradley,98,14.57,36,247
70,71,71,Kyle Thompson,50,14.55,16,110
71,72,72,Jordan Spieth,81,14.51,28,193
72,73,73,Retief Goosen,60,14.39,19,132
73,T74,T74,Jason Day,75,14.29,20,140
74,T74,T74,John Huh,94,14.29,46,322
75,76,76,Webb Simpson,95,14.23,35,246
76,77,77,J.B. Holmes,77,14.22,30,211
77,78,78,Kyle Stanley,93,14.15,29,205
78,79,79,Andrew Yun,51,14.14,14,99
79,80,80,Ethan Tracy,72,14.11,23,163
80,81,81,Keith Mitchell,99,14.09,31,220
81,82,82,James Hahn,85,13.99,34,243
82,83,83,Martin Flores,92,13.82,30,217
83,84,84,J.J. Spaun,85,13.81,29,210
84,85,85,Billy Hurley III,70,13.79,28,203
85,86,86,Hunter Mahan,67,13.77,19,138
86,T87,T87,Alex Cejka,77,13.69,33,241
87,T87,T87,Jason Dufner,71,13.69,23,168
88,T89,T89,Stewart Cink,87,13.68,32,234
89,T89,T89,Martin Piller,79,13.68,32,234
90,91,91,Kevin Streelman,94,13.64,36,264
91,92,92,Nate Lashley,51,13.51,15,111
92,93,93,Jim Furyk,50,13.47,26,193
93,94,94,Jamie Lovemark,92,13.41,35,261
94,95,95,Nicholas Lindheim,77,13.4,26,194
95,96,96,Matt Jones,70,13.39,17,127
96,97,97,Zac Blair,64,13.33,22,165
97,T98,T98,D.A. Points,63,13.21,21,159
98,T98,T98,Ian Poulter,73,13.21,21,159
99,100,100,Dominic Bozzelli,65,13.16,30,228
100,101,101,Billy Horschel,86,13.14,31,236
101,102,102,Matt Kuchar,88,13.11,32,244
102,103,103,Scott Piercy,84,13.04,30,230
103,104,104,Brandon Harkins,101,13.01,32,246
104,105,105,Patton Kizzire,92,12.95,29,224
105,T106,T106,Paul Casey,74,12.93,19,147
