,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Justin Rose,70,68.93,2964,43
1,2,2,Rory McIlroy,64,69.0,2415,35
2,3,3,Dustin Johnson,77,69.08,3385,49
3,4,4,Justin Thomas,91,69.22,3392,49
4,5,5,Webb Simpson,95,69.26,3671,53
5,6,6,Chris Kirk,108,69.33,3397,49
6,7,7,Ryan Moore,78,69.51,2989,43
7,8,8,Abraham Ancer,98,69.54,3338,48
8,9,9,Brooks Koepka,64,69.61,2297,33
9,10,10,Emiliano Grillo,94,69.62,3272,47
10,11,11,Jordan Spieth,81,69.63,2646,38
11,12,12,Rickie Fowler,74,69.65,3343,48
12,13,13,Francesco Molinari,73,69.69,2509,36
13,T14,T14,Kevin Streelman,94,69.71,2928,42
14,T14,T14,Tiger Woods,68,69.71,2928,42
15,16,16,Tony Finau,105,69.72,3974,57
16,17,17,Bryson DeChambeau,93,69.74,3208,46
17,18,18,Aaron Wise,90,69.75,3069,44
18,T19,T19,Joel Dahmen,93,69.77,3279,47
19,T19,T19,Chesson Hadley,103,69.77,3698,53
20,T19,T19,J.J. Spaun,85,69.77,2442,35
21,T22,T22,Keegan Bradley,98,69.85,3283,47
22,T22,T22,Brian Gay,103,69.85,3632,52
23,T24,T24,Cameron Percy,56,69.87,1607,23
24,T24,T24,Sam Ryder,82,69.87,2725,39
25,26,26,Phil Mickelson,90,69.88,3005,43
26,27,27,Bubba Watson,90,69.9,2936,42
27,T28,T28,Andrew Putnam,97,69.91,3146,45
28,T28,T28,Patrick Reed,94,69.91,3216,46
29,30,30,Billy Horschel,86,69.93,3217,46
30,31,31,Henrik Stenson,60,69.94,2238,32
31,T32,T32,Jason Day,75,69.95,2798,40
32,T32,T32,Tommy Fleetwood,73,69.95,2588,37
33,34,34,Rafa Cabrera Bello,75,69.97,2659,38
34,35,35,Brian Harman,94,69.98,3289,47
35,36,36,Johnson Wagner,75,70.0,2170,31
36,37,37,Kevin Na,91,70.02,2941,42
37,38,38,Marc Leishman,93,70.04,3292,47
38,39,39,Xander Schauffele,96,70.09,3785,54
39,40,40,Blayne Barber,69,70.1,2173,31
40,41,41,Ryan Armour,109,70.12,3436,49
41,42,42,Byeong Hun An,86,70.13,2665,38
42,43,43,Jason Kokrak,99,70.14,3086,44
43,44,44,Zach Johnson,94,70.16,3157,45
44,T45,T45,Austin Cook,107,70.17,2947,42
45,T45,T45,Ben Crane,65,70.17,1684,24
46,47,47,Jon Rahm,71,70.18,2737,39
47,48,48,Patrick Cantlay,87,70.22,3160,45
48,49,49,Kyle Stanley,93,70.23,3652,52
49,50,50,Hideki Matsuyama,75,70.25,2529,36
50,51,51,Charles Howell III,104,70.28,3514,50
51,52,52,Keith Mitchell,99,70.29,3163,45
52,53,53,Russell Knox,94,70.3,3023,43
53,T54,T54,Stewart Cink,87,70.32,3094,44
54,T54,T54,Chez Reavie,93,70.32,2883,41
55,56,56,Jimmy Walker,81,70.33,2321,33
56,57,57,Jonathan Byrd,70,70.35,1829,26
57,T58,T58,Beau Hossler,104,70.38,4223,60
58,T58,T58,Conrad Shindler,60,70.38,1830,26
59,60,60,Ryan Blaum,81,70.39,2534,36
60,61,61,William McGirt,84,70.41,2887,41
61,62,62,Brett Stegmaier,67,70.42,1690,24
62,63,63,Cameron Smith,85,70.43,2817,40
