,Tenth_Tee_Early_Par_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_5_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_5_Scoring_Average_AVG,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Brooks Koepka,64,4.34,139,32
1,2,2,Kevin Kisner,89,4.4,176,40
2,3,3,Tony Finau,105,4.42,252,57
3,T4,T4,Billy Horschel,86,4.43,248,56
4,T4,T4,Webb Simpson,95,4.43,257,58
5,T6,T6,Byeong Hun An,86,4.44,200,45
6,T6,T6,Paul Casey,74,4.44,151,34
7,T6,T6,Denny McCarthy,71,4.44,142,32
8,T6,T6,Troy Merritt,89,4.44,173,39
9,T10,T10,Alex Noren,67,4.45,218,49
10,T10,T10,Bubba Watson,90,4.45,249,56
11,12,12,Dustin Johnson,77,4.48,188,42
12,T13,T13,Bryson DeChambeau,93,4.49,229,51
13,T13,T13,Tommy Fleetwood,73,4.49,184,41
14,T13,T13,Nick Taylor,94,4.49,314,70
15,T16,T16,Daniel Berger,81,4.5,153,34
16,T16,T16,Branden Grace,67,4.5,198,44
17,T16,T16,Patton Kizzire,92,4.5,135,30
18,T19,T19,Tom Hoge,101,4.51,212,47
19,T19,T19,Peter Uihlein,83,4.51,239,53
20,T21,T21,Brian Gay,103,4.52,95,21
21,T21,T21,James Hahn,85,4.52,244,54
22,T21,T21,Zach Johnson,94,4.52,235,52
23,T21,T21,Rory Sabbatini,91,4.52,321,71
24,T25,T25,Keith Mitchell,99,4.53,299,66
25,T25,T25,Harold Varner III,91,4.53,335,74
26,T27,T27,Charles Howell III,104,4.54,218,48
27,T27,T27,Tom Lovelady,87,4.54,245,54
28,T27,T27,Henrik Stenson,60,4.54,159,35
29,T30,T30,Brice Garnett,99,4.55,296,65
30,T30,T30,Johnson Wagner,75,4.55,282,62
31,T32,T32,Aaron Baddeley,84,4.56,146,32
32,T32,T32,Rafa Cabrera Bello,75,4.56,164,36
33,T32,T32,Phil Mickelson,90,4.56,324,71
34,T32,T32,Sam Saunders,80,4.56,237,52
35,T32,T32,Xander Schauffele,96,4.56,205,45
36,T32,T32,Brendan Steele,74,4.56,205,45
37,T32,T32,Justin Thomas,91,4.56,219,48
38,T32,T32,Cameron Tringale,67,4.56,228,50
39,T40,T40,Harris English,84,4.57,192,42
40,T40,T40,J.J. Henry,81,4.57,169,37
41,T40,T40,J.B. Holmes,77,4.57,210,46
42,T40,T40,Beau Hossler,104,4.57,210,46
43,T40,T40,Billy Hurley III,70,4.57,242,53
44,T40,T40,Jon Rahm,71,4.57,128,28
45,T46,T46,Lucas Glover,65,4.58,238,52
46,T46,T46,Brandon Harkins,101,4.58,238,52
47,T46,T46,Brian Harman,94,4.58,165,36
48,T46,T46,Luke List,98,4.58,220,48
49,T46,T46,Jamie Lovemark,92,4.58,243,53
50,T46,T46,Trey Mullinax,75,4.58,110,24
51,T46,T46,Kevin Na,91,4.58,275,60
52,T46,T46,Scott Stallings,96,4.58,357,78
53,T54,T54,Dominic Bozzelli,65,4.59,202,44
54,T54,T54,Patrick Cantlay,87,4.59,188,41
55,T54,T54,Greg Chalmers,56,4.59,124,27
56,T54,T54,Ryan Palmer,69,4.59,147,32
57,T54,T54,Cameron Smith,85,4.59,170,37
58,T54,T54,Brett Stegmaier,67,4.59,257,56
59,T54,T54,Tyrone Van Aswegen,101,4.59,349,76
60,61,61,Jason Day,75,4.6,230,50
61,T62,T62,Alex Cejka,77,4.61,212,46
62,T62,T62,Rickie Fowler,74,4.61,212,46
63,T62,T62,Fabián Gómez,88,4.61,175,38
64,T62,T62,Lanto Griffin,80,4.61,226,49
65,T62,T62,Stephan Jaeger,81,4.61,272,59
66,T62,T62,Matt Jones,70,4.61,212,46
67,T62,T62,Martin Laird,73,4.61,152,33
68,T62,T62,Marc Leishman,93,4.61,212,46
69,T62,T62,Kevin Tway,110,4.61,327,71
70,T71,T71,Ricky Barnes,65,4.62,180,39
71,T71,T71,Keegan Bradley,98,4.62,171,37
72,T71,T71,Bronson Burgoon,69,4.62,328,71
73,T71,T71,Kevin Chappell,77,4.62,240,52
74,T71,T71,Tyrrell Hatton,58,4.62,97,21
75,T71,T71,Chris Kirk,108,4.62,291,63
76,T71,T71,Francesco Molinari,73,4.62,254,55
77,T71,T71,D.A. Points,63,4.62,97,21
78,T71,T71,Adam Scott,78,4.62,240,52
79,T71,T71,Vaughn Taylor,83,4.62,120,26
80,T81,T81,Matt Every,79,4.63,190,41
81,T81,T81,Jason Kokrak,99,4.63,329,71
82,T81,T81,Matt Kuchar,88,4.63,324,70
83,T81,T81,David Lingmerth,82,4.63,227,49
84,T81,T81,Pat Perez,82,4.63,190,41
85,T81,T81,J.T. Poston,73,4.63,190,41
86,T81,T81,Seamus Power,86,4.63,236,51
87,T81,T81,Gary Woodland,96,4.63,190,41
88,T89,T89,Kiradech Aphibarnrat,51,4.64,65,14
89,T89,T89,Blayne Barber,69,4.64,209,45
90,T89,T89,Corey Conners,97,4.64,269,58
91,T89,T89,Roberto Díaz,72,4.64,209,45
92,T89,T89,Russell Knox,94,4.64,269,58
93,T89,T89,Andrew Landry,82,4.64,232,50
94,T89,T89,Ryan Moore,78,4.64,116,25
95,T89,T89,Sean O'Hair,67,4.64,130,28
96,T89,T89,J.J. Spaun,85,4.64,167,36
97,T98,T98,Jonathan Byrd,70,4.65,335,72
98,T98,T98,Tyler Duncan,97,4.65,200,43
99,T98,T98,Martin Flores,92,4.65,251,54
100,T98,T98,William McGirt,84,4.65,144,31
101,T98,T98,C.T. Pan,104,4.65,302,65
102,T98,T98,Jonathan Randolph,71,4.65,158,34
103,T98,T98,Daniel Summerhays,51,4.65,242,52
104,T105,T105,Scott Brown,102,4.66,331,71
105,T105,T105,Peter Malnati,87,4.66,135,29
106,T105,T105,Ian Poulter,73,4.66,163,35
107,T105,T105,Conrad Shindler,60,4.66,205,44
108,T109,T109,Joel Dahmen,93,4.67,215,46
109,T109,T109,Russell Henley,77,4.67,229,49
110,T109,T109,Nate Lashley,51,4.67,112,24
111,T109,T109,Hideki Matsuyama,75,4.67,196,42
112,T109,T109,Cameron Percy,56,4.67,112,24
113,T109,T109,Justin Rose,70,4.67,196,42
114,T109,T109,Jordan Spieth,81,4.67,215,46
115,T109,T109,Kyle Stanley,93,4.67,112,24
116,T109,T109,Hudson Swafford,73,4.67,182,39
117,T109,T109,Aaron Wise,90,4.67,229,49
118,T109,T109,Tiger Woods,68,4.67,210,45
119,T120,T120,Zac Blair,64,4.68,206,44
120,T120,T120,Ryan Blaum,81,4.68,220,47
121,T120,T120,Jason Dufner,71,4.68,187,40
122,T120,T120,Michael Kim,74,4.68,220,47
123,T120,T120,Sam Ryder,82,4.68,295,63
124,T120,T120,Steve Wheatcroft,60,4.68,262,56
125,T120,T120,Xinjun Zhang,81,4.68,370,79
126,T127,T127,Chesson Hadley,103,4.69,258,55
127,T127,T127,Adam Hadwin,92,4.69,291,62
128,T127,T127,Kelly Kraft,94,4.69,347,74
129,T127,T127,Louis Oosthuizen,62,4.69,150,32
130,T127,T127,Martin Piller,79,4.69,291,62
131,T127,T127,Ollie Schniederjans,91,4.69,230,49
132,T127,T127,Charl Schwartzel,65,4.69,122,26
133,T127,T127,Ben Silverman,90,4.69,399,85
134,T135,T135,Austin Cook,107,4.7,296,63
135,T135,T135,David Hearn,66,4.7,221,47
136,T135,T135,Charley Hoffman,87,4.7,235,50
137,T135,T135,Whee Kim,93,4.7,301,64
138,T135,T135,Scott Piercy,84,4.7,254,54
139,T135,T135,Kevin Streelman,94,4.7,249,53
140,T135,T135,Ethan Tracy,72,4.7,207,44
141,T135,T135,Nick Watney,94,4.7,174,37
142,T143,T143,Abraham Ancer,98,4.71,339,72
143,T143,T143,Jonas Blixt,67,4.71,198,42
144,T143,T143,Emiliano Grillo,94,4.71,212,45
145,T143,T143,Mackenzie Hughes,80,4.71,198,42
146,T143,T143,Si Woo Kim,108,4.71,292,62
147,T143,T143,Patrick Rodgers,97,4.71,259,55
148,T143,T143,Richy Werenski,98,4.71,363,77
149,T150,T150,Robert Garrigus,80,4.72,302,64
150,T150,T150,Talor Gooch,78,4.72,307,65
151,T150,T150,Sung Kang,89,4.72,236,50
152,T150,T150,Brian Stuard,103,4.72,302,64
153,T150,T150,Jhonattan Vegas,92,4.72,321,68
154,T155,T155,Wesley Bryan,69,4.73,189,40
155,T155,T155,Chad Campbell,87,4.73,265,56
156,T155,T155,John Huh,94,4.73,241,51
157,T155,T155,Anirban Lahiri,82,4.73,213,45
158,T155,T155,Adam Schenk,86,4.73,364,77
159,T160,T160,Zecheng Dou,53,4.74,166,35
160,T160,T160,Derek Fathauer,84,4.74,379,80
161,T160,T160,Brandt Snedeker,84,4.74,294,62
162,T163,T163,Shane Lowry,64,4.75,19,4
163,T163,T163,Patrick Reed,94,4.75,318,67
164,T163,T163,Michael Thompson,62,4.75,95,20
165,T163,T163,Andrew Yun,51,4.75,152,32
166,T167,T167,Ryan Armour,109,4.76,214,45
167,T167,T167,Satoshi Kodaira,51,4.76,81,17
168,T167,T167,Ben Martin,64,4.76,233,49
169,T170,T170,Cody Gribble,71,4.77,286,60
170,T170,T170,Robert Streb,78,4.77,224,47
171,T172,T172,Matt Atkins,56,4.78,258,54
172,T172,T172,Nicholas Lindheim,77,4.78,244,51
173,T172,T172,Hunter Mahan,67,4.78,191,40
174,T172,T172,"Ted Potter, Jr.",87,4.78,196,41
175,T176,T176,Ben Crane,65,4.79,292,61
176,T176,T176,Rory McIlroy,64,4.79,187,39
177,T176,T176,Chez Reavie,93,4.79,292,61
178,T179,T179,Bud Cauley,55,4.8,235,49
179,T179,T179,Rob Oppenheim,74,4.8,245,51
180,T179,T179,Rod Pampling,62,4.8,192,40
181,T179,T179,Shawn Stefani,76,4.8,197,41
182,T179,T179,Kyle Thompson,50,4.8,211,44
183,T184,T184,Jim Furyk,50,4.81,130,27
