,Late_Par_4_Scoring_Average_RANK THIS WEEK,Late_Par_4_Scoring_Average_RANK LAST WEEK,Late_Par_4_Scoring_Average_PLAYER NAME,Late_Par_4_Scoring_Average_ROUNDS,Late_Par_4_Scoring_Average_AVG,Late_Par_4_Scoring_Average_TOTAL STROKES,Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Justin Rose,70,3.94,1854,470
1,T2,T2,Dustin Johnson,77,3.95,2128,539
2,T2,T2,Chris Kirk,108,3.95,2092,530
3,T4,T4,Webb Simpson,95,3.96,2388,603
4,T4,T4,Aaron Wise,90,3.96,1906,481
5,T6,T6,Joel Dahmen,93,3.97,2040,514
6,T6,T6,Rickie Fowler,74,3.97,2154,542
7,T6,T6,Rory McIlroy,64,3.97,1564,394
8,T6,T6,Phil Mickelson,90,3.97,1898,478
9,T6,T6,Ryan Moore,78,3.97,1885,475
10,T6,T6,Jordan Spieth,81,3.97,1673,421
11,T6,T6,Tiger Woods,68,3.97,1863,469
12,T13,T13,Abraham Ancer,98,3.98,2095,527
13,T13,T13,Brian Harman,94,3.98,2098,527
14,T13,T13,Brooks Koepka,64,3.98,1511,380
15,T13,T13,Andrew Putnam,97,3.98,1968,494
16,T13,T13,Patrick Reed,94,3.98,1976,496
17,T13,T13,Sam Ryder,82,3.98,1688,424
18,T13,T13,Kyle Stanley,93,3.98,2301,578
19,T13,T13,Henrik Stenson,60,3.98,1378,346
20,T13,T13,Kevin Streelman,94,3.98,1805,454
21,T13,T13,Bubba Watson,90,3.98,1845,463
22,T23,T23,Keegan Bradley,98,3.99,2033,509
23,T23,T23,Austin Cook,107,3.99,1865,467
24,T23,T23,Emiliano Grillo,94,3.99,2072,519
25,T23,T23,Chesson Hadley,103,3.99,2293,575
26,T23,T23,Hideki Matsuyama,75,3.99,1566,392
27,T23,T23,Francesco Molinari,73,3.99,1611,404
28,T23,T23,Jon Rahm,71,3.99,1712,429
29,T23,T23,J.J. Spaun,85,3.99,1565,392
30,T23,T23,Justin Thomas,91,3.99,2213,555
31,T23,T23,Johnson Wagner,75,3.99,1325,332
32,T33,T33,Ben Crane,65,4.0,1044,261
33,T33,T33,Tony Finau,105,4.0,2526,632
34,T33,T33,Matt Kuchar,88,4.0,1954,488
35,T33,T33,Kevin Na,91,4.0,1854,463
36,T33,T33,J.T. Poston,73,4.0,1591,398
37,T38,T38,Ryan Armour,109,4.01,2176,542
38,T38,T38,Rafa Cabrera Bello,75,4.01,1680,419
39,T38,T38,Jason Day,75,4.01,1763,440
40,T38,T38,Bryson DeChambeau,93,4.01,2028,506
41,T38,T38,Tommy Fleetwood,73,4.01,1665,415
42,T38,T38,Brian Gay,103,4.01,2298,573
43,T38,T38,Adam Hadwin,92,4.01,1575,393
44,T38,T38,Russell Henley,77,4.01,1436,358
45,T38,T38,Charles Howell III,104,4.01,2192,546
46,T38,T38,Zach Johnson,94,4.01,1999,498
47,T38,T38,Troy Merritt,89,4.01,1686,420
48,T38,T38,Grayson Murray,72,4.01,1617,403
49,T38,T38,Xander Schauffele,96,4.01,2410,601
50,T51,T51,Blayne Barber,69,4.02,1379,343
51,T51,T51,Wesley Bryan,69,4.02,1239,308
52,T51,T51,Patrick Cantlay,87,4.02,2017,502
53,T51,T51,Tyrrell Hatton,58,4.02,1217,303
54,T51,T51,Stephan Jaeger,81,4.02,1525,379
55,T51,T51,Matt Jones,70,4.02,1368,340
56,T51,T51,Russell Knox,94,4.02,1880,468
57,T51,T51,Jason Kokrak,99,4.02,1935,481
58,T51,T51,Marc Leishman,93,4.02,2081,518
59,T51,T51,Ben Martin,64,4.02,1439,358
60,T51,T51,Keith Mitchell,99,4.02,1966,489
61,T51,T51,Chez Reavie,93,4.02,1791,446
62,T51,T51,Adam Scott,78,4.02,1677,417
63,T51,T51,Peter Uihlein,83,4.02,1578,393
64,T65,T65,Byeong Hun An,86,4.03,1672,415
65,T65,T65,Matt Atkins,56,4.03,1113,276
66,T65,T65,Aaron Baddeley,84,4.03,1576,391
67,T65,T65,Ryan Blaum,81,4.03,1592,395
68,T65,T65,Scott Brown,102,4.03,2093,520
69,T65,T65,Stewart Cink,87,4.03,1957,486
70,T65,T65,Harris English,84,4.03,1765,438
71,T65,T65,Charley Hoffman,87,4.03,1865,463
72,T65,T65,Billy Horschel,86,4.03,2025,502
73,T65,T65,Beau Hossler,104,4.03,2628,652
74,T65,T65,Martin Laird,73,4.03,1476,366
75,T65,T65,Hunter Mahan,67,4.03,1310,325
76,T65,T65,Sean O'Hair,67,4.03,1440,357
77,T65,T65,C.T. Pan,104,4.03,2194,545
78,T65,T65,Cameron Percy,56,4.03,996,247
79,T65,T65,Brandt Snedeker,84,4.03,1872,465
80,T65,T65,Jimmy Walker,81,4.03,1419,352
81,T82,T82,Corey Conners,97,4.04,1769,438
82,T82,T82,Tyler Duncan,97,4.04,1950,483
83,T82,T82,Brice Garnett,99,4.04,1948,482
84,T82,T82,James Hahn,85,4.04,1611,399
85,T82,T82,J.J. Henry,81,4.04,1506,373
86,T82,T82,J.B. Holmes,77,4.04,1775,439
87,T82,T82,Mackenzie Hughes,80,4.04,1486,368
88,T82,T82,Whee Kim,93,4.04,1860,460
89,T82,T82,Kevin Kisner,89,4.04,1920,475
90,T82,T82,Patton Kizzire,92,4.04,1676,415
91,T82,T82,Andrew Landry,82,4.04,1706,422
92,T82,T82,David Lingmerth,82,4.04,1481,367
93,T82,T82,Jamie Lovemark,92,4.04,1840,456
94,T82,T82,Pat Perez,82,4.04,1757,435
95,T82,T82,Conrad Shindler,60,4.04,1152,285
96,T82,T82,Cameron Smith,85,4.04,1767,437
97,T82,T82,Brendan Steele,74,4.04,1427,353
98,T82,T82,Brian Stuard,103,4.04,2185,541
99,T82,T82,Hudson Swafford,73,4.04,1215,301
100,T82,T82,Gary Woodland,96,4.04,2242,555
101,T102,T102,Jonathan Byrd,70,4.05,1146,283
102,T102,T102,Kevin Chappell,77,4.05,1353,334
103,T102,T102,Fabián Gómez,88,4.05,1664,411
104,T102,T102,Branden Grace,67,4.05,1212,299
105,T102,T102,Kelly Kraft,94,4.05,1883,465
106,T102,T102,Anirban Lahiri,82,4.05,1794,443
107,T102,T102,Danny Lee,88,4.05,1728,427
108,T102,T102,Tom Lovelady,87,4.05,1739,429
109,T102,T102,Shane Lowry,64,4.05,1222,302
110,T102,T102,William McGirt,84,4.05,1813,448
111,T102,T102,Trey Mullinax,75,4.05,1347,333
112,T102,T102,Alex Noren,67,4.05,1370,338
113,T102,T102,Ian Poulter,73,4.05,1417,350
114,T102,T102,Rory Sabbatini,91,4.05,1880,464
115,T102,T102,Ollie Schniederjans,91,4.05,1733,428
116,T102,T102,Vaughn Taylor,83,4.05,1743,430
117,T102,T102,Steve Wheatcroft,60,4.05,1297,320
118,T119,T119,Kiradech Aphibarnrat,51,4.06,941,232
119,T119,T119,Zac Blair,64,4.06,1164,287
120,T119,T119,Paul Casey,74,4.06,1471,362
121,T119,T119,Robert Garrigus,80,4.06,1606,396
122,T119,T119,Cody Gribble,71,4.06,1486,366
123,T119,T119,Luke List,98,4.06,2329,573
124,T119,T119,Peter Malnati,87,4.06,1598,394
125,T119,T119,Graeme McDowell,67,4.06,1133,279
126,T119,T119,Louis Oosthuizen,62,4.06,1499,369
127,T119,T119,Scott Stallings,96,4.06,2134,526
128,T119,T119,Chris Stroud,81,4.06,1545,381
129,T119,T119,Kyle Thompson,50,4.06,918,226
130,T119,T119,Kevin Tway,110,4.06,2195,541
131,T119,T119,Tyrone Van Aswegen,101,4.06,1696,418
