,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Dustin Johnson,77,67.78,610,9
1,2,2,Tommy Fleetwood,73,68.29,956,14
2,3,3,Rickie Fowler,74,68.5,685,10
3,4,4,Jon Rahm,71,68.53,1165,17
4,5,5,Bronson Burgoon,69,68.57,960,14
5,6,6,Tiger Woods,68,68.7,687,10
6,7,7,Hideki Matsuyama,75,69.05,1519,22
7,8,8,Denny McCarthy,71,69.06,1243,18
8,9,9,Luke List,98,69.07,1865,27
9,10,10,Jordan Spieth,81,69.1,1382,20
10,11,11,Justin Thomas,91,69.2,1038,15
11,12,12,Justin Rose,70,69.33,624,9
12,T13,T13,Alex Cejka,77,69.35,1803,26
13,T13,T13,Talor Gooch,78,69.35,1179,17
14,T13,T13,Zach Johnson,94,69.35,1595,23
15,16,16,Patrick Cantlay,87,69.43,1458,21
16,17,17,C.T. Pan,104,69.44,1875,27
17,18,18,Tony Finau,105,69.48,1459,21
18,19,19,John Huh,94,69.5,2224,32
19,20,20,Rory McIlroy,64,69.54,904,13
20,21,21,Brandt Snedeker,84,69.55,1391,20
21,22,22,Jason Kokrak,99,69.59,2227,32
22,23,23,Billy Horschel,86,69.61,1253,18
23,24,24,Seamus Power,86,69.62,1810,26
24,25,25,Kevin Na,91,69.63,1880,27
25,26,26,Aaron Wise,90,69.64,1950,28
26,T27,T27,Paul Casey,74,69.67,1881,27
27,T27,T27,Bud Cauley,55,69.67,1045,15
28,29,29,Peter Malnati,87,69.7,2579,37
29,30,30,Michael Thompson,62,69.73,1534,22
30,31,31,Robert Garrigus,80,69.74,1325,19
31,32,32,Brett Stegmaier,67,69.76,1465,21
32,33,33,Shawn Stefani,76,69.78,1884,27
33,34,34,Hunter Mahan,67,69.8,1396,20
34,35,35,Blayne Barber,69,69.81,1466,21
35,T36,T36,Webb Simpson,95,69.82,1187,17
36,T36,T36,Gary Woodland,96,69.82,1955,28
37,T38,T38,Scott Piercy,84,69.83,1606,23
38,T38,T38,Henrik Stenson,60,69.83,838,12
39,40,40,Francesco Molinari,73,69.87,1048,15
40,41,41,Rory Sabbatini,91,69.88,1677,24
41,42,42,Patrick Reed,94,69.89,1328,19
42,43,43,Andrew Putnam,97,69.9,2167,31
43,44,44,Emiliano Grillo,94,69.91,2237,32
44,45,45,Brandon Harkins,101,69.94,2448,35
45,46,46,Rafa Cabrera Bello,75,69.95,1329,19
46,T47,T47,Corey Conners,97,70.0,2310,33
47,T47,T47,Brian Gay,103,70.0,2800,40
48,T47,T47,Sam Ryder,82,70.0,1540,22
49,50,50,Trey Mullinax,75,70.03,2031,29
50,51,51,Sam Saunders,80,70.05,1331,19
51,T52,T52,Charles Howell III,104,70.06,2382,34
52,T52,T52,Nate Lashley,51,70.06,1121,16
53,T52,T52,Vaughn Taylor,83,70.06,2172,31
54,55,55,David Hearn,66,70.07,1051,15
55,T56,T56,Ryan Armour,109,70.11,3085,44
56,T56,T56,Beau Hossler,104,70.11,1963,28
57,T56,T56,Scott Stallings,96,70.11,1262,18
58,T59,T59,Abraham Ancer,98,70.12,1823,26
59,T59,T59,Nick Watney,94,70.12,3015,43
60,T61,T61,Ryan Blaum,81,70.14,1964,28
61,T61,T61,J.T. Poston,73,70.14,1473,21
62,63,63,Tom Hoge,101,70.15,2315,33
63,64,64,J.J. Spaun,85,70.16,2175,31
64,T65,T65,Danny Lee,88,70.17,1684,24
65,T65,T65,Adam Scott,78,70.17,1614,23
66,T65,T65,Peter Uihlein,83,70.17,1614,23
67,68,68,Nicholas Lindheim,77,70.18,1544,22
68,69,69,Phil Mickelson,90,70.19,1474,21
69,70,70,Bill Haas,76,70.2,1755,25
70,T71,T71,Stewart Cink,87,70.21,2036,29
71,T71,T71,Joel Dahmen,93,70.21,1685,24
72,T71,T71,Fabián Gómez,88,70.21,2387,34
73,T71,T71,James Hahn,85,70.21,1966,28
74,T71,T71,Matt Kuchar,88,70.21,983,14
75,T71,T71,Patrick Rodgers,97,70.21,2668,38
76,77,77,Keith Mitchell,99,70.23,2177,31
77,78,78,Chris Kirk,108,70.24,2669,38
78,79,79,Lanto Griffin,80,70.25,1686,24
79,T80,T80,Charley Hoffman,87,70.29,1476,21
80,T80,T80,Conrad Shindler,60,70.29,1195,17
81,T80,T80,Kevin Streelman,94,70.29,2390,34
82,T83,T83,Russell Henley,77,70.3,1898,27
83,T83,T83,Patton Kizzire,92,70.3,2812,40
84,T85,T85,Austin Cook,107,70.31,3164,45
85,T85,T85,Chez Reavie,93,70.31,1828,26
86,T85,T85,Brian Stuard,103,70.31,2039,29
87,88,88,Lucas Glover,65,70.32,1336,19
88,89,89,Aaron Baddeley,84,70.34,2251,32
89,T90,T90,Tyrrell Hatton,58,70.35,1407,20
90,T90,T90,Jamie Lovemark,92,70.35,2181,31
91,T90,T90,Graeme McDowell,67,70.35,1196,17
92,T90,T90,Richy Werenski,98,70.35,1829,26
93,94,94,Chad Campbell,87,70.36,1759,25
94,T95,T95,Bryson DeChambeau,93,70.37,2111,30
95,T95,T95,Jason Dufner,71,70.37,1337,19
96,T95,T95,Ben Silverman,90,70.37,1337,19
97,98,98,Martin Laird,73,70.38,1478,21
98,99,99,Russell Knox,94,70.39,1971,28
99,100,100,Daniel Berger,81,70.4,2112,30
100,T101,T101,Ricky Barnes,65,70.42,1338,19
101,T101,T101,Marc Leishman,93,70.42,1831,26
102,T103,T103,Ryan Palmer,69,70.44,1127,16
