,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Dustin Johnson,77,68.54,5072,74
1,2,2,Justin Rose,70,69.03,4556,66
2,3,3,Justin Thomas,91,69.06,5663,82
3,4,4,Webb Simpson,95,69.25,6371,92
4,5,5,Brooks Koepka,64,69.39,4302,62
5,6,6,Rickie Fowler,74,69.41,5136,74
6,T7,T7,Tommy Fleetwood,73,69.52,4588,66
7,T7,T7,Rory McIlroy,64,69.52,4241,61
8,T9,T9,Tony Finau,105,69.53,6814,98
9,T9,T9,Jordan Spieth,81,69.53,5284,76
10,11,11,Tiger Woods,68,69.56,4730,68
11,12,12,Bryson DeChambeau,93,69.6,6473,93
12,13,13,Jon Rahm,71,69.65,4597,66
13,14,14,Henrik Stenson,60,69.66,3901,56
14,T15,T15,Jason Day,75,69.69,4739,68
15,T15,T15,Zach Johnson,94,69.69,6063,87
16,17,17,Billy Horschel,86,69.76,5720,82
17,18,18,Hideki Matsuyama,75,69.82,5027,72
18,19,19,Kevin Na,91,69.9,6011,86
19,20,20,Francesco Molinari,73,69.91,4894,70
20,T21,T21,Brian Gay,103,69.92,7062,101
21,T21,T21,Chris Kirk,108,69.92,7411,106
22,23,23,Patrick Cantlay,87,69.93,5594,80
23,24,24,Johnson Wagner,75,69.94,4826,69
24,25,25,Ryan Moore,78,69.96,5457,78
25,T26,T26,Rafa Cabrera Bello,75,69.97,4898,70
26,T26,T26,Jason Kokrak,99,69.97,6927,99
27,28,28,Emiliano Grillo,94,69.98,6438,92
28,T29,T29,Paul Casey,74,70.04,4973,71
29,T29,T29,Joel Dahmen,93,70.04,5953,85
30,T31,T31,Phil Mickelson,90,70.06,6095,87
31,T31,T31,C.T. Pan,104,70.06,6866,98
32,T31,T31,Cameron Percy,56,70.06,3503,50
33,T31,T31,Aaron Wise,90,70.06,6165,88
34,35,35,Bubba Watson,90,70.08,5536,79
35,36,36,J.J. Spaun,85,70.09,5537,79
36,T37,T37,Andrew Putnam,97,70.1,6239,89
37,T37,T37,Kevin Streelman,94,70.1,6449,92
38,T39,T39,Chesson Hadley,103,70.11,6941,99
39,T39,T39,Charles Howell III,104,70.11,7011,100
40,41,41,Austin Cook,107,70.12,7503,107
