,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Joel Dahmen,93,23.15,25,108
1,2,2,Dustin Johnson,77,23.08,24,104
2,3,3,J.B. Holmes,77,23.02,32,139
3,T4,T4,Tom Lovelady,87,22.22,28,126
4,T4,T4,Hudson Swafford,73,22.22,14,63
5,6,6,Jordan Spieth,81,22.12,23,104
6,7,7,Paul Casey,74,21.95,18,82
7,8,8,Matt Atkins,56,21.52,17,79
8,9,9,Cameron Percy,56,21.43,18,84
9,10,10,Justin Rose,70,21.33,16,75
10,11,11,Justin Thomas,91,21.01,25,119
11,12,12,Dominic Bozzelli,65,20.56,22,107
12,13,13,Robert Garrigus,80,20.47,26,127
13,14,14,Brandt Snedeker,84,20.45,27,132
14,15,15,Xinjun Zhang,81,20.22,18,89
15,16,16,Abraham Ancer,98,20.0,25,125
16,17,17,Gary Woodland,96,19.82,22,111
17,18,18,Rod Pampling,62,19.7,13,66
18,19,19,Sam Saunders,80,19.69,25,127
19,20,20,Charley Hoffman,87,19.59,19,97
20,21,21,Cameron Smith,85,19.53,25,128
21,22,22,Hunter Mahan,67,19.51,16,82
22,23,23,David Lingmerth,82,19.39,19,98
23,24,24,Jonathan Byrd,70,19.32,17,88
24,25,25,Emiliano Grillo,94,19.15,18,94
25,26,26,Billy Horschel,86,19.13,22,115
26,27,27,Jonas Blixt,67,19.1,17,89
27,28,28,Nick Watney,94,19.05,28,147
28,29,29,Jhonattan Vegas,92,18.85,23,122
29,30,30,Rory McIlroy,64,18.75,15,80
30,T31,T31,Henrik Stenson,60,18.6,8,43
31,T31,T31,Peter Uihlein,83,18.6,24,129
32,33,33,Bryson DeChambeau,93,18.55,23,124
33,34,34,Phil Mickelson,90,18.13,33,182
34,35,35,Andrew Putnam,97,18.05,24,133
35,36,36,Brooks Koepka,64,18.03,22,122
36,37,37,Keith Mitchell,99,17.98,32,178
37,38,38,Sam Ryder,82,17.86,15,84
38,39,39,Trey Mullinax,75,17.69,23,130
39,40,40,Rory Sabbatini,91,17.39,20,115
40,41,41,Graeme McDowell,67,17.33,13,75
41,42,42,Austin Cook,107,17.29,23,133
42,T43,T43,Bill Haas,76,17.17,17,99
43,T43,T43,Danny Lee,88,17.17,17,99
44,45,45,Bud Cauley,55,17.14,12,70
45,46,46,Jason Kokrak,99,17.11,26,152
46,47,47,Bubba Watson,90,16.94,21,124
47,48,48,William McGirt,84,16.9,24,142
48,49,49,Ricky Barnes,65,16.82,18,107
49,T50,T50,Kevin Chappell,77,16.81,20,119
50,T50,T50,Matt Kuchar,88,16.81,20,119
