,Tenth_Tee_Late_Round_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_4_Scoring_Average_AVG,Tenth_Tee_Late_Round_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Talor Gooch,64.0,64,1
1,2,2,Harris English,65.0,65,1
2,T3,T3,Dominic Bozzelli,66.0,66,1
3,T3,T3,Rafa Cabrera Bello,66.0,66,1
4,T3,T3,Patrick Cantlay,66.0,66,1
5,T3,T3,Brandon Harkins,66.0,66,1
6,T3,T3,Billy Hurley III,66.0,66,1
7,T3,T3,Jason Kokrak,66.0,66,1
8,T3,T3,Phil Mickelson,66.0,66,1
9,T3,T3,J.J. Spaun,66.0,66,1
10,11,11,Nate Lashley,66.5,133,2
11,T12,T12,Chris Kirk,67.0,67,1
12,T12,T12,Tom Lovelady,67.0,67,1
13,T12,T12,Patrick Rodgers,67.0,67,1
14,T12,T12,Conrad Shindler,67.0,134,2
15,T16,T16,Cameron Percy,67.5,135,2
16,T16,T16,Richy Werenski,67.5,135,2
17,T18,T18,Tyler Duncan,68.0,68,1
18,T18,T18,Marc Leishman,68.0,68,1
19,T18,T18,Andrew Putnam,68.0,136,2
20,T18,T18,Brendan Steele,68.0,68,1
21,T18,T18,Hudson Swafford,68.0,204,3
22,T18,T18,Peter Uihlein,68.0,136,2
23,T18,T18,Harold Varner III,68.0,68,1
24,T25,T25,Graeme McDowell,68.5,137,2
25,T25,T25,Sam Ryder,68.5,137,2
26,T27,T27,Chesson Hadley,68.67,206,3
27,T27,T27,Stephan Jaeger,68.67,206,3
28,T27,T27,Gary Woodland,68.67,206,3
29,T30,T30,Ryan Armour,69.0,138,2
30,T30,T30,Blayne Barber,69.0,276,4
31,T30,T30,Matt Every,69.0,138,2
32,T30,T30,Fabián Gómez,69.0,138,2
33,T30,T30,Emiliano Grillo,69.0,138,2
34,T30,T30,David Hearn,69.0,69,1
35,T30,T30,John Huh,69.0,69,1
36,T30,T30,Zach Johnson,69.0,138,2
37,T30,T30,Martin Laird,69.0,69,1
38,T30,T30,Jamie Lovemark,69.0,69,1
39,T30,T30,Louis Oosthuizen,69.0,69,1
40,T30,T30,Bubba Watson,69.0,138,2
41,42,42,Keith Mitchell,69.2,346,5
42,43,43,Adam Scott,69.5,139,2
43,44,44,Nick Taylor,69.75,279,4
44,T45,T45,Paul Casey,70.0,70,1
45,T45,T45,Joel Dahmen,70.0,140,2
46,T45,T45,J.J. Henry,70.0,140,2
47,T45,T45,Kevin Kisner,70.0,70,1
48,T45,T45,Satoshi Kodaira,70.0,70,1
49,T45,T45,Pat Perez,70.0,210,3
50,T45,T45,Ian Poulter,70.0,70,1
51,T45,T45,Ollie Schniederjans,70.0,140,2
52,T45,T45,Kevin Streelman,70.0,210,3
53,T54,T54,Corey Conners,70.33,211,3
54,T54,T54,Martin Flores,70.33,211,3
55,T56,T56,Bill Haas,70.5,141,2
56,T56,T56,J.B. Holmes,70.5,141,2
57,T56,T56,Shane Lowry,70.5,141,2
58,T56,T56,William McGirt,70.5,141,2
59,T56,T56,Robert Streb,70.5,141,2
60,T61,T61,Lanto Griffin,70.67,212,3
61,T61,T61,Beau Hossler,70.67,212,3
62,T61,T61,Scott Stallings,70.67,212,3
63,T64,T64,Aaron Baddeley,71.0,142,2
64,T64,T64,Cody Gribble,71.0,142,2
65,T64,T64,Tom Hoge,71.0,71,1
66,T64,T64,Francesco Molinari,71.0,71,1
67,T64,T64,Rob Oppenheim,71.0,71,1
68,T64,T64,"Ted Potter, Jr.",71.0,71,1
69,T64,T64,Chez Reavie,71.0,71,1
70,T64,T64,Xinjun Zhang,71.0,142,2
71,72,72,Ben Martin,71.2,356,5
72,73,73,Kevin Tway,71.25,285,4
73,T74,T74,Ricky Barnes,71.33,214,3
74,T74,T74,Scott Brown,71.33,214,3
