,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Dustin Johnson,77,68.69800000000001,5072,11.669,74
1,2,2,Justin Rose,70,68.993,4556,- 2.468,66
2,3,3,Justin Thomas,91,69.118,5663,4.652,82
3,4,4,Webb Simpson,95,69.293,6371,3.938,92
4,5,5,Rory McIlroy,64,69.303,4241,- 13.545,61
5,6,6,Tommy Fleetwood,73,69.342,4588,- 11.452,66
6,7,7,Tiger Woods,68,69.35,4730,- 14.227,68
7,8,8,Rickie Fowler,74,69.435,5136,2.191,74
8,9,9,Brooks Koepka,64,69.444,4302,3.519,62
9,10,10,Tony Finau,105,69.52,6814,- 1.079,98
10,11,11,Jason Day,75,69.60300000000001,4739,- 5.991,68
11,12,12,Henrik Stenson,60,69.617,3901,- 2.449,56
12,13,13,Bryson DeChambeau,93,69.646,6473,4.095,93
13,14,14,Francesco Molinari,73,69.797,4894,- 8.241,70
14,15,15,Paul Casey,74,69.85,4973,- 13.671,71
15,16,16,Rafa Cabrera Bello,75,69.887,4898,- 5.891,70
16,17,17,Patrick Cantlay,87,69.899,5594,- 2.071,80
17,18,18,Jordan Spieth,81,69.904,5284,28.677,76
18,19,19,Zach Johnson,94,69.911,6063,19.256,87
19,20,20,Jon Rahm,71,69.958,4597,20.204,66
20,21,21,Alex Noren,67,69.973,4222,- 23.647,60
21,22,22,Ryan Moore,78,70.015,5457,4.196,78
22,23,23,Hideki Matsuyama,75,70.02199999999999,5027,14.609,72
23,24,24,Tyrrell Hatton,58,70.09100000000001,3802,- 17.110,54
24,25,25,Phil Mickelson,90,70.098,6095,3.491,87
25,26,26,Patrick Reed,94,70.10600000000001,6038,- 8.920,86
26,27,27,Emiliano Grillo,94,70.152,6438,15.974,92
27,28,28,Billy Horschel,86,70.154,5720,32.650,82
28,29,29,Louis Oosthuizen,62,70.157,3806,- 17.525,54
29,30,30,Gary Woodland,96,70.161,6389,- 4.341,91
30,31,31,Byeong Hun An,86,70.19,5902,- 6.019,84
31,32,32,Charles Howell III,104,70.219,7011,10.875,100
32,33,33,Luke List,98,70.229,6679,- 7.229,95
33,34,34,Aaron Wise,90,70.247,6165,16.744,88
34,35,35,Marc Leishman,93,70.26,6312,11.401,90
35,36,36,Brian Gay,103,70.28,7062,36.311,101
36,37,37,Kevin Na,91,70.288,6011,33.755,86
37,38,38,Keegan Bradley,98,70.303,6525,13.174,93
38,39,39,Chesson Hadley,103,70.311,6941,19.784,99
39,40,40,Daniel Berger,81,70.32,5353,- 8.669,76
40,41,41,Jim Furyk,50,70.342,3388,- 11.594,48
41,42,42,Brandt Snedeker,84,70.37899999999999,5753,18.061,82
42,43,43,Bubba Watson,90,70.384,5536,24.311,79
43,44,44,Kyle Stanley,93,70.404,6183,12.547,88
44,45,45,Chris Kirk,108,70.411,7411,52.535,106
45,46,46,Branden Grace,67,70.41199999999999,4515,- 8.632,64
46,47,47,Adam Scott,78,70.42,5504,- 11.240,78
47,48,48,Chez Reavie,93,70.432,6036,21.164,86
48,49,49,Kevin Streelman,94,70.436,6449,31.091,92
49,50,50,Stewart Cink,87,70.44,6113,15.276,87
50,51,51,Jason Kokrak,99,70.444,6927,46.955,99
51,52,52,C.T. Pan,104,70.457,6866,38.777,98
52,53,53,Matt Kuchar,88,70.461,5626,10.903,80
53,54,54,Austin Cook,107,70.469,7503,37.137,107
54,55,55,Xander Schauffele,96,70.486,6549,6.172,93
55,56,56,Russell Henley,77,70.48899999999999,5224,- 7.800,74
56,57,57,Cameron Smith,85,70.517,5493,7.351,78
57,58,58,Charley Hoffman,87,70.521,5651,- 9.353,80
58,59,59,J.J. Spaun,85,70.525,5537,34.488,79
59,60,60,Brian Harman,94,70.536,6341,7.258,90
60,61,61,Russell Knox,94,70.568,6338,13.097,90
61,62,62,Beau Hossler,104,70.574,7302,37.683,104
62,T63,T63,Joel Dahmen,93,70.578,5953,46.108,85
63,T63,T63,Peter Uihlein,83,70.578,5495,10.113,78
64,65,65,Andrew Putnam,97,70.579,6239,42.501,89
65,66,66,Ian Poulter,73,70.593,4519,- 1.050,64
66,67,67,Pat Perez,82,70.594,5295,- .465,75
67,68,68,Kiradech Aphibarnrat,51,70.62899999999999,3277,- 28.069,46
68,69,69,Ollie Schniederjans,91,70.641,6143,2.736,87
69,70,70,Abraham Ancer,98,70.65899999999999,6745,38.301,96
70,71,71,Anirban Lahiri,82,70.66,5794,.125,82
71,72,72,Alex Cejka,77,70.675,4852,24.586,69
72,73,73,Vaughn Taylor,83,70.692,5554,30.631,79
73,74,74,Rory Sabbatini,91,70.693,6250,41.673,89
74,75,75,Bronson Burgoon,69,70.70100000000001,4845,33.336,69
75,76,76,John Huh,94,70.718,6329,35.607,90
76,77,77,Scott Stallings,96,70.719,6348,16.749,90
77,78,78,Brandon Harkins,101,70.721,6688,30.493,95
78,79,79,Kevin Kisner,89,70.729,5491,25.890,78
79,80,80,Patrick Rodgers,97,70.73100000000001,6572,5.976,93
80,81,81,Jamie Lovemark,92,70.734,6201,23.597,88
81,82,82,Scott Piercy,84,70.736,5634,24.879,80
82,83,83,Corey Conners,97,70.743,6543,36.067,93
83,84,84,Adam Hadwin,92,70.75,6280,16.754,89
84,85,85,Shane Lowry,64,70.75399999999999,3973,- 10.782,56
85,T86,T86,Ryan Armour,109,70.758,7515,56.143,107
86,T86,T86,Johnson Wagner,75,70.758,4826,56.333,69
87,88,88,Jimmy Walker,81,70.786,5456,- 5.503,77
88,89,89,J.B. Holmes,77,70.789,5306,3.206,75
89,90,90,William McGirt,84,70.791,5494,27.689,78
90,91,91,Sam Saunders,80,70.794,5208,30.754,74
91,92,92,Kevin Tway,110,70.8,7323,40.238,104
92,93,93,Trey Mullinax,75,70.815,4872,14.211,69
93,94,94,Blayne Barber,69,70.835,4699,46.914,67
94,T95,T95,Kevin Chappell,77,70.839,5243,- .914,74
95,T95,T95,Martin Laird,73,70.839,4576,28.535,65
96,T97,T97,Patton Kizzire,92,70.84100000000001,6263,41.848,89
97,T97,T97,Peter Malnati,87,70.84100000000001,5848,31.766,83
98,99,99,Aaron Baddeley,84,70.85,5518,8.336,78
99,100,100,Denny McCarthy,71,70.861,4432,32.262,63
100,101,101,Nick Watney,94,70.862,6346,31.574,90
101,102,102,Seamus Power,86,70.869,5490,37.782,78
102,103,103,Troy Merritt,89,70.888,5993,32.512,85
103,104,104,James Hahn,85,70.896,5779,34.491,82
104,105,105,Cameron Percy,56,70.90899999999999,3503,42.468,50
105,106,106,Sam Ryder,82,70.914,5612,61.082,80
106,107,107,J.T. Poston,73,70.915,4999,35.990,71
107,108,108,Keith Mitchell,99,70.92,6819,60.269,97
108,109,109,Michael Thompson,62,70.92399999999999,4085,28.611,58
109,110,110,Tom Hoge,101,70.945,6568,29.869,93
110,111,111,Harold Varner III,91,70.971,6303,13.422,89
111,112,112,Ben Martin,64,70.97399999999999,4533,9.367,64
112,113,113,Ryan Blaum,81,70.993,5502,35.485,78
113,114,114,Nate Lashley,51,70.999,3318,18.976,47
114,115,115,Graeme McDowell,67,71.001,4196,- 6.967,59
115,116,116,Brice Garnett,99,71.018,6716,30.748,95
116,117,117,Fabián Gómez,88,71.02,5929,36.713,84
117,118,118,Brendan Steele,74,71.021,4754,4.383,67
118,119,119,"Ted Potter, Jr.",87,71.024,6171,8.084,87
119,120,120,Bill Haas,76,71.028,5244,12.044,74
120,121,121,Ryan Palmer,69,71.031,4444,30.976,63
121,122,122,Brian Stuard,103,71.038,6855,35.723,97
122,123,123,Tyler Duncan,97,71.04,6582,24.711,93
123,124,124,David Lingmerth,82,71.043,5511,30.321,78
124,125,125,Andrew Landry,82,71.059,5657,27.705,80
125,126,126,Lucas Glover,65,71.066,4345,- 9.950,61
126,127,127,Ben Crane,65,71.097,4164,30.701,59
127,128,128,Matt Jones,70,71.112,4381,27.928,62
128,129,129,Hunter Mahan,67,71.135,4439,42.517,63
129,130,130,Lanto Griffin,80,71.145,5228,36.754,74
130,131,131,Talor Gooch,78,71.149,5112,10.704,72
131,132,132,Harris English,84,71.16199999999999,5522,28.660,78
132,133,133,Dominic Bozzelli,65,71.179,4603,23.641,65
133,134,134,Richy Werenski,98,71.185,6512,37.051,92
134,135,135,Brett Stegmaier,67,71.191,4301,41.639,61
135,136,136,Shawn Stefani,76,71.192,5229,39.207,74
136,137,137,Danny Lee,88,71.196,6077,45.891,86
137,138,138,Zac Blair,64,71.215,4089,41.454,58
138,139,139,Tyrone Van Aswegen,101,71.243,6595,30.593,93
139,140,140,Tom Lovelady,87,71.252,5739,32.448,81
140,141,141,Nick Taylor,94,71.26899999999999,6373,41.219,90
141,142,142,Jhonattan Vegas,92,71.275,6339,4.444,89
142,143,143,Ben Silverman,90,71.281,5956,31.616,84
143,144,144,Mackenzie Hughes,80,71.282,5387,30.431,76
144,145,145,Jason Dufner,71,71.32300000000001,4564,.668,64
145,146,146,David Hearn,66,71.325,4238,41.495,60
146,147,147,Scott Brown,102,71.329,6954,36.272,98
147,148,148,Kelly Kraft,94,71.333,6547,15.595,92
148,149,149,Nicholas Lindheim,77,71.344,4876,46.770,69
149,150,150,Charl Schwartzel,65,71.34899999999999,4160,- 21.741,58
150,T151,T151,Bud Cauley,55,71.35600000000001,3775,6.864,53
151,T151,T151,Stephan Jaeger,81,71.35600000000001,5316,35.665,75
152,153,153,Si Woo Kim,108,71.367,7394,28.185,104
153,154,154,Adam Schenk,86,71.37,5683,26.596,80
154,155,155,J.J. Henry,81,71.372,5321,31.897,75
155,156,156,Jonathan Byrd,70,71.398,4382,44.656,62
156,157,157,Retief Goosen,60,71.40899999999999,3721,- 7.724,52
157,158,158,Robert Garrigus,80,71.457,5391,39.695,76
158,159,159,Martin Flores,92,71.458,6112,33.354,86
159,160,160,Conrad Shindler,60,71.465,3952,50.046,56
160,161,161,Whee Kim,93,71.477,6318,43.497,89
161,162,162,Sean O'Hair,67,71.479,4490,13.153,63
162,163,163,Xinjun Zhang,81,71.486,5330,31.417,75
163,164,164,Rob Oppenheim,74,71.532,4830,34.144,68
164,165,165,Wesley Bryan,69,71.55199999999999,4770,23.961,67
165,166,166,Hudson Swafford,73,71.619,4760,38.504,67
166,167,167,Chris Stroud,81,71.628,5195,33.841,73
167,168,168,Steve Wheatcroft,60,71.631,4111,43.622,58
168,169,169,Michael Kim,74,71.66199999999999,5005,11.309,70
169,170,170,Ricky Barnes,65,71.663,4179,49.109,59
170,171,171,Chad Campbell,87,71.683,5632,30.969,79
171,172,172,Billy Hurley III,70,71.715,4565,24.746,64
172,173,173,Roberto Díaz,72,71.73100000000001,4847,30.729,68
173,174,174,Derek Fathauer,84,71.827,5722,24.143,80
174,175,175,Robert Streb,78,71.905,5301,19.934,74
175,176,176,Martin Piller,79,71.929,5509,29.551,77
176,177,177,Jonathan Randolph,71,71.945,4652,24.435,65
177,178,178,Sung Kang,89,71.954,6101,15.059,85
178,179,179,Ethan Tracy,72,72.038,4857,41.576,68
179,180,180,Matt Every,79,72.044,5379,24.265,75
180,181,181,Grayson Murray,72,72.09100000000001,5176,14.578,72
181,182,182,Cody Gribble,71,72.112,4667,20.290,65
182,183,183,Jonas Blixt,67,72.134,4383,17.156,61
183,184,184,Cameron Tringale,67,72.146,4525,20.201,63
184,185,185,Satoshi Kodaira,51,72.182,3467,- 2.278,48
185,186,186,Matt Atkins,56,72.251,3716,41.045,52
186,187,187,Rod Pampling,62,72.445,4184,17.806,58
187,188,188,Greg Chalmers,56,72.531,3767,4.591,52
188,189,189,Kyle Thompson,50,72.673,3311,31.976,46
189,190,190,Zecheng Dou,53,72.773,3546,19.892,49
190,191,191,D.A. Points,63,73.01899999999999,4414,40.174,61
191,192,192,Daniel Summerhays,51,73.17699999999999,3261,31.956,45
192,193,193,Andrew Yun,51,73.624,3284,29.069,45
