,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Dustin Johnson,77,2.16,363,168
1,2,2,Justin Rose,70,1.95,302,155
2,3,3,Justin Thomas,91,1.81,373,206
3,4,4,Rickie Fowler,74,1.79,303,169
4,T5,T5,Jordan Spieth,81,1.7,323,190
5,T5,T5,Henrik Stenson,60,1.7,209,123
6,T7,T7,Brooks Koepka,64,1.69,269,159
7,T7,T7,Webb Simpson,95,1.69,348,206
8,9,9,Tony Finau,105,1.64,421,256
9,10,10,Johnson Wagner,75,1.63,259,159
10,11,11,Tiger Woods,68,1.62,280,173
11,12,12,Bryson DeChambeau,93,1.61,404,251
12,T13,T13,Billy Horschel,86,1.6,329,205
13,T13,T13,Jon Rahm,71,1.6,300,188
14,T15,T15,Jason Day,75,1.59,289,182
15,T15,T15,Hideki Matsuyama,75,1.59,298,187
16,17,17,Rory McIlroy,64,1.58,253,160
17,T18,T18,Zach Johnson,94,1.56,344,220
18,T18,T18,Chris Kirk,108,1.56,410,263
19,T20,T20,Tommy Fleetwood,73,1.55,294,190
20,T20,T20,Kevin Streelman,94,1.55,332,214
21,22,22,Emiliano Grillo,94,1.51,361,239
22,23,23,Joel Dahmen,93,1.5,326,217
23,T24,T24,Phil Mickelson,90,1.49,387,259
24,T24,T24,Ryan Moore,78,1.49,280,188
25,T24,T24,Kevin Na,91,1.49,346,232
26,T24,T24,Sam Ryder,82,1.49,314,211
27,T28,T28,Beau Hossler,104,1.47,404,275
28,T28,T28,Chez Reavie,93,1.47,326,222
29,T30,T30,Hunter Mahan,67,1.46,244,167
30,T30,T30,Cameron Percy,56,1.46,196,134
31,32,32,C.T. Pan,104,1.45,378,260
32,T33,T33,Patrick Cantlay,87,1.44,315,218
33,T33,T33,Austin Cook,107,1.44,423,294
34,T33,T33,Brian Gay,103,1.44,393,272
35,T33,T33,Charles Howell III,104,1.44,362,252
36,T33,T33,Jason Kokrak,99,1.44,398,276
37,T33,T33,Francesco Molinari,73,1.44,269,187
38,T33,T33,Andrew Putnam,97,1.44,328,227
39,T40,T40,Paul Casey,74,1.42,275,193
40,T40,T40,Matt Kuchar,88,1.42,290,204
41,T42,T42,Rafa Cabrera Bello,75,1.41,275,195
42,T42,T42,Chesson Hadley,103,1.41,403,285
43,T42,T42,Keith Mitchell,99,1.41,406,287
44,T42,T42,Aaron Wise,90,1.41,368,261
45,46,46,Patrick Reed,94,1.4,334,239
46,T47,T47,Byeong Hun An,86,1.39,315,226
47,T47,T47,Abraham Ancer,98,1.39,354,255
48,T47,T47,Zac Blair,64,1.39,211,152
49,T47,T47,Marc Leishman,93,1.39,364,261
50,T47,T47,Rory Sabbatini,91,1.39,344,247
51,52,52,J.J. Spaun,85,1.38,313,227
52,T53,T53,Luke List,98,1.37,375,273
53,T53,T53,J.T. Poston,73,1.37,272,198
54,T53,T53,Kyle Stanley,93,1.37,341,249
55,T53,T53,Brett Stegmaier,67,1.37,237,173
56,T57,T57,Blayne Barber,69,1.36,257,189
57,T57,T57,Seamus Power,86,1.36,288,211
58,T57,T57,Michael Thompson,62,1.36,217,160
59,T57,T57,Bubba Watson,90,1.36,308,226
60,T61,T61,Keegan Bradley,98,1.35,354,262
61,T61,T61,Bronson Burgoon,69,1.35,272,201
62,T61,T61,Patton Kizzire,92,1.35,343,255
63,T61,T61,Danny Lee,88,1.35,336,248
64,T65,T65,Ryan Armour,109,1.34,398,297
65,T65,T65,Martin Laird,73,1.34,260,194
66,T65,T65,Jamie Lovemark,92,1.34,339,253
67,T65,T65,Denny McCarthy,71,1.34,224,167
68,T65,T65,Brandt Snedeker,84,1.34,307,229
69,T65,T65,Vaughn Taylor,83,1.34,312,233
70,T65,T65,Gary Woodland,96,1.34,360,269
71,T72,T72,James Hahn,85,1.33,304,229
72,T72,T72,William McGirt,84,1.33,264,199
73,T74,T74,Nate Lashley,51,1.32,165,125
74,T74,T74,Peter Malnati,87,1.32,314,237
75,T74,T74,Cameron Smith,85,1.32,295,224
76,T74,T74,Kevin Tway,110,1.32,403,305
77,T74,T74,Nick Watney,94,1.32,337,255
78,T79,T79,Alex Cejka,77,1.31,245,187
79,T79,T79,Alex Noren,67,1.31,213,163
80,T81,T81,Ricky Barnes,65,1.3,245,188
81,T81,T81,Corey Conners,97,1.3,350,269
82,T81,T81,Adam Hadwin,92,1.3,326,250
83,T81,T81,John Huh,94,1.3,345,265
84,T81,T81,Russell Knox,94,1.3,322,247
85,T81,T81,Pat Perez,82,1.3,291,223
86,T87,T87,Stewart Cink,87,1.29,329,255
87,T87,T87,Ben Crane,65,1.29,207,160
88,T87,T87,Brandon Harkins,101,1.29,388,301
89,T87,T87,Matt Jones,70,1.29,233,181
90,T87,T87,Kevin Kisner,89,1.29,277,214
91,T87,T87,Ian Poulter,73,1.29,241,187
92,T87,T87,Sam Saunders,80,1.29,301,233
93,T94,T94,Branden Grace,67,1.28,242,189
94,T94,T94,Tyrrell Hatton,58,1.28,185,144
95,T94,T94,Xander Schauffele,96,1.28,361,281
96,T94,T94,Adam Scott,78,1.28,299,234
97,T94,T94,Scott Stallings,96,1.28,322,252
98,T94,T94,Shawn Stefani,76,1.28,276,215
99,T94,T94,Steve Wheatcroft,60,1.28,204,159
100,T101,T101,Jonathan Byrd,70,1.27,223,176
101,T101,T101,Russell Henley,77,1.27,278,219
102,T101,T101,Nick Taylor,94,1.27,315,248
103,T104,T104,Daniel Berger,81,1.26,276,219
104,T104,T104,Fabián Gómez,88,1.26,293,232
105,T104,T104,Scott Piercy,84,1.26,298,237
106,T104,T104,Brian Stuard,103,1.26,335,265
107,T104,T104,Peter Uihlein,83,1.26,294,233
108,T109,T109,Brian Harman,94,1.25,342,273
109,T109,T109,David Hearn,66,1.25,223,179
110,T109,T109,Tom Hoge,101,1.25,361,288
111,T109,T109,Troy Merritt,89,1.25,325,260
112,T109,T109,Ryan Palmer,69,1.25,256,204
113,T109,T109,Patrick Rodgers,97,1.25,350,281
114,T109,T109,Conrad Shindler,60,1.25,202,161
115,T116,T116,Lanto Griffin,80,1.24,287,232
116,T116,T116,David Lingmerth,82,1.24,300,241
117,T116,T116,Ben Silverman,90,1.24,315,255
118,119,119,Ollie Schniederjans,91,1.23,346,281
119,T120,T120,Brice Garnett,99,1.22,338,277
120,T120,T120,Tom Lovelady,87,1.22,326,268
121,T120,T120,Trey Mullinax,75,1.22,269,221
122,T120,T120,Louis Oosthuizen,62,1.22,187,153
123,T124,T124,Ryan Blaum,81,1.21,304,252
124,T124,T124,Kevin Chappell,77,1.21,287,238
125,T124,T124,Lucas Glover,65,1.21,217,180
126,T124,T124,Charley Hoffman,87,1.21,293,242
127,T124,T124,J.B. Holmes,77,1.21,280,231
128,T124,T124,Andrew Landry,82,1.21,288,238
129,T124,T124,Nicholas Lindheim,77,1.21,255,211
130,T124,T124,Ben Martin,64,1.21,233,193
131,T132,T132,Bud Cauley,55,1.2,195,163
132,T132,T132,Whee Kim,93,1.2,332,276
133,T132,T132,Harold Varner III,91,1.2,317,264
134,T135,T135,Anirban Lahiri,82,1.19,297,250
135,T135,T135,Jimmy Walker,81,1.19,285,239
136,T137,T137,Aaron Baddeley,84,1.18,269,228
137,T137,T137,Harris English,84,1.18,290,245
138,T137,T137,Robert Garrigus,80,1.18,291,247
139,T137,T137,Stephan Jaeger,81,1.18,263,223
140,T137,T137,Hudson Swafford,73,1.18,253,215
141,T137,T137,Richy Werenski,98,1.18,325,275
142,T143,T143,Scott Brown,102,1.17,357,304
143,T143,T143,Mackenzie Hughes,80,1.17,282,242
144,T143,T143,Xinjun Zhang,81,1.17,274,235
145,T146,T146,Shane Lowry,64,1.16,198,171
146,T146,T146,Rob Oppenheim,74,1.16,242,209
147,T146,T146,Tyrone Van Aswegen,101,1.16,323,278
148,T149,T149,Si Woo Kim,108,1.15,378,330
149,T149,T149,Chris Stroud,81,1.15,261,226
150,T151,T151,Tyler Duncan,97,1.14,336,296
151,T151,T151,Talor Gooch,78,1.14,252,221
152,T153,T153,Martin Flores,92,1.13,314,278
153,T153,T153,J.J. Henry,81,1.13,245,216
154,T153,T153,Graeme McDowell,67,1.13,201,178
155,T153,T153,Sean O'Hair,67,1.13,221,195
156,T157,T157,Dominic Bozzelli,65,1.12,237,211
157,T157,T157,Wesley Bryan,69,1.12,232,208
158,T157,T157,Brendan Steele,74,1.12,240,214
159,T157,T157,Jhonattan Vegas,92,1.12,312,279
160,T161,T161,Grayson Murray,72,1.11,293,264
161,T161,T161,Adam Schenk,86,1.11,270,243
162,T163,T163,Bill Haas,76,1.1,233,211
163,T163,T163,"Ted Potter, Jr.",87,1.1,318,289
164,T165,T165,Jim Furyk,50,1.09,152,139
165,T165,T165,Kelly Kraft,94,1.09,312,285
166,T167,T167,Matt Atkins,56,1.07,187,175
167,T167,T167,Jason Dufner,71,1.07,219,204
168,169,169,Ethan Tracy,72,1.04,237,228
169,170,170,Martin Piller,79,1.03,273,265
170,T171,T171,Kiradech Aphibarnrat,51,1.02,166,163
171,T171,T171,Roberto Díaz,72,1.02,220,216
172,T171,T171,Cody Gribble,71,1.02,234,229
173,T171,T171,Michael Kim,74,1.02,247,243
174,T175,T175,Matt Every,79,1.01,272,270
175,T175,T175,Derek Fathauer,84,1.01,284,282
176,T175,T175,Sung Kang,89,1.01,299,295
177,T178,T178,Chad Campbell,87,1.0,250,251
178,T178,T178,Cameron Tringale,67,1.0,209,210
179,180,180,Robert Streb,78,0.99,248,251
180,181,181,Charl Schwartzel,65,0.98,193,197
181,T182,T182,Billy Hurley III,70,0.97,215,221
182,T182,T182,Jonathan Randolph,71,0.97,210,217
183,184,184,Retief Goosen,60,0.96,170,177
184,185,185,Jonas Blixt,67,0.95,198,208
185,186,186,Rod Pampling,62,0.94,186,197
186,187,187,Kyle Thompson,50,0.88,150,171
187,188,188,Daniel Summerhays,51,0.87,147,169
188,189,189,D.A. Points,63,0.84,196,233
189,T190,T190,Greg Chalmers,56,0.83,165,200
190,T190,T190,Zecheng Dou,53,0.83,157,190
191,192,192,Satoshi Kodaira,51,0.73,150,206
192,193,193,Andrew Yun,51,0.72,142,197
