,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,1,1,Webb Simpson,95,18.0
1,2,2,Justin Thomas,91,17.0
2,3,3,Tony Finau,105,16.0
3,T4,T4,Keegan Bradley,98,15.0
4,T4,T4,Dustin Johnson,77,15.0
5,T6,T6,Stewart Cink,87,14.0
6,T6,T6,Brandon Harkins,101,14.0
7,T6,T6,Jason Kokrak,99,14.0
8,T6,T6,Hideki Matsuyama,75,14.0
9,T6,T6,Gary Woodland,96,14.0
10,T11,T11,Bryson DeChambeau,93,13.0
11,T11,T11,Chesson Hadley,103,13.0
12,T13,T13,Matt Every,79,12.0
13,T13,T13,James Hahn,85,12.0
14,T13,T13,John Huh,94,12.0
15,T13,T13,Phil Mickelson,90,12.0
16,T13,T13,Rory Sabbatini,91,12.0
17,T13,T13,Kevin Tway,110,12.0
18,T13,T13,Bubba Watson,90,12.0
19,T20,T20,Rafa Cabrera Bello,75,11.0
20,T20,T20,Tyler Duncan,97,11.0
21,T20,T20,J.B. Holmes,77,11.0
22,T20,T20,Patrick Reed,94,11.0
23,T20,T20,Conrad Shindler,60,11.0
24,T20,T20,Richy Werenski,98,11.0
25,T26,T26,Beau Hossler,104,10.0
26,T26,T26,Whee Kim,93,10.0
27,T26,T26,Chris Kirk,108,10.0
28,T26,T26,Troy Merritt,89,10.0
29,T26,T26,Kevin Na,91,10.0
30,T26,T26,Brandt Snedeker,84,10.0
31,T26,T26,Ethan Tracy,72,10.0
32,T26,T26,Harold Varner III,91,10.0
33,T34,T34,Aaron Baddeley,84,9.0
34,T34,T34,Ryan Blaum,81,9.0
35,T34,T34,Bronson Burgoon,69,9.0
36,T34,T34,Patrick Cantlay,87,9.0
37,T34,T34,Alex Cejka,77,9.0
38,T34,T34,Harris English,84,9.0
39,T34,T34,Derek Fathauer,84,9.0
40,T34,T34,Tommy Fleetwood,73,9.0
41,T34,T34,Kevin Kisner,89,9.0
42,T34,T34,Tom Lovelady,87,9.0
43,T34,T34,Rory McIlroy,64,9.0
44,T34,T34,Keith Mitchell,99,9.0
45,T34,T34,D.A. Points,63,9.0
46,T34,T34,Hudson Swafford,73,9.0
47,T34,T34,Peter Uihlein,83,9.0
48,T49,T49,Byeong Hun An,86,8.0
49,T49,T49,Daniel Berger,81,8.0
50,T49,T49,Fabián Gómez,88,8.0
51,T49,T49,Lanto Griffin,80,8.0
52,T49,T49,Charley Hoffman,87,8.0
53,T49,T49,Billy Horschel,86,8.0
54,T49,T49,Zach Johnson,94,8.0
55,T49,T49,Matt Jones,70,8.0
56,T49,T49,Russell Knox,94,8.0
57,T49,T49,Brooks Koepka,64,8.0
58,T49,T49,Andrew Landry,82,8.0
59,T49,T49,Marc Leishman,93,8.0
60,T49,T49,Luke List,98,8.0
61,T49,T49,Jamie Lovemark,92,8.0
62,T49,T49,Grayson Murray,72,8.0
63,T49,T49,Ryan Palmer,69,8.0
64,T49,T49,Cameron Percy,56,8.0
65,T49,T49,Xinjun Zhang,81,8.0
66,T67,T67,Kiradech Aphibarnrat,51,7.0
67,T67,T67,Jonathan Byrd,70,7.0
68,T67,T67,Chad Campbell,87,7.0
69,T67,T67,Paul Casey,74,7.0
70,T67,T67,Kevin Chappell,77,7.0
71,T67,T67,Joel Dahmen,93,7.0
72,T67,T67,Rickie Fowler,74,7.0
73,T67,T67,Brice Garnett,99,7.0
74,T67,T67,Brian Gay,103,7.0
75,T67,T67,Talor Gooch,78,7.0
76,T67,T67,Bill Haas,76,7.0
77,T67,T67,Tom Hoge,101,7.0
78,T67,T67,Charles Howell III,104,7.0
79,T67,T67,Sung Kang,89,7.0
80,T67,T67,Patton Kizzire,92,7.0
81,T67,T67,Kelly Kraft,94,7.0
82,T67,T67,Martin Laird,73,7.0
83,T67,T67,Danny Lee,88,7.0
84,T67,T67,Ryan Moore,78,7.0
85,T67,T67,C.T. Pan,104,7.0
86,T67,T67,"Ted Potter, Jr.",87,7.0
87,T67,T67,Jon Rahm,71,7.0
88,T67,T67,Chez Reavie,93,7.0
89,T67,T67,Patrick Rodgers,97,7.0
90,T67,T67,Sam Ryder,82,7.0
91,T67,T67,Xander Schauffele,96,7.0
92,T67,T67,Adam Schenk,86,7.0
93,T67,T67,Cameron Smith,85,7.0
94,T67,T67,Jordan Spieth,81,7.0
95,T67,T67,Scott Stallings,96,7.0
96,T67,T67,Brendan Steele,74,7.0
97,T67,T67,Shawn Stefani,76,7.0
98,T67,T67,Jhonattan Vegas,92,7.0
99,T67,T67,Johnson Wagner,75,7.0
100,T67,T67,Nick Watney,94,7.0
101,T102,T102,Ryan Armour,109,6.0
102,T102,T102,Jonas Blixt,67,6.0
103,T102,T102,Ben Crane,65,6.0
104,T102,T102,Branden Grace,67,6.0
105,T102,T102,Adam Hadwin,92,6.0
106,T102,T102,Brian Harman,94,6.0
107,T102,T102,Billy Hurley III,70,6.0
108,T102,T102,Michael Kim,74,6.0
109,T102,T102,Satoshi Kodaira,51,6.0
110,T102,T102,Sean O'Hair,67,6.0
111,T102,T102,Rob Oppenheim,74,6.0
112,T102,T102,Adam Scott,78,6.0
113,T102,T102,Brett Stegmaier,67,6.0
114,T102,T102,Cameron Tringale,67,6.0
115,T102,T102,Jimmy Walker,81,6.0
116,T102,T102,Aaron Wise,90,6.0
117,T102,T102,Tiger Woods,68,6.0
118,T119,T119,Abraham Ancer,98,5.0
119,T119,T119,Matt Atkins,56,5.0
120,T119,T119,Ricky Barnes,65,5.0
121,T119,T119,Dominic Bozzelli,65,5.0
122,T119,T119,Corey Conners,97,5.0
123,T119,T119,Jason Day,75,5.0
124,T119,T119,Robert Garrigus,80,5.0
125,T119,T119,Lucas Glover,65,5.0
126,T119,T119,David Hearn,66,5.0
127,T119,T119,Russell Henley,77,5.0
128,T119,T119,Stephan Jaeger,81,5.0
129,T119,T119,Si Woo Kim,108,5.0
130,T119,T119,William McGirt,84,5.0
131,T119,T119,Francesco Molinari,73,5.0
132,T119,T119,Trey Mullinax,75,5.0
133,T119,T119,Alex Noren,67,5.0
134,T119,T119,Scott Piercy,84,5.0
135,T119,T119,Andrew Putnam,97,5.0
136,T119,T119,Ollie Schniederjans,91,5.0
137,T119,T119,Kyle Stanley,93,5.0
138,T119,T119,Henrik Stenson,60,5.0
