,Consecutive_Par_5_Birdies_RANK THIS WEEK,Consecutive_Par_5_Birdies_RANK LAST WEEK,Consecutive_Par_5_Birdies_PLAYER NAME,Consecutive_Par_5_Birdies_EVENTS,Consecutive_Par_5_Birdies_NUMBER OF HOLES
0,1,1,Robert Allenby,28,15
1,T2,T2,Freddie Jacobson,20,11
2,T2,T2,George McNeill,30,11
3,T2,T2,Phil Mickelson,22,11
4,T2,T2,Sean O'Hair,28,11
5,T2,T2,Carl Pettersson,31,11
6,T7,T7,Cameron Beckman,29,10
7,T7,T7,Sergio Garcia,19,10
8,T7,T7,Zach Johnson,23,10
9,T7,T7,Nick Watney,26,10
10,T11,T11,Ernie Els,16,9
11,T11,T11,Jason Gore,27,9
12,T11,T11,Bill Haas,30,9
13,T11,T11,Charles Howell III,26,9
14,T11,T11,Anthony Kim,26,9
15,T11,T11,Steve Marino,31,9
16,T11,T11,Ted Purdy,33,9
17,T11,T11,Tag Ridings,18,9
18,T11,T11,Adam Scott,19,9
19,T11,T11,Vijay Singh,27,9
20,T11,T11,Brett Wetterich,28,9
21,T22,T22,Billy Andrade,27,8
22,T22,T22,Rich Beem,29,8
23,T22,T22,Mark Calcavecchia,28,8
24,T22,T22,Alex Cejka,25,8
25,T22,T22,Gavin Coles,28,8
26,T22,T22,Brian Davis,28,8
27,T22,T22,Dudley Hart,12,8
28,T22,T22,J.J. Henry,26,8
29,T22,T22,Davis Love III,21,8
30,T22,T22,John Mallinger,29,8
31,T22,T22,Billy Mayfair,30,8
32,T22,T22,Joe Ogilvie,31,8
33,T22,T22,Tim Petrovic,32,8
34,T22,T22,John Rollins,29,8
35,T22,T22,Rory Sabbatini,23,8
36,T22,T22,Steve Stricker,23,8
37,T22,T22,Kevin Sutherland,25,8
38,T22,T22,Bo Van Pelt,30,8
39,T22,T22,Johnson Wagner,33,8
40,T22,T22,Bubba Watson,26,8
41,T22,T22,Charlie Wi,27,8
42,T22,T22,Tiger Woods,16,8
43,T44,T44,Michael Allen,22,7
44,T44,T44,Aaron Baddeley,23,7
45,T44,T44,Rich Barcelo,26,7
46,T44,T44,Jonathan Byrd,23,7
47,T44,T44,John Daly,24,7
48,T44,T44,Steve Elkington,25,7
49,T44,T44,Jim Furyk,23,7
50,T44,T44,"Jim Gallagher, Jr.",9,7
51,T44,T44,Lucas Glover,29,7
52,T44,T44,Mathew Goggin,30,7
53,T44,T44,Paul Gow,26,7
54,T44,T44,Nathan Green,29,7
55,T44,T44,Mark Hensby,25,7
56,T44,T44,J.B. Holmes,24,7
57,T44,T44,Tripp Isenhour,32,7
58,T44,T44,Lee Janzen,24,7
59,T44,T44,Tom Johnson,27,7
60,T44,T44,Colt Knost,4,7
61,T44,T44,Matt Kuchar,26,7
62,T44,T44,Peter Lonard,27,7
63,T44,T44,Shigeki Maruyama,31,7
64,T44,T44,Daisuke Maruyama,28,7
65,T44,T44,William McGirt,1,7
66,T44,T44,John Merrick,29,7
67,T44,T44,Bryce Molder,21,7
68,T44,T44,José María Olazábal,16,7
69,T44,T44,Rod Pampling,25,7
70,T44,T44,Jesper Parnevik,27,7
71,T44,T44,Michael Putnam,29,7
72,T44,T44,Jeff Quinney,29,7
73,T44,T44,John Senden,27,7
74,T44,T44,Heath Slocum,28,7
75,T44,T44,Darron Stiles,24,7
76,T44,T44,Chris Tidland,21,7
77,T44,T44,David Toms,22,7
78,T44,T44,Jaco Van Zyl,21,7
79,T44,T44,Duffy Waldorf,23,7
80,T44,T44,Mark Wilson,25,7
81,T82,T82,Woody Austin,27,6
82,T82,T82,Briny Baird,31,6
83,T82,T82,Craig Barlow,16,6
84,T82,T82,Jason Bohn,17,6
85,T82,T82,Michael Boyd,21,6
86,T82,T82,Jeff Brehaut,21,6
87,T82,T82,Tom Byrum,20,6
88,T82,T82,Daniel Chopra,34,6
89,T82,T82,José Coceres,17,6
90,T82,T82,Chris Couch,30,6
91,T82,T82,Kris Cox,8,6
92,T82,T82,Brendon de Jonge,26,6
93,T82,T82,Bob Estes,28,6
94,T82,T82,Nick Flanagan,4,6
95,T82,T82,Harrison Frazar,32,6
96,T82,T82,Jeff Gove,30,6
97,T82,T82,Mathias Grönberg,31,6
98,T82,T82,Charley Hoffman,30,6
99,T82,T82,Ryuji Imada,32,6
100,T82,T82,Kent Jones,30,6
101,T82,T82,Craig Kanada,34,6
102,T82,T82,Tom Lehman,19,6
103,T82,T82,Frank Lickliter II,30,6
104,T82,T82,Jarrod Lyle,24,6
105,T82,T82,Will MacKenzie,30,6
106,T82,T82,Jeff Maggert,26,6
107,T82,T82,Hunter Mahan,27,6
108,T82,T82,Bob May,16,6
109,T82,T82,Ryan Moore,28,6
110,T82,T82,Geoff Ogilvy,22,6
111,T82,T82,Jeff Overton,19,6
112,T82,T82,Ryan Palmer,30,6
113,T82,T82,Pat Perez,27,6
114,T82,T82,Tom Pernice Jr.,31,6
115,T82,T82,Kenny Perry,24,6
116,T82,T82,Ian Poulter,18,6
117,T82,T82,Justin Rose,16,6
118,T82,T82,Charl Schwartzel,6,6
119,T82,T82,Jeff Sluman,21,6
120,T82,T82,Brandt Snedeker,29,6
121,T82,T82,Kevin Stadler,31,6
122,T82,T82,Chris Stroud,24,6
123,T82,T82,Vaughn Taylor,28,6
124,T82,T82,D.J. Trahan,30,6
125,T82,T82,Camilo Villegas,24,6
126,T82,T82,Charles Warren,29,6
127,T82,T82,Mike Weir,23,6
128,T82,T82,Steve Wheatcroft,25,6
129,T130,T130,Steve Allan,18,5
130,T130,T130,Stephen Ames,23,5
131,T130,T130,Stuart Appleby,24,5
132,T130,T130,Ryan Armour,32,5
133,T130,T130,Eric Axley,36,5
134,T130,T130,Paul Azinger,13,5
135,T130,T130,Craig Bowden,25,5
136,T130,T130,Michael Bradley,8,5
137,T130,T130,D.J. Brigman,22,5
138,T130,T130,Andrew Buckle,26,5
139,T130,T130,Chad Campbell,28,5
140,T130,T130,K.J. Choi,25,5
141,T130,T130,Ben Curtis,25,5
142,T130,T130,Marco Dawson,23,5
143,T130,T130,Jay Delsing,12,5
144,T130,T130,Bubba Dickerson,19,5
