,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Heath Slocum,185,17
1,T2,T2,Scott Verplank,496,14
2,T2,T2,Dean Wilson,154,14
3,4,4,Tiger Woods,220,11
4,5,5,John Senden,170,10
5,T6,T6,Daniel Chopra,131,9
6,T6,T6,Parker McLachlin,32,9
7,T8,T8,Stuart Appleby,289,8
8,T8,T8,Ken Duke,70,8
9,T8,T8,Robert Gamez,469,8
10,T8,T8,Sergio Garcia,147,8
11,T8,T8,Freddie Jacobson,95,8
12,T8,T8,Billy Mayfair,576,8
13,T8,T8,Bryce Molder,57,8
14,T8,T8,Camilo Villegas,64,8
15,T8,T8,Mike Weir,249,8
16,T8,T8,Garrett Willis,141,8
17,18,18,Jerry Kelly,369,7
18,T19,T19,Trevor Immelman,82,6
19,T19,T19,Rory Sabbatini,215,6
20,T21,T21,Stephen Ames,234,5
21,T21,T21,Arjun Atwal,96,5
22,T21,T21,Alex Cejka,149,5
23,T21,T21,Stewart Cink,295,5
24,T21,T21,Joe Durant,313,5
25,T21,T21,Brian Gay,282,5
26,T21,T21,Mathias Grönberg,124,5
27,T21,T21,Bob Heintz,114,5
28,T21,T21,Craig Kanada,90,5
29,T21,T21,Shigeki Maruyama,239,5
30,T21,T21,Nick O'Hern,53,5
31,T21,T21,Jeff Overton,47,5
32,T21,T21,Tag Ridings,104,5
33,T21,T21,Jason Schultz,50,5
34,T21,T21,Vijay Singh,363,5
35,T21,T21,Kevin Stadler,75,5
36,T21,T21,Henrik Stenson,28,5
37,T21,T21,Brett Wetterich,122,5
38,T39,T39,Andy Bare,2,4
39,T39,T39,Craig Barlow,243,4
40,T39,T39,Mark Brooks,724,4
41,T39,T39,Alejandro Cañizares,3,4
42,T39,T39,Tim Clark,139,4
43,T39,T39,Russ Cochran,589,4
44,T39,T39,Todd Fischer,139,4
45,T39,T39,Jeff Gove,121,4
46,T39,T39,J.P. Hayes,325,4
47,T39,T39,J.B. Holmes,51,4
48,T39,T39,Ryuji Imada,94,4
49,T39,T39,Neal Lancaster,527,4
50,T39,T39,Justin Leonard,357,4
51,T39,T39,Luke List,7,4
52,T39,T39,Jesper Parnevik,306,4
53,T39,T39,Tom Pernice Jr.,465,4
54,T39,T39,Kyle Reifers,28,4
55,T39,T39,B.J. Staten,24,4
56,T39,T39,Phil Tataurangi,191,4
57,T39,T39,Charles Warren,115,4
58,T39,T39,Lee Williams,4,4
59,T39,T39,Mark Wilson,127,4
60,T61,T61,Ángel Cabrera,82,3
61,T61,T61,Brian Davis,90,3
62,T61,T61,Luke Donald,141,3
63,T61,T61,Jim Furyk,350,3
64,T61,T61,Paul Goydos,368,3
65,T61,T61,Scott Gutschewski,67,3
66,T61,T61,Dudley Hart,420,3
67,T61,T61,Mark Hensby,121,3
68,T61,T61,Zach Johnson,109,3
69,T61,T61,Anthony Kim,28,3
70,T61,T61,Greg Kraft,366,3
71,T61,T61,Bernhard Langer,293,3
72,T61,T61,Bob May,158,3
73,T61,T61,Shaun Micheel,275,3
74,T61,T61,David Toms,401,3
75,T76,T76,Brian Bateman,155,2
76,T76,T76,Chris Couch,112,2
77,T76,T76,Ben Curtis,116,2
78,T76,T76,Pelle Edberg,1,2
79,T76,T76,Brad Faxon,622,2
80,T76,T76,Tadd Fujikawa,5,2
81,T76,T76,Lucas Glover,121,2
82,T76,T76,Bill Haas,77,2
83,T76,T76,Tim Herron,333,2
84,T76,T76,Tim Hogarth,2,2
85,T76,T76,Tom Lehman,414,2
86,T76,T76,Alan McLean,2,2
87,T76,T76,John Merrick,30,2
88,T76,T76,Kevin Na,103,2
89,T76,T76,Rod Pampling,155,2
90,T76,T76,Pat Perez,166,2
91,T76,T76,Craig Perks,197,2
92,T76,T76,Ian Poulter,66,2
93,T76,T76,Justin Rose,106,2
94,T76,T76,Jim Rutledge,54,2
