,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Phil Mickelson,23,176
1,2,2,Sergio Garcia,18,199
2,3,3,Scott McCarron,25,207
3,4,4,Vijay Singh,26,241
4,5,5,Scott Verplank,26,319
5,6,6,Rocco Mediate,21,327
6,7,7,Kenny Perry,26,332
7,8,8,Jeff Sluman,30,335
8,9,9,Frank Lickliter II,29,342
9,10,10,Chris DiMarco,29,343
10,11,11,Tiger Woods,19,347
11,12,12,Mark Calcavecchia,23,362
12,13,13,Davis Love III,20,389
13,14,14,Billy Mayfair,29,400
14,15,15,David Toms,28,410
15,16,16,Kevin Sutherland,30,413
16,17,17,Jim Furyk,24,429
17,18,18,Scott Hoch,24,431
18,19,19,Cameron Beckman,29,437
19,20,20,Kirk Triplett,26,439
20,21,21,Dudley Hart,25,440
21,T22,T22,Steve Flesch,32,453
22,T22,T22,Mike Weir,23,453
23,24,24,Tom Lehman,23,455
24,25,25,Paul Azinger,20,464
25,26,26,Joel Edwards,30,470
26,T27,T27,David Duval,20,472
27,T27,T27,Charles Howell III,24,472
28,29,29,Jesper Parnevik,25,493
29,30,30,Bob Estes,26,501
30,31,31,Brett Quigley,21,513
31,32,32,Joe Durant,25,516
32,33,33,Skip Kendall,33,519
33,34,34,Shigeki Maruyama,27,520
34,35,35,Jerry Kelly,31,528
35,36,36,Jay Haas,21,532
36,37,37,Stuart Appleby,29,533
37,38,38,John Daly,25,534
38,39,39,Ernie Els,19,554
39,40,40,Nick Price,20,556
40,41,41,Stephen Ames,26,557
41,T42,T42,Stewart Cink,29,559
42,T42,T42,Justin Leonard,30,559
43,T44,T44,John Cook,25,561
44,T44,T44,Brad Faxon,26,561
45,46,46,Bob Tway,29,567
46,47,47,Russ Cochran,24,572
47,48,48,Steve Lowery,28,576
48,49,49,Brian Gay,32,588
49,50,50,Edward Fryatt,31,589
50,51,51,Hal Sutton,26,593
51,52,52,Brandt Jobe,30,596
