,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,David Toms,8,2165147
1,2,2,Bob Estes,7,1743292
2,3,3,Scott Verplank,8,1325280
3,4,4,Chris DiMarco,7,1259239
4,5,5,Tiger Woods,5,1231466
5,6,6,Jim Furyk,8,1157329
6,7,7,Mike Weir,7,1129450
7,8,8,Robert Allenby,9,1042264
8,9,9,Davis Love III,6,1031867
9,10,10,Justin Leonard,9,967081
10,11,11,Kenny Perry,6,910715
11,12,12,Steve Lowery,7,851417
12,13,13,Joel Edwards,9,843501
13,14,14,Phil Mickelson,3,783900
14,15,15,José Coceres,7,783707
15,16,16,David Duval,5,717467
16,17,17,Cameron Beckman,8,715152
17,18,18,Charles Howell III,10,630926
18,19,19,J.J. Henry,8,627579
19,20,20,Ernie Els,4,627167
20,21,21,John Cook,7,625522
21,22,22,Tom Lehman,5,569733
22,23,23,Kirk Triplett,6,557248
23,24,24,Fred Funk,12,526790
24,25,25,Sergio Garcia,4,523700
25,26,26,Matt Kuchar,6,500616
26,27,27,Scott McCarron,7,471851
27,28,28,Chris Riley,8,465591
28,29,29,Steve Flesch,8,458001
29,30,30,Stuart Appleby,8,448954
30,31,31,Rory Sabbatini,7,431941
31,32,32,Nick Price,7,427174
32,33,33,Brian Gay,10,422430
33,34,34,Neal Lancaster,11,415261
34,35,35,Vijay Singh,7,401572
35,36,36,Jerry Smith,10,400273
36,37,37,Joey Sindelar,6,388800
37,38,38,John Daly,6,371195
38,39,39,Larry Mize,6,369412
39,40,40,Paul Azinger,7,366628
40,41,41,Jerry Kelly,9,362776
41,42,42,Mark Calcavecchia,6,357364
42,43,43,Jesper Parnevik,7,341857
43,44,44,Rocco Mediate,7,341344
44,45,45,Stewart Cink,8,339773
45,46,46,Kevin Sutherland,8,328750
46,47,47,David Peoples,9,319950
47,48,48,Matt Gogel,5,317350
48,49,49,Dudley Hart,5,305867
49,50,50,Steve Elkington,6,304387
50,51,51,Scott Hoch,6,299333
51,52,52,Bob Tway,10,296856
52,53,53,Skip Kendall,9,288601
53,54,54,Esteban Toledo,9,287077
54,55,55,Bernhard Langer,4,269464
55,56,56,Billy Mayfair,9,259470
56,57,57,Chad Campbell,2,259200
57,58,58,Jeff Maggert,9,257390
58,59,59,Brent Geiberger,7,255913
59,60,60,Michael Muehr,11,248476
60,61,61,Jeff Sluman,10,242840
61,62,62,Carlos Franco,8,236989
62,63,63,Brett Quigley,8,236642
63,64,64,Hal Sutton,7,232114
64,65,65,K.J. Choi,8,225174
65,66,66,Dan Forsman,7,223050
66,67,67,Shingo Katayama,1,222500
67,68,68,Bryce Molder,6,211105
68,69,69,David Frost,10,210819
69,70,70,David Gossett,9,209049
70,71,71,Tom Pernice Jr.,9,207563
71,72,72,Carl Paulson,12,206157
72,73,73,Jay Williamson,9,205094
73,74,74,Kaname Yokoo,9,204983
74,75,75,Shigeki Maruyama,8,203716
75,76,76,Mark O'Meara,8,198779
76,77,77,Danny Ellis,11,195187
77,78,78,Frank Lickliter II,9,194344
78,79,79,Loren Roberts,8,193613
79,80,80,Craig Perks,11,193085
80,81,81,Billy Andrade,7,192820
81,82,82,Len Mattiace,8,192342
82,83,83,Glen Hnatiuk,10,183738
83,84,84,Tom Byrum,9,183724
84,85,85,Per-Ulrik Johansson,10,181567
85,86,86,Ian Leggatt,11,177412
86,87,87,David Morland IV,10,175393
87,88,88,Tommy Tolles,10,172383
88,89,89,John Riegger,9,168509
89,90,90,Brad Faxon,5,167630
90,91,91,Greg Kraft,11,167016
91,92,92,Dicky Pride,10,159219
92,93,93,Edward Fryatt,8,155813
93,94,94,"David Berganio, Jr.",6,155115
94,95,95,Jonathan Kaye,8,152058
95,96,96,Retief Goosen,3,152000
96,97,97,Lee Janzen,9,148246
97,98,98,Joe Durant,5,148010
98,99,99,Steve Stricker,3,147502
99,100,100,Paul Gow,7,145582
100,101,101,Jay Haas,6,144270
101,102,102,Tim Herron,7,143088
102,103,103,Mike Sposa,9,142063
103,104,104,Jimmy Green,10,141563
104,105,105,Woody Austin,10,139162
105,106,106,Tripp Isenhour,10,138338
106,107,107,Craig Parry,6,135563
107,108,108,Duffy Waldorf,8,134880
108,109,109,Briny Baird,9,134540
109,110,110,Grant Waite,8,132579
110,111,111,Robin Freeman,10,130481
111,112,112,Bob Burns,11,129688
112,113,113,J.L. Lewis,10,123910
113,114,114,John Huston,4,123765
114,115,115,J.P. Hayes,3,120801
115,116,116,Lee Porter,10,120643
116,117,117,Jim McGovern,8,120194
117,118,118,Bob May,6,120135
118,119,119,Russ Cochran,8,114719
119,120,120,Rich Beem,7,114270
120,121,121,Chris Smith,8,114248
121,122,122,Brian Wilson,10,112440
122,123,123,Paul Stankowski,7,111619
123,124,124,Brian Henninger,9,110219
124,125,125,Padraig Harrington,3,107725
125,126,126,Joe Ogilvie,9,105380
126,127,127,Olin Browne,9,105158
127,128,128,Jeff Hart,9,102666
128,129,129,Jay Don Blake,9,101400
129,130,130,Greg Chalmers,7,100061
130,131,131,Willie Wood,6,96419
131,132,132,Shaun Micheel,10,91575
132,133,133,Glen Day,7,90344
133,134,134,Robert Gamez,8,89695
134,135,135,Brent Schwarzrock,3,88085
135,136,136,Jim Carter,7,82850
136,137,137,Tommy Armour III,11,82644
137,138,138,Stephen Ames,6,82400
138,139,139,Luke Donald,7,80747
139,140,140,Fulton Allem,7,78740
140,141,141,Dennis Paulson,6,78381
141,142,142,Chris Tidland,10,76084
142,143,143,Jason Gore,9,74610
143,144,144,Mark Brooks,9,72685
144,145,145,Andrew Magee,9,72280
145,146,146,Brian Watts,6,66264
146,147,147,Pete Jordan,11,66097
147,148,148,Corey Pavin,5,62976
148,149,149,Greg Norman,2,62438
149,150,150,Ted Tryba,10,62309
150,151,151,Brandt Jobe,11,61595
151,152,152,Jaxon Brigman,1,61500
152,153,153,Robert Damron,7,59740
153,154,154,Jean Van de Velde,3,58971
154,155,155,"Dave Stockton, Jr.",8,57643
155,156,156,Ben Ferguson,10,56916
156,157,157,Blaine McCallister,9,53765
157,158,158,Fred Couples,4,52918
158,159,159,Craig Barlow,4,51628
159,160,160,Brad Elder,10,50814
160,161,161,Jeff Brehaut,8,49937
161,162,162,Tom Scherrer,8,46222
162,163,163,Heath Slocum,8,45670
163,164,164,Marco Dawson,8,44931
164,165,165,Paul McGinley,2,44286
165,166,166,Andrew McLardy,10,42838
166,167,167,Scott Simpson,5,42496
167,168,168,Steve Pate,9,40999
168,169,169,Spike McRoy,10,39261
169,170,170,Craig Kanada,9,38542
170,171,171,Notah Begay III,3,38000
171,172,172,Donnie Hammond,5,37875
172,173,173,Ben Bates,7,36609
173,174,174,Michael Clark II,9,36302
174,175,175,Paul Goydos,10,34884
175,176,176,Bart Bryant,5,34008
176,177,177,Jeremy Anderson,9,33600
177,178,178,"Jim Gallagher, Jr.",5,32480
178,179,179,Frank Nobilo,8,32098
179,180,180,Miguel Angel Jiménez,2,30000
180,181,181,Niclas Fasth,2,29438
181,182,182,Hunter Haas,9,25470
182,183,183,Gabriel Hjertstedt,11,24300
183,184,184,Gary Nicklaus,10,24012
184,185,185,Phil Tataurangi,6,23981
185,186,186,Brandel Chamblee,5,23062
186,187,187,Peter Jacobsen,6,22440
187,188,188,Richard Zokol,1,21360
188,189,189,Craig Stadler,3,21192
189,T190,T190,Ángel Cabrera,2,21000
190,T190,T190,José María Olazábal,2,21000
191,192,192,Tony Carolan,1,20698
192,193,193,Mathew Goggin,11,19828
193,194,194,Mike Reid,5,19695
194,195,195,Rocky Walcher,9,19678
195,196,196,Bill Glasson,8,19283
196,197,197,Richie Coughlan,10,18578
197,198,198,Ronnie Black,5,18560
198,199,199,Kent Jones,10,18225
199,200,200,Brad Fabel,5,18161
200,201,201,Jeff Julian,6,17987
201,202,202,Mike Hulbert,4,16899
202,203,203,Scott Dunlap,9,16456
203,204,204,Barry Cheesman,7,16271
204,205,205,Garrett Willis,9,16126
205,206,206,Steve Jones,4,14730
206,207,207,Katsumune Imai,1,14318
207,T208,T208,Andy Oldcorn,1,14250
208,T208,T208,Rick Schuller,1,14250
209,T208,T208,Lee Westwood,2,14250
210,211,211,Doug Dunakey,10,14100
211,212,212,John Restino,7,13808
212,213,213,Keith Clearwater,9,13192
213,214,214,Bradley Hughes,9,13175
214,215,215,Steve Allan,9,13140
215,216,216,Curtis Strange,3,12600
216,217,217,Jeff Quinney,3,11400
217,T218,T218,Nick Faldo,2,11344
218,T218,T218,Ian Woosnam,1,11344
219,220,220,Mark Carnevale,1,11324
220,221,221,Phillip Price,2,10650
221,222,222,Thomas Bjørn,2,10300
222,223,223,Guy Boros,1,10132
223,224,224,Tom Watson,1,9950
224,225,225,Doug Barron,6,9360
225,226,226,Sam Randolph,1,8968
226,227,227,Paul Casey,1,8580
227,228,228,Steven Alker,1,8550
228,229,229,Cliff Kresge,9,8208
229,230,230,Brian Claar,4,7788
230,231,231,David Sutherland,1,7752
231,T232,T232,Kelly Grunewald,10,7524
232,T232,T232,Kevin Johnson,9,7524
233,234,234,Geoff Ogilvy,7,7372
234,235,235,Derek Gillespie,1,7296
235,T236,T236,Harrison Frazar,3,7276
236,T236,T236,Mark McCumber,3,7276
237,238,238,Kevin Wentworth,7,7220
238,T239,T239,Michael Combs,1,7208
239,T239,T239,James Driscoll,2,7208
240,T239,T239,Todd Fanning,2,7208
241,242,242,Mark Hensby,8,6902
242,243,243,D.A. Weibring,1,6630
243,244,244,Ryan Dillon,1,6534
244,245,245,Craig Spence,8,6231
245,246,246,Lucas Glover,2,6180
246,247,247,David Ogrin,1,6030
