,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Tiger Woods,35,2447.5
1,2,2,Phil Mickelson,45,1710.625
2,3,3,David Duval,35,1016.666
3,4,4,Mark Calcavecchia,47,765.375
4,5,5,David Toms,53,755.0
5,6,6,Davis Love III,40,749.5
6,7,7,Scott Hoch,48,657.0
7,8,8,Jim Furyk,43,647.875
8,9,9,Hal Sutton,46,613.0
9,10,10,Stewart Cink,50,586.625
10,11,11,Tom Lehman,41,543.75
11,12,12,Steve Lowery,52,542.0
12,13,13,Chris DiMarco,57,534.0
13,14,14,Scott Verplank,48,508.5
14,15,15,Joe Durant,50,505.0
15,16,16,Brad Faxon,52,496.5
16,17,17,Frank Lickliter II,53,452.41
17,18,18,Rocco Mediate,40,450.0
18,19,19,Billy Andrade,52,426.25
19,20,20,Jeff Sluman,54,394.5
20,21,21,Kirk Triplett,49,392.61800000000005
21,22,22,Paul Azinger,35,389.667
22,23,23,Loren Roberts,43,383.0
23,24,24,Justin Leonard,51,382.916
24,25,25,Kenny Perry,42,370.286
25,26,26,John Huston,40,357.5
26,27,27,Tom Pernice Jr.,58,325.0
27,28,28,Billy Mayfair,51,311.875
28,29,29,Dudley Hart,46,296.25
29,30,30,Steve Flesch,58,287.25
30,31,31,Scott McCarron,49,277.5
31,32,32,Jerry Kelly,55,271.785
32,33,33,Mark Brooks,48,267.5
33,34,34,Franklin Langham,50,247.5
34,35,35,Brett Quigley,36,227.5
35,36,36,J.P. Hayes,47,226.25
36,T37,T37,Notah Begay III,34,225.0
37,T37,T37,Dennis Paulson,46,225.0
38,39,39,Steve Stricker,39,223.5
39,40,40,Brian Gay,57,220.0
40,41,41,Bob May,46,217.5
41,42,42,Bob Estes,41,214.375
42,43,43,Bob Tway,51,210.75
43,T44,T44,Robert Damron,50,202.5
44,T44,T44,Jonathan Kaye,61,202.5
45,46,46,Jeff Maggert,47,200.5
46,47,47,Charles Howell III,28,200.0
47,48,48,Harrison Frazar,47,195.833
48,49,49,Kevin Sutherland,50,188.625
49,50,50,Chris Riley,51,172.5
50,51,51,Brandel Chamblee,39,166.25
51,T52,T52,Carl Paulson,54,162.5
52,T52,T52,Tom Scherrer,53,162.5
53,54,54,Tim Herron,51,161.25
54,55,55,Chris Perry,54,161.0
55,T56,T56,David Gossett,17,150.0
56,T56,T56,Garrett Willis,26,150.0
57,T58,T58,Glen Day,51,145.0
58,T58,T58,Duffy Waldorf,44,145.0
59,60,60,Chris Smith,23,143.334
60,61,61,Pete Jordan,57,142.5
61,62,62,Brent Geiberger,43,136.25
62,63,63,Fred Couples,35,135.0
63,64,64,Paul Stankowski,43,132.791
64,65,65,Greg Kraft,52,132.5
65,66,66,"David Berganio, Jr.",24,132.0
66,T67,T67,Briny Baird,24,130.0
67,T67,T67,Russ Cochran,42,130.0
68,T67,T67,Shingo Katayama,10,130.0
69,70,70,Blaine McCallister,49,123.5
70,71,71,Lee Janzen,48,118.75
71,T72,T72,Michael Clark II,51,117.5
72,T72,T72,Joel Edwards,51,117.5
73,T72,T72,Fred Funk,55,117.5
74,75,75,Matt Gogel,52,114.5
75,76,76,John Cook,47,113.5
76,T77,T77,Woody Austin,57,110.0
77,T77,T77,Tom Kite,10,110.0
78,79,79,Len Mattiace,54,109.75
79,80,80,Olin Browne,54,102.286
80,81,81,Steve Pate,51,92.5
81,82,82,Mark Wiebe,46,92.0
82,83,83,Craig Stadler,37,90.5
83,84,84,J.J. Henry,20,90.0
84,85,85,Skip Kendall,58,88.0
85,86,86,Scott Simpson,17,85.0
86,87,87,Jim Carter,52,75.0
87,88,88,Brian Watts,40,73.0
88,89,89,Jay Haas,42,72.0
89,T90,T90,Spike McRoy,22,70.0
90,T90,T90,Joey Sindelar,50,70.0
91,92,92,Scott Dunlap,50,64.167
92,93,93,Paul Goydos,50,63.5
93,94,94,Andrew Magee,49,61.25
94,95,95,Ronnie Black,40,60.0
95,T96,T96,John Daly,46,57.5
96,T96,T96,Jay Williamson,59,57.5
97,98,98,Neal Lancaster,57,57.0
98,99,99,Jay Don Blake,52,56.25
99,100,100,Doug Dunakey,50,55.0
100,101,101,Joe Ogilvie,56,53.5
101,102,102,Doug Barron,47,51.25
102,103,103,Shaun Micheel,55,50.5
103,T104,T104,Brad Elder,60,50.0
104,T104,T104,Brian Henninger,50,50.0
105,T104,T104,Curtis Strange,21,50.0
106,107,107,Jim McGovern,32,48.0
107,108,108,Steve Jones,42,47.5
108,109,109,Craig Barlow,51,46.25
109,T110,T110,Cliff Kresge,24,45.0
110,T110,T110,Gary Nicklaus,55,45.0
111,T112,T112,Sean Murphy,54,42.5
112,T112,T112,Kevin Wentworth,39,42.5
113,114,114,Dan Forsman,45,40.5
114,115,115,Robin Freeman,57,40.0
115,116,116,Bill Glasson,45,39.167
116,117,117,J.L. Lewis,52,38.0
117,T118,T118,Rick Fehr,32,37.5
118,T118,T118,"Jim Gallagher, Jr.",26,37.5
119,120,120,David Peoples,51,35.0
120,T121,T121,Tom Byrum,46,32.5
121,T121,T121,Brad Fabel,35,32.5
122,T121,T121,"Dave Stockton, Jr.",45,32.5
123,124,124,Brandt Jobe,52,30.5
124,125,125,Jimmy Green,51,30.0
125,126,126,Larry Mize,40,27.5
126,T127,T127,Brian Claar,12,25.0
127,T127,T127,David Sutherland,33,25.0
128,T129,T129,Bob Burns,48,23.0
129,T129,T129,Corey Pavin,42,23.0
130,131,131,Mike Reid,31,22.5
131,132,132,Tommy Armour III,52,21.666999999999998
132,133,133,Mark O'Meara,34,18.75
133,134,134,Lee Porter,23,15.0
134,135,135,Tripp Isenhour,22,14.286
135,T136,T136,Stephen Sear,2,12.5
136,T136,T136,Jerry Smith,54,12.5
137,T136,T136,Mike Sposa,47,12.5
138,139,139,Brent Schwarzrock,37,10.0
139,140,140,Tom Watson,8,7.5
140,141,141,Omar Uresti,37,6.0
141,T142,T142,Rich Beem,53,5.0
142,T142,T142,Michael Bradley,31,5.0
143,T142,T142,Bruce Lietzke,11,5.0
144,145,145,Cameron Beckman,47,3.333
145,T146,T146,Ben Bates,47,3.0
146,T146,T146,John Rollins,27,3.0
147,148,148,Barry Cheesman,45,2.5
148,149,149,Donnie Hammond,16,1.6669999999999998
149,T150,T150,Andy Bean,24,1.0
150,T150,T150,Bob Heintz,34,1.0
151,T150,T150,Dicky Pride,53,1.0
