,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Kyle Thompson,70,155.7,3587389.0,640
1,2,2,Greg Kraft,63,155.8,3146886.0,561
2,3,3,Mark Hensby,71,156.7,3835258.0,680
3,4,4,Fred Couples,60,157.6,3244602.0,572
4,5,5,Tommy Armour III,77,157.7,4264401.0,751
5,T6,T6,Dustin Johnson,92,158.4,5079777.0,891
6,T6,T6,Doug LaBelle II,65,158.4,3455665.0,606
7,T8,T8,Jason Allred,63,158.5,3092962.0,542
8,T8,T8,John Huston,56,158.5,3144354.0,551
9,10,10,Brenden Pappas,66,158.8,3629598.0,635
10,T11,T11,Shane Bertsch,96,159.0,5976534.0,1044
11,T11,T11,Tom Scherrer,56,159.0,2890498.0,505
12,T11,T11,Ron Whittaker,54,159.0,2673226.0,467
13,T14,T14,Stephen Ames,83,159.1,4414675.0,771
14,T14,T14,Daniel Chopra,84,159.1,4416335.0,771
15,T14,T14,Rory Sabbatini,77,159.1,3929202.0,686
16,17,17,J.P. Hayes,67,159.4,4227987.0,737
17,18,18,Chris DiMarco,87,159.5,4926408.0,858
18,19,19,Steve Flesch,95,159.7,5283556.0,919
19,20,20,John Riegger,73,159.9,4346252.0,755
20,T21,T21,Jim McGovern,75,160.0,4106990.0,713
21,T21,T21,Parker McLachlin,88,160.0,5167310.0,897
22,T21,T21,John Merrick,98,160.0,5168228.0,897
23,T21,T21,Boo Weekley,86,160.0,4163267.0,723
24,T25,T25,Harrison Frazar,73,160.1,4029874.0,699
25,T25,T25,Travis Perkins,53,160.1,2501785.0,434
26,T27,T27,Marco Dawson,64,160.2,3436822.0,596
27,T27,T27,Joe Ogilvie,100,160.2,5582546.0,968
28,T29,T29,Robert Gamez,79,160.4,4579896.0,793
29,T29,T29,Tim Petrovic,97,160.4,5312466.0,920
30,31,31,Cameron Beckman,87,160.6,4817263.0,833
31,T32,T32,Todd Hamilton,92,160.7,4935006.0,853
32,T32,T32,Lee Janzen,89,160.7,4910340.0,849
33,T32,T32,Kevin Stadler,90,160.7,4569995.0,790
34,T35,T35,David Toms,70,160.8,3622859.0,626
35,T35,T35,Jay Williamson,96,160.8,5376216.0,929
36,37,37,George McNeill,97,160.9,5775453.0,997
37,T38,T38,Glen Day,64,161.1,3878917.0,669
38,T38,T38,Tim Herron,97,161.1,5845813.0,1008
39,T38,T38,Scott Sterling,89,161.1,5166119.0,891
40,41,41,Ryan Armour,87,161.2,4868141.0,839
41,T42,T42,Jeff Gove,50,161.3,3049029.0,525
42,T42,T42,J.B. Holmes,86,161.3,4226294.0,728
43,T42,T42,Brandt Jobe,52,161.3,3146965.0,542
44,T42,T42,Richard Johnson,60,161.3,3408242.0,587
45,T42,T42,Stephen Leaney,53,161.3,3135055.0,540
46,T47,T47,Tim Clark,90,161.4,4851626.0,835
47,T47,T47,Craig Kanada,65,161.4,3748431.0,645
48,T49,T49,Ryan Palmer,69,161.5,3715716.0,639
49,T49,T49,Ian Poulter,51,161.5,2396003.0,412
50,T51,T51,J.J. Henry,108,161.6,7011865.0,1205
51,T51,T51,Brett Rumford,72,161.6,3840225.0,660
52,T53,T53,Steve Elkington,84,161.7,4906376.0,843
53,T53,T53,Cody Freeman,66,161.7,3632571.0,624
54,T53,T53,Zach Johnson,85,161.7,4807424.0,826
55,T53,T53,Davis Love III,78,161.7,4127145.0,709
56,T57,T57,Olin Browne,77,161.8,4886789.0,839
57,T57,T57,David Lutterus,59,161.8,3180570.0,546
58,T57,T57,Brandt Snedeker,85,161.8,4548604.0,781
59,T60,T60,Michael Allen,91,161.9,5130050.0,880
60,T60,T60,Heath Slocum,104,161.9,6003520.0,1030
61,T62,T62,Steve Stricker,75,162.0,3966155.0,680
62,T62,T62,Mark Wilson,107,162.0,6982789.0,1197
63,T64,T64,Lucas Glover,91,162.1,5555888.0,952
64,T64,T64,Sean O'Hair,81,162.1,4622706.0,792
65,T64,T64,Andres Romero,69,162.1,3145792.0,539
66,T67,T67,Justin Bolli,87,162.2,4841522.0,829
67,T67,T67,Alex Cejka,75,162.2,4004815.0,686
68,T67,T67,Patrick Sheehan,124,162.2,7192871.0,1232
69,T67,T67,Vaughn Taylor,103,162.2,6165555.0,1056
70,T67,T67,Bo Van Pelt,101,162.2,6183889.0,1059
71,T72,T72,Carlos Franco,73,162.3,4100477.0,702
72,T72,T72,Vijay Singh,82,162.3,4282327.0,733
73,T72,T72,Bob Sowards,61,162.3,3446303.0,590
