,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Robert Garrigus,90,72.63,199,75
1,2,2,Nick Watney,96,70.29,194,82
2,3,3,Bubba Watson,97,68.75,165,75
3,4,4,Phil Mickelson,80,65.75,119,62
4,5,5,Vijay Singh,82,65.17,116,62
5,6,6,Steve Allan,58,64.0,96,54
6,7,7,J.B. Holmes,86,63.55,136,78
7,8,8,Ángel Cabrera,55,63.33,76,44
8,9,9,Tag Ridings,88,62.2,158,96
9,10,10,Sergio Garcia,72,62.18,97,59
10,11,11,Jimmy Walker,73,62.03,116,71
11,12,12,Dustin Johnson,92,61.66,156,97
12,13,13,Martin Laird,98,61.54,160,100
13,14,14,Tommy Gainey,60,61.43,86,54
14,15,15,D.J. Trahan,94,61.11,143,91
15,16,16,Mathias Grönberg,87,60.71,153,99
16,17,17,Charles Warren,79,60.66,148,96
17,18,18,Mathew Goggin,91,60.55,155,101
18,19,19,Andres Romero,69,60.42,87,57
19,20,20,Charley Hoffman,94,59.92,157,105
20,21,21,Anthony Kim,81,59.89,109,73
21,22,22,Bill Haas,99,59.42,164,112
22,23,23,Jason Day,81,59.35,146,100
23,24,24,Ryan Moore,72,59.11,120,83
24,25,25,Robert Allenby,108,59.04,160,111
25,26,26,James Driscoll,85,58.47,145,103
26,27,27,Matt Jones,95,58.21,156,112
27,28,28,Pat Perez,93,58.2,142,102
28,29,29,Camilo Villegas,79,58.15,107,77
29,30,30,Adam Scott,51,57.94,62,45
30,31,31,Nicholas Thompson,113,57.58,171,126
31,32,32,Fred Couples,60,57.47,100,74
32,33,33,Richard Johnson,77,57.21,119,89
33,34,34,George McNeill,97,56.83,158,120
34,35,35,Jason Gore,94,56.62,154,118
35,36,36,Boo Weekley,86,56.57,112,86
36,37,37,Aaron Baddeley,76,56.48,109,84
37,38,38,Jason Allred,63,56.38,84,65
38,39,39,Troy Matteson,94,56.25,162,126
39,40,40,Davis Love III,78,56.22,113,88
40,41,41,Harrison Frazar,73,56.12,110,86
41,42,42,Jeff Overton,103,55.78,164,130
42,43,43,Kevin Streelman,114,55.17,160,130
43,44,44,John Merrick,98,55.08,130,106
44,45,45,Michael Letzig,88,54.91,123,101
45,46,46,Jonathan Byrd,88,54.88,135,111
46,47,47,Stewart Cink,87,54.76,115,95
47,48,48,Ted Purdy,68,54.59,101,84
48,49,49,Todd Demsey,80,54.34,119,100
49,50,50,Charles Howell III,101,54.24,160,135
50,51,51,Ryan Palmer,69,54.14,98,83
51,52,52,Lucas Glover,91,54.13,131,111
52,53,53,Kevin Sutherland,98,53.85,140,120
53,54,54,Nick Flanagan,89,53.73,137,118
54,55,55,Y.E. Yang,89,53.57,135,117
55,56,56,Rod Pampling,83,53.27,114,100
56,57,57,Kevin Stadler,90,52.72,126,113
57,58,58,Sean O'Hair,81,52.6,101,91
58,59,59,Jesper Parnevik,88,52.59,122,110
59,60,60,Tim Herron,97,52.42,130,118
60,61,61,Daniel Chopra,84,52.21,118,108
61,62,62,Brad Adamonis,87,52.14,122,112
62,63,63,Padraig Harrington,52,52.08,50,46
63,64,64,Mark Calcavecchia,67,52.07,88,81
64,65,65,Brenden Pappas,66,52.05,89,82
65,66,66,Kenny Perry,97,51.67,139,130
66,67,67,Steve Marino,119,51.61,160,150
67,68,68,John Huston,56,51.22,84,80
68,69,69,Nathan Green,95,50.87,147,142
69,70,70,Carlos Franco,73,50.72,105,102
70,71,71,Bob Sowards,61,50.63,81,79
71,72,72,John Senden,93,50.61,125,122
72,T73,T73,Woody Austin,109,50.35,142,140
73,T73,T73,Bo Van Pelt,101,50.35,143,141
74,T75,T75,Paul Casey,55,50.0,57,57
75,T75,T75,Brandt Jobe,52,50.0,72,72
76,T75,T75,John Riegger,73,50.0,100,100
77,T75,T75,Rory Sabbatini,77,50.0,95,95
78,79,79,Joe Ogilvie,100,49.63,135,137
79,80,80,Joe Durant,92,49.59,122,124
80,81,81,Hunter Mahan,87,49.53,106,108
81,82,82,Steve Lowery,74,49.51,102,104
82,83,83,Frank Lickliter II,107,48.85,149,156
83,84,84,Kevin Na,97,48.63,142,150
84,85,85,Mark Hensby,71,48.56,101,107
85,86,86,Alejandro Cañizares,52,48.36,59,63
86,87,87,Brett Quigley,80,47.9,114,124
87,88,88,Jon Mills,95,47.76,117,128
88,89,89,Travis Perkins,53,47.66,61,67
89,90,90,Johnson Wagner,83,47.6,99,109
90,91,91,Kenneth Ferrie,72,47.52,96,106
91,92,92,Retief Goosen,59,46.92,61,69
92,93,93,Scott McCarron,63,46.91,76,86
93,T94,T94,Rich Beem,90,46.46,118,136
94,T94,T94,Ben Crane,86,46.46,105,121
95,96,96,Chad Campbell,94,46.34,114,132
96,97,97,Ken Duke,116,45.82,148,175
97,98,98,John Rollins,94,45.35,117,141
98,99,99,Charlie Wi,97,44.96,116,142
99,100,100,Jeff Maggert,86,44.9,110,135
100,101,101,Will MacKenzie,62,44.75,81,100
101,102,102,K.J. Choi,74,44.64,75,93
102,103,103,David Toms,70,44.38,71,89
103,104,104,Billy Mayfair,103,44.32,121,152
104,105,105,Ernie Els,51,44.23,46,58
105,106,106,Tom Lehman,51,44.17,53,67
106,107,107,Eric Axley,113,44.11,131,166
107,108,108,Chad Collins,72,43.98,84,107
108,109,109,Kent Jones,68,43.68,76,98
109,110,110,Scott Verplank,82,43.62,82,106
110,111,111,Carl Pettersson,110,43.54,128,166
111,112,112,Stuart Appleby,87,43.5,87,113
112,113,113,Parker McLachlin,88,43.31,110,144
113,114,114,Tim Petrovic,97,43.08,112,148
114,115,115,Brandt Snedeker,85,43.07,87,115
115,116,116,David Lutterus,59,42.76,65,87
116,117,117,Brad Elder,67,42.68,70,94
117,118,118,Michael Allen,91,42.48,113,153
118,119,119,Rocco Mediate,87,42.38,89,121
119,120,120,David Duval,51,42.25,60,82
120,121,121,Mike Weir,88,42.23,87,119
121,122,122,Steve Stricker,75,41.95,73,101
122,123,123,Chris Stroud,81,41.86,90,125
123,124,124,Vaughn Taylor,103,41.37,115,163
124,125,125,Jim Furyk,95,41.3,95,135
125,T126,T126,Peter Lonard,92,41.08,99,142
126,T126,T126,Mark Wilson,107,41.08,129,185
127,128,128,Ryan Armour,87,40.91,99,143
