,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Paul Casey,16,243.2,560287.0,64
1,2,2,Scott Sterling,28,245.0,776309.0,88
2,3,3,Fred Couples,18,248.1,1027219.0,115
3,4,4,Brandt Snedeker,26,248.9,860028.0,96
4,5,5,Tom Scherrer,20,249.6,619968.0,69
5,6,6,Jason Gore,33,250.6,1587796.0,176
6,T7,T7,Jerry Kelly,31,250.7,830328.0,92
7,T7,T7,Steve Stricker,22,250.7,721954.0,80
8,9,9,Boo Weekley,24,251.2,1148383.0,127
9,10,10,Ernie Els,16,251.4,488729.0,54
10,11,11,Stephen Ames,24,251.5,787797.0,87
11,12,12,Doug LaBelle II,22,251.8,462295.0,51
12,13,13,George McNeill,29,253.0,1648782.0,181
13,14,14,Davis Love III,23,253.1,1230013.0,135
14,15,15,Bart Bryant,23,253.4,611145.0,67
15,16,16,Ron Whittaker,22,253.5,355940.0,39
16,17,17,Greg Kraft,21,253.9,438694.0,48
17,18,18,David Duval,20,254.0,612590.0,67
18,19,19,Retief Goosen,18,254.1,631136.0,69
19,20,20,Richard Johnson,21,254.2,512562.0,56
20,21,21,Camilo Villegas,22,254.3,1180973.0,129
21,22,22,Stewart Cink,23,254.8,1247521.0,136
22,23,23,John Riegger,24,255.0,1028323.0,112
23,T24,T24,Daniel Chopra,27,255.2,1331906.0,145
24,T24,T24,Will MacKenzie,21,255.2,872644.0,95
25,26,26,Marc Turnesa,29,255.4,993140.0,108
26,T27,T27,Mark Calcavecchia,25,255.5,873963.0,95
27,T27,T27,Jim Furyk,26,255.5,993362.0,108
28,T27,T27,Travis Perkins,23,255.5,680759.0,74
29,30,30,Ian Poulter,15,255.7,377464.0,41
30,T31,T31,Stuart Appleby,23,255.8,939188.0,102
31,T31,T31,Chad Campbell,28,255.8,1224684.0,133
32,T33,T33,Billy Andrade,24,255.9,718583.0,78
33,T33,T33,Vijay Singh,23,255.9,1326397.0,144
34,35,35,Jimmy Walker,24,256.2,1254464.0,136
35,36,36,Michael Allen,28,256.4,1199837.0,130
36,37,37,Lee Janzen,28,256.5,960206.0,104
37,38,38,Gavin Coles,16,256.6,314019.0,34
38,39,39,John Huston,18,256.7,924195.0,100
39,40,40,Cody Freeman,26,256.8,785809.0,85
40,T41,T41,Trevor Immelman,22,256.9,582695.0,63
41,T41,T41,Michael Letzig,29,256.9,1415234.0,153
42,T43,T43,Olin Browne,27,257.0,518192.0,56
43,T43,T43,Tim Wilkinson,29,257.0,1026825.0,111
44,45,45,K.J. Choi,21,257.2,814710.0,88
45,T46,T46,Kent Jones,23,257.4,824668.0,89
46,T46,T46,Craig Kanada,23,257.4,481802.0,52
47,48,48,Jeff Quinney,28,257.5,732459.0,79
48,T49,T49,Ken Duke,33,257.6,1613513.0,174
49,T49,T49,Joe Durant,28,257.6,1316724.0,142
50,T49,T49,Chris Stroud,29,257.6,1019916.0,110
51,T49,T49,Omar Uresti,24,257.6,760288.0,82
52,T53,T53,Tim Clark,27,257.7,686509.0,74
53,T53,T53,Glen Day,19,257.7,565817.0,61
54,T53,T53,J.B. Holmes,26,257.7,1660463.0,179
55,T53,T53,Dean Wilson,32,257.7,1011211.0,109
56,57,57,Justin Leonard,25,257.8,770298.0,83
57,58,58,Ryan Armour,32,258.0,1040240.0,112
58,T59,T59,Todd Demsey,25,258.2,1273347.0,137
59,T59,T59,Padraig Harrington,15,258.2,576212.0,62
60,T59,T59,Zach Johnson,25,258.2,929561.0,100
61,T59,T59,Patrick Sheehan,35,258.2,1357104.0,146
62,T59,T59,Y.E. Yang,29,258.2,1422379.0,153
63,T64,T64,Ben Crane,25,258.3,1143952.0,123
64,T64,T64,Lucas Glover,26,258.3,1497104.0,161
65,T64,T64,Geoff Ogilvy,20,258.3,678732.0,73
66,T64,T64,Tim Petrovic,32,258.3,1236544.0,133
67,T68,T68,Chris DiMarco,29,258.4,892952.0,96
68,T68,T68,Dustin Johnson,30,258.4,1851343.0,199
69,T68,T68,Bubba Watson,29,258.4,1990695.0,214
70,71,71,Steve Marino,32,258.5,1796261.0,193
71,72,72,Ryuji Imada,25,258.8,913153.0,98
72,T73,T73,Bill Haas,31,258.9,1882859.0,202
73,T73,T73,Anthony Kim,22,258.9,1258088.0,135
74,75,75,Tommy Gainey,24,259.0,979154.0,105
75,T76,T76,Bob Estes,28,259.1,1063397.0,114
76,T76,T76,Martin Laird,29,259.1,1800156.0,193
77,T76,T76,Jeff Overton,32,259.1,1893517.0,203
78,T79,T79,Jeff Gove,18,259.2,569287.0,61
79,T79,T79,Tom Pernice Jr.,30,259.2,1259815.0,135
80,T81,T81,Matt Kuchar,27,259.3,718683.0,77
81,T81,T81,Ryan Moore,24,259.3,1334776.0,143
82,T83,T83,Steve Flesch,29,259.5,1121030.0,120
83,T83,T83,Tim Herron,28,259.5,1448226.0,155
84,T85,T85,John Mallinger,29,259.6,1028039.0,110
85,T85,T85,D.J. Trahan,27,259.6,1617017.0,173
86,87,87,Mathias Grönberg,30,259.7,1663949.0,178
87,T88,T88,Carlos Franco,25,260.0,1076248.0,115
88,T88,T88,John Merrick,28,260.0,1394495.0,149
89,T90,T90,Todd Hamilton,28,260.1,955242.0,102
90,T90,T90,John Senden,28,260.1,1338770.0,143
91,T92,T92,Freddie Jacobson,24,260.2,777505.0,83
92,T92,T92,Bo Van Pelt,32,260.2,1686313.0,180
93,94,94,Matt Jones,31,260.3,1695933.0,181
94,95,95,J.J. Henry,34,260.4,1368539.0,146
95,T96,T96,Sergio Garcia,19,260.5,1115945.0,119
96,T96,T96,Hunter Mahan,27,260.5,1247181.0,133
97,T96,T96,Jesper Parnevik,29,260.5,1378414.0,147
98,T99,T99,Brad Adamonis,29,260.6,1397620.0,149
99,T99,T99,Jim McGovern,26,260.6,637959.0,68
100,T99,T99,Vaughn Taylor,32,260.6,1257225.0,134
101,102,102,Jason Allred,23,260.8,976257.0,104
102,T103,T103,Richard Johnson,29,260.9,1342857.0,143
103,T103,T103,Brenden Pappas,24,260.9,1033126.0,110
104,T103,T103,David Toms,20,260.9,807631.0,86
105,T103,T103,Mark Wilson,29,260.9,1437038.0,153
106,T107,T107,Robert Allenby,28,261.0,1700914.0,181
107,T107,T107,Briny Baird,30,261.0,1278008.0,136
108,T107,T107,Troy Matteson,30,261.0,1803702.0,192
109,T107,T107,Andres Romero,20,261.0,1024094.0,109
110,T111,T111,Ángel Cabrera,17,261.2,912187.0,97
111,T111,T111,Ben Curtis,22,261.2,865121.0,92
112,T111,T111,Sean O'Hair,25,261.2,1156380.0,123
113,T114,T114,Brandt Jobe,19,261.3,809046.0,86
114,T114,T114,Kevin Na,29,261.3,1524165.0,162
115,T114,T114,Joe Ogilvie,29,261.3,1523928.0,162
116,T114,T114,Charles Warren,29,261.3,1777738.0,189
117,118,118,Nick Flanagan,29,261.4,1581221.0,168
118,T119,T119,Cliff Kresge,28,261.5,950796.0,101
119,T119,T119,Adam Scott,15,261.5,790710.0,84
120,T119,T119,Mike Weir,26,261.5,1007256.0,107
121,122,122,Mathew Goggin,27,261.6,1798755.0,191
122,123,123,Pat Perez,27,261.8,1649555.0,175
123,T124,T124,Tommy Armour III,25,261.9,678904.0,72
124,T124,T124,Nick O'Hern,26,261.9,584488.0,62
125,T126,T126,Brett Rumford,26,262.0,839330.0,89
126,T126,T126,Nick Watney,27,262.0,2253922.0,239
127,T128,T128,Carl Pettersson,29,262.1,1424631.0,151
128,T128,T128,Bob Tway,20,262.1,773655.0,82
129,T130,T130,Aaron Baddeley,22,262.2,1246121.0,132
130,T130,T130,Jeff Maggert,28,262.2,1265030.0,134
131,T130,T130,Kenny Perry,26,262.2,1661224.0,176
132,T133,T133,Shane Bertsch,29,262.3,934660.0,99
133,T133,T133,Charles Howell III,31,262.3,1822199.0,193
134,T133,T133,Scott McCarron,22,262.3,896954.0,95
135,T133,T133,Kevin Streelman,32,262.3,1917125.0,203
136,137,137,Billy Mayfair,29,262.4,1360259.0,144
137,138,138,Parker McLachlin,27,262.5,1256921.0,133
138,139,139,Chez Reavie,30,262.6,1058616.0,112
139,140,140,Brian Gay,31,262.7,671452.0,71
140,141,141,Robert Garrigus,29,262.8,2393321.0,253
141,142,142,Woody Austin,30,262.9,1599551.0,169
142,143,143,David Lutterus,23,263.0,710156.0,75
143,T144,T144,Marco Dawson,21,263.1,700966.0,74
144,T144,T144,Frank Lickliter II,32,263.1,1695163.0,179
145,T144,T144,Kyle Thompson,26,263.1,748238.0,79
146,T147,T147,Cameron Beckman,29,263.2,947350.0,100
147,T147,T147,Phil Mickelson,21,263.2,1364529.0,144
148,149,149,Scott Verplank,24,263.3,909887.0,96
149,150,150,Eric Axley,35,263.4,1526864.0,161
150,151,151,Mark Hensby,26,263.6,1148158.0,121
151,T152,T152,Rod Pampling,28,263.7,1290894.0,136
152,T152,T152,Rory Sabbatini,23,263.7,1148852.0,121
153,T152,T152,Kevin Sutherland,26,263.7,1623044.0,171
154,T155,T155,Robert Gamez,26,263.8,949834.0,100
155,T155,T155,Jay Williamson,33,263.8,921288.0,97
156,157,157,Charley Hoffman,29,263.9,1880866.0,198
157,158,158,Jin Park,30,264.0,684176.0,72
158,159,159,Bob Sowards,22,264.3,932326.0,98
159,T160,T160,Alejandro Cañizares,16,264.4,637658.0,67
160,T160,T160,Steve Lowery,25,264.4,1247135.0,131
161,T160,T160,Ryan Palmer,22,264.4,1104063.0,116
162,163,163,Jon Mills,32,264.5,1380862.0,145
163,164,164,Tom Lehman,17,264.6,581082.0,61
164,T165,T165,Justin Bolli,28,264.7,1029271.0,108
165,T165,T165,Brian Davis,34,264.7,1391390.0,146
166,T165,T165,Ted Purdy,25,264.7,1172138.0,123
167,168,168,John Rollins,28,264.8,1401502.0,147
168,169,169,Nicholas Thompson,36,264.9,2078945.0,218
169,T170,T170,Rich Beem,29,265.1,1403046.0,147
170,T170,T170,James Driscoll,28,265.1,1650909.0,173
171,T170,T170,Peter Lonard,30,265.1,1259828.0,132
172,T173,T173,Jonathan Byrd,27,265.2,1527759.0,160
173,T173,T173,Brett Quigley,25,265.2,1269543.0,133
174,175,175,Alex Cejka,25,265.5,812277.0,85
175,T176,T176,Chad Collins,24,265.6,870054.0,91
176,T176,T176,Corey Pavin,20,265.6,382457.0,40
177,T176,T176,Kevin Stadler,30,265.6,1453404.0,152
178,179,179,Tag Ridings,29,265.8,1875186.0,196
179,T180,T180,J.P. Hayes,26,266.2,776262.0,81
180,T180,T180,Charlie Wi,27,266.2,1389604.0,145
181,182,182,Heath Slocum,29,266.6,892503.0,93
182,T183,T183,Jason Day,28,267.4,1742125.0,181
183,T183,T183,Rocco Mediate,27,267.4,1068393.0,111
184,185,185,Brad Elder,23,267.5,828287.0,86
185,186,186,Shigeki Maruyama,18,267.6,462493.0,48
186,187,187,Steve Allan,21,267.8,1205135.0,125
187,188,188,Paul Goydos,25,267.9,684802.0,71
188,189,189,Paul Claxton,23,268.7,570716.0,59
189,190,190,Harrison Frazar,23,268.8,1345249.0,139
190,191,191,Chris Riley,17,269.0,561702.0,58
191,192,192,Johnson Wagner,26,269.2,1182496.0,122
192,193,193,Stephen Leaney,17,269.5,320182.0,33
193,194,194,Kenneth Ferrie,25,269.7,1145888.0,118
194,T195,T195,Nathan Green,30,269.8,1690177.0,174
195,T195,T195,Dudley Hart,22,269.8,786683.0,81
196,197,197,Steve Elkington,25,273.9,995844.0,101
