,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Joe Durant,92,71.1,1075,1512,-0.2
1,2,2,Robert Allenby,108,70.4,1356,1926,-0.24
2,3,3,Harrison Frazar,73,70.34,823,1170,-0.2
3,4,4,John Huston,56,70.3,658,936,-0.26
4,5,5,Briny Baird,113,70.0,1323,1890,-0.21
5,6,6,Kent Jones,68,69.71,778,1116,-0.24
6,7,7,Hunter Mahan,87,69.61,1065,1530,-0.24
7,8,8,John Riegger,73,69.49,838,1206,-0.23
8,9,9,J.J. Henry,108,69.19,1345,1944,-0.21
9,10,10,John Senden,93,69.08,1144,1656,-0.22
10,11,11,Bob Estes,90,68.69,1088,1584,-0.22
11,12,12,Vijay Singh,82,68.45,961,1404,-0.25
12,T13,T13,Chad Campbell,94,68.44,1158,1692,-0.27
13,T13,T13,George McNeill,97,68.44,1195,1746,-0.26
14,15,15,Steve Marino,119,68.36,1415,2070,-0.26
15,16,16,Nick Watney,96,68.23,1179,1728,-0.26
16,17,17,Kevin Sutherland,98,68.2,1203,1764,-0.25
17,18,18,Woody Austin,109,68.15,1288,1890,-0.23
18,19,19,Billy Mayfair,103,68.12,1263,1854,-0.21
19,20,20,Bill Haas,99,68.07,1164,1710,-0.27
20,21,21,Robert Garrigus,90,68.02,1102,1620,-0.26
21,T22,T22,Jeff Gove,50,67.87,562,828,-0.19
22,T22,T22,Scott Sterling,89,67.87,1014,1494,-0.21
23,T22,T22,Boo Weekley,86,67.87,1014,1494,-0.22
24,25,25,John Merrick,98,67.72,1097,1620,-0.23
25,26,26,Chris Stroud,81,67.63,913,1350,-0.22
26,27,27,Bubba Watson,97,67.6,1156,1710,-0.24
27,28,28,Zach Johnson,85,67.59,1022,1512,-0.23
28,29,29,Mathew Goggin,91,67.58,1107,1638,-0.25
29,30,30,Kenny Perry,97,67.47,1178,1746,-0.26
30,31,31,Kevin Streelman,114,67.44,1311,1944,-0.25
31,32,32,Troy Matteson,94,67.38,1140,1692,-0.23
32,33,33,Bob Tway,70,67.36,776,1152,-0.31
33,34,34,Bo Van Pelt,101,67.3,1175,1746,-0.23
34,35,35,Gavin Coles,54,67.15,556,828,-0.23
35,36,36,Tommy Gainey,60,67.09,628,936,-0.26
36,37,37,Sergio Garcia,72,67.06,845,1260,-0.24
37,38,38,Martin Laird,98,67.03,1110,1656,-0.28
38,39,39,Jason Gore,94,67.02,1134,1692,-0.27
39,40,40,Steve Elkington,84,67.0,1013,1512,-0.26
40,41,41,Stewart Cink,87,66.94,976,1458,-0.28
41,42,42,Mark Wilson,107,66.93,1289,1926,-0.26
42,43,43,Pat Perez,93,66.91,1108,1656,-0.26
43,T44,T44,Justin Bolli,87,66.88,963,1440,-0.21
44,T44,T44,Charles Warren,79,66.88,951,1422,-0.23
45,46,46,Ted Purdy,68,66.85,746,1116,-0.2
46,47,47,Carlos Franco,73,66.83,806,1206,-0.25
47,T48,T48,Jim Furyk,95,66.78,1130,1692,-0.25
48,T48,T48,Charles Howell III,101,66.78,1190,1782,-0.25
49,50,50,Heath Slocum,104,66.77,1250,1872,-0.21
50,51,51,Ryan Palmer,69,66.75,757,1134,-0.31
51,52,52,Jay Williamson,96,66.73,1057,1584,-0.2
52,53,53,Michael Allen,91,66.67,1092,1638,-0.25
53,T54,T54,Justin Leonard,101,66.61,1139,1710,-0.27
54,T54,T54,Chez Reavie,102,66.61,1175,1764,-0.22
55,56,56,Tommy Armour III,77,66.51,874,1314,-0.23
56,57,57,Rich Beem,90,66.48,1077,1620,-0.24
57,58,58,Brandt Jobe,52,66.45,622,936,-0.22
58,T59,T59,Steve Allan,58,66.44,598,900,-0.25
59,T59,T59,Charlie Wi,97,66.44,1160,1746,-0.24
60,61,61,Jeff Maggert,86,66.34,1027,1548,-0.23
61,62,62,D.J. Trahan,94,66.25,1121,1692,-0.25
62,63,63,Charley Hoffman,94,66.24,1097,1656,-0.25
63,64,64,Dudley Hart,74,66.11,833,1260,-0.24
64,65,65,Rory Sabbatini,77,66.08,904,1368,-0.25
65,66,66,Robert Gamez,79,66.02,915,1386,-0.22
66,67,67,Y.E. Yang,89,65.96,1033,1566,-0.24
67,68,68,Brad Adamonis,87,65.86,984,1494,-0.25
68,69,69,Cameron Beckman,87,65.82,936,1422,-0.25
69,70,70,Phil Mickelson,80,65.81,924,1404,-0.28
70,T71,T71,Anthony Kim,81,65.78,959,1458,-0.27
71,T71,T71,Tom Scherrer,56,65.78,592,900,-0.24
72,73,73,Ben Crane,86,65.76,1018,1548,-0.27
73,T74,T74,Paul Casey,55,65.71,615,936,-0.22
74,T74,T74,Jon Mills,95,65.71,1029,1566,-0.21
75,76,76,Olin Browne,77,65.63,886,1350,-0.18
76,77,77,Dean Wilson,109,65.61,1240,1890,-0.25
77,78,78,Ryan Armour,87,65.6,980,1494,-0.25
78,79,79,Ron Whittaker,54,65.51,566,864,-0.2
79,80,80,Jason Day,81,65.5,955,1458,-0.26
80,T81,T81,K.J. Choi,74,65.48,825,1260,-0.24
81,T81,T81,Vaughn Taylor,103,65.48,1214,1854,-0.26
82,T83,T83,Fred Couples,60,65.46,707,1080,-0.26
83,T83,T83,Jim McGovern,75,65.46,813,1242,-0.22
84,85,85,Tim Wilkinson,95,65.39,1024,1566,-0.24
85,86,86,Lucas Glover,91,65.38,1071,1638,-0.25
86,87,87,Todd Demsey,80,65.31,917,1404,-0.24
87,88,88,Brenden Pappas,66,65.28,705,1080,-0.27
88,89,89,Brian Davis,108,65.23,1268,1944,-0.25
89,90,90,David Toms,70,65.2,798,1224,-0.25
90,91,91,Omar Uresti,74,65.16,821,1260,-0.23
91,92,92,Richard Johnson,60,65.12,633,972,-0.21
92,93,93,Kevin Stadler,90,65.11,961,1476,-0.26
93,94,94,Scott Verplank,82,65.09,949,1458,-0.25
94,95,95,James Driscoll,85,65.05,925,1422,-0.26
95,96,96,Stephen Ames,83,65.04,960,1476,-0.25
96,97,97,Paul Claxton,63,65.01,667,1026,-0.22
97,98,98,Cliff Kresge,84,65.0,936,1440,-0.22
98,99,99,Brad Elder,67,64.94,713,1098,-0.23
99,100,100,Peter Lonard,92,64.9,1028,1584,-0.23
100,101,101,Bart Bryant,81,64.88,946,1458,-0.21
101,102,102,Kenneth Ferrie,72,64.84,747,1152,-0.23
102,103,103,Scott McCarron,63,64.81,735,1134,-0.24
103,T104,T104,Ken Duke,116,64.8,1353,2088,-0.28
