,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
185,186,186,David Duval,51,47.76,32,67,-36,+10.00
186,187,187,Billy Andrade,71,47.44,37,78,-39,-1.00
187,188,188,Alex Cejka,75,47.06,40,85,-40,-9.00
188,189,189,Nick Flanagan,89,47.02,79,168,-87,E
189,190,190,Olin Browne,77,46.43,26,56,-26,-15.00
190,191,191,Jimmy Walker,73,46.32,63,136,-69,+11.00
191,192,192,Richard Johnson,77,46.15,66,143,-72,+8.00
192,193,193,Jin Park,85,45.83,33,72,-36,-16.00
193,194,194,Heath Slocum,104,44.09,41,93,-43,-36.00
194,195,195,Chez Reavie,102,43.75,49,112,-51,-27.00
195,196,196,Steve Lowery,74,41.98,55,131,-61,+14.00
196,197,197,Paul Claxton,63,37.29,22,59,-23,-5.00
