,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,John Senden,93,58.88,116,197,-0.04
1,2,2,Charley Hoffman,94,58.18,96,165,-0.04
2,3,3,Robert Allenby,108,58.08,115,198,-0.03
3,4,4,Hunter Mahan,87,56.38,106,188,-0.11
4,5,5,Boo Weekley,86,56.25,81,144,-0.01
5,T6,T6,Ángel Cabrera,55,56.04,51,91,-0.06
6,T6,T6,John Huston,56,56.04,51,91,-0.02
7,8,8,Paul Casey,55,55.56,45,81,-0.04
8,9,9,Vijay Singh,82,55.17,80,145,-0.10
9,10,10,K.J. Choi,74,55.13,86,156,-0.14
10,11,11,Robert Garrigus,90,54.9,84,153,-0.08
11,12,12,Martin Laird,98,54.29,95,175,-0.11
12,13,13,Johnson Wagner,83,53.93,96,178,-0.16
13,14,14,Tommy Gainey,60,53.76,50,93,E
14,15,15,Charles Warren,79,53.55,83,155,-0.02
15,16,16,Joe Durant,92,53.51,99,185,-0.07
16,17,17,Stewart Cink,87,53.38,79,148,-0.06
17,18,18,John Riegger,73,53.03,70,132,+0.04
18,19,19,Pat Perez,93,53.01,97,183,-0.11
19,20,20,Steve Marino,119,52.91,118,223,-0.09
20,21,21,D.J. Trahan,94,52.87,92,174,-0.05
21,22,22,Kenneth Ferrie,72,52.73,87,165,-0.05
22,23,23,Kent Jones,68,52.67,69,131,-0.07
23,24,24,Jason Day,81,52.63,80,152,-0.04
24,25,25,Bo Van Pelt,101,52.5,105,200,-0.04
25,26,26,Billy Mayfair,103,52.24,128,245,-0.10
26,27,27,Bob Estes,90,52.21,118,226,-0.04
27,28,28,Jason Gore,94,52.2,83,159,-0.04
28,29,29,Chad Campbell,94,51.95,120,231,-0.11
29,30,30,Gavin Coles,54,51.91,68,131,-0.21
30,31,31,Kevin Sutherland,98,51.8,115,222,-0.09
31,32,32,Heath Slocum,104,51.66,109,211,-0.06
32,33,33,Jay Williamson,96,51.63,95,184,+0.03
33,34,34,Harrison Frazar,73,51.4,55,107,-0.05
34,35,35,Peter Lonard,92,51.35,114,222,-0.12
35,36,36,James Driscoll,85,51.18,87,170,-0.15
36,37,37,Jon Mills,95,51.15,89,174,-0.06
37,38,38,Bubba Watson,97,51.14,90,176,+0.01
38,39,39,Justin Bolli,87,51.0,102,200,-0.11
39,40,40,Cliff Kresge,84,50.99,103,202,-0.06
40,41,41,Kyle Thompson,70,50.86,59,116,-0.12
41,42,42,John Rollins,94,50.82,93,183,-0.08
42,43,43,Chez Reavie,102,50.78,130,256,-0.09
43,44,44,Jeff Maggert,86,50.75,102,201,-0.09
44,45,45,Kevin Stadler,90,50.63,81,160,-0.16
45,46,46,Briny Baird,113,50.41,123,244,-0.07
46,47,47,Todd Hamilton,92,50.26,98,195,-0.12
47,48,48,Brad Elder,67,50.0,52,104,E
48,49,49,Lucas Glover,91,49.73,91,183,-0.03
49,50,50,Sergio Garcia,72,49.61,63,127,-0.17
50,51,51,Zach Johnson,85,49.33,110,223,-0.14
51,52,52,Kevin Streelman,114,49.3,105,213,-0.13
52,53,53,Doug LaBelle II,65,49.23,64,130,-0.13
53,54,54,Bill Haas,99,49.18,90,183,-0.09
54,55,55,George McNeill,97,49.14,114,232,-0.02
55,56,56,Anthony Kim,81,48.99,73,149,-0.03
56,57,57,Kenny Perry,97,48.88,109,223,-0.07
57,58,58,Rory Sabbatini,77,48.67,73,150,-0.08
58,59,59,Robert Gamez,79,48.66,91,187,-0.10
59,60,60,Billy Andrade,71,48.61,70,144,-0.03
60,61,61,Tag Ridings,88,48.5,81,167,-0.05
61,62,62,Chris Stroud,81,48.47,79,163,-0.03
62,63,63,Jonathan Byrd,88,48.42,92,190,-0.13
63,64,64,Dustin Johnson,92,48.32,72,149,-0.06
64,65,65,Mark Wilson,107,48.19,120,249,-0.04
65,66,66,Woody Austin,109,48.11,102,212,-0.09
66,67,67,Tom Pernice Jr.,104,48.06,124,258,-0.02
67,68,68,Brandt Snedeker,85,47.92,92,192,-0.09
68,69,69,Fred Couples,60,47.86,56,117,-0.11
69,70,70,Nick O'Hern,82,47.62,100,210,-0.10
70,71,71,Nick Watney,96,47.59,79,166,-0.18
71,72,72,Jeff Gove,50,47.52,48,101,+0.08
72,73,73,Tim Herron,97,47.31,88,186,-0.09
73,74,74,Y.E. Yang,89,47.15,91,193,+0.03
74,75,75,Cameron Beckman,87,47.12,90,191,-0.12
75,76,76,Sean O'Hair,81,47.06,72,153,-0.04
76,77,77,Brett Quigley,80,46.96,85,181,-0.07
77,78,78,Rod Pampling,83,46.89,83,177,-0.02
78,79,79,J.B. Holmes,86,46.75,72,154,+0.01
79,80,80,Mark Calcavecchia,67,46.67,63,135,-0.05
80,81,81,Omar Uresti,74,46.63,83,178,-0.07
81,82,82,Olin Browne,77,46.6,89,191,-0.03
82,83,83,Vaughn Taylor,103,46.58,102,219,-0.16
83,84,84,Glen Day,64,46.53,67,144,-0.09
84,85,85,Nicholas Thompson,113,46.4,103,222,-0.07
85,86,86,Scott McCarron,63,46.27,62,134,-0.08
86,87,87,Scott Verplank,82,46.24,86,186,-0.03
87,88,88,J.J. Henry,108,46.12,113,245,-0.10
88,89,89,Retief Goosen,59,46.09,53,115,-0.08
89,90,90,Bart Bryant,81,45.88,89,194,+0.04
90,91,91,Mathias Grönberg,87,45.73,75,164,-0.11
91,92,92,Stuart Appleby,87,45.7,85,186,-0.09
92,93,93,Frank Lickliter II,107,45.59,119,261,-0.04
93,94,94,Charlie Wi,97,45.58,98,215,-0.06
94,95,95,Nick Flanagan,89,45.56,77,169,-0.14
95,96,96,Mark Hensby,71,45.52,66,145,-0.03
96,97,97,Troy Matteson,94,45.45,90,198,+0.04
97,98,98,Matt Kuchar,88,45.1,92,204,-0.07
98,99,99,Ernie Els,51,45.05,41,91,-0.05
99,100,100,Geoff Ogilvy,65,45.04,59,131,-0.03
100,101,101,Steve Lowery,74,44.85,74,165,+0.07
101,102,102,Jimmy Walker,73,44.68,63,141,E
102,103,103,Scott Sterling,89,44.62,83,186,+0.02
103,104,104,Ryan Palmer,69,44.54,53,119,-0.15
104,105,105,Will MacKenzie,62,44.53,57,128,-0.07
105,T106,T106,Brian Davis,108,44.44,128,288,-0.06
106,T106,T106,Davis Love III,78,44.44,60,135,-0.12
107,108,108,Jim Furyk,95,44.35,102,230,-0.07
108,109,109,Tim Petrovic,97,44.33,90,203,-0.01
109,T110,T110,Steve Elkington,84,44.2,80,181,-0.11
110,T110,T110,Mathew Goggin,91,44.2,80,181,-0.04
111,112,112,Steve Stricker,75,44.12,75,170,-0.15
112,113,113,Paul Goydos,78,44.1,101,229,-0.07
113,114,114,Jerry Kelly,89,44.08,93,211,-0.06
114,115,115,John Merrick,98,44.07,78,177,-0.06
115,T116,T116,Ben Curtis,80,44.03,70,159,-0.14
116,T116,T116,Michael Letzig,88,44.03,70,159,-0.17
117,118,118,Rich Beem,90,43.98,84,191,-0.08
118,119,119,Brad Adamonis,87,43.9,72,164,-0.14
119,120,120,Jim McGovern,75,43.79,67,153,-0.07
120,121,121,Tim Clark,90,43.67,107,245,-0.08
121,122,122,Matt Jones,95,43.65,86,197,-0.02
122,123,123,David Lutterus,59,43.59,51,117,-0.10
123,124,124,Ron Whittaker,54,43.52,47,108,-0.06
124,125,125,Charles Howell III,101,43.48,80,184,-0.10
125,126,126,Ryan Armour,87,43.4,69,159,-0.01
126,127,127,Steve Allan,58,43.37,36,83,-0.11
127,128,128,Camilo Villegas,79,43.29,71,164,-0.18
128,129,129,Brandt Jobe,52,43.16,41,95,-0.07
129,130,130,Steve Flesch,95,43.12,94,218,-0.05
130,131,131,Jeff Quinney,87,43.09,106,246,-0.08
131,T132,T132,Freddie Jacobson,78,43.01,80,186,E
132,T132,T132,Marc Turnesa,87,43.01,80,186,-0.04
133,134,134,Brian Gay,102,42.91,127,296,-0.10
134,135,135,Ben Crane,86,42.86,84,196,-0.06
135,136,136,Lee Janzen,89,42.78,77,180,-0.12
136,137,137,Dean Wilson,109,42.76,121,283,-0.08
137,138,138,David Toms,70,42.62,52,122,-0.08
138,139,139,Jin Park,85,42.59,92,216,-0.09
139,140,140,Dudley Hart,74,42.36,86,203,-0.14
140,T141,T141,Trevor Immelman,70,42.33,69,163,-0.06
141,T141,T141,Justin Leonard,101,42.33,80,189,-0.10
142,143,143,Kevin Na,97,42.27,93,220,-0.13
143,144,144,Ryan Moore,72,42.25,60,142,-0.03
144,145,145,Bob Tway,70,42.11,56,133,-0.14
145,146,146,Phil Mickelson,80,42.07,61,145,-0.08
146,147,147,Tommy Armour III,77,41.92,70,167,-0.06
147,148,148,Paul Claxton,63,41.86,54,129,-0.11
148,149,149,Ken Duke,116,41.79,112,268,-0.17
149,150,150,Alex Cejka,75,41.57,74,178,-0.04
150,151,151,Todd Demsey,80,41.55,59,142,+0.02
151,152,152,Stephen Ames,83,41.52,71,171,-0.15
152,153,153,Tim Wilkinson,95,41.0,82,200,-0.12
153,154,154,Mike Weir,88,40.91,72,176,-0.04
154,155,155,Ryuji Imada,80,40.89,83,203,-0.06
155,156,156,Stephen Leaney,53,40.88,56,137,-0.14
156,157,157,Patrick Sheehan,124,40.86,105,257,-0.18
157,158,158,Michael Allen,91,40.78,73,179,+0.03
158,159,159,Andres Romero,69,40.77,53,130,-0.15
159,160,160,Chris DiMarco,87,40.76,86,211,+0.02
160,161,161,Ted Purdy,68,40.63,52,128,-0.08
161,162,162,Richard Johnson,60,40.46,53,131,-0.08
162,163,163,Richard Johnson,77,40.25,64,159,-0.13
163,164,164,Rocco Mediate,87,40.21,78,194,-0.03
164,T165,T165,Aaron Baddeley,76,40.13,61,152,-0.11
165,T165,T165,Daniel Chopra,84,40.13,63,157,-0.16
166,167,167,Travis Perkins,53,40.0,34,85,-0.12
167,168,168,Joe Ogilvie,100,39.71,83,209,-0.12
168,169,169,Padraig Harrington,52,39.33,35,89,-0.29
169,170,170,Adam Scott,51,39.29,33,84,-0.06
170,171,171,Nathan Green,95,39.23,102,260,-0.09
171,172,172,Tom Lehman,51,39.13,36,92,E
