,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,Heath Slocum,104,"28' 0""",1268,35486.333,-58.0
1,2,2,Tim Clark,90,"28' 4""",994,28197.667,-105.0
2,3,3,Ernie Els,51,"28' 5""",466,13231.833,-32.0
3,4,4,Chad Campbell,94,"28' 8""",1179,33799.583,-124.0
4,5,5,Gavin Coles,54,"28' 10""",629,18132.25,-55.0
5,6,6,Kenny Perry,97,"29' 1""",1207,35153.417,-108.0
6,7,7,Geoff Ogilvy,65,"29' 4""",627,18373.25,-51.0
7,T8,T8,Justin Leonard,101,"29' 5""",1035,30463.833,-129.0
8,T8,T8,Bubba Watson,97,"29' 5""",962,28333.75,-77.0
9,10,10,Jim McGovern,75,"29' 6""",850,25065.083,-3.0
10,11,11,Stephen Ames,83,"29' 7""",894,26451.083,-102.0
11,T12,T12,Briny Baird,113,"29' 8""",1333,39550.083,-94.0
12,T12,T12,Rory Sabbatini,77,"29' 8""",827,24549.833,-95.0
13,T12,T12,Scott Verplank,82,"29' 8""",940,27862.25,-75.0
14,T15,T15,Tommy Armour III,77,"29' 9""",899,26781.75,-50.0
15,T15,T15,Ryan Palmer,69,"29' 9""",804,23930.333,-100.0
16,T15,T15,Mike Weir,88,"29' 9""",885,26302.333,-84.0
17,18,18,Jay Williamson,96,"29' 10""",1139,33941.833,-54.0
18,T19,T19,Lucas Glover,91,"29' 11""",1100,32927.5,-79.0
19,T19,T19,John Huston,56,"29' 11""",674,20138.083,-71.0
20,T19,T19,Vijay Singh,82,"29' 11""",787,23523.0,-94.0
21,T19,T19,Scott Sterling,89,"29' 11""",1042,31187.917,-49.0
22,T19,T19,Vaughn Taylor,103,"29' 11""",1253,37513.583,-101.0
23,T19,T19,Camilo Villegas,79,"29' 11""",826,24716.5,-91.0
