,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,John Huston,56,"37' 11""",72736,160,6061.3330000000005,19.0
1,2,2,Kevin Stadler,90,"38' 2""",116449,254,9704.083,34.0
2,3,3,Steve Allan,58,"38' 3""",88074,192,7339.5,15.0
3,4,4,Sean O'Hair,81,"38' 4""",108985,237,9082.083,30.0
4,5,5,Steve Elkington,84,"38' 5""",97671,212,8139.25,16.0
5,6,6,Woody Austin,109,"38' 9""",129365,278,10780.417,36.0
6,7,7,Paul Goydos,78,"39' 0""",92121,197,7676.75,43.0
7,8,8,Gavin Coles,54,"39' 1""",61420,131,5118.333,12.0
8,9,9,Adam Scott,51,"39' 8""",72287,152,6023.9169999999995,8.0
9,10,10,Scott Verplank,82,"39' 9""",80542,169,6711.8330000000005,12.0
10,T11,T11,Michael Letzig,88,"40' 2""",131076,272,10923.0,32.0
11,T11,T11,Vijay Singh,82,"40' 2""",129230,268,10769.167,9.0
12,13,13,Nick O'Hern,82,"40' 7""",87647,180,7303.9169999999995,33.0
13,14,14,Ben Crane,86,"40' 8""",114140,234,9511.667,13.0
14,T15,T15,Charles Howell III,101,"40' 9""",171549,351,14295.75,13.0
15,T15,T15,Heath Slocum,104,"40' 9""",102191,209,8515.917,28.0
16,17,17,Michael Allen,91,"40' 10""",113592,232,9466.0,38.0
17,18,18,Tim Clark,90,"40' 11""",119206,243,9933.833,29.0
18,T19,T19,Justin Bolli,87,"41' 0""",109167,222,9097.25,42.0
19,T19,T19,Steve Flesch,95,"41' 0""",147553,300,12296.083,49.0
20,T19,T19,Geoff Ogilvy,65,"41' 0""",95037,193,7919.75,29.0
21,T19,T19,John Senden,93,"41' 0""",118520,241,9876.667,43.0
22,T23,T23,Stephen Ames,83,"41' 1""",110485,224,9207.083,21.0
23,T23,T23,Daniel Chopra,84,"41' 1""",161773,328,13481.083,18.0
24,T23,T23,Harrison Frazar,73,"41' 1""",108430,220,9035.833,22.0
25,T23,T23,Cody Freeman,66,"41' 1""",110459,224,9204.917,36.0
26,T23,T23,Frank Lickliter II,107,"41' 1""",161729,328,13477.417,60.0
27,T23,T23,Kyle Thompson,70,"41' 1""",104020,211,8668.333,47.0
28,29,29,Ryan Armour,87,"41' 3""",114232,231,9519.333,57.0
29,30,30,Joe Ogilvie,100,"41' 4""",158259,319,13188.25,29.0
30,31,31,D.J. Trahan,94,"41' 6""",129941,261,10828.417,62.0
31,32,32,Padraig Harrington,52,"41' 7""",62911,126,5242.583,8.0
32,T33,T33,Stewart Cink,87,"41' 8""",124979,250,10414.917,24.0
33,T33,T33,Brandt Jobe,52,"41' 8""",92460,185,7705.0,28.0
34,T33,T33,Zach Johnson,85,"41' 8""",94016,188,7834.6669999999995,15.0
35,T33,T33,Kenny Perry,97,"41' 8""",171947,344,14328.917,39.0
36,T37,T37,Tommy Armour III,77,"41' 9""",112625,225,9385.417,44.0
37,T37,T37,Alex Cejka,75,"41' 9""",98768,197,8230.667,37.0
38,39,39,Dudley Hart,74,"41' 10""",120453,240,10037.75,46.0
39,T40,T40,Ted Purdy,68,"41' 11""",107711,214,8975.917,38.0
40,T40,T40,Andres Romero,69,"41' 11""",118757,236,9896.417,41.0
41,T40,T40,Bob Sowards,61,"41' 11""",95553,190,7962.75,40.0
42,T43,T43,Bob Estes,90,"42' 0""",144556,287,12046.333,23.0
43,T43,T43,Chez Reavie,102,"42' 0""",114903,228,9575.25,36.0
44,T45,T45,Mark Calcavecchia,67,"42' 1""",88870,176,7405.8330000000005,7.0
45,T45,T45,Chris DiMarco,87,"42' 1""",145957,289,12163.083,43.0
46,T45,T45,Charley Hoffman,94,"42' 1""",154885,307,12907.083,41.0
47,T45,T45,Carl Pettersson,110,"42' 1""",178103,353,14841.917,16.0
48,T45,T45,John Rollins,94,"42' 1""",124621,247,10385.083,27.0
