,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Parker McLachlin,88,-0.036000000000000004
1,2,2,Steve Stricker,75,-0.031
2,3,3,Adam Scott,51,-0.013000000000000001
3,4,4,Vijay Singh,82,-0.008
4,T5,T5,Gavin Coles,54,0.015
5,T5,T5,Padraig Harrington,52,0.015
6,7,7,Steve Elkington,84,0.018000000000000002
7,8,8,Joe Ogilvie,100,0.025
8,9,9,Bubba Watson,97,0.026000000000000002
9,10,10,Mark Calcavecchia,67,0.036000000000000004
10,11,11,Bill Haas,99,0.037000000000000005
11,12,12,Ian Poulter,51,0.038
12,13,13,Charles Howell III,101,0.039
13,14,14,Carl Pettersson,110,0.04
14,15,15,Daniel Chopra,84,0.042
15,16,16,John Rollins,94,0.046
16,17,17,Justin Leonard,101,0.05
17,18,18,Tim Clark,90,0.051
18,19,19,Harrison Frazar,73,0.053
19,T20,T20,Stewart Cink,87,0.059000000000000004
20,T20,T20,Anthony Kim,81,0.059000000000000004
21,22,22,Phil Mickelson,80,0.06
22,T23,T23,Scott Sterling,89,0.065
23,T23,T23,Kevin Streelman,114,0.065
24,25,25,Rich Beem,90,0.067
25,T26,T26,Stephen Ames,83,0.071
26,T26,T26,Stuart Appleby,87,0.071
27,T28,T28,Ben Crane,86,0.07200000000000001
28,T28,T28,Zach Johnson,85,0.07200000000000001
29,30,30,Sergio Garcia,72,0.075
30,31,31,Jesper Parnevik,88,0.078
31,32,32,J.P. Hayes,67,0.08
32,33,33,Robert Allenby,108,0.081
33,34,34,Tom Lehman,51,0.083
34,35,35,David Toms,70,0.091
35,T36,T36,Dustin Johnson,92,0.092
36,T36,T36,Michael Letzig,88,0.092
37,T38,T38,Sean O'Hair,81,0.09300000000000001
38,T38,T38,Kenny Perry,97,0.09300000000000001
39,40,40,Mike Weir,88,0.09699999999999999
40,41,41,Bob Estes,90,0.098
41,42,42,Jeff Overton,103,0.1
42,43,43,Bob Tway,70,0.10099999999999999
43,44,44,Brett Quigley,80,0.10400000000000001
44,45,45,Steve Lowery,74,0.105
45,46,46,Ben Curtis,80,0.106
46,47,47,Woody Austin,109,0.107
47,48,48,Heath Slocum,104,0.109
48,49,49,Omar Uresti,74,0.111
49,50,50,Dean Wilson,109,0.11199999999999999
50,T51,T51,Briny Baird,113,0.113
51,T51,T51,Richard Johnson,77,0.113
52,T51,T51,Matt Jones,95,0.113
53,T51,T51,Ted Purdy,68,0.113
54,55,55,Matt Kuchar,88,0.115
55,T56,T56,Todd Demsey,80,0.11699999999999999
56,T56,T56,Jimmy Walker,73,0.11699999999999999
57,58,58,Mathew Goggin,91,0.11800000000000001
58,59,59,Davis Love III,78,0.12
59,60,60,Brad Adamonis,87,0.121
60,61,61,Jon Mills,95,0.122
61,T62,T62,Tommy Armour III,77,0.125
62,T62,T62,John Riegger,73,0.125
63,64,64,James Driscoll,85,0.127
64,65,65,Carlos Franco,73,0.131
65,T66,T66,John Mallinger,95,0.132
66,T66,T66,Kevin Sutherland,98,0.132
67,68,68,Chris DiMarco,87,0.134
68,T69,T69,Travis Perkins,53,0.135
69,T69,T69,Bo Van Pelt,101,0.135
70,T71,T71,Jerry Kelly,89,0.136
