,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,Andres Romero,69,148.4,881658.0,165
1,2,2,Tom Scherrer,56,150.0,745388.0,138
2,3,3,James Driscoll,85,151.1,1305537.0,240
3,4,4,Tommy Gainey,60,151.2,974581.0,179
4,5,5,Travis Perkins,53,151.3,887682.0,163
5,6,6,J.B. Holmes,86,151.4,1264512.0,232
6,7,7,Tommy Armour III,77,152.4,1146938.0,209
7,8,8,Steve Allan,58,152.8,863397.0,157
8,9,9,Marco Dawson,64,153.4,1010387.0,183
9,10,10,Retief Goosen,59,153.7,719202.0,130
10,11,11,Dustin Johnson,92,154.4,1556741.0,280
11,12,12,Bob Sowards,61,154.8,980620.0,176
12,13,13,Harrison Frazar,73,155.2,1078227.0,193
13,14,14,Martin Laird,98,155.7,1446185.0,258
14,15,15,Ryan Armour,87,155.8,1480504.0,264
15,16,16,David Lutterus,59,156.2,1090643.0,194
16,17,17,Will MacKenzie,62,156.3,1041289.0,185
17,18,18,Sean O'Hair,81,156.5,1149477.0,204
18,19,19,Jesper Parnevik,88,156.6,1352820.0,240
19,20,20,David Duval,51,156.7,913977.0,162
20,T21,T21,Robert Garrigus,90,157.0,1587987.0,281
21,T21,T21,Trevor Immelman,70,157.0,1028358.0,182
22,T21,T21,Jin Park,85,157.0,1373449.0,243
23,T21,T21,Ted Purdy,68,157.0,1051251.0,186
24,25,25,Steve Lowery,74,157.1,1345692.0,238
25,T26,T26,Mark Calcavecchia,67,157.4,1014494.0,179
26,T26,T26,Jason Day,81,157.4,1348954.0,238
27,T28,T28,Richard Johnson,77,157.6,1282362.0,226
28,T28,T28,Jon Mills,95,157.6,1475194.0,260
29,T28,T28,Rory Sabbatini,77,157.6,1083618.0,191
30,31,31,Mike Weir,88,157.7,913997.0,161
31,T32,T32,Davis Love III,78,157.9,1216347.0,214
32,T32,T32,Nicholas Thompson,113,157.9,1841366.0,324
33,T34,T34,Daniel Chopra,84,158.0,1200029.0,211
34,T34,T34,Stewart Cink,87,158.0,1040593.0,183
35,T34,T34,John Huston,56,158.0,739376.0,130
36,T37,T37,Mathias Grönberg,87,158.1,1639585.0,288
37,T37,T37,Lee Janzen,89,158.1,1348839.0,237
38,T39,T39,Brad Adamonis,87,158.2,1378645.0,242
39,T39,T39,Heath Slocum,104,158.2,1349752.0,237
40,41,41,Charley Hoffman,94,158.3,1475921.0,259
41,42,42,Jeff Overton,103,158.4,1625558.0,285
42,T43,T43,Adam Scott,51,158.6,633831.0,111
43,T43,T43,Chris Stroud,81,158.6,1141939.0,200
44,T45,T45,Anthony Kim,81,158.7,1039564.0,182
45,T45,T45,Billy Mayfair,103,158.7,1462340.0,256
46,47,47,Brett Rumford,72,158.8,1240167.0,217
47,48,48,John Senden,93,158.9,1332959.0,233
48,49,49,Nick Watney,96,159.0,1356628.0,237
49,50,50,Cameron Beckman,87,159.1,1329054.0,232
50,T51,T51,Jeff Gove,50,159.2,716378.0,125
51,T51,T51,Frank Lickliter II,107,159.2,1788394.0,312
52,T51,T51,Vaughn Taylor,103,159.2,1615702.0,282
53,T54,T54,Ben Curtis,80,159.3,957818.0,167
54,T54,T54,Kevin Stadler,90,159.3,1433731.0,250
55,56,56,Ernie Els,51,159.4,688716.0,120
56,T57,T57,Paul Claxton,63,159.6,936666.0,163
57,T57,T57,Bill Haas,99,159.6,1511376.0,263
58,T57,T57,Brandt Snedeker,85,159.6,1149169.0,200
59,T60,T60,Ángel Cabrera,55,159.7,701318.0,122
60,T60,T60,Freddie Jacobson,78,159.7,1103932.0,192
61,T60,T60,Charles Warren,79,159.7,1546743.0,269
62,63,63,Tom Lehman,51,159.8,672948.0,117
63,64,64,John Mallinger,95,159.9,1450479.0,252
64,T65,T65,Todd Demsey,80,160.0,1249726.0,217
65,T65,T65,Tim Herron,97,160.0,1422933.0,247
66,T67,T67,Shigeki Maruyama,50,160.1,766548.0,133
67,T67,T67,Kenny Perry,97,160.1,1516177.0,263
68,69,69,Jeff Quinney,87,160.2,1262781.0,219
69,T70,T70,Jeff Maggert,86,160.3,1483452.0,257
70,T70,T70,Jim McGovern,75,160.3,1240436.0,215
71,T70,T70,Brenden Pappas,66,160.3,946263.0,164
72,T73,T73,Brad Elder,67,160.4,866124.0,150
73,T73,T73,J.P. Hayes,67,160.4,1212590.0,210
74,T73,T73,Ryan Palmer,69,160.4,1016550.0,176
75,T73,T73,Vijay Singh,82,160.4,889033.0,154
76,T77,T77,Cody Freeman,66,160.5,1132180.0,196
77,T77,T77,David Toms,70,160.5,993527.0,172
78,T79,T79,Michael Letzig,88,160.6,1307033.0,226
79,T79,T79,Camilo Villegas,79,160.6,1093010.0,189
80,T79,T79,Jimmy Walker,73,160.6,1185311.0,205
81,T82,T82,Jason Allred,63,160.7,1052612.0,182
82,T82,T82,Ken Duke,116,160.7,1781996.0,308
83,T82,T82,Justin Leonard,101,160.7,1006716.0,174
84,T85,T85,Fred Couples,60,160.8,874306.0,151
85,T85,T85,Brandt Jobe,52,160.8,862768.0,149
86,T85,T85,Tom Pernice Jr.,104,160.8,1656036.0,286
87,T88,T88,Briny Baird,113,160.9,1430468.0,247
88,T88,T88,Chad Campbell,94,160.9,1477138.0,255
89,T90,T90,Ian Poulter,51,161.0,678097.0,117
90,T90,T90,Brett Quigley,80,161.0,1199749.0,207
91,T92,T92,Eric Axley,113,161.1,1699701.0,293
92,T92,T92,Kyle Thompson,70,161.1,1235237.0,213
93,94,94,Peter Lonard,92,161.2,1421731.0,245
94,95,95,Pat Perez,93,161.3,1318278.0,227
95,T96,T96,Robert Allenby,108,161.4,1283869.0,221
96,T96,T96,Steve Flesch,95,161.4,1411945.0,243
97,T96,T96,Parker McLachlin,88,161.4,1383008.0,238
98,99,99,John Rollins,94,161.6,1349434.0,232
99,100,100,Bo Van Pelt,101,161.7,1671120.0,287
100,101,101,Mark Hensby,71,161.8,1328371.0,228
101,T102,T102,Kenneth Ferrie,72,161.9,1142657.0,196
102,T102,T102,Phil Mickelson,80,161.9,845008.0,145
103,T104,T104,Billy Andrade,71,162.0,1277435.0,219
104,T104,T104,Steve Elkington,84,162.0,1171890.0,201
105,T104,T104,Chez Reavie,102,162.0,1505007.0,258
106,T104,T104,Bob Tway,70,162.0,799026.0,137
107,108,108,Patrick Sheehan,124,162.3,1741675.0,298
108,T109,T109,Ben Crane,86,162.4,1134253.0,194
109,T109,T109,Joe Ogilvie,100,162.4,1531850.0,262
110,111,111,Boo Weekley,86,162.5,1123060.0,192
111,T112,T112,Michael Allen,91,162.6,1328710.0,227
