,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Daniel Chopra,84,256,Justin Timberlake Shriners Hospitals for Children Open,2,9
1,2,2,Jay Williamson,96,243,Wachovia Championship,2,6
2,3,3,Notah Begay III,24,219,Frys.com Open,2,7
3,4,4,Pat Perez,93,216,Arnold Palmer Invitational presented by MasterCard,2,2
4,T5,5,Corey Pavin,69,215,AT&T National,2,10
5,T5,6,Chez Reavie,102,215,Zurich Classic of New Orleans,1,12
6,T7,7,Vaughn Taylor,103,209,Frys.com Open,2,13
7,T7,8,Jin Park,85,209,Zurich Classic of New Orleans,4,6
8,9,9,Briny Baird,113,208,Zurich Classic of New Orleans,1,6
9,10,10,Dicky Pride,39,205,Viking Classic,2,2
10,T11,11,James Driscoll,85,204,Viking Classic,4,2
11,T11,12,Sergio Garcia,72,204,BMW Championship,2,3
12,T11,13,Kevin Na,97,204,Travelers Championship,2,10
13,14,14,Sean O'Hair,81,201,Frys.com Open,3,7
14,T15,15,Michael Thompson,14,199,Travelers Championship,1,10
15,T15,16,Lucas Glover,91,199,Bob Hope Chrysler Classic,5,10
16,17,17,Stephen Leaney,53,187,Buick Open,2,8
17,T18,18,Bart Bryant,81,186,BMW Championship,3,13
18,T18,19,Dean Wilson,109,186,BMW Championship,1,12
19,T20,20,Richard Johnson,60,185,U.S. Bank Championship in Milwaukee,1,14
20,T20,21,Will MacKenzie,62,185,FBR Open,2,12
21,22,22,Kevin Streelman,114,184,EDS Byron Nelson Championship,1,17
22,T23,21,Will MacKenzie,62,182,Wyndham Championship,1,11
23,T23,13,Kevin Na,97,182,FBR Open,3,8
24,T23,25,Ian Poulter,51,182,the Memorial Tournament presented by Morgan Stanley,2,18
25,T26,26,Marc Turnesa,87,180,Arnold Palmer Invitational presented by MasterCard,4,7
26,T26,27,Jason Day,81,180,Turning Stone Resort Championship,2,6
27,28,28,John Rollins,94,179,Wyndham Championship,2,15
28,29,29,Omar Uresti,74,176,Legends Reno-Tahoe Open,1,16
29,T30,30,Tim Clark,90,175,Zurich Classic of New Orleans,2,9
30,T30,8,Jin Park,85,175,Buick Invitational,4,10
31,T32,32,Robert Allenby,108,174,Verizon Heritage,2,4
32,T32,33,Ben Curtis,80,174,Verizon Heritage,2,4
33,T32,34,Stephen Poole,4,174,Wyndham Championship,1,15
34,35,35,Brandt Snedeker,85,173,AT&T Pebble Beach National Pro-Am,3,10
35,T36,19,Dean Wilson,109,171,EDS Byron Nelson Championship,1,5
36,T36,37,Dustin Johnson,92,171,Crowne Plaza Invitational at Colonial,2,13
37,T38,29,Omar Uresti,74,170,Stanford St. Jude Championship,4,13
38,T38,6,Chez Reavie,102,170,Justin Timberlake Shriners Hospitals for Children Open,3,2
39,40,40,Anders Hansen,17,168,Shell Houston Open,2,11
40,41,41,Olin Browne,77,167,AT&T Pebble Beach National Pro-Am,1,13
41,42,42,John Senden,93,166,Wyndham Championship,2,9
42,T43,20,Richard Johnson,60,164,Deutsche Bank Championship,2,13
43,T43,44,Robert Garrigus,90,164,THE PLAYERS Championship,2,13
44,T45,45,Jeff Quinney,87,163,Northern Trust Open,3,6
45,T45,46,Rory Sabbatini,77,163,Crowne Plaza Invitational at Colonial,2,5
46,47,47,Nicholas Thompson,113,162,RBC Canadian Open,1,1
47,48,48,Mathew Goggin,91,161,Shell Houston Open,2,5
48,T49,49,Jim Furyk,95,160,World Golf Championships-Bridgestone Invitational,2,17
49,T49,50,Steve Allan,58,160,Frys.com Open,3,1
50,T51,51,Steve Flesch,95,159,Deutsche Bank Championship,2,10
51,T51,52,Kent Jones,68,159,RBC Canadian Open,2,16
52,T51,26,Marc Turnesa,87,159,Justin Timberlake Shriners Hospitals for Children Open,2,18
53,54,54,Fred Couples,60,158,The Barclays,2,11
54,T55,55,Brett Quigley,80,157,The Honda Classic,3,14
55,T55,56,Fred Funk,42,157,Travelers Championship,2,3
56,T57,57,Ryan Armour,87,156,U.S. Bank Championship in Milwaukee,2,13
57,T57,58,Chad Campbell,94,156,Sony Open in Hawaii,1,3
58,59,59,Garrett Willis,34,154,AT&T Classic,1,1
59,T60,48,Mathew Goggin,91,153,The Barclays,1,4
60,T60,61,Webb Simpson,18,153,RBC Canadian Open,1,2
61,62,9,Briny Baird,113,152,Verizon Heritage,4,12
62,63,63,Bob Estes,90,151,Stanford St. Jude Championship,2,6
63,64,64,Todd Demsey,80,150,Buick Open,1,9
64,65,7,Vaughn Taylor,103,149,Wyndham Championship,2,1
65,66,66,Bob Sowards,61,148,John Deere Classic,4,8
66,67,67,Carlos Franco,73,147,John Deere Classic,1,11
67,68,68,Jerry Kelly,89,146,THE PLAYERS Championship,2,5
68,69,69,Kenny Perry,97,145,U.S. Bank Championship in Milwaukee,4,16
69,T70,70,Scott McCarron,63,141,Wyndham Championship,1,9
70,T70,71,Mark Brooks,48,141,Viking Classic,2,11
71,T72,72,Andrew McLardy,6,140,World Golf Championships-CA Championship,4,11
72,T72,73,Tom Byrum,36,140,AT&T Classic,1,1
73,74,74,Frank Lickliter II,107,137,Justin Timberlake Shriners Hospitals for Children Open,1,11
74,T75,75,Matt Jones,95,136,Wyndham Championship,1,17
75,T75,29,Omar Uresti,74,136,AT&T Classic,3,12
76,T77,9,Briny Baird,113,134,Sony Open in Hawaii,1,15
77,T77,52,Kent Jones,68,134,Justin Timberlake Shriners Hospitals for Children Open,1,10
78,T77,79,Peter Lonard,92,134,AT&T National,4,15
79,80,80,Cody Freeman,66,133,Legends Reno-Tahoe Open,1,3
80,T81,69,Kenny Perry,97,132,Travelers Championship,2,1
81,T81,82,Parker McLachlin,88,132,AT&T National,2,1
82,T81,83,Rich Beem,90,132,THE PLAYERS Championship,1,7
83,T84,84,Bob Tway,70,130,Frys.com Open,3,10
84,T84,85,John Merrick,98,130,AT&T National,2,18
85,86,86,Nick Dougherty,24,129,World Golf Championships-Bridgestone Invitational,4,1
86,T87,87,Billy Mayfair,103,128,BMW Championship,3,7
87,T87,11,James Driscoll,85,128,John Deere Classic,2,6
88,T87,89,Bubba Watson,97,128,BMW Championship,3,7
89,T87,91,Brenden Pappas,66,128,Legends Reno-Tahoe Open,4,9
90,T87,90,Mitsuhiro Tateyama,4,128,Sony Open in Hawaii,2,8
91,92,92,Tommy Gainey,60,126,John Deere Classic,1,5
92,T93,93,Rod Pampling,83,124,AT&T National,4,15
93,T93,94,Paul Azinger,21,124,Verizon Heritage,1,13
94,T95,2,Jay Williamson,96,123,Verizon Heritage,2,1
95,T95,96,Charles Warren,79,123,Turning Stone Resort Championship,3,18
96,T97,97,Jeev Milkha Singh,18,122,World Golf Championships-CA Championship,1,6
97,T97,98,John Daly,43,122,Stanford St. Jude Championship,2,3
98,T97,99,Y.E. Yang,89,122,Ginn sur Mer Classic,2,1
99,100,49,Jim Furyk,95,120,THE TOUR Championship presented by Coca-Cola,1,1
100,101,101,Charles Howell III,101,119,Turning Stone Resort Championship,2,10
101,T102,102,Bob Heintz,48,118,John Deere Classic,1,6
102,T102,82,Parker McLachlin,88,118,Zurich Classic of New Orleans,2,10
103,T102,27,Jason Day,81,118,Turning Stone Resort Championship,1,14
104,T102,9,Briny Baird,113,118,BMW Championship,2,11
105,106,106,David Toms,70,117,Wyndham Championship,2,1
106,107,107,Martin Laird,98,116,Wyndham Championship,1,13
107,T108,108,Tag Ridings,88,115,Travelers Championship,1,9
108,T108,109,Jimmy Walker,73,115,Stanford St. Jude Championship,2,2
109,T108,110,Richard Johnson,77,115,Wachovia Championship,2,12
110,T111,111,Shigeki Maruyama,50,114,Northern Trust Open,4,8
111,T111,112,Brian Davis,108,114,John Deere Classic,1,6
112,T111,49,Jim Furyk,95,114,BMW Championship,2,2
113,114,114,Jeff Maggert,86,113,Valero Texas Open,2,11
114,T115,49,Jim Furyk,95,112,Arnold Palmer Invitational presented by MasterCard,3,12
115,T115,2,Jay Williamson,96,112,John Deere Classic,3,10
116,T115,117,Todd Hamilton,92,112,Ginn sur Mer Classic,2,1
117,T115,118,Padraig Harrington,52,112,World Golf Championships-Bridgestone Invitational,4,11
118,119,110,Richard Johnson,77,111,RBC Canadian Open,1,4
119,T120,50,Steve Allan,58,110,U.S. Bank Championship in Milwaukee,2,9
120,T120,121,Tommy Armour III,77,110,FBR Open,2,1
121,T120,82,Parker McLachlin,88,110,EDS Byron Nelson Championship,4,11
122,T123,123,Billy Andrade,71,108,Ginn sur Mer Classic,2,1
123,T123,124,Justin Rose,46,108,the Memorial Tournament presented by Morgan Stanley,1,3
124,125,125,Patrick Sheehan,124,107,Legends Reno-Tahoe Open,1,5
125,126,126,Phil Mickelson,80,106,The Barclays,4,3
126,T127,127,Trevor Immelman,70,103,Deutsche Bank Championship,2,2
127,T127,128,Cliff Kresge,84,103,FBR Open,3,10
128,T129,130,Soren Hansen,27,102,World Golf Championships-Bridgestone Invitational,2,16
129,T129,61,Webb Simpson,18,102,John Deere Classic,1,4
130,T129,131,Jeff Overton,103,102,AT&T Classic,2,3
131,132,28,John Rollins,94,101,Wyndham Championship,2,4
132,T133,133,Chris Stroud,81,100,PODS Championship,2,5
133,T133,134,Brandt Jobe,52,100,Stanford St. Jude Championship,2,2
134,T135,99,Y.E. Yang,89,99,RBC Canadian Open,2,18
