,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
0,1,1,Sergio Garcia,72,64.7,22,34,-6.00
1,2,2,Tim Herron,97,57.9,44,76,-10.00
2,T3,T3,Kevin Streelman,114,57.8,37,64,-2.00
3,T3,T3,Kevin Sutherland,98,57.8,48,83,-12.00
4,5,5,K.J. Choi,74,57.5,23,40,-6.00
5,6,6,Hunter Mahan,87,57.1,24,42,-5.00
6,T7,T7,Robert Allenby,108,56.5,39,69,-9.00
7,T7,T7,Stuart Appleby,87,56.5,35,62,-5.00
8,9,9,Brandt Jobe,52,56.4,22,39,-2.00
9,10,10,Stewart Cink,87,56.3,27,48,-3.00
10,11,11,Jay Williamson,96,56.0,28,50,E
11,12,12,Steve Stricker,75,55.8,29,52,-10.00
12,13,13,Geoff Ogilvy,65,55.6,25,45,-10.00
13,14,14,Glen Day,64,55.2,16,29,E
14,15,15,John Rollins,94,54.5,24,44,-4.00
15,T16,T16,Brad Adamonis,87,54.4,37,68,-6.00
16,T16,T16,Billy Mayfair,103,54.4,31,57,-5.00
17,18,18,John Senden,93,54.2,26,48,-2.00
18,19,19,Vijay Singh,82,54.1,20,37,-2.00
19,20,20,Frank Lickliter II,107,54.0,47,87,-17.00
20,21,21,Marc Turnesa,87,53.6,30,56,-7.00
21,22,22,Jason Day,81,53.2,41,77,-11.00
22,23,23,Harrison Frazar,73,53.1,26,49,-3.00
23,T24,T24,Mathew Goggin,91,52.9,27,51,+1.00
24,T24,T24,Kevin Stadler,90,52.9,37,70,-5.00
25,26,26,John Merrick,98,52.7,29,55,-5.00
26,27,27,Paul Casey,55,52.6,10,19,-3.00
27,28,28,Carl Pettersson,110,52.2,47,90,-10.00
28,T29,T29,Cameron Beckman,87,51.9,28,54,-2.00
29,T29,T29,Ben Crane,86,51.9,27,52,-5.00
30,T31,T31,Padraig Harrington,52,51.7,15,29,-6.00
31,T31,T31,Tim Petrovic,97,51.7,31,60,E
32,33,33,Dudley Hart,74,51.6,33,64,-3.00
33,T34,T34,Trevor Immelman,70,51.4,18,35,-6.00
34,T34,T34,Doug LaBelle II,65,51.4,18,35,-2.00
35,36,36,Matt Jones,95,51.3,40,78,-6.00
36,37,37,J.J. Henry,108,51.2,42,82,-4.00
37,38,38,Brett Rumford,72,51.0,26,51,-4.00
38,T39,T39,Jason Allred,63,50.9,27,53,-2.00
39,T39,T39,Aaron Baddeley,76,50.9,29,57,-9.00
40,T39,T39,Robert Garrigus,90,50.9,29,57,-7.00
41,T39,T39,Cliff Kresge,84,50.9,27,53,-2.00
42,T39,T39,Nick Watney,96,50.9,29,57,-4.00
43,44,44,Daniel Chopra,84,50.8,30,59,-8.00
44,45,45,Mike Weir,88,50.7,34,67,-10.00
45,T46,T46,Nathan Green,95,50.6,44,87,-12.00
46,T46,T46,Patrick Sheehan,124,50.6,40,79,-3.00
47,T46,T46,Y.E. Yang,89,50.6,42,83,-6.00
48,T49,T49,Stephen Ames,83,50.0,27,54,-7.00
49,T49,T49,Mark Calcavecchia,67,50.0,20,40,-3.00
50,T49,T49,Carlos Franco,73,50.0,31,62,-8.00
51,T49,T49,Mathias Grönberg,87,50.0,30,60,+2.00
52,T49,T49,Bill Haas,99,50.0,37,74,-11.00
53,T49,T49,Will MacKenzie,62,50.0,21,42,-4.00
54,T49,T49,Pat Perez,93,50.0,30,60,-3.00
55,T49,T49,Bubba Watson,97,50.0,27,54,-9.00
56,T57,T57,Steve Marino,119,49.4,41,83,-9.00
57,T57,T57,Parker McLachlin,88,49.4,39,79,-8.00
58,59,59,Brian Davis,108,49.3,36,73,-5.00
59,T60,T60,Lucas Glover,91,49.2,30,61,-8.00
60,T60,T60,Jason Gore,94,49.2,31,63,-2.00
61,62,62,Jerry Kelly,89,49.1,26,53,-6.00
62,T63,T63,Brett Quigley,80,49.0,25,51,-8.00
63,T63,T63,Chez Reavie,102,49.0,25,51,-1.00
64,T63,T63,Tim Wilkinson,95,49.0,24,49,-6.00
65,T66,T66,J.B. Holmes,86,48.9,23,47,+1.00
66,T66,T66,Phil Mickelson,80,48.9,23,47,-7.00
67,68,68,Jon Mills,95,48.7,37,76,-2.00
68,T69,T69,Nick Flanagan,89,48.4,31,64,-1.00
69,T69,T69,Michael Letzig,88,48.4,15,31,-3.00
70,71,71,Rocco Mediate,87,48.2,27,56,-3.00
71,T72,T72,Ángel Cabrera,55,48.0,12,25,-4.00
72,T72,T72,Charles Howell III,101,48.0,36,75,-10.00
73,74,74,Jeff Maggert,86,47.9,23,48,-3.00
74,T75,T75,Steve Allan,58,47.4,18,38,-1.00
75,T75,T75,George McNeill,97,47.4,36,76,-1.00
76,T77,T77,Cody Freeman,66,47.2,25,53,-5.00
77,T77,T77,Shigeki Maruyama,50,47.2,17,36,-1.00
78,T77,T77,Jesper Parnevik,88,47.2,25,53,-9.00
79,T77,T77,Camilo Villegas,79,47.2,25,53,-2.00
80,81,81,Todd Demsey,80,47.1,24,51,-2.00
81,82,82,Briny Baird,113,47.0,31,66,-4.00
82,T83,T83,Bart Bryant,81,46.9,15,32,-2.00
83,T83,T83,Ernie Els,51,46.9,15,32,-3.00
84,T83,T83,Dean Wilson,109,46.9,23,49,-5.00
85,86,86,Michael Allen,91,46.7,21,45,-4.00
86,T87,T87,Mark Hensby,71,46.6,27,58,-6.00
87,T87,T87,Troy Matteson,94,46.6,41,88,-8.00
88,89,89,Bob Estes,90,46.3,25,54,-5.00
89,90,90,Kenneth Ferrie,72,46.2,24,52,-5.00
90,91,91,Martin Laird,98,45.9,28,61,-9.00
91,92,92,Olin Browne,77,45.8,11,24,-3.00
92,T93,T93,Gavin Coles,54,45.5,10,22,-5.00
