,Approaches_from__100_yards_Rgh_RANK THIS WEEK,Approaches_from__100_yards_Rgh_RANK LAST WEEK,Approaches_from__100_yards_Rgh_PLAYER NAME,Approaches_from__100_yards_Rgh_ROUNDS,Approaches_from__100_yards_Rgh_AVG,Approaches_from__100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__100_yards_Rgh_# OF ATTEMPTS,Approaches_from__100_yards_Rgh_RELATIVE TO PAR
0,1,1,Steve Allan,58,"40' 0""",6436.25,161,7
1,2,2,John Huston,56,"41' 0""",5534.4169999999995,135,14
2,3,3,Sean O'Hair,81,"41' 8""",8208.0,197,27
3,4,4,Kevin Stadler,90,"41' 11""",8639.0,206,29
4,T5,T5,Steve Elkington,84,"42' 1""",7072.1669999999995,168,13
5,T5,T5,Adam Scott,51,"42' 1""",5720.25,136,9
6,7,7,Woody Austin,109,"42' 8""",9634.75,226,29
7,8,8,Scott Verplank,82,"42' 10""",6333.8330000000005,148,11
8,9,9,Kyle Thompson,70,"42' 11""",7768.0,181,44
9,10,10,Charles Howell III,101,"43' 0""",13457.583,313,21
10,11,11,Tim Clark,90,"43' 2""",9237.417,214,25
11,12,12,Gavin Coles,54,"43' 5""",4641.25,107,16
12,13,13,Dudley Hart,74,"43' 7""",9496.75,218,38
13,T14,T14,Michael Letzig,88,"43' 8""",10051.25,230,24
14,T14,T14,John Senden,93,"43' 8""",9032.417,207,36
15,T16,T16,Ryan Armour,87,"43' 9""",8493.75,194,35
16,T16,T16,Zach Johnson,85,"43' 9""",7215.6669999999995,165,15
17,T18,T18,Michael Allen,91,"43' 10""",8631.75,197,31
18,T18,T18,Brandt Jobe,52,"43' 10""",7320.8330000000005,167,22
19,T18,T18,Heath Slocum,104,"43' 10""",7840.5830000000005,179,19
20,21,21,Stewart Cink,87,"43' 11""",9490.333,216,19
21,T22,T22,Steve Flesch,95,"44' 0""",11306.75,257,40
22,T22,T22,Harrison Frazar,73,"44' 0""",8317.5,189,21
23,T22,T22,Nick O'Hern,82,"44' 0""",6993.0,159,31
24,T25,T25,Cody Freeman,66,"44' 1""",8458.917,192,32
25,T25,T25,Charley Hoffman,94,"44' 1""",11508.0,261,38
26,T27,T27,Ben Crane,86,"44' 2""",8739.5,198,12
27,T27,T27,Joe Ogilvie,100,"44' 2""",12007.833,272,28
28,T27,T27,Bubba Watson,97,"44' 2""",13683.583,310,14
29,T30,T30,Bob Estes,90,"44' 3""",11323.25,256,20
30,T30,T30,D.J. Trahan,94,"44' 3""",10038.25,227,50
31,32,32,Charles Warren,79,"44' 4""",9615.0,217,45
32,T33,T33,Tommy Armour III,77,"44' 5""",8576.083,193,31
33,T33,T33,Frank Lickliter II,107,"44' 5""",12306.167,277,49
34,T33,T33,Kenny Perry,97,"44' 5""",13409.083,302,38
35,T33,T33,Ted Purdy,68,"44' 5""",8175.75,184,32
36,T37,T37,Carl Pettersson,110,"44' 7""",13871.583,311,18
37,T37,T37,Boo Weekley,86,"44' 7""",9145.25,205,31
38,T37,T37,Y.E. Yang,89,"44' 7""",10874.833,244,53
39,T40,T40,Justin Bolli,87,"44' 9""",8586.917,192,41
40,T40,T40,Joe Durant,92,"44' 9""",8463.0,189,33
41,T40,T40,Vijay Singh,82,"44' 9""",9797.583,219,12
42,T43,T43,Steve Marino,119,"44' 11""",13969.833,311,43
43,T43,T43,Ryan Palmer,69,"44' 11""",8091.3330000000005,180,19
44,T43,T43,Andres Romero,69,"44' 11""",9126.083,203,29
45,46,46,Ben Curtis,80,"45' 0""",7070.3330000000005,157,23
46,T47,T47,Kent Jones,68,"45' 1""",6089.8330000000005,135,33
47,T47,T47,Jon Mills,95,"45' 1""",10915.75,242,25
48,T49,T49,Paul Goydos,78,"45' 2""",6780.25,150,35
49,T49,T49,Bill Haas,99,"45' 2""",13963.667,309,14
50,T49,T49,Patrick Sheehan,124,"45' 2""",12603.083,279,26
51,T49,T49,Bob Sowards,61,"45' 2""",6679.8330000000005,148,34
52,T49,T49,Bo Van Pelt,101,"45' 2""",14084.417,312,49
53,T54,T54,Stephen Ames,83,"45' 3""",8469.25,187,23
54,T54,T54,Briny Baird,113,"45' 3""",12662.25,280,34
55,T54,T54,Nick Flanagan,89,"45' 3""",11363.25,251,43
56,T54,T54,Jason Gore,94,"45' 3""",9767.0,216,44
57,T54,T54,Justin Leonard,101,"45' 3""",8732.75,193,26
58,T54,T54,Geoff Ogilvy,65,"45' 3""",7011.5,155,25
59,T54,T54,Brenden Pappas,66,"45' 3""",8503.167,188,18
60,T61,T61,Richard Johnson,60,"45' 4""",8073.4169999999995,178,27
61,T61,T61,Nick Watney,96,"45' 4""",13016.5,287,22
62,T63,T63,Stuart Appleby,87,"45' 5""",10629.583,234,26
63,T63,T63,Daniel Chopra,84,"45' 5""",12344.833,272,21
64,T65,T65,Chris DiMarco,87,"45' 6""",11196.667,246,43
65,T65,T65,Chez Reavie,102,"45' 6""",8650.333,190,31
66,T67,T67,Alex Cejka,75,"45' 7""",7660.3330000000005,168,33
67,T67,T67,David Toms,70,"45' 7""",7469.25,164,15
68,T67,T67,Jimmy Walker,73,"45' 7""",11385.667,250,23
69,T70,T70,Mark Calcavecchia,67,"45' 8""",6574.6669999999995,144,2
70,T70,T70,Ken Duke,116,"45' 8""",16297.417,357,52
71,T70,T70,Hunter Mahan,87,"45' 8""",9415.667,206,41
72,T70,T70,Kevin Sutherland,98,"45' 8""",12779.75,280,37
73,T74,T74,Robert Garrigus,90,"45' 9""",14101.417,308,28
74,T74,T74,Vaughn Taylor,103,"45' 9""",12891.083,282,48
75,T76,T76,Carlos Franco,73,"45' 10""",9808.25,214,25
76,T76,T76,Mark Hensby,71,"45' 10""",9720.083,212,27
77,T76,T76,Davis Love III,78,"45' 10""",9952.583,217,12
78,T76,T76,Ian Poulter,51,"45' 10""",5037.583,110,13
79,T80,T80,Richard Johnson,77,"45' 11""",11844.083,258,35
80,T80,T80,John Riegger,73,"45' 11""",7950.0,173,24
81,T80,T80,Scott Sterling,89,"45' 11""",9917.167,216,16
82,T83,T83,Ángel Cabrera,55,"46' 0""",7731.6669999999995,168,25
83,T83,T83,James Driscoll,85,"46' 0""",13486.833,293,39
84,T83,T83,Matt Kuchar,88,"46' 0""",9069.75,197,31
85,T83,T83,John Rollins,94,"46' 0""",9481.917,206,26
86,T87,T87,Bart Bryant,81,"46' 1""",7740.0830000000005,168,30
87,T87,T87,Todd Hamilton,92,"46' 1""",8154.3330000000005,177,32
88,T87,T87,Travis Perkins,53,"46' 1""",7049.8330000000005,153,32
89,T87,T87,Tom Scherrer,56,"46' 1""",5669.75,123,26
90,91,91,Brian Gay,102,"46' 2""",9609.083,208,34
91,T92,T92,Chad Campbell,94,"46' 3""",11424.667,247,38
92,T92,T92,Ernie Els,51,"46' 3""",5176.75,112,23
93,T92,T92,J.J. Henry,108,"46' 3""",12683.0,274,43
94,T92,T92,Jim McGovern,75,"46' 3""",9200.083,199,30
95,T92,T92,Kevin Streelman,114,"46' 3""",14193.083,307,35
