,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Scott Verplank,82,"33' 2""",70,2318.833,13.0
1,2,2,Kevin Stadler,90,"36' 3""",131,4753.167,19.0
2,3,3,Michael Letzig,88,"36' 6""",119,4343.667,11.0
3,4,4,Ron Whittaker,54,"37' 4""",50,1867.9170000000001,14.0
4,5,5,John Senden,93,"37' 10""",135,5104.917,25.0
5,6,6,Steve Elkington,84,"38' 0""",112,4258.917,2.0
6,7,7,Vijay Singh,82,"38' 6""",118,4545.333,-1.0
7,T8,T8,Michael Allen,91,"38' 10""",112,4346.0,18.0
8,T8,T8,Ted Purdy,68,"38' 10""",97,3763.417,11.0
9,10,10,Paul Goydos,78,"38' 11""",91,3541.417,18.0
10,11,11,Kenny Perry,97,"39' 0""",204,7960.5,19.0
11,T12,T12,Steve Allan,58,"39' 1""",73,2852.417,11.0
12,T12,T12,Geoff Ogilvy,65,"39' 1""",87,3397.917,20.0
13,14,14,Padraig Harrington,52,"39' 2""",66,2586.5,1.0
14,15,15,John Rollins,94,"39' 3""",108,4235.917,5.0
15,16,16,Sean O'Hair,81,"39' 4""",107,4208.083,10.0
16,17,17,Bo Van Pelt,101,"39' 5""",156,6143.5,21.0
17,T18,T18,Cody Freeman,66,"39' 7""",97,3843.167,14.0
18,T18,T18,Frank Lickliter II,107,"39' 7""",147,5817.0830000000005,25.0
19,T18,T18,Adam Scott,51,"39' 7""",77,3045.75,-1.0
20,T18,T18,Kevin Sutherland,98,"39' 7""",151,5972.75,20.0
21,22,22,Woody Austin,109,"39' 8""",121,4799.667,13.0
22,T23,T23,Steve Flesch,95,"39' 9""",173,6878.9169999999995,26.0
23,T23,T23,Martin Laird,98,"39' 9""",128,5085.75,23.0
24,25,25,Tommy Armour III,77,"40' 2""",104,4179.833,13.0
25,26,26,D.J. Trahan,94,"40' 3""",118,4751.0,23.0
26,27,27,Stewart Cink,87,"40' 4""",101,4070.667,6.0
27,T28,T28,Ben Crane,86,"40' 5""",111,4490.0,8.0
28,T28,T28,Sergio Garcia,72,"40' 5""",107,4324.083,8.0
29,T30,T30,Briny Baird,113,"40' 6""",151,6120.0830000000005,17.0
30,T30,T30,Ben Curtis,80,"40' 6""",85,3440.25,9.0
31,T30,T30,Charles Howell III,101,"40' 6""",153,6190.6669999999995,6.0
32,T33,T33,Robert Gamez,79,"40' 8""",89,3618.75,19.0
33,T33,T33,Dudley Hart,74,"40' 8""",129,5244.0,29.0
34,T33,T33,Rocco Mediate,87,"40' 8""",96,3907.917,14.0
35,T36,T36,Heath Slocum,104,"40' 9""",110,4480.0,12.0
36,T36,T36,Y.E. Yang,89,"40' 9""",131,5337.25,21.0
37,T38,T38,Daniel Chopra,84,"40' 10""",143,5840.0830000000005,6.0
38,T38,T38,Charley Hoffman,94,"40' 10""",144,5877.0,25.0
39,T40,T40,Tim Clark,90,"40' 11""",117,4782.75,6.0
40,T40,T40,Harrison Frazar,73,"40' 11""",95,3884.333,5.0
41,T40,T40,Kyle Thompson,70,"40' 11""",98,4010.167,25.0
42,43,43,Matt Kuchar,88,"41' 0""",130,5330.9169999999995,15.0
43,T44,T44,Richard Johnson,60,"41' 2""",102,4202.0,17.0
44,T44,T44,Steve Lowery,74,"41' 2""",114,4696.0,12.0
45,T44,T44,Bob Tway,70,"41' 2""",99,4077.333,10.0
46,T47,T47,Richard Johnson,77,"41' 5""",151,6249.0830000000005,17.0
47,T47,T47,John Merrick,98,"41' 5""",101,4184.25,21.0
48,T47,T47,Travis Perkins,53,"41' 5""",74,3067.083,10.0
49,T50,T50,Robert Allenby,108,"41' 7""",124,5157.0,10.0
50,T50,T50,Gavin Coles,54,"41' 7""",68,2827.417,1.0
51,T50,T50,Brett Rumford,72,"41' 7""",106,4403.417,17.0
52,T50,T50,Omar Uresti,74,"41' 7""",81,3369.417,9.0
53,T54,T54,Bob Estes,90,"41' 8""",123,5122.5,12.0
54,T54,T54,Carl Pettersson,110,"41' 8""",202,8409.167,8.0
55,T54,T54,Ian Poulter,51,"41' 8""",53,2209.25,2.0
56,57,57,Pat Perez,93,"41' 9""",115,4800.167,17.0
57,T58,T58,Rich Beem,90,"41' 10""",104,4354.667,7.0
58,T58,T58,Kent Jones,68,"41' 10""",74,3095.75,14.0
59,T60,T60,Chris DiMarco,87,"41' 11""",142,5952.8330000000005,19.0
60,T60,T60,Ernie Els,51,"41' 11""",62,2600.75,10.0
61,T60,T60,Todd Hamilton,92,"41' 11""",98,4107.5,17.0
62,T60,T60,Boo Weekley,86,"41' 11""",102,4272.083,18.0
63,T64,T64,Parker McLachlin,88,"42' 1""",83,3496.25,-3.0
64,T64,T64,Ryan Palmer,69,"42' 1""",109,4584.083,15.0
65,66,66,Camilo Villegas,79,"42' 2""",108,4556.917,26.0
66,T67,T67,Ryan Armour,87,"42' 3""",96,4054.667,17.0
67,T67,T67,Freddie Jacobson,78,"42' 3""",104,4397.0,15.0
68,69,69,Brandt Jobe,52,"42' 4""",72,3047.75,12.0
69,T70,T70,Jason Gore,94,"42' 5""",113,4797.417,21.0
70,T70,T70,Dean Wilson,109,"42' 5""",169,7163.3330000000005,19.0
71,T72,T72,John Huston,56,"42' 6""",66,2802.75,16.0
72,T72,T72,Joe Ogilvie,100,"42' 6""",162,6882.0,4.0
73,T74,T74,Nick O'Hern,82,"42' 7""",94,4005.417,21.0
74,T74,T74,Kevin Streelman,114,"42' 7""",155,6604.25,10.0
75,T74,T74,Vaughn Taylor,103,"42' 7""",158,6730.5830000000005,26.0
76,T77,T77,Justin Bolli,87,"42' 8""",111,4731.583,23.0
77,T77,T77,Nick Flanagan,89,"42' 8""",137,5840.5,31.0
78,T77,T77,Zach Johnson,85,"42' 8""",83,3540.333,6.0
79,T77,T77,Tom Lehman,51,"42' 8""",48,2046.5829999999999,4.0
80,T77,T77,Jin Park,85,"42' 8""",117,4989.583,21.0
81,T77,T77,Charlie Wi,97,"42' 8""",117,4989.417,17.0
82,T83,T83,Ken Duke,116,"42' 9""",166,7096.9169999999995,33.0
83,T83,T83,Tommy Gainey,60,"42' 9""",69,2951.167,24.0
84,T83,T83,George McNeill,97,"42' 9""",153,6540.8330000000005,26.0
85,T86,T86,John Mallinger,95,"42' 10""",129,5529.4169999999995,17.0
86,T86,T86,Rory Sabbatini,77,"42' 10""",104,4454.167,16.0
87,T88,T88,James Driscoll,85,"42' 11""",157,6735.0830000000005,20.0
88,T88,T88,Bubba Watson,97,"42' 11""",151,6480.1669999999995,4.0
89,90,90,Tom Scherrer,56,"43' 1""",71,3059.083,11.0
90,91,91,Nick Watney,96,"43' 2""",132,5699.9169999999995,29.0
91,T92,T92,Robert Garrigus,90,"43' 3""",162,7002.8330000000005,28.0
92,T92,T92,Dustin Johnson,92,"43' 3""",184,7963.0830000000005,17.0
93,T94,T94,Troy Matteson,94,"43' 4""",131,5674.6669999999995,22.0
94,T94,T94,Andres Romero,69,"43' 4""",104,4509.917,16.0
95,T94,T94,Nicholas Thompson,113,"43' 4""",144,6235.5830000000005,23.0
96,T97,T97,Retief Goosen,59,"43' 5""",78,3383.25,24.0
97,T97,T97,J.J. Henry,108,"43' 5""",182,7901.5,27.0
98,T97,T97,Steve Marino,119,"43' 5""",199,8639.417,31.0
99,T100,T100,Stephen Ames,83,"43' 6""",112,4869.167,8.0
100,T100,T100,Ángel Cabrera,55,"43' 6""",88,3829.75,13.0
101,T100,T100,Justin Leonard,101,"43' 6""",121,5263.3330000000005,6.0
102,T100,T100,Charles Warren,79,"43' 6""",138,6002.5830000000005,35.0
103,104,104,Alejandro Cañizares,52,"43' 7""",80,3484.583,14.0
104,105,105,Mark Calcavecchia,67,"43' 8""",84,3666.5,3.0
105,T106,T106,Stephen Leaney,53,"43' 9""",65,2846.0,22.0
106,T106,T106,David Toms,70,"43' 9""",77,3368.333,7.0
107,T108,T108,Brian Gay,102,"43' 10""",138,6047.9169999999995,20.0
108,T108,T108,Brandt Snedeker,85,"43' 10""",117,5133.25,17.0
109,T110,T110,Eric Axley,113,"43' 11""",179,7861.5830000000005,37.0
110,T110,T110,Mark Hensby,71,"43' 11""",132,5795.75,20.0
111,T112,T112,Shane Bertsch,96,"44' 0""",129,5675.0,24.0
112,T112,T112,Bill Haas,99,"44' 0""",164,7213.5830000000005,6.0
