,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Heath Slocum,104,"31' 2""",47946.0,1540,50
1,2,2,Gavin Coles,54,"31' 7""",24904.25,788,35
2,3,3,Tim Clark,90,"32' 2""",42054.25,1307,131
3,T4,T4,Chad Campbell,94,"32' 8""",49898.917,1526,13
4,T4,T4,Justin Leonard,101,"32' 8""",42628.917,1304,54
5,T6,T6,Stephen Ames,83,"32' 9""",38688.083,1182,96
6,T6,T6,Scott Verplank,82,"32' 9""",38138.5,1164,94
7,8,8,Nick O'Hern,82,"32' 10""",41768.583,1272,116
8,9,9,John Huston,56,"32' 11""",28866.417,878,4
9,T10,T10,Brian Gay,102,"33' 1""",51016.667,1543,129
10,T10,T10,Chez Reavie,102,"33' 1""",53284.167,1609,54
11,T12,T12,Shane Bertsch,96,"33' 2""",53463.5,1611,122
12,T12,T12,Bart Bryant,81,"33' 2""",39837.833,1201,101
13,14,14,Ernie Els,51,"33' 3""",21488.583,646,178
14,T15,T15,Tommy Armour III,77,"33' 5""",39533.75,1183,56
15,T15,T15,Jay Williamson,96,"33' 5""",47841.667,1432,52
16,T17,T17,Briny Baird,113,"33' 6""",57690.667,1723,5
17,T17,T17,Olin Browne,77,"33' 6""",41854.333,1249,76
18,T17,T17,Kenny Perry,97,"33' 6""",55281.0,1649,30
19,T20,T20,Zach Johnson,85,"33' 7""",42665.5,1271,28
20,T20,T20,Patrick Sheehan,124,"33' 7""",63135.5,1879,104
21,T20,T20,Scott Sterling,89,"33' 7""",44647.833,1329,22
22,23,23,Robert Gamez,79,"33' 8""",42891.917,1275,66
23,T24,T24,Jeff Quinney,87,"33' 9""",44059.667,1307,172
24,T24,T24,Tom Scherrer,56,"33' 9""",26622.75,788,71
25,T26,T26,Michael Allen,91,"33' 10""",47221.667,1394,53
26,T26,T26,Jim McGovern,75,"33' 10""",38160.417,1127,83
27,T26,T26,Geoff Ogilvy,65,"33' 10""",29680.25,877,169
28,T26,T26,Ryan Palmer,69,"33' 10""",36399.167,1076,51
29,30,30,Mark Calcavecchia,67,"33' 11""",32751.667,966,114
30,T31,T31,Cameron Beckman,87,"34' 0""",45087.5,1327,69
31,T31,T31,Dean Wilson,109,"34' 0""",56733.083,1667,77
32,33,33,Steve Flesch,95,"34' 1""",49301.917,1447,109
33,T34,T34,Alex Cejka,75,"34' 2""",36727.083,1074,146
34,T34,T34,Kent Jones,68,"34' 2""",33789.833,988,6
35,T34,T34,Doug LaBelle II,65,"34' 2""",31142.75,912,108
36,T34,T34,John Riegger,73,"34' 2""",39087.333,1144,8
37,T34,T34,Vaughn Taylor,103,"34' 2""",57454.167,1680,81
38,T34,T34,Mike Weir,88,"34' 2""",40524.333,1186,109
39,T34,T34,Ron Whittaker,54,"34' 2""",25181.25,737,79
40,T41,T41,Paul Casey,55,"34' 3""",22082.25,645,74
41,T41,T41,Greg Kraft,63,"34' 3""",30696.667,896,191
42,T41,T41,Vijay Singh,82,"34' 3""",38718.0,1131,12
43,T41,T41,David Toms,70,"34' 3""",34315.417,1003,90
44,T41,T41,Bob Tway,70,"34' 3""",34949.25,1021,33
45,T46,T46,Jim Furyk,95,"34' 4""",46276.417,1349,48
46,T46,T46,Matt Kuchar,88,"34' 4""",43138.5,1256,126
47,T48,T48,Ben Curtis,80,"34' 5""",38670.25,1124,137
48,T48,T48,Glen Day,64,"34' 5""",34587.25,1005,117
49,T48,T48,Jeff Gove,50,"34' 5""",27073.417,787,22
50,T48,T48,Trevor Immelman,70,"34' 5""",33310.667,968,148
51,T48,T48,Lee Janzen,89,"34' 5""",46098.833,1341,114
52,T48,T48,Hunter Mahan,87,"34' 5""",44429.833,1291,7
53,T48,T48,Sean O'Hair,81,"34' 5""",41861.417,1215,113
54,55,55,Jin Park,85,"34' 6""",43327.583,1255,153
55,T56,T56,Ryan Armour,87,"34' 7""",47013.667,1360,78
56,T56,T56,Craig Kanada,65,"34' 7""",34182.25,989,158
57,T56,T56,Tom Pernice Jr.,104,"34' 7""",60756.583,1757,120
58,T59,T59,Woody Austin,109,"34' 8""",54689.583,1578,18
59,T59,T59,Joe Durant,92,"34' 8""",49167.25,1417,1
60,T59,T59,Bob Estes,90,"34' 8""",53497.333,1543,11
61,T59,T59,Lucas Glover,91,"34' 8""",51603.333,1489,86
62,T59,T59,John Senden,93,"34' 8""",50821.167,1467,10
63,T59,T59,D.J. Trahan,94,"34' 8""",48397.333,1396,62
64,T59,T59,Boo Weekley,86,"34' 8""",39740.667,1146,22
65,T66,T66,Robert Allenby,108,"34' 9""",53563.417,1541,2
66,T66,T66,Justin Bolli,87,"34' 9""",45512.0,1309,44
67,T66,T66,Y.E. Yang,89,"34' 9""",49524.75,1425,67
68,T69,T69,Marco Dawson,64,"34' 10""",33542.5,963,182
69,T69,T69,Jason Gore,94,"34' 10""",53077.417,1523,39
70,T69,T69,John Mallinger,95,"34' 10""",52370.75,1502,185
71,T69,T69,Corey Pavin,69,"34' 10""",34988.5,1004,196
72,T69,T69,Rory Sabbatini,77,"34' 10""",39402.833,1131,65
73,T69,T69,Chris Stroud,81,"34' 10""",41102.333,1180,26
74,T69,T69,Omar Uresti,74,"34' 10""",39248.917,1128,91
75,T76,T76,Padraig Harrington,52,"34' 11""",19904.833,570,186
76,T76,T76,Brandt Jobe,52,"34' 11""",29395.167,842,58
77,T76,T76,Jerry Kelly,89,"34' 11""",46377.75,1327,140
78,T76,T76,Camilo Villegas,79,"34' 11""",39271.75,1126,111
79,T80,T80,Billy Andrade,71,"35' 0""",38743.667,1108,135
80,T80,T80,Ben Crane,86,"35' 0""",46922.583,1342,73
81,T80,T80,Steve Elkington,84,"35' 0""",45856.833,1310,40
82,T80,T80,Freddie Jacobson,78,"35' 0""",40124.75,1146,171
83,T80,T80,Steve Stricker,75,"35' 0""",36296.75,1036,127
84,T85,T85,Harrison Frazar,73,"35' 1""",38832.333,1106,3
85,T85,T85,Paul Goydos,78,"35' 1""",42176.5,1202,151
