,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,1,Corey Pavin,69,"12' 10""",1117.917,87,-0.18
1,2,2,Matt Kuchar,88,"13' 5""",1421.0829999999999,106,-0.29
2,3,3,Stephen Ames,83,"13' 6""",1377.25,102,-0.24
3,4,4,John Senden,93,"13' 8""",1423.9170000000001,104,-0.05
4,T5,T5,Brian Gay,102,"13' 9""",2044.75,149,-0.37
5,T5,T5,Scott Verplank,82,"13' 9""",1500.25,109,-0.17
6,7,7,Nick O'Hern,82,"13' 10""",1808.4170000000001,131,-0.31
7,8,8,Mike Weir,88,"13' 11""",1319.4170000000001,95,-0.13
8,9,9,Justin Leonard,101,"14' 0""",1703.0,122,-0.27
9,T10,T10,Shigeki Maruyama,50,"14' 1""",843.9169999999999,60,-0.30
10,T10,T10,Tim Wilkinson,95,"14' 1""",1675.5,119,-0.29
11,12,12,Jimmy Walker,73,"14' 2""",707.5,50,+0.06
12,13,13,Aaron Baddeley,76,"14' 3""",913.4169999999999,64,-0.20
13,T14,T14,Fred Couples,60,"14' 4""",1120.333,78,-0.09
14,T14,T14,Rod Pampling,83,"14' 4""",1031.333,72,-0.19
15,T16,T16,Shane Bertsch,96,"14' 5""",2470.667,171,-0.17
16,T16,T16,Steve Stricker,75,"14' 5""",1423.25,99,-0.18
17,T18,T18,Brian Davis,108,"14' 6""",2517.583,174,-0.19
18,T18,T18,Ryuji Imada,80,"14' 6""",1335.9170000000001,92,-0.29
19,T20,T20,Jonathan Byrd,88,"14' 7""",1516.6670000000001,104,-0.17
20,T20,T20,Cody Freeman,66,"14' 7""",785.9169999999999,54,-0.06
21,T20,T20,Jim Furyk,95,"14' 7""",1665.3329999999999,114,-0.24
22,T20,T20,Vaughn Taylor,103,"14' 7""",1863.25,128,-0.17
23,T24,T24,Stuart Appleby,87,"14' 8""",1410.75,96,-0.17
24,T24,T24,Jeff Gove,50,"14' 8""",998.8330000000001,68,-0.18
25,T24,T24,Stephen Leaney,53,"14' 8""",1127.083,77,-0.22
26,T24,T24,John Riegger,73,"14' 8""",1654.5829999999999,113,-0.15
27,T28,T28,Justin Bolli,87,"14' 9""",1708.25,116,-0.08
28,T28,T28,Joe Durant,92,"14' 9""",1429.0,97,-0.16
29,T28,T28,Brett Rumford,72,"14' 9""",1368.4170000000001,93,-0.18
30,T31,T31,Paul Goydos,78,"14' 10""",1747.0829999999999,118,-0.26
31,T31,T31,Rory Sabbatini,77,"14' 10""",1514.5,102,-0.18
32,T33,T33,Pat Perez,93,"14' 11""",1446.3329999999999,97,-0.13
33,T33,T33,Camilo Villegas,79,"14' 11""",792.5830000000001,53,-0.11
34,T35,T35,Eric Axley,113,"15' 0""",1667.0,111,-0.11
35,T35,T35,Bart Bryant,81,"15' 0""",1470.25,98,-0.18
36,T35,T35,Harrison Frazar,73,"15' 0""",1517.6670000000001,101,-0.12
37,T35,T35,Tom Pernice Jr.,104,"15' 0""",2326.833,155,-0.10
38,T39,T39,Steve Flesch,95,"15' 2""",1961.75,129,-0.10
39,T39,T39,Davis Love III,78,"15' 2""",924.75,61,-0.07
40,T39,T39,Geoff Ogilvy,65,"15' 2""",942.0,62,-0.16
41,T39,T39,Brandt Snedeker,85,"15' 2""",1322.4170000000001,87,-0.05
42,T39,T39,David Toms,70,"15' 2""",1243.5,82,-0.16
43,T44,T44,Tim Clark,90,"15' 3""",2074.583,136,-0.22
44,T44,T44,Charlie Wi,97,"15' 3""",1845.25,121,-0.13
45,T46,T46,Tom Lehman,51,"15' 4""",720.4169999999999,47,-0.28
46,T46,T46,Jeff Quinney,87,"15' 4""",1966.25,128,-0.16
47,48,48,Todd Demsey,80,"15' 5""",955.25,62,-0.11
48,T49,T49,Mark Hensby,71,"15' 6""",1535.5,99,-0.17
49,T49,T49,Anthony Kim,81,"15' 6""",1102.25,71,-0.24
50,T49,T49,Chris Stroud,81,"15' 6""",1646.8329999999999,106,-0.25
51,T52,T52,Briny Baird,113,"15' 7""",1837.25,118,-0.16
52,T52,T52,Mark Calcavecchia,67,"15' 7""",1154.167,74,-0.15
53,T52,T52,Alex Cejka,75,"15' 7""",1263.75,81,-0.06
54,T52,T52,Freddie Jacobson,78,"15' 7""",1463.4170000000001,94,-0.16
55,T52,T52,Nicholas Thompson,113,"15' 7""",1622.5,104,-0.15
56,T57,T57,Chad Campbell,94,"15' 8""",1820.8329999999999,116,-0.14
57,T57,T57,Daniel Chopra,84,"15' 8""",1598.4170000000001,102,-0.08
58,T57,T57,Lee Janzen,89,"15' 8""",1947.1670000000001,124,+0.05
59,T57,T57,Brett Quigley,80,"15' 8""",1502.3329999999999,96,-0.09
60,T57,T57,Vijay Singh,82,"15' 8""",1381.1670000000001,88,-0.22
61,T62,T62,Ernie Els,51,"15' 9""",583.5830000000001,37,+0.03
62,T62,T62,Tim Herron,97,"15' 9""",1731.5829999999999,110,-0.20
63,T62,T62,Phil Mickelson,80,"15' 9""",1180.0,75,-0.13
64,T62,T62,Bubba Watson,97,"15' 9""",1414.75,90,-0.08
65,T66,T66,Woody Austin,109,"15' 10""",1933.75,122,-0.26
66,T66,T66,Retief Goosen,59,"15' 10""",935.8330000000001,59,-0.10
67,T66,T66,Peter Lonard,92,"15' 10""",1742.0829999999999,110,-0.16
68,T66,T66,Tag Ridings,88,"15' 10""",1342.8329999999999,85,-0.24
69,T66,T66,Omar Uresti,74,"15' 10""",1777.0,112,-0.20
70,T71,T71,John Huston,56,"15' 11""",1254.5,79,-0.06
71,T71,T71,Jim McGovern,75,"15' 11""",1369.5829999999999,86,+0.01
72,T71,T71,Rocco Mediate,87,"15' 11""",1290.833,81,-0.07
73,T74,T74,Stewart Cink,87,"16' 0""",1041.167,65,-0.12
74,T74,T74,Adam Scott,51,"16' 0""",719.8330000000001,45,+0.11
