,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,J.B. Holmes,86,157.8,5412920.0,953
1,2,2,Dustin Johnson,92,159.1,6277644.0,1096
2,3,3,Robert Garrigus,90,162.2,6828010.0,1169
3,4,4,Bubba Watson,97,162.5,6424087.0,1098
4,5,5,Vijay Singh,82,163.3,5155177.0,877
5,6,6,Steve Allan,58,164.1,3882416.0,657
6,7,7,Tommy Gainey,60,164.7,3742388.0,631
7,8,8,Nick Watney,96,165.3,6873999.0,1155
8,9,9,Charley Hoffman,94,165.4,7067889.0,1187
9,10,10,Harrison Frazar,73,165.6,5050581.0,847
10,11,11,Jason Allred,63,166.3,4089373.0,683
11,12,12,Anthony Kim,81,166.7,5394412.0,899
12,13,13,Daniel Chopra,84,167.0,5687671.0,946
13,14,14,Andres Romero,69,167.4,4079817.0,677
14,T15,T15,Ángel Cabrera,55,167.9,3263103.0,540
15,T15,T15,Adam Scott,51,167.9,2925992.0,484
16,17,17,Richard Johnson,77,168.1,5580781.0,922
17,18,18,Tag Ridings,88,168.2,6673805.0,1102
18,19,19,Davis Love III,78,168.5,5447333.0,898
19,20,20,Charles Warren,79,168.7,6211366.0,1023
20,21,21,Bill Haas,99,169.5,7554398.0,1238
21,22,22,Jason Day,81,169.6,6471726.0,1060
22,T23,T23,Martin Laird,98,169.7,7148012.0,1170
23,T23,T23,Phil Mickelson,80,169.7,4986407.0,816
24,25,25,Kevin Streelman,114,169.8,8211740.0,1343
25,26,26,Travis Perkins,53,170.0,3293349.0,538
26,27,27,Rory Sabbatini,77,170.1,5383235.0,879
27,28,28,Fred Couples,60,170.3,4273950.0,697
28,T29,T29,Lucas Glover,91,170.4,7028406.0,1146
29,T29,T29,Sean O'Hair,81,170.4,5759528.0,939
30,T31,T31,Tim Herron,97,170.5,7353864.0,1198
31,T31,T31,Jeff Overton,103,170.5,7684997.0,1252
32,T33,T33,Kenny Perry,97,170.7,7817498.0,1272
33,T33,T33,Nicholas Thompson,113,170.7,8104228.0,1319
34,T35,T35,John Huston,56,170.8,4124983.0,671
35,T35,T35,Brenden Pappas,66,170.8,4709197.0,766
36,37,37,Boo Weekley,86,171.0,5478422.0,890
37,38,38,Brandt Jobe,52,171.2,3949687.0,641
38,39,39,Joe Ogilvie,100,171.3,7439124.0,1206
39,40,40,Pat Perez,93,171.4,6720646.0,1089
40,T41,T41,Michael Letzig,88,171.5,6317189.0,1023
41,T41,T41,D.J. Trahan,94,171.5,6598570.0,1069
42,T43,T43,Mathias Grönberg,87,171.7,6687336.0,1082
43,T43,T43,Bo Van Pelt,101,171.7,7918153.0,1281
44,45,45,George McNeill,97,172.0,7678514.0,1240
45,46,46,Steve Marino,119,172.1,8885201.0,1434
46,47,47,Mathew Goggin,91,172.2,7011377.0,1131
47,48,48,Ryan Palmer,69,172.3,5123503.0,826
48,T49,T49,Sergio Garcia,72,172.4,4811199.0,775
49,T49,T49,Jason Gore,94,172.4,7281935.0,1173
50,T49,T49,Mark Hensby,71,172.4,5388213.0,868
51,T49,T49,John Riegger,73,172.4,5506036.0,887
52,53,53,Ted Purdy,68,172.6,5020108.0,808
53,T54,T54,Troy Matteson,94,172.8,7590265.0,1220
54,T54,T54,Bob Sowards,61,172.8,4442591.0,714
55,T56,T56,Stewart Cink,87,173.0,5461814.0,877
56,T56,T56,James Driscoll,85,173.0,6501432.0,1044
57,T56,T56,Jon Mills,95,173.0,6658194.0,1069
58,59,59,Steve Lowery,74,173.1,5789492.0,929
59,60,60,Kevin Stadler,90,173.2,6278686.0,1007
60,61,61,Charles Howell III,101,173.3,7478535.0,1199
61,T62,T62,Nick Flanagan,89,173.4,6854207.0,1098
62,T62,T62,Camilo Villegas,79,173.4,5438579.0,871
63,64,64,Matt Jones,95,173.6,7238548.0,1158
64,T65,T65,Brad Adamonis,87,173.9,6524133.0,1042
65,T65,T65,John Merrick,98,173.9,6662646.0,1064
66,T65,T65,David Toms,70,173.9,4856774.0,776
67,T68,T68,Todd Demsey,80,174.3,6149645.0,980
68,T68,T68,Jimmy Walker,73,174.3,5307515.0,846
69,70,70,Tommy Armour III,77,174.5,5685247.0,905
70,71,71,Hunter Mahan,87,174.6,6293673.0,1001
71,72,72,Padraig Harrington,52,174.7,2773574.0,441
72,T73,T73,Chad Campbell,94,175.2,7434702.0,1179
73,T73,T73,Kyle Thompson,70,175.2,4905997.0,778
74,T75,T75,Paul Casey,55,175.3,3129954.0,496
75,T75,T75,Ernie Els,51,175.3,3135596.0,497
76,T77,T77,Mark Calcavecchia,67,175.7,4732127.0,748
77,T77,T77,J.J. Henry,108,175.7,8677046.0,1372
78,T77,T77,Kevin Sutherland,98,175.7,7698986.0,1217
79,80,80,Woody Austin,109,175.8,7783752.0,1230
80,T81,T81,Geoff Ogilvy,65,176.1,4292203.0,677
81,T81,T81,Charlie Wi,97,176.1,7691132.0,1213
82,83,83,Ben Curtis,80,176.3,5554450.0,875
83,T84,T84,Brad Elder,67,176.4,4730993.0,745
84,T84,T84,Vaughn Taylor,103,176.4,8229128.0,1296
85,86,86,Aaron Baddeley,76,176.5,5274079.0,830
86,T87,T87,Rod Pampling,83,176.6,5996371.0,943
87,T87,T87,Mark Wilson,107,176.6,9128498.0,1436
88,T89,T89,Ryan Moore,72,176.7,5577873.0,877
89,T89,T89,John Rollins,94,176.7,6978961.0,1097
90,T89,T89,Chris Stroud,81,176.7,5801895.0,912
91,T92,T92,Frank Lickliter II,107,176.8,8760064.0,1376
92,T92,T92,Jeff Maggert,86,176.8,6929511.0,1089
93,T92,T92,John Senden,93,176.8,7216234.0,1134
94,T92,T92,Mike Weir,88,176.8,5885875.0,925
95,T96,T96,Ryan Armour,87,177.0,6652347.0,1044
96,T96,T96,Ben Crane,86,177.0,6627041.0,1040
97,T96,T96,Cody Freeman,66,177.0,4856660.0,762
98,99,99,Stuart Appleby,87,177.1,5884036.0,923
99,100,100,Jonathan Byrd,88,177.2,6805478.0,1067
100,101,101,Rich Beem,90,177.3,6988569.0,1095
101,T102,T102,Joe Durant,92,177.4,6984905.0,1094
102,T102,T102,Peter Lonard,92,177.4,7082846.0,1109
103,T104,T104,Will MacKenzie,62,177.6,5031795.0,787
104,T104,T104,Parker McLachlin,88,177.6,6975901.0,1091
105,106,106,K.J. Choi,74,177.7,5066466.0,792
106,T107,T107,David Lutterus,59,177.9,4386163.0,685
107,T107,T107,Y.E. Yang,89,177.9,7051336.0,1101
108,109,109,Jeff Gove,50,178.0,3921549.0,612
109,110,110,Ken Duke,116,178.1,9282141.0,1448
110,111,111,Justin Leonard,101,178.2,6536827.0,1019
111,112,112,Billy Mayfair,103,178.3,8473405.0,1320
112,113,113,Stephen Ames,83,178.4,5894571.0,918
113,114,114,Jesper Parnevik,88,178.5,6658189.0,1036
114,115,115,J.P. Hayes,67,178.7,5577521.0,867
115,116,116,Ian Poulter,51,178.9,3220004.0,500
116,T117,T117,Billy Andrade,71,179.0,5458100.0,847
117,T117,T117,Eric Axley,113,179.0,8656355.0,1343
118,119,119,Scott McCarron,63,179.1,4802167.0,745
119,T120,T120,Todd Hamilton,92,179.2,6599858.0,1023
120,T120,T120,Carl Pettersson,110,179.2,8618692.0,1336
121,T122,T122,Brett Rumford,72,179.3,5325068.0,825
122,T122,T122,Brandt Snedeker,85,179.3,5996994.0,929
123,124,124,Brett Quigley,80,179.4,6484291.0,1004
124,T125,T125,Alejandro Cañizares,52,179.5,3631828.0,562
125,T125,T125,Tim Clark,90,179.5,6534671.0,1011
126,T125,T125,Patrick Sheehan,124,179.5,9306865.0,1440
127,128,128,Robert Allenby,108,179.6,7722054.0,1194
128,T129,T129,Tim Petrovic,97,179.7,7233735.0,1118
129,T129,T129,Steve Stricker,75,179.7,5195218.0,803
130,T131,T131,Scott Verplank,82,179.8,5876782.0,908
131,T131,T131,Jay Williamson,96,179.8,7196510.0,1112
132,T133,T133,Freddie Jacobson,78,180.0,5754529.0,888
133,T133,T133,Tom Lehman,51,180.0,3421241.0,528
134,T135,T135,Steve Elkington,84,180.1,6572855.0,1014
135,T135,T135,Bob Tway,70,180.1,5109322.0,788
136,137,137,Kenneth Ferrie,72,180.2,5370147.0,828
137,138,138,Retief Goosen,59,180.3,3731848.0,575
138,T139,T139,Briny Baird,113,180.4,8630063.0,1329
139,T139,T139,Tom Pernice Jr.,104,180.4,8755023.0,1348
140,T139,T139,Tom Scherrer,56,180.4,3928390.0,605
141,142,142,Trevor Immelman,70,180.5,4820671.0,742
142,143,143,Steve Flesch,95,180.6,7280872.0,1120
143,T144,T144,Kevin Na,97,180.7,8163148.0,1255
144,T144,T144,Johnson Wagner,83,180.7,6089983.0,936
145,146,146,Marco Dawson,64,180.8,4802516.0,738
146,T147,T147,Michael Allen,91,180.9,7052574.0,1083
147,T147,T147,Carlos Franco,73,180.9,5632357.0,865
148,T147,T147,Kent Jones,68,180.9,4943918.0,759
149,T150,T150,Justin Bolli,87,181.0,6569787.0,1008
150,T150,T150,Nathan Green,95,181.0,8126835.0,1247
151,152,152,Heath Slocum,104,181.2,7783921.0,1193
152,T153,T153,Jim Furyk,95,181.3,6867598.0,1052
153,T153,T153,Jim McGovern,75,181.3,5607890.0,859
154,T155,T155,Cliff Kresge,84,181.4,6518551.0,998
155,T155,T155,Doug LaBelle II,65,181.4,4624173.0,708
156,T155,T155,John Mallinger,95,181.4,7582352.0,1161
