,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,John Huston,56,"34' 8""",94,3258.583,3.0
1,2,2,Gavin Coles,54,"36' 4""",63,2290.917,11.0
2,3,3,Sean O'Hair,81,"37' 6""",130,4874.0,20.0
3,4,4,Steve Allan,58,"37' 8""",119,4487.083,4.0
4,5,5,Woody Austin,109,"38' 1""",157,5980.75,23.0
5,6,6,Nick O'Hern,82,"38' 4""",86,3298.5,12.0
6,7,7,Stephen Ames,83,"38' 9""",112,4337.917,13.0
7,8,8,Steve Elkington,84,"38' 10""",100,3880.333,14.0
8,9,9,Paul Goydos,78,"39' 0""",106,4135.333,25.0
9,10,10,Justin Bolli,87,"39' 4""",111,4365.667,19.0
10,11,11,Alex Cejka,75,"39' 7""",100,3955.917,21.0
11,T12,T12,Chez Reavie,102,"39' 8""",117,4642.167,13.0
12,T12,T12,John Riegger,73,"39' 8""",105,4164.917,15.0
13,14,14,Adam Scott,51,"39' 9""",75,2978.167,9.0
14,15,15,Patrick Sheehan,124,"39' 10""",157,6260.3330000000005,8.0
15,T16,T16,Joe Durant,92,"40' 0""",117,4679.583,13.0
16,T16,T16,Bob Sowards,61,"40' 0""",118,4721.75,28.0
17,18,18,Jon Mills,95,"40' 1""",136,5446.1669999999995,15.0
18,19,19,Joe Ogilvie,100,"40' 2""",157,6306.25,25.0
19,20,20,Kevin Stadler,90,"40' 3""",123,4950.917,15.0
20,21,21,Jeff Quinney,87,"40' 4""",129,5201.667,25.0
21,22,22,Brenden Pappas,66,"40' 5""",112,4524.167,10.0
22,23,23,Ryan Armour,87,"40' 6""",135,5464.6669999999995,40.0
23,24,24,Mark Calcavecchia,67,"40' 8""",92,3739.333,4.0
24,T25,T25,Justin Leonard,101,"40' 9""",100,4072.5,22.0
25,T25,T25,Steve Marino,119,"40' 9""",154,6280.0,8.0
26,T25,T25,Heath Slocum,104,"40' 9""",99,4035.917,16.0
27,T28,T28,Ben Crane,86,"40' 10""",123,5021.667,5.0
28,T28,T28,Tim Petrovic,97,"40' 10""",136,5558.9169999999995,11.0
29,T28,T28,Andres Romero,69,"40' 10""",132,5386.5,25.0
30,T31,T31,Tim Clark,90,"40' 11""",126,5151.083,23.0
31,T31,T31,Charles Howell III,101,"40' 11""",198,8105.0830000000005,7.0
32,T31,T31,Zach Johnson,85,"40' 11""",105,4294.333,9.0
33,T34,T34,Bill Haas,99,"41' 0""",191,7823.8330000000005,19.0
34,T34,T34,Jay Williamson,96,"41' 0""",130,5327.5,23.0
35,T36,T36,Brian Gay,102,"41' 1""",97,3981.5,14.0
36,T36,T36,Will MacKenzie,62,"41' 1""",109,4481.417,25.0
37,38,38,Shane Bertsch,96,"41' 2""",122,5025.25,8.0
38,T39,T39,Harrison Frazar,73,"41' 3""",125,5151.5,17.0
39,T39,T39,Brandt Jobe,52,"41' 3""",113,4657.25,16.0
40,T39,T39,Kyle Thompson,70,"41' 3""",113,4658.167,22.0
41,42,42,Daniel Chopra,84,"41' 4""",185,7641.0,12.0
42,T43,T43,Stuart Appleby,87,"41' 5""",150,6211.25,22.0
43,T43,T43,Scott McCarron,63,"41' 5""",80,3313.917,7.0
44,T43,T43,Charles Warren,79,"41' 5""",106,4392.75,19.0
45,46,46,Vijay Singh,82,"41' 6""",150,6223.8330000000005,10.0
46,47,47,Fred Couples,60,"41' 8""",125,5205.583,5.0
47,48,48,Brian Davis,108,"41' 10""",140,5853.25,23.0
48,49,49,Lee Janzen,89,"42' 0""",96,4028.917,6.0
49,T50,T50,Chris DiMarco,87,"42' 3""",147,6210.25,24.0
50,T50,T50,Bob Estes,90,"42' 3""",164,6923.8330000000005,11.0
51,T50,T50,Cody Freeman,66,"42' 3""",127,5361.75,22.0
52,T53,T53,Frank Lickliter II,107,"42' 4""",181,7660.3330000000005,35.0
53,T53,T53,Scott Sterling,89,"42' 4""",131,5543.6669999999995,14.0
54,T55,T55,Mark Hensby,71,"42' 5""",112,4754.083,15.0
55,T55,T55,Jeff Overton,103,"42' 5""",225,9543.583,19.0
56,T55,T55,Chris Riley,51,"42' 5""",69,2927.583,10.0
57,58,58,D.J. Trahan,94,"42' 6""",143,6077.4169999999995,39.0
58,T59,T59,Stewart Cink,87,"42' 7""",149,6344.25,18.0
59,T59,T59,Carl Pettersson,110,"42' 7""",151,6432.75,8.0
60,T61,T61,Michael Allen,91,"42' 8""",120,5120.0,20.0
61,T61,T61,Steve Flesch,95,"42' 8""",127,5417.1669999999995,23.0
62,T61,T61,Geoff Ogilvy,65,"42' 8""",106,4521.833,9.0
63,T64,T64,Billy Andrade,71,"42' 9""",127,5432.8330000000005,13.0
64,T64,T64,Jason Gore,94,"42' 9""",133,5690.4169999999995,28.0
65,T64,T64,Vaughn Taylor,103,"42' 9""",162,6920.4169999999995,28.0
66,67,67,Kevin Streelman,114,"42' 10""",206,8829.167,27.0
67,T68,T68,Hunter Mahan,87,"42' 11""",119,5105.583,27.0
68,T68,T68,Brett Rumford,72,"42' 11""",131,5626.5830000000005,10.0
69,T70,T70,Tommy Armour III,77,"43' 0""",121,5205.583,31.0
70,T70,T70,Michael Letzig,88,"43' 0""",153,6579.3330000000005,21.0
71,T70,T70,Nick Watney,96,"43' 0""",201,8642.5,10.0
72,T70,T70,Tim Wilkinson,95,"43' 0""",148,6363.0,29.0
73,T74,T74,Chad Campbell,94,"43' 1""",148,6372.75,22.0
74,T74,T74,Ryan Palmer,69,"43' 1""",94,4048.333,10.0
75,T74,T74,Chris Stroud,81,"43' 1""",134,5770.8330000000005,23.0
76,T77,T77,Dudley Hart,74,"43' 2""",111,4793.75,17.0
77,T77,T77,Charley Hoffman,94,"43' 2""",163,7030.0830000000005,16.0
78,T77,T77,Kent Jones,68,"43' 2""",84,3628.0,24.0
79,T77,T77,Craig Kanada,65,"43' 2""",87,3757.25,31.0
80,T77,T77,Doug LaBelle II,65,"43' 2""",62,2676.083,3.0
81,T82,T82,Tom Scherrer,56,"43' 3""",76,3286.417,25.0
82,T82,T82,Bubba Watson,97,"43' 3""",189,8176.0,15.0
83,T84,T84,Stephen Leaney,53,"43' 4""",61,2641.25,14.0
84,T84,T84,Nicholas Thompson,113,"43' 4""",175,7579.0830000000005,31.0
85,T86,T86,Ken Duke,116,"43' 5""",243,10542.0,32.0
86,T86,T86,Travis Perkins,53,"43' 5""",103,4469.583,23.0
87,T86,T86,Ian Poulter,51,"43' 5""",80,3476.083,8.0
88,T86,T86,David Toms,70,"43' 5""",103,4470.917,9.0
89,T86,T86,Jimmy Walker,73,"43' 5""",143,6206.8330000000005,14.0
90,T91,T91,J.B. Holmes,86,"43' 6""",153,6653.5830000000005,10.0
91,T91,T91,Richard Johnson,77,"43' 6""",153,6656.3330000000005,25.0
92,T91,T91,Davis Love III,78,"43' 6""",116,5048.583,6.0
93,T94,T94,Rich Beem,90,"43' 7""",141,6142.9169999999995,29.0
94,T94,T94,Brad Elder,67,"43' 7""",102,4447.167,12.0
95,96,96,Y.E. Yang,89,"43' 8""",142,6196.25,37.0
96,T97,T97,Ben Curtis,80,"43' 9""",92,4027.25,12.0
97,T97,T97,Jim McGovern,75,"43' 9""",108,4728.0,14.0
98,T99,T99,Tommy Gainey,60,"43' 10""",93,4076.417,15.0
99,T99,T99,Tom Pernice Jr.,104,"43' 10""",192,8409.083,27.0
100,101,101,Ángel Cabrera,55,"43' 11""",106,4657.917,20.0
101,T102,T102,Nick Flanagan,89,"44' 0""",145,6379.25,16.0
102,T102,T102,Carlos Franco,73,"44' 0""",107,4710.0,15.0
103,T102,T102,Steve Lowery,74,"44' 0""",132,5803.4169999999995,21.0
104,T102,T102,Phil Mickelson,80,"44' 0""",119,5232.333,5.0
105,T106,T106,David Duval,51,"44' 1""",56,2470.917,9.0
106,T106,T106,Jeff Gove,50,"44' 1""",64,2819.583,15.0
107,T106,T106,Nathan Green,95,"44' 1""",169,7451.8330000000005,7.0
108,T106,T106,John Mallinger,95,"44' 1""",129,5681.5830000000005,20.0
109,T106,T106,Boo Weekley,86,"44' 1""",130,5731.5,18.0
110,T111,T111,Brad Adamonis,87,"44' 2""",184,8132.0,37.0
111,T111,T111,Dustin Johnson,92,"44' 2""",180,7951.0830000000005,28.0
112,T113,T113,Briny Baird,113,"44' 3""",163,7206.5,17.0
113,T113,T113,Kenneth Ferrie,72,"44' 3""",83,3670.583,10.0
114,T113,T113,Padraig Harrington,52,"44' 3""",60,2656.083,7.0
115,T113,T113,John Rollins,94,"44' 3""",139,6149.1669999999995,22.0
116,T113,T113,Omar Uresti,74,"44' 3""",90,3985.583,14.0
117,T118,T118,James Driscoll,85,"44' 4""",183,8113.8330000000005,27.0
118,T118,T118,Matt Kuchar,88,"44' 4""",104,4613.0,22.0
119,T118,T118,Billy Mayfair,103,"44' 4""",162,7186.3330000000005,6.0
120,T118,T118,Scott Verplank,82,"44' 4""",99,4393.0,-1.0
121,T122,T122,Todd Hamilton,92,"44' 5""",111,4933.75,23.0
122,T122,T122,Mike Weir,88,"44' 5""",132,5860.5830000000005,2.0
123,T124,T124,Jason Day,81,"44' 7""",146,6503.0830000000005,22.0
124,T124,T124,Ted Purdy,68,"44' 7""",117,5212.5,27.0
125,T126,T126,Jason Allred,63,"44' 8""",111,4954.5,21.0
126,T126,T126,Lucas Glover,91,"44' 8""",143,6390.9169999999995,27.0
127,T126,T126,Kevin Sutherland,98,"44' 8""",170,7595.1669999999995,20.0
128,129,129,Steve Stricker,75,"44' 10""",102,4571.0,21.0
129,130,130,David Lutterus,59,"44' 11""",104,4672.25,24.0
130,131,131,John Senden,93,"45' 0""",106,4771.75,18.0
131,T132,T132,Ernie Els,51,"45' 1""",70,3156.083,17.0
132,T132,T132,J.J. Henry,108,"45' 1""",122,5501.9169999999995,13.0
133,134,134,Rod Pampling,83,"45' 2""",110,4964.583,30.0
134,135,135,Olin Browne,77,"45' 3""",51,2305.833,18.0
135,T136,T136,Parker McLachlin,88,"45' 4""",205,9294.917,13.0
136,T136,T136,Bo Van Pelt,101,"45' 4""",196,8887.833,33.0
137,T138,T138,Richard Johnson,60,"45' 5""",96,4361.583,15.0
138,T138,T138,Peter Lonard,92,"45' 5""",118,5355.25,6.0
139,T138,T138,Dean Wilson,109,"45' 5""",165,7489.9169999999995,27.0
140,T141,T141,Robert Garrigus,90,"45' 6""",197,8955.583,19.0
141,T141,T141,Tom Lehman,51,"45' 6""",79,3592.0,15.0
142,T141,T141,Kenny Perry,97,"45' 6""",140,6368.4169999999995,20.0
143,T144,T144,Aaron Baddeley,76,"45' 7""",139,6330.9169999999995,8.0
144,T144,T144,Jeff Maggert,86,"45' 7""",128,5834.3330000000005,26.0
145,T144,T144,Shigeki Maruyama,50,"45' 7""",79,3600.167,20.0
146,147,147,Tim Herron,97,"45' 8""",192,8767.583,18.0
147,148,148,Cameron Beckman,87,"45' 9""",110,5032.25,14.0
148,149,149,Tag Ridings,88,"45' 10""",187,8565.667,31.0
149,150,150,K.J. Choi,74,"45' 11""",99,4544.083,5.0
150,T151,T151,Ryuji Imada,80,"46' 0""",149,6851.8330000000005,29.0
151,T151,T151,Brett Quigley,80,"46' 0""",147,6759.0830000000005,15.0
152,T153,T153,Brandt Snedeker,85,"46' 3""",147,6804.6669999999995,13.0
153,T153,T153,Bob Tway,70,"46' 3""",85,3934.0,7.0
154,T155,T155,Bart Bryant,81,"46' 4""",108,5002.5,27.0
155,T155,T155,Jerry Kelly,89,"46' 4""",108,5004.833,6.0
156,T155,T155,Charlie Wi,97,"46' 4""",150,6947.25,13.0
