,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Robert Allenby,108,76.68,1187,1548,-267.0
1,2,2,Hunter Mahan,87,75.77,982,1296,-233.0
2,3,3,Zach Johnson,85,75.35,963,1278,-221.0
3,4,4,Vijay Singh,82,75.31,854,1134,-221.0
4,5,5,Boo Weekley,86,75.26,867,1152,-177.0
5,6,6,Jeff Gove,50,75.0,594,792,-107.0
6,7,7,John Riegger,73,74.83,862,1152,-173.0
7,8,8,Joe Durant,92,74.68,1062,1422,-195.0
8,9,9,Briny Baird,113,74.65,1290,1728,-254.0
9,10,10,Kevin Sutherland,98,74.62,1182,1584,-288.0
10,11,11,Harrison Frazar,73,74.37,830,1116,-161.0
11,T12,T12,John Huston,56,74.04,653,882,-175.0
12,T12,T12,Steve Marino,119,74.04,1386,1872,-340.0
13,14,14,John Senden,93,73.92,1091,1476,-231.0
14,15,15,Heath Slocum,104,73.9,1144,1548,-223.0
15,16,16,Bob Tway,70,73.88,758,1026,-204.0
16,17,17,Rory Sabbatini,77,73.81,837,1134,-211.0
17,18,18,Jay Williamson,96,73.68,1061,1440,-198.0
18,19,19,J.J. Henry,108,73.63,1312,1782,-246.0
19,20,20,Woody Austin,109,73.55,1165,1584,-283.0
20,21,21,Pat Perez,93,73.49,1045,1422,-277.0
21,22,22,Bubba Watson,97,73.47,1058,1440,-261.0
22,23,23,Stewart Cink,87,73.44,846,1152,-225.0
23,24,24,Nick Watney,96,73.35,1109,1512,-266.0
24,25,25,Kent Jones,68,73.23,725,990,-170.0
25,26,26,Jason Gore,94,73.2,1120,1530,-275.0
26,27,27,Chad Campbell,94,73.14,1119,1530,-288.0
27,28,28,Gavin Coles,54,73.11,579,792,-135.0
28,29,29,Mathew Goggin,91,73.1,1079,1476,-253.0
29,30,30,Jim Furyk,95,73.04,986,1350,-240.0
30,T31,T31,Justin Leonard,101,72.98,959,1314,-257.0
31,T31,T31,Chris Stroud,81,72.98,867,1188,-169.0
32,33,33,Robert Garrigus,90,72.93,1129,1548,-279.0
33,34,34,Scott Sterling,89,72.9,971,1332,-196.0
34,35,35,Bob Estes,90,72.87,1128,1548,-255.0
35,36,36,Ryan Palmer,69,72.78,786,1080,-232.0
36,37,37,Billy Mayfair,103,72.75,1244,1710,-245.0
37,38,38,Kevin Streelman,114,72.62,1268,1746,-305.0
