,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
0,1,1,Heath Slocum,104,"29' 5""",32609.5,1110,-0.04
1,2,2,Ernie Els,51,"29' 6""",12648.25,429,-0.08
2,3,3,Chad Campbell,94,"30' 1""",31978.75,1063,-0.10
3,4,4,Kenny Perry,97,"30' 2""",33173.667,1099,-0.09
4,5,5,Gavin Coles,54,"30' 3""",17067.917,564,-0.06
5,6,6,Tim Clark,90,"30' 5""",26123.083,858,-0.09
6,7,7,Ryan Palmer,69,"30' 9""",22870.583,744,-0.12
7,T8,T8,Lucas Glover,91,"30' 10""",31213.5,1012,-0.07
8,T8,T8,Geoff Ogilvy,65,"30' 10""",17431.25,565,-0.07
9,T8,T8,Bubba Watson,97,"30' 10""",26919.0,872,-0.08
10,11,11,Camilo Villegas,79,"30' 11""",23923.917,773,-0.11
11,T12,T12,Briny Baird,113,"31' 0""",37712.833,1215,-0.06
12,T12,T12,Jim McGovern,75,"31' 0""",23695.5,764,-0.01
13,14,14,Billy Andrade,71,"31' 1""",23102.333,744,E
14,15,15,Jay Williamson,96,"31' 3""",31812.5,1019,-0.04
15,T16,T16,Tom Scherrer,56,"31' 4""",17021.917,543,-0.06
16,T16,T16,Scott Sterling,89,"31' 4""",29600.833,945,-0.04
17,T18,T18,Paul Casey,55,"31' 5""",14343.5,456,-0.06
18,T18,T18,Bob Tway,70,"31' 5""",22488.083,715,-0.13
19,T18,T18,Boo Weekley,86,"31' 5""",24327.083,774,-0.07
20,T18,T18,Dean Wilson,109,"31' 5""",35475.5,1129,-0.07
21,T22,T22,Tommy Armour III,77,"31' 6""",24462.667,777,-0.06
22,T22,T22,Tommy Gainey,60,"31' 6""",16852.833,535,-0.03
23,T22,T22,Justin Leonard,101,"31' 6""",28760.833,913,-0.11
24,T25,T25,Robert Allenby,108,"31' 7""",35886.167,1136,-0.11
25,T25,T25,Mike Weir,88,"31' 7""",24982.917,790,-0.09
26,T27,T27,Stephen Ames,83,"31' 8""",25073.833,792,-0.10
27,T27,T27,Doug LaBelle II,65,"31' 8""",20552.25,649,-0.03
28,T27,T27,Hunter Mahan,87,"31' 8""",29304.833,926,-0.09
29,T27,T27,Vijay Singh,82,"31' 8""",22141.833,699,-0.11
30,T27,T27,Vaughn Taylor,103,"31' 8""",35650.333,1125,-0.07
31,T32,T32,John Huston,56,"31' 9""",18883.583,595,-0.11
32,T32,T32,Trevor Immelman,70,"31' 9""",20980.75,660,-0.03
33,T32,T32,Chez Reavie,102,"31' 9""",36928.333,1163,-0.04
34,T32,T32,Rory Sabbatini,77,"31' 9""",23035.333,725,-0.11
35,T32,T32,D.J. Trahan,94,"31' 9""",30729.917,969,-0.08
36,T32,T32,Scott Verplank,82,"31' 9""",26362.0,831,-0.07
37,T38,T38,Robert Gamez,79,"31' 10""",29216.333,918,E
38,T38,T38,Anthony Kim,81,"31' 10""",24249.0,762,-0.09
39,T40,T40,Bart Bryant,81,"31' 11""",28290.25,886,-0.04
40,T40,T40,Alex Cejka,75,"31' 11""",23561.333,738,-0.01
41,T40,T40,Ben Curtis,80,"31' 11""",25713.583,806,-0.05
42,T40,T40,Lee Janzen,89,"31' 11""",28883.417,904,-0.06
43,T40,T40,David Toms,70,"31' 11""",21839.667,685,-0.06
44,T45,T45,Marco Dawson,64,"32' 0""",20914.5,653,-0.07
45,T45,T45,Patrick Sheehan,124,"32' 0""",43366.917,1356,-0.06
46,T47,T47,Stewart Cink,87,"32' 1""",24177.833,753,-0.11
47,T47,T47,Sergio Garcia,72,"32' 1""",21633.417,675,-0.07
48,T47,T47,Zach Johnson,85,"32' 1""",29361.75,915,-0.07
49,T47,T47,Andres Romero,69,"32' 1""",15740.5,491,-0.08
50,T51,T51,Jim Furyk,95,"32' 3""",31311.167,970,-0.09
51,T51,T51,Brian Gay,102,"32' 3""",35592.5,1104,-0.05
52,T51,T51,Charley Hoffman,94,"32' 3""",33303.417,1034,-0.05
53,T51,T51,Brandt Jobe,52,"32' 3""",17783.0,551,-0.04
54,T55,T55,J.B. Holmes,86,"32' 4""",22931.833,709,-0.06
55,T55,T55,Greg Kraft,63,"32' 4""",20122.25,622,-0.03
56,T55,T55,Davis Love III,78,"32' 4""",25595.583,792,-0.06
57,T55,T55,George McNeill,97,"32' 4""",34635.833,1070,-0.09
58,T55,T55,Phil Mickelson,80,"32' 4""",20902.833,647,-0.13
