,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Justin Leonard,101,150.2,1525046.0,282
1,2,2,Gavin Coles,54,152.1,832102.0,152
2,3,3,Paul Goydos,78,155.6,1215883.0,217
3,T4,T4,Brian Gay,102,155.7,1715492.0,306
4,T4,T4,Greg Kraft,63,155.7,935907.0,167
5,6,6,Jin Park,85,155.8,1188929.0,212
6,7,7,Stephen Leaney,53,156.6,693623.0,123
7,8,8,Tim Clark,90,156.9,1530419.0,271
8,9,9,Ron Whittaker,54,157.0,723494.0,128
9,10,10,Nick O'Hern,82,157.1,1413809.0,250
10,T11,T11,Olin Browne,77,157.4,1065453.0,188
11,T11,T11,Heath Slocum,104,157.4,1547247.0,273
12,13,13,Bart Bryant,81,158.1,1184021.0,208
13,T14,T14,Paul Claxton,63,158.2,865401.0,152
14,T14,T14,Craig Kanada,65,158.2,1007880.0,177
15,16,16,Ian Poulter,51,158.4,655778.0,115
16,T17,T17,Glen Day,64,158.7,1062363.0,186
17,T17,T17,Omar Uresti,74,158.7,1165307.0,204
18,19,19,Scott Sterling,89,159.5,1354839.0,236
19,20,20,Tommy Armour III,77,159.6,1281259.0,223
20,21,21,Jeff Quinney,87,160.1,1481341.0,257
21,22,22,Dean Wilson,109,160.3,1898298.0,329
22,T23,T23,Matt Kuchar,88,160.4,1293342.0,224
23,T23,T23,Jay Williamson,96,160.4,1466496.0,254
24,25,25,Scott Verplank,82,160.6,1358292.0,235
25,26,26,Chez Reavie,102,160.9,1738082.0,300
26,27,27,Corey Pavin,69,161.2,1114235.0,192
27,28,28,John Riegger,73,161.3,1242328.0,214
28,29,29,Geoff Ogilvy,65,162.0,962452.0,165
29,30,30,Brian Davis,108,162.3,2121196.0,363
30,31,31,Tim Wilkinson,95,162.9,1519164.0,259
31,32,32,Ryan Armour,87,163.3,1510820.0,257
32,T33,T33,Chris DiMarco,87,163.5,1507246.0,256
33,T33,T33,Freddie Jacobson,78,163.5,1335804.0,227
34,T33,T33,Joe Ogilvie,100,163.5,1919183.0,326
35,36,36,Shane Bertsch,96,163.7,1826653.0,310
