,Approaches_from_250-275_yards_Rgh_RANK THIS WEEK,Approaches_from_250-275_yards_Rgh_RANK LAST WEEK,Approaches_from_250-275_yards_Rgh_PLAYER NAME,Approaches_from_250-275_yards_Rgh_ROUNDS,Approaches_from_250-275_yards_Rgh_AVG,Approaches_from_250-275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_250-275_yards_Rgh_# OF ATTEMPTS,Approaches_from_250-275_yards_Rgh_RELATIVE TO PAR
0,1,1,Bart Bryant,81,"39' 0""",78.0,2,-1
1,2,2,Ben Curtis,80,"39' 8""",79.333,2,-2
2,3,3,Chris Riley,51,"40' 9""",81.5,2,-1
3,4,4,Steve Elkington,84,"41' 5""",82.833,2,-2
4,5,5,Anthony Kim,81,"41' 7""",249.583,6,-4
5,6,6,Dudley Hart,74,"46' 11""",93.75,2,-1
6,7,7,Geoff Ogilvy,65,"47' 8""",47.667,1,E
7,8,8,Stuart Appleby,87,"49' 3""",196.917,4,-4
8,9,9,Kyle Thompson,70,"51' 1""",153.167,3,-2
9,10,10,Charley Hoffman,94,"53' 1""",477.5,9,-7
10,11,11,Vijay Singh,82,"54' 0""",323.75,6,-4
11,12,12,Paul Goydos,78,"55' 1""",165.167,3,E
12,13,13,Joe Durant,92,"55' 3""",220.917,4,-4
13,T14,T14,K.J. Choi,74,"56' 4""",225.25,4,E
14,T14,T14,Ryan Palmer,69,"56' 4""",281.58299999999997,5,-4
15,16,16,Brian Gay,102,"56' 9""",56.75,1,E
16,17,17,Mark Hensby,71,"58' 6""",351.167,6,-5
17,18,18,Richard Johnson,77,"59' 4""",474.667,8,-4
18,19,19,Trevor Immelman,70,"59' 10""",239.25,4,E
19,20,20,David Duval,51,"60' 2""",300.66700000000003,5,-1
20,21,21,Tom Lehman,51,"61' 6""",246.083,4,-4
21,22,22,Retief Goosen,59,"61' 7""",184.667,3,-1
22,T23,T23,Justin Bolli,87,"62' 3""",186.667,3,-1
23,T23,T23,Stewart Cink,87,"62' 3""",186.75,3,-2
24,25,25,Daniel Chopra,84,"63' 5""",443.833,7,-4
25,26,26,Scott McCarron,63,"64' 0""",128.0,2,-1
26,27,27,Bob Sowards,61,"64' 7""",258.25,4,-1
27,28,28,Ted Purdy,68,"65' 1""",325.58299999999997,5,-2
28,29,29,Stephen Leaney,53,"65' 4""",65.333,1,E
29,30,30,Rory Sabbatini,77,"65' 6""",392.917,6,-4
30,T31,T31,Phil Mickelson,80,"65' 9""",592.0830000000001,9,-7
31,T31,T31,Andres Romero,69,"65' 9""",197.25,3,-1
32,33,33,Davis Love III,78,"66' 1""",330.583,5,E
33,34,34,Camilo Villegas,79,"66' 3""",397.667,6,-3
34,35,35,Todd Hamilton,92,"66' 4""",132.583,2,E
35,36,36,Rod Pampling,83,"66' 7""",266.33299999999997,4,-1
36,37,37,Woody Austin,109,"66' 11""",401.417,6,-1
37,38,38,Nicholas Thompson,113,"67' 2""",268.75,4,-3
38,39,39,Sean O'Hair,81,"67' 5""",337.0,5,-3
39,40,40,J.J. Henry,108,"68' 1""",204.167,3,-2
40,T41,T41,Mathias Grönberg,87,"68' 3""",409.5,6,-5
41,T41,T41,Boo Weekley,86,"68' 3""",341.083,5,-2
42,43,43,Ryan Armour,87,"68' 5""",205.25,3,-2
43,44,44,Kenny Perry,97,"68' 7""",617.4169999999999,9,-4
44,45,45,Martin Laird,98,"68' 10""",413.0,6,-3
45,46,46,Brenden Pappas,66,"68' 11""",620.3330000000001,9,-5
46,47,47,Adam Scott,51,"69' 2""",276.5,4,-4
47,48,48,Brett Quigley,80,"69' 9""",488.333,7,-3
48,49,49,Jerry Kelly,89,"70' 0""",349.833,5,E
49,50,50,Pat Perez,93,"70' 6""",705.1669999999999,10,-4
50,51,51,Jin Park,85,"71' 2""",426.833,6,-2
51,52,52,David Lutterus,59,"71' 5""",285.66700000000003,4,-1
52,53,53,Ángel Cabrera,55,"71' 10""",359.0,5,-3
53,T54,T54,Shane Bertsch,96,"72' 3""",216.667,3,-3
54,T54,T54,Lucas Glover,91,"72' 3""",433.25,6,-5
55,56,56,Y.E. Yang,89,"72' 5""",797.0,11,-5
56,T57,T57,Mark Calcavecchia,67,"72' 7""",362.917,5,-3
57,T57,T57,Mike Weir,88,"72' 7""",363.0,5,-2
58,59,59,Carl Pettersson,110,"72' 9""",290.91700000000003,4,-4
59,T60,T60,John Mallinger,95,"73' 0""",583.6669999999999,8,-4
60,T60,T60,Dean Wilson,109,"73' 0""",803.0830000000001,11,-2
61,62,62,Tag Ridings,88,"73' 4""",1246.833,17,-12
62,63,63,Brandt Jobe,52,"73' 5""",661.0830000000001,9,-4
63,64,64,Brandt Snedeker,85,"73' 11""",369.417,5,E
64,65,65,Zach Johnson,85,"75' 0""",450.0,6,E
65,T66,T66,Brad Adamonis,87,"75' 3""",451.25,6,-4
66,T66,T66,Stephen Ames,83,"75' 3""",376.167,5,-1
67,68,68,Michael Letzig,88,"75' 5""",528.0830000000001,7,-2
68,T69,T69,Steve Allan,58,"75' 7""",453.417,6,-1
69,T69,T69,Vaughn Taylor,103,"75' 7""",302.25,4,-4
70,71,71,Glen Day,64,"75' 9""",151.5,2,+1
71,72,72,Peter Lonard,92,"76' 4""",610.8330000000001,8,-2
72,73,73,Nick Flanagan,89,"76' 7""",919.0830000000001,12,-9
73,74,74,Steve Stricker,75,"76' 10""",230.583,3,-4
74,T75,T75,Jim McGovern,75,"77' 1""",616.5,8,-2
75,T75,T75,Kevin Stadler,90,"77' 1""",694.0,9,-5
76,77,77,Bob Tway,70,"78' 0""",312.08299999999997,4,-2
77,T78,T78,Joe Ogilvie,100,"78' 2""",547.0,7,-4
78,T78,T78,John Senden,93,"78' 2""",312.58299999999997,4,-3
79,80,80,Carlos Franco,73,"78' 3""",312.83299999999997,4,-2
80,81,81,Alex Cejka,75,"78' 4""",470.083,6,E
81,82,82,James Driscoll,85,"78' 8""",1101.333,14,-5
82,83,83,Lee Janzen,89,"78' 11""",394.417,5,-1
83,84,84,John Rollins,94,"79' 0""",395.083,5,-4
84,85,85,Chad Collins,72,"79' 5""",476.583,6,-2
85,86,86,Jimmy Walker,73,"79' 6""",636.25,8,-2
86,87,87,Padraig Harrington,52,"79' 8""",398.417,5,-2
87,88,88,Steve Marino,119,"79' 10""",638.4169999999999,8,-3
88,89,89,Tim Petrovic,97,"80' 0""",239.917,3,-3
89,90,90,Mark Wilson,107,"80' 3""",240.667,3,-3
90,91,91,Bubba Watson,97,"80' 4""",964.1669999999999,12,-3
91,92,92,George McNeill,97,"80' 7""",1208.333,15,-3
92,93,93,Parker McLachlin,88,"80' 9""",565.0,7,-4
93,94,94,Dustin Johnson,92,"80' 11""",890.5,11,-1
94,95,95,Jason Allred,63,"81' 0""",647.75,8,-4
95,T96,T96,Olin Browne,77,"81' 1""",324.25,4,E
96,T96,T96,Johnson Wagner,83,"81' 1""",648.8330000000001,8,-3
97,98,98,D.J. Trahan,94,"81' 7""",408.0,5,+3
98,99,99,Chris Stroud,81,"82' 1""",574.5,7,-4
99,100,100,Steve Flesch,95,"82' 7""",578.3330000000001,7,-3
100,101,101,Harrison Frazar,73,"82' 8""",826.6669999999999,10,-5
101,102,102,J.B. Holmes,86,"82' 10""",828.4169999999999,10,-4
102,103,103,Kevin Na,97,"82' 11""",911.6669999999999,11,-3
103,T104,T104,Alejandro Cañizares,52,"83' 2""",498.75,6,-1
104,T104,T104,Omar Uresti,74,"83' 2""",332.5,4,E
105,106,106,Travis Perkins,53,"83' 5""",500.417,6,-1
106,107,107,Robert Garrigus,90,"83' 9""",1423.75,17,-4
107,108,108,Jon Mills,95,"84' 7""",761.0830000000001,9,-2
108,109,109,Kenneth Ferrie,72,"85' 2""",511.083,6,-4
109,110,110,Jeff Quinney,87,"85' 7""",342.25,4,E
110,111,111,Greg Kraft,63,"85' 10""",171.667,2,E
111,112,112,Jeff Gove,50,"86' 0""",86.0,1,-1
112,113,113,Troy Matteson,94,"86' 3""",776.3330000000001,9,-2
113,T114,T114,Cody Freeman,66,"86' 9""",347.0,4,-4
114,T114,T114,Mathew Goggin,91,"86' 9""",1214.583,14,-8
115,116,116,Kevin Streelman,114,"87' 2""",1482.0829999999999,17,-5
116,117,117,Kent Jones,68,"87' 6""",349.917,4,-2
117,118,118,Briny Baird,113,"87' 7""",525.6669999999999,6,-2
118,T119,T119,Billy Andrade,71,"87' 10""",527.0830000000001,6,+1
119,T119,T119,Ken Duke,116,"87' 10""",878.5,10,E
120,121,121,Tommy Gainey,60,"88' 3""",88.25,1,-1
121,122,122,Charles Howell III,101,"88' 5""",618.6669999999999,7,-5
122,123,123,Chad Campbell,94,"88' 8""",709.0,8,-2
123,124,124,Fred Couples,60,"89' 1""",534.5830000000001,6,-3
124,T125,T125,Aaron Baddeley,76,"89' 3""",624.5830000000001,7,-2
125,T125,T125,Chez Reavie,102,"89' 3""",624.75,7,-2
126,127,127,Robert Gamez,79,"89' 4""",357.167,4,-1
127,128,128,Eric Axley,113,"89' 6""",447.417,5,+1
128,129,129,Hunter Mahan,87,"89' 10""",179.667,2,-2
129,130,130,Rich Beem,90,"90' 0""",629.75,7,-5
130,131,131,Rocco Mediate,87,"90' 3""",631.5830000000001,7,-4
131,T132,T132,Todd Demsey,80,"90' 5""",452.167,5,-2
132,T132,T132,Matt Kuchar,88,"90' 5""",180.75,2,-1
133,134,134,Charles Warren,79,"90' 8""",816.0,9,-4
134,135,135,Tim Wilkinson,95,"91' 2""",729.5830000000001,8,-2
135,136,136,Ian Poulter,51,"91' 4""",91.333,1,E
136,137,137,Jim Furyk,95,"91' 8""",458.167,5,-4
137,138,138,Jay Williamson,96,"92' 2""",276.5,3,-2
138,139,139,Jeff Maggert,86,"92' 3""",738.25,8,+1
139,140,140,Billy Mayfair,103,"92' 5""",462.167,5,-2
140,141,141,Jesper Parnevik,88,"92' 6""",740.25,8,-3
141,142,142,Tommy Armour III,77,"92' 7""",462.833,5,-3
142,143,143,Tim Herron,97,"93' 0""",1209.333,13,-8
143,144,144,Doug LaBelle II,65,"93' 2""",186.333,2,-1
144,145,145,Tom Scherrer,56,"93' 6""",186.917,2,-1
145,146,146,Cliff Kresge,84,"93' 11""",281.66700000000003,3,-1
146,147,147,Frank Lickliter II,107,"94' 2""",565.0830000000001,6,+1
147,148,148,Patrick Sheehan,124,"94' 4""",471.5,5,-3
148,149,149,Ryuji Imada,80,"94' 5""",1038.667,11,-6
149,150,150,Kevin Sutherland,98,"94' 6""",755.9169999999999,8,-2
150,T151,T151,Heath Slocum,104,"95' 6""",95.5,1,+1
151,T151,T151,Bo Van Pelt,101,"95' 6""",763.6669999999999,8,-1
152,153,153,Justin Leonard,101,"96' 2""",96.167,1,-1
153,T154,T154,Jonathan Byrd,88,"96' 3""",769.6669999999999,8,-2
154,T154,T154,Jeff Overton,103,"96' 3""",865.9169999999999,9,-3
155,156,156,Nathan Green,95,"96' 4""",770.5830000000001,8,-6
156,157,157,J.P. Hayes,67,"96' 7""",772.75,8,E
157,158,158,Jason Day,81,"96' 11""",1066.333,11,-3
158,159,159,Michael Allen,91,"97' 2""",388.583,4,E
159,160,160,Matt Jones,95,"97' 3""",778.0830000000001,8,-4
160,161,161,Sergio Garcia,72,"97' 10""",782.5830000000001,8,-2
161,162,162,John Merrick,98,"99' 4""",695.1669999999999,7,-2
162,163,163,Brett Rumford,72,"99' 5""",795.4169999999999,8,-2
163,164,164,Scott Verplank,82,"100' 4""",401.167,4,-1
164,165,165,Freddie Jacobson,78,"101' 1""",505.417,5,-3
165,166,166,Ron Whittaker,54,"102' 1""",102.083,1,E
166,167,167,Brian Davis,108,"102' 4""",204.583,2,+1
167,168,168,Bob Estes,90,"102' 10""",205.583,2,-2
168,169,169,Jason Gore,94,"103' 3""",619.4169999999999,6,-4
169,170,170,Marc Turnesa,87,"104' 4""",521.5830000000001,5,-2
170,171,171,Charlie Wi,97,"105' 0""",735.0830000000001,7,-1
171,172,172,Robert Allenby,108,"105' 9""",951.5,9,E
172,173,173,Bill Haas,99,"106' 4""",957.0,9,-4
173,174,174,Will MacKenzie,62,"107' 4""",429.417,4,+2
174,175,175,Nick Watney,96,"107' 8""",1076.667,10,-5
175,176,176,John Huston,56,"107' 10""",215.667,2,+1
176,177,177,Ben Crane,86,"108' 4""",216.667,2,E
177,178,178,John Riegger,73,"108' 6""",325.58299999999997,3,E
178,179,179,Ryan Moore,72,"108' 9""",217.417,2,-2
