,Approaches_100-125_yards-Rgh_RTP_RANK THIS WEEK,Approaches_100-125_yards-Rgh_RTP_RANK LAST WEEK,Approaches_100-125_yards-Rgh_RTP_PLAYER NAME,Approaches_100-125_yards-Rgh_RTP_ROUNDS,Approaches_100-125_yards-Rgh_RTP_AVG RTP
0,1,1,Ian Poulter,51,-.353
1,2,2,Steve Allan,58,-.258
2,3,3,David Duval,51,-.231
3,4,4,Adam Scott,51,-.217
4,5,5,Chris Riley,51,-.214
5,6,6,Alejandro Cañizares,52,-.167
6,7,7,Robert Allenby,108,-.161
7,8,8,Aaron Baddeley,76,-.160
8,9,9,Jonathan Byrd,88,-.154
9,10,10,Anthony Kim,81,-.146
10,11,11,Marc Turnesa,87,-.143
11,12,12,Ben Curtis,80,-.133
12,13,13,Chez Reavie,102,-.130
13,T14,T14,Steve Elkington,84,-.120
14,T14,T14,John Huston,56,-.120
15,T14,T14,Heath Slocum,104,-.120
16,T14,T14,Steve Stricker,75,-.120
17,T14,T14,Scott Verplank,82,-.120
18,T19,T19,David Toms,70,-.115
19,T19,T19,Mike Weir,88,-.115
20,21,21,Stuart Appleby,87,-.114
21,22,22,Michael Allen,91,-.107
22,23,23,Scott McCarron,63,-.091
23,24,24,Peter Lonard,92,-.079
24,25,25,Billy Andrade,71,-.077
25,26,26,Mark Calcavecchia,67,-.074
26,T27,T27,Brian Gay,102,-.063
27,T27,T27,Todd Hamilton,92,-.063
28,29,29,Jeff Overton,103,-.058
29,T30,T30,Bill Haas,99,-.053
30,T30,T30,Lee Janzen,89,-.053
31,32,32,Kevin Stadler,90,-.051
32,33,33,Kenneth Ferrie,72,-.048
33,T34,T34,Jerry Kelly,89,-.045
34,T34,T34,John Riegger,73,-.045
35,36,36,Bart Bryant,81,-.042
36,T37,T37,Cameron Beckman,87,-.038
37,T37,T37,Ben Crane,86,-.038
38,T37,T37,Nathan Green,95,-.038
39,40,40,Charlie Wi,97,-.037
40,41,41,Tom Pernice Jr.,104,-.034
41,42,42,Kenny Perry,97,-.032
42,T43,T43,Jason Day,81,-.031
43,T43,T43,Scott Sterling,89,-.031
44,45,45,Bob Estes,90,-.029
45,46,46,Daniel Chopra,84,-.025
46,47,47,Tommy Armour III,77,-.024
47,48,48,Boo Weekley,86,-.022
48,49,49,Lucas Glover,91,-.021
49,50,50,Nick Watney,96,-.019
50,51,51,Dustin Johnson,92,-.018
51,T52,T52,Rich Beem,90,E
52,T52,T52,Glen Day,64,E
53,T52,T52,Chris DiMarco,87,E
54,T52,T52,Ernie Els,51,E
55,T52,T52,Jim Furyk,95,E
56,T52,T52,J.P. Hayes,67,E
57,T52,T52,Zach Johnson,85,E
58,T52,T52,Craig Kanada,65,E
59,T52,T52,Greg Kraft,63,E
60,T52,T52,Stephen Leaney,53,E
61,T52,T52,Steve Lowery,74,E
62,T52,T52,Jeff Maggert,86,E
63,T52,T52,Steve Marino,119,E
64,T52,T52,John Merrick,98,E
65,T52,T52,Corey Pavin,69,E
66,T52,T52,Vijay Singh,82,E
67,T52,T52,Chris Stroud,81,E
68,T52,T52,Camilo Villegas,79,E
69,T52,T52,Bubba Watson,97,E
70,T71,T71,Tim Herron,97,+.027
71,T71,T71,Joe Ogilvie,100,+.027
72,73,73,Phil Mickelson,80,+.029
73,T74,T74,Jason Gore,94,+.033
74,T74,T74,Davis Love III,78,+.033
75,76,76,Fred Couples,60,+.034
76,T77,T77,Shane Bertsch,96,+.038
77,T77,T77,Richard Johnson,77,+.038
78,T79,T79,Stephen Ames,83,+.040
79,T79,T79,Brandt Jobe,52,+.040
80,T79,T79,Rocco Mediate,87,+.040
81,T79,T79,Brett Rumford,72,+.040
82,T83,T83,Ryan Moore,72,+.042
83,T83,T83,Geoff Ogilvy,65,+.042
84,T85,T85,Ryan Palmer,69,+.045
85,T85,T85,Jimmy Walker,73,+.045
86,87,87,Carl Pettersson,110,+.047
87,88,88,Jon Mills,95,+.056
88,89,89,Chad Campbell,94,+.059
89,T90,T90,Troy Matteson,94,+.065
90,T90,T90,Parker McLachlin,88,+.065
91,T90,T90,Kevin Na,97,+.065
92,T93,T93,Richard Johnson,60,+.067
93,T93,T93,Frank Lickliter II,107,+.067
94,T93,T93,Brandt Snedeker,85,+.067
95,T96,T96,David Lutterus,59,+.071
96,T96,T96,Jim McGovern,75,+.071
97,98,98,Hunter Mahan,87,+.074
98,99,99,Joe Durant,92,+.077
99,100,100,Brad Adamonis,87,+.079
100,101,101,John Senden,93,+.080
101,102,102,Mark Hensby,71,+.081
102,T103,T103,Steve Flesch,95,+.083
103,T103,T103,Shigeki Maruyama,50,+.083
104,T103,T103,Nick O'Hern,82,+.083
105,T103,T103,Omar Uresti,74,+.083
106,T103,T103,Bo Van Pelt,101,+.083
107,108,108,J.J. Henry,108,+.085
108,T109,T109,Nick Flanagan,89,+.086
109,T109,T109,Dean Wilson,109,+.086
110,T111,T111,Ryan Armour,87,+.087
111,T111,T111,Brian Davis,108,+.087
112,T111,T111,Jesper Parnevik,88,+.087
113,114,114,Johnson Wagner,83,+.091
114,115,115,Matt Jones,95,+.093
