,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Kevin Stadler,90,22.76,28,123
1,2,2,Ben Crane,86,20.33,25,123
2,3,3,J.B. Holmes,86,19.61,30,153
3,4,4,K.J. Choi,74,19.19,19,99
4,5,5,Jeff Overton,103,19.11,43,225
5,6,6,Anthony Kim,81,19.08,25,131
6,7,7,Nathan Green,95,18.93,32,169
7,8,8,Pat Perez,93,18.75,24,128
8,9,9,Daniel Chopra,84,18.38,34,185
9,10,10,Ron Whittaker,54,18.18,10,55
10,11,11,Zach Johnson,85,18.1,19,105
11,12,12,Ryan Palmer,69,18.09,17,94
12,13,13,Aaron Baddeley,76,17.99,25,139
13,14,14,Alejandro Cañizares,52,17.5,14,80
14,15,15,Nick Watney,96,17.41,35,201
15,16,16,Mark Calcavecchia,67,17.39,16,92
16,17,17,Marc Turnesa,87,17.36,25,144
17,18,18,Cameron Beckman,87,17.27,19,110
18,19,19,Robert Garrigus,90,17.26,34,197
19,20,20,Nick Flanagan,89,17.24,25,145
20,21,21,Chad Collins,72,17.16,23,134
21,22,22,Robert Allenby,108,17.12,25,146
22,23,23,Parker McLachlin,88,17.07,35,205
23,24,24,Mathew Goggin,91,17.05,22,129
24,25,25,John Huston,56,17.02,16,94
25,26,26,Brandt Snedeker,85,17.01,25,147
26,27,27,Camilo Villegas,79,16.96,19,112
27,28,28,Greg Kraft,63,16.88,13,77
28,29,29,Kenneth Ferrie,72,16.87,14,83
29,T30,T30,Steve Allan,58,16.81,20,119
30,T30,T30,Brandt Jobe,52,16.81,19,113
31,32,32,D.J. Trahan,94,16.78,24,143
32,T33,T33,Dustin Johnson,92,16.67,30,180
33,T33,T33,Mike Weir,88,16.67,22,132
34,35,35,Sergio Garcia,72,16.51,18,109
35,36,36,Davis Love III,78,16.38,19,116
