,Birdie_or_Better_Percentage_-_150-175_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_150-175_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_150-175_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_150-175_ya_ROUNDS,Birdie_or_Better_Percentage_-_150-175_ya_%,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL HOLES
0,1,1,Jeff Quinney,87,20.96,57,272
1,2,2,Chris DiMarco,87,19.42,54,278
2,3,3,Stephen Ames,83,19.09,46,241
3,4,4,Bob Tway,70,19.05,44,231
4,5,5,Freddie Jacobson,78,18.78,43,229
5,6,6,Matt Kuchar,88,18.65,47,252
6,7,7,Bubba Watson,97,18.57,52,280
7,8,8,Kent Jones,68,18.5,42,227
8,9,9,Paul Casey,55,18.47,29,157
9,10,10,Bob Estes,90,18.45,62,336
10,11,11,Richard Johnson,60,18.26,40,219
11,12,12,Carlos Franco,73,18.15,49,270
12,13,13,Mark Wilson,107,17.99,70,389
13,14,14,Ian Poulter,51,17.8,21,118
14,15,15,Marco Dawson,64,17.67,38,215
15,16,16,Lee Janzen,89,17.52,55,314
16,17,17,Tommy Armour III,77,17.43,42,241
17,18,18,Tim Clark,90,17.31,45,260
18,T19,T19,Steve Elkington,84,17.18,50,291
19,T19,T19,Jerry Kelly,89,17.18,50,291
20,21,21,Robert Garrigus,90,17.13,56,327
21,22,22,Ryan Palmer,69,17.01,41,241
22,23,23,Rory Sabbatini,77,17.0,42,247
23,24,24,Alejandro Cañizares,52,16.97,28,165
24,25,25,Jay Williamson,96,16.92,55,325
25,26,26,Jesper Parnevik,88,16.84,48,285
26,27,27,Brett Rumford,72,16.82,37,220
27,28,28,John Mallinger,95,16.77,56,334
28,29,29,Steve Marino,119,16.75,66,394
29,30,30,David Toms,70,16.74,38,227
30,31,31,Dudley Hart,74,16.73,47,281
31,T32,T32,Ángel Cabrera,55,16.67,23,138
32,T32,T32,Frank Lickliter II,107,16.67,63,378
33,34,34,Dean Wilson,109,16.57,60,362
34,35,35,Kenny Perry,97,16.49,61,370
35,T36,T36,Alex Cejka,75,16.32,39,239
36,T36,T36,Kevin Streelman,114,16.32,62,380
37,38,38,Stewart Cink,87,16.3,37,227
38,39,39,Scott McCarron,63,16.28,35,215
39,40,40,Hunter Mahan,87,16.26,47,289
40,41,41,Tom Pernice Jr.,104,16.25,65,400
41,42,42,Jim McGovern,75,16.18,39,241
42,T43,T43,Mark Hensby,71,16.17,38,235
43,T43,T43,Andres Romero,69,16.17,27,167
44,T45,T45,Zach Johnson,85,16.14,41,254
45,T45,T45,Camilo Villegas,79,16.14,41,254
46,47,47,Ryan Moore,72,16.08,41,255
47,48,48,Ken Duke,116,16.06,66,411
48,49,49,Bill Haas,99,15.99,55,344
