,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
0,1,1,Chris DiMarco,87,"12' 10""",12.833,1,-1
1,2,2,Gavin Coles,54,"27' 2""",54.25,2,-1
2,3,3,Tommy Armour III,77,"33' 1""",33.083,1,-1
3,4,4,Ben Crane,86,"45' 8""",45.667,1,-1
4,5,5,David Toms,70,"47' 9""",47.75,1,-2
5,6,6,Alejandro Cañizares,52,"49' 8""",99.25,2,-3
6,7,7,Tom Pernice Jr.,104,"50' 2""",50.167,1,E
7,8,8,Kyle Thompson,70,"58' 2""",58.167,1,-1
8,9,9,Tim Clark,90,"62' 0""",62.0,1,-1
9,10,10,Jay Williamson,96,"63' 6""",63.5,1,E
10,11,11,Robert Gamez,79,"63' 11""",255.583,4,E
11,12,12,Sean O'Hair,81,"64' 4""",321.5,5,-4
12,13,13,Padraig Harrington,52,"64' 7""",129.083,2,E
13,14,14,Ian Poulter,51,"66' 6""",132.917,2,-2
14,15,15,Bob Tway,70,"69' 3""",138.417,2,E
15,16,16,Brad Elder,67,"70' 1""",70.083,1,-1
16,17,17,Lee Janzen,89,"72' 3""",144.5,2,+2
17,18,18,George McNeill,97,"74' 0""",221.917,3,-1
18,19,19,Martin Laird,98,"75' 7""",680.3330000000001,9,-5
19,20,20,Jon Mills,95,"76' 6""",612.0830000000001,8,E
20,21,21,Ángel Cabrera,55,"76' 7""",306.25,4,-1
21,22,22,Ryan Palmer,69,"77' 4""",618.9169999999999,8,-6
22,23,23,John Merrick,98,"77' 10""",622.75,8,-2
23,24,24,Jason Allred,63,"77' 11""",545.1669999999999,7,-5
24,25,25,John Senden,93,"78' 1""",234.333,3,-1
25,T26,T26,Sergio Garcia,72,"80' 0""",159.917,2,E
26,T26,T26,Brandt Jobe,52,"80' 0""",80.0,1,-1
27,28,28,Aaron Baddeley,76,"80' 9""",322.91700000000003,4,-3
