,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Tommy Armour III,77,157.1,6692598.0,1183
1,2,2,Greg Kraft,63,157.3,5074634.0,896
2,3,3,Kyle Thompson,70,159.4,5869392.0,1023
3,4,4,Justin Leonard,101,159.8,7500138.0,1304
4,5,5,Ron Whittaker,54,160.2,4249129.0,737
5,6,6,Travis Perkins,53,160.3,4096383.0,710
6,7,7,John Huston,56,160.4,5069856.0,878
7,T8,T8,Ryan Armour,87,160.5,7859465.0,1360
8,T8,T8,Tom Scherrer,56,160.5,4553529.0,788
9,T8,T8,Heath Slocum,104,160.5,8900519.0,1540
10,11,11,J.P. Hayes,67,160.6,6520932.0,1128
11,12,12,John Riegger,73,160.7,6612183.0,1143
12,13,13,Doug LaBelle II,65,160.8,5279917.0,912
13,T14,T14,Stephen Ames,83,160.9,6842350.0,1181
14,T14,T14,Marco Dawson,64,160.9,5577320.0,963
15,T14,T14,Ian Poulter,51,160.9,3729878.0,644
16,17,17,Jin Park,85,161.0,7274229.0,1255
17,T18,T18,Glen Day,64,161.1,5821931.0,1004
18,T18,T18,Scott Sterling,89,161.1,7705736.0,1329
19,20,20,Chris DiMarco,87,161.2,7898072.0,1361
20,T21,T21,Shane Bertsch,96,161.3,9356980.0,1611
21,T21,T21,Joe Ogilvie,100,161.3,9033579.0,1556
22,T23,T23,Tim Clark,90,161.4,7592083.0,1307
23,T23,T23,Stephen Leaney,53,161.4,4661323.0,802
24,T25,T25,Cameron Beckman,87,161.5,7717546.0,1327
25,T25,T25,Jeff Gove,50,161.5,4575278.0,787
26,T25,T25,Mark Hensby,71,161.5,6661607.0,1146
27,T25,T25,Jim McGovern,75,161.5,6552633.0,1127
28,T25,T25,Jay Williamson,96,161.5,8327109.0,1432
29,30,30,David Toms,70,161.6,5835127.0,1003
30,T31,T31,Daniel Chopra,84,161.8,7163840.0,1230
31,T31,T31,Gavin Coles,54,161.8,4590702.0,788
32,T31,T31,Brett Rumford,72,161.8,6330600.0,1087
33,T34,T34,Tommy Gainey,60,161.9,4771986.0,819
34,T34,T34,Lee Janzen,89,161.9,7811584.0,1340
35,T36,T36,Olin Browne,77,162.0,7277508.0,1248
36,T36,T36,Steve Flesch,95,162.0,8439078.0,1447
37,T36,T36,Craig Kanada,65,162.0,5769556.0,989
38,T36,T36,Omar Uresti,74,162.0,6579434.0,1128
39,40,40,David Lutterus,59,162.1,5211588.0,893
40,T41,T41,Steve Elkington,84,162.2,7651686.0,1310
41,T41,T41,Cody Freeman,66,162.2,5746832.0,984
42,T41,T41,Todd Hamilton,92,162.2,7753130.0,1328
43,T41,T41,Nick O'Hern,82,162.2,7428168.0,1272
44,T41,T41,Vaughn Taylor,103,162.2,9810547.0,1680
45,T46,T46,Freddie Jacobson,78,162.3,6696634.0,1146
46,T46,T46,Dustin Johnson,92,162.3,8463816.0,1449
47,T46,T46,Jeff Quinney,87,162.3,7636552.0,1307
48,T49,T49,Will MacKenzie,62,162.5,5972349.0,1021
49,T49,T49,Tim Wilkinson,95,162.5,8378586.0,1432
50,T51,T51,Mark Calcavecchia,67,162.6,5655803.0,966
51,T51,T51,Matt Kuchar,88,162.6,7351014.0,1256
52,T51,T51,Geoff Ogilvy,65,162.6,5133394.0,877
53,T54,T54,Harrison Frazar,73,162.7,6473382.0,1105
54,T54,T54,Rory Sabbatini,77,162.7,6623098.0,1131
55,T54,T54,Chris Stroud,81,162.7,6912343.0,1180
56,T57,T57,Billy Andrade,71,162.8,6495326.0,1108
57,T57,T57,David Duval,51,162.8,4253863.0,726
58,T57,T57,Paul Goydos,78,162.8,7043804.0,1202
59,T57,T57,Trevor Immelman,70,162.8,5673413.0,968
60,T61,T61,Fred Couples,60,162.9,5366817.0,915
61,T61,T61,Tim Herron,97,162.9,9124652.0,1556
62,T63,T63,Bob Sowards,61,163.0,5457391.0,930
63,T63,T63,Mark Wilson,107,163.0,10931431.0,1863
64,T65,T65,Robert Gamez,79,163.1,7488510.0,1275
65,T65,T65,Chez Reavie,102,163.1,9446190.0,1609
66,T65,T65,Steve Stricker,75,163.1,6083818.0,1036
67,T68,T68,Brian Gay,102,163.2,9065669.0,1543
68,T68,T68,J.J. Henry,108,163.2,10429564.0,1775
69,T68,T68,Brandt Snedeker,85,163.2,7068817.0,1203
70,T68,T68,Mike Weir,88,163.2,6967757.0,1186
71,72,72,Michael Allen,91,163.3,8195375.0,1394
72,T73,T73,Bart Bryant,81,163.4,7065730.0,1201
73,T73,T73,Bob Tway,70,163.4,6000196.0,1020
74,75,75,Ben Curtis,80,163.5,6615098.0,1124
75,T76,T76,Ernie Els,51,163.6,3803902.0,646
76,T76,T76,Zach Johnson,85,163.6,7486979.0,1271
77,T76,T76,Richard Johnson,60,163.6,5166171.0,877
78,T76,T76,Parker McLachlin,88,163.6,8321340.0,1413
79,T76,T76,Tom Pernice Jr.,104,163.6,10347270.0,1757
80,T81,T81,Jason Allred,63,163.7,5269749.0,894
81,T81,T81,Brad Elder,67,163.7,5694173.0,966
82,T81,T81,Brenden Pappas,66,163.7,5885551.0,999
83,T81,T81,Patrick Sheehan,124,163.7,11074479.0,1879
84,T81,T81,Dean Wilson,109,163.7,9823496.0,1667
85,T86,T86,Justin Bolli,87,163.8,7718524.0,1309
86,T86,T86,J.B. Holmes,86,163.8,7257612.0,1231
87,T86,T86,Brandt Jobe,52,163.8,4964586.0,842
88,T89,T89,Paul Claxton,63,164.0,5282490.0,895
89,T89,T89,Jeff Maggert,86,164.0,8338775.0,1412
90,T89,T89,John Mallinger,95,164.0,8868972.0,1502
91,T89,T89,Tim Petrovic,97,164.0,8529063.0,1445
92,T89,T89,Andres Romero,69,164.0,5159273.0,874
93,T89,T89,Scott Verplank,82,164.0,6874153.0,1164
94,T95,T95,Eric Axley,113,164.2,10318295.0,1746
95,T95,T95,Ken Duke,116,164.2,11107173.0,1879
96,T95,T95,Sean O'Hair,81,164.2,7182520.0,1215
97,T98,T98,Ben Crane,86,164.3,7936007.0,1342
98,T98,T98,Anthony Kim,81,164.3,6906851.0,1168
99,T98,T98,Jeff Overton,103,164.3,9636811.0,1629
100,T98,T98,Marc Turnesa,87,164.3,8046493.0,1360
101,T102,T102,Bob Estes,90,164.4,9131933.0,1543
102,T102,T102,Ted Purdy,68,164.4,6254374.0,1057
103,T102,T102,Chris Riley,51,164.4,4231967.0,715
104,T102,T102,Boo Weekley,86,164.4,6781116.0,1146
105,T106,T106,Chad Campbell,94,164.5,9038487.0,1526
106,T106,T106,Richard Johnson,77,164.5,7159534.0,1209
107,T106,T106,Cliff Kresge,84,164.5,7722570.0,1304
