,Approaches_from_50-75_yards_RANK THIS WEEK,Approaches_from_50-75_yards_RANK LAST WEEK,Approaches_from_50-75_yards_PLAYER NAME,Approaches_from_50-75_yards_ROUNDS,Approaches_from_50-75_yards_AVG,Approaches_from_50-75_yards_TOTAL DISTANCE (FEET),Approaches_from_50-75_yards_# OF ATTEMPTS,Approaches_from_50-75_yards_RELATIVE TO PAR
0,1,1,Padraig Harrington,52,"7' 3""",43.333,6,-4
1,2,2,Geoff Ogilvy,65,"8' 10""",168.083,19,-5
2,3,3,Cody Freeman,66,"9' 9""",146.5,15,-1
3,4,4,Adam Scott,51,"10' 0""",100.25,10,E
4,5,5,Jonathan Byrd,88,"10' 1""",333.583,33,-13
5,6,6,Camilo Villegas,79,"10' 2""",152.75,15,-5
6,T7,T7,Kent Jones,68,"10' 4""",123.75,12,-7
7,T7,T7,Jimmy Walker,73,"10' 4""",114.0,11,+5
8,9,9,Paul Casey,55,"10' 7""",147.75,14,-3
9,10,10,Todd Demsey,80,"10' 10""",162.25,15,E
10,T11,T11,K.J. Choi,74,"11' 0""",253.333,23,-13
11,T11,T11,Brian Gay,102,"11' 0""",329.583,30,-12
12,T11,T11,Steve Stricker,75,"11' 0""",319.25,29,-7
13,14,14,Fred Couples,60,"11' 1""",232.417,21,-5
14,15,15,Brad Elder,67,"11' 2""",190.5,17,-5
15,T16,T16,Stephen Ames,83,"11' 3""",281.33299999999997,25,-7
16,T16,T16,Scott Verplank,82,"11' 3""",392.75,35,-4
17,18,18,Matt Jones,95,"11' 6""",230.25,20,+2
18,T19,T19,Alejandro Cañizares,52,"11' 7""",116.0,10,+3
19,T19,T19,Stephen Leaney,53,"11' 7""",244.083,21,-3
20,T21,T21,Steve Flesch,95,"11' 8""",279.66700000000003,24,-8
21,T21,T21,David Toms,70,"11' 8""",292.0,25,-2
22,23,23,Jim Furyk,95,"11' 10""",378.75,32,-12
23,24,24,Mike Weir,88,"12' 0""",469.333,39,-5
24,25,25,Justin Bolli,87,"12' 1""",301.66700000000003,25,-5
25,26,26,Boo Weekley,86,"12' 2""",133.917,11,-2
26,27,27,Brian Davis,108,"12' 3""",773.25,63,-12
27,T28,T28,Jeff Gove,50,"12' 4""",246.917,20,-1
28,T28,T28,Shigeki Maruyama,50,"12' 4""",307.33299999999997,25,-8
29,T28,T28,Omar Uresti,74,"12' 4""",406.917,33,-9
30,31,31,Nick O'Hern,82,"12' 5""",361.25,29,-15
31,T32,T32,Eric Axley,113,"12' 7""",338.667,27,E
32,T32,T32,Freddie Jacobson,78,"12' 7""",327.25,26,-1
33,T32,T32,Matt Kuchar,88,"12' 7""",427.75,34,-10
34,T35,T35,John Senden,93,"12' 8""",417.667,33,+2
35,T35,T35,Vijay Singh,82,"12' 8""",379.583,30,-8
36,37,37,Pat Perez,93,"12' 9""",293.08299999999997,23,-2
37,T38,T38,Frank Lickliter II,107,"12' 10""",602.25,47,-3
38,T38,T38,Brandt Snedeker,85,"12' 10""",308.16700000000003,24,+3
39,T40,T40,Robert Allenby,108,"12' 11""",167.583,13,+2
40,T40,T40,Peter Lonard,92,"12' 11""",386.583,30,-6
41,T42,T42,Chad Campbell,94,"13' 0""",508.417,39,-12
42,T42,T42,Justin Leonard,101,"13' 0""",547.4169999999999,42,-16
43,T42,T42,Nicholas Thompson,113,"13' 0""",467.0,36,-6
44,T45,T45,Cameron Beckman,87,"13' 2""",407.5,31,-5
45,T45,T45,Sergio Garcia,72,"13' 2""",118.167,9,+3
46,47,47,Paul Goydos,78,"13' 3""",530.1669999999999,40,-15
47,T48,T48,Jason Allred,63,"13' 4""",226.917,17,-1
48,T48,T48,Tom Lehman,51,"13' 4""",186.917,14,-4
49,T48,T48,Tim Wilkinson,95,"13' 4""",494.583,37,-13
50,T51,T51,Michael Letzig,88,"13' 5""",322.83299999999997,24,+2
51,T51,T51,Ian Poulter,51,"13' 5""",188.167,14,-6
52,53,53,Woody Austin,109,"13' 6""",473.833,35,-9
53,T54,T54,Aaron Baddeley,76,"13' 7""",326.16700000000003,24,E
54,T54,T54,Kevin Streelman,114,"13' 7""",381.083,28,-8
55,T56,T56,Jason Gore,94,"13' 8""",246.583,18,-6
56,T56,T56,Billy Mayfair,103,"13' 8""",479.0,35,-3
57,T56,T56,Tim Petrovic,97,"13' 8""",382.667,28,-3
58,T56,T56,Chris Stroud,81,"13' 8""",299.75,22,-2
59,T60,T60,Briny Baird,113,"13' 9""",466.083,34,-5
60,T60,T60,Lee Janzen,89,"13' 9""",564.6669999999999,41,+11
61,T60,T60,Rod Pampling,83,"13' 9""",412.0,30,-8
62,T63,T63,Ryan Armour,87,"13' 10""",345.667,25,+2
63,T63,T63,Tim Clark,90,"13' 10""",496.667,36,-8
64,T63,T63,Tom Scherrer,56,"13' 10""",221.25,16,+1
65,T66,T66,Bart Bryant,81,"14' 1""",379.583,27,-3
66,T66,T66,Parker McLachlin,88,"14' 1""",366.333,26,-3
67,T66,T66,Vaughn Taylor,103,"14' 1""",252.75,18,+2
68,69,69,J.J. Henry,108,"14' 2""",367.5,26,E
69,70,70,Harrison Frazar,73,"14' 3""",441.667,31,-6
70,T71,T71,Brad Adamonis,87,"14' 4""",401.833,28,+4
71,T71,T71,Shane Bertsch,96,"14' 4""",500.833,35,-2
72,T73,T73,Mark Hensby,71,"14' 5""",388.417,27,+1
73,T73,T73,Zach Johnson,85,"14' 5""",633.4169999999999,44,-8
74,T73,T73,Anthony Kim,81,"14' 5""",288.08299999999997,20,-4
75,T73,T73,D.J. Trahan,94,"14' 5""",432.083,30,-9
76,T77,T77,J.P. Hayes,67,"14' 6""",363.083,25,-2
77,T77,T77,Jerry Kelly,89,"14' 6""",449.083,31,-3
78,T77,T77,Troy Matteson,94,"14' 6""",276.08299999999997,19,-6
79,T77,T77,Charlie Wi,97,"14' 6""",551.5,38,-3
80,T81,T81,Mark Calcavecchia,67,"14' 7""",364.667,25,-5
81,T81,T81,Mathew Goggin,91,"14' 7""",364.083,25,+3
82,T81,T81,Richard Johnson,77,"14' 7""",233.25,16,-9
83,T81,T81,John Mallinger,95,"14' 7""",409.0,28,+2
84,T81,T81,Brett Rumford,72,"14' 7""",510.75,35,-5
85,T81,T81,Mark Wilson,107,"14' 7""",672.3330000000001,46,-3
86,87,87,Jim McGovern,75,"14' 8""",425.25,29,E
87,T88,T88,Marco Dawson,64,"14' 9""",325.08299999999997,22,E
88,T88,T88,Lucas Glover,91,"14' 9""",368.25,25,-4
89,T88,T88,Trevor Immelman,70,"14' 9""",368.25,25,+5
90,T88,T88,Jesper Parnevik,88,"14' 9""",338.917,23,-2
91,T92,T92,Ryuji Imada,80,"14' 10""",563.0830000000001,38,-14
92,T92,T92,Hunter Mahan,87,"14' 10""",207.583,14,-7
93,T92,T92,Chris Riley,51,"14' 10""",356.667,24,-4
94,T95,T95,Glen Day,64,"14' 11""",402.25,27,-7
95,T95,T95,Cliff Kresge,84,"14' 11""",327.833,22,E
96,T95,T95,Bo Van Pelt,101,"14' 11""",462.417,31,-6
97,T98,T98,Ben Crane,86,"15' 0""",330.333,22,-1
98,T98,T98,Ben Curtis,80,"15' 0""",254.417,17,E
99,T98,T98,Ryan Moore,72,"15' 0""",149.833,10,-2
100,T98,T98,Brenden Pappas,66,"15' 0""",255.333,17,-1
101,102,102,Retief Goosen,59,"15' 1""",150.417,10,-1
102,T103,T103,Stuart Appleby,87,"15' 2""",544.75,36,-4
103,T103,T103,Jason Day,81,"15' 2""",333.167,22,-4
104,T103,T103,Carlos Franco,73,"15' 2""",318.75,21,-3
105,T103,T103,Charles Howell III,101,"15' 2""",425.417,28,E
106,T103,T103,Phil Mickelson,80,"15' 2""",334.5,22,E
107,108,108,Doug LaBelle II,65,"15' 3""",258.91700000000003,17,-1
108,T109,T109,James Driscoll,85,"15' 4""",368.583,24,+2
109,T109,T109,Davis Love III,78,"15' 4""",199.083,13,+2
110,T109,T109,Tom Pernice Jr.,104,"15' 4""",767.1669999999999,50,-5
111,T112,T112,Alex Cejka,75,"15' 5""",415.667,27,-1
112,T112,T112,Bill Haas,99,"15' 5""",430.583,28,E
113,T112,T112,Dustin Johnson,92,"15' 5""",493.5,32,-2
114,T112,T112,Kevin Sutherland,98,"15' 5""",293.5,19,-5
115,T112,T112,Bob Tway,70,"15' 5""",307.66700000000003,20,-8
116,T117,T117,Tommy Armour III,77,"15' 6""",433.583,28,-5
117,T117,T117,Steve Elkington,84,"15' 6""",619.3330000000001,40,-9
118,T119,T119,Gavin Coles,54,"15' 7""",326.75,21,-7
119,T119,T119,Robert Garrigus,90,"15' 7""",358.667,23,+5
120,T119,T119,Corey Pavin,69,"15' 7""",374.667,24,-1
121,T119,T119,Andres Romero,69,"15' 7""",311.08299999999997,20,-1
122,T123,T123,Mathias Grönberg,87,"15' 8""",312.66700000000003,20,+4
123,T123,T123,Tim Herron,97,"15' 8""",455.167,29,-2
124,T123,T123,Jeff Maggert,86,"15' 8""",564.3330000000001,36,E
125,T123,T123,Jeff Overton,103,"15' 8""",298.08299999999997,19,-2
126,127,127,Bubba Watson,97,"15' 10""",348.667,22,-1
127,128,128,Nathan Green,95,"16' 0""",448.25,28,+5
128,129,129,Kevin Na,97,"16' 2""",581.8330000000001,36,-4
129,130,130,David Lutterus,59,"16' 3""",276.16700000000003,17,+6
130,T131,T131,Ernie Els,51,"16' 4""",229.167,14,+1
131,T131,T131,Jeff Quinney,87,"16' 4""",750.25,46,-11
132,T131,T131,Jay Williamson,96,"16' 4""",489.333,30,-8
133,134,134,Jon Mills,95,"16' 5""",312.08299999999997,19,+3
134,T135,T135,Brandt Jobe,52,"16' 6""",231.333,14,E
135,T135,T135,Ted Purdy,68,"16' 6""",510.5,31,E
136,T135,T135,Brett Quigley,80,"16' 6""",428.833,26,-1
137,T138,T138,Dudley Hart,74,"16' 7""",248.5,15,E
138,T138,T138,Martin Laird,98,"16' 7""",531.5,32,-1
139,140,140,Robert Gamez,79,"16' 8""",333.167,20,-1
140,T141,T141,Chad Collins,72,"16' 9""",418.0,25,+2
141,T141,T141,Rory Sabbatini,77,"16' 9""",501.583,30,-4
142,T143,T143,Chris DiMarco,87,"16' 10""",723.5830000000001,43,-8
143,T143,T143,Will MacKenzie,62,"16' 10""",319.75,19,+2
144,T143,T143,Marc Turnesa,87,"16' 10""",320.08299999999997,19,-3
