,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Scott Sterling,89,20.7,65562.0,88
1,2,2,Paul Casey,55,21.0,48495.0,64
2,T3,T3,Ernie Els,51,21.1,41072.0,54
3,T3,T3,Vijay Singh,82,21.1,109628.0,144
4,5,5,Hunter Mahan,87,21.6,103342.0,133
5,T6,T6,Gavin Coles,54,21.9,26836.0,34
6,T6,T6,Greg Kraft,63,21.9,37857.0,48
7,8,8,Kenny Perry,97,22.0,139445.0,176
8,9,9,J.B. Holmes,86,22.1,142178.0,179
9,10,10,Bubba Watson,97,22.2,170671.0,214
10,T11,T11,Martin Laird,98,22.3,155001.0,193
11,T11,T11,Davis Love III,78,22.3,108432.0,135
12,T11,T11,Camilo Villegas,79,22.3,103539.0,129
13,14,14,Brandt Jobe,52,22.4,69342.0,86
14,15,15,Richard Johnson,60,22.5,45453.0,56
15,T16,T16,Jim Furyk,95,22.6,87735.0,108
16,T16,T16,Andres Romero,69,22.6,88614.0,109
17,T18,T18,Stephen Ames,83,22.7,71147.0,87
18,T18,T18,Pat Perez,93,22.7,143122.0,175
19,20,20,Robert Garrigus,90,22.8,207910.0,253
20,T21,T21,Stewart Cink,87,22.9,111911.0,136
21,T21,T21,Tom Lehman,51,22.9,50298.0,61
22,T23,T23,Nick Flanagan,89,23.0,138804.0,168
23,T23,T23,Trevor Immelman,70,23.0,52212.0,63
24,T23,T23,George McNeill,97,23.0,149843.0,181
25,T26,T26,Jason Gore,94,23.2,146960.0,176
26,T26,T26,Anthony Kim,81,23.2,112584.0,135
27,T26,T26,John Riegger,73,23.2,92843.0,111
28,T26,T26,Adam Scott,51,23.2,70162.0,84
29,T26,T26,Ron Whittaker,54,23.2,32538.0,39
30,T31,T31,Fred Couples,60,23.3,96581.0,115
31,T31,T31,David Duval,51,23.3,56258.0,67
