,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Bob Tway,70,-0.134
1,2,2,Phil Mickelson,80,-0.133
2,3,3,Justin Leonard,101,-0.125
3,4,4,Ryan Palmer,69,-0.124
4,5,5,Vijay Singh,82,-0.11900000000000001
5,6,6,Kevin Sutherland,98,-0.11599999999999999
6,7,7,Rory Sabbatini,77,-0.115
7,8,8,Stephen Ames,83,-0.114
8,9,9,Camilo Villegas,79,-0.11
9,10,10,Stewart Cink,87,-0.109
10,T11,T11,Aaron Baddeley,76,-0.107
11,T11,T11,K.J. Choi,74,-0.107
12,T13,T13,Tim Clark,90,-0.106
13,T13,T13,Jim Furyk,95,-0.106
14,T13,T13,Anthony Kim,81,-0.106
15,T16,T16,Chad Campbell,94,-0.105
16,T16,T16,John Huston,56,-0.105
17,T16,T16,Hunter Mahan,87,-0.105
18,19,19,Robert Allenby,108,-0.10300000000000001
19,T20,T20,Steve Marino,119,-0.10099999999999999
20,T20,T20,Steve Stricker,75,-0.10099999999999999
21,22,22,Ken Duke,116,-0.1
22,23,23,Pat Perez,93,-0.099
23,T24,T24,Ángel Cabrera,55,-0.095
24,T24,T24,Dudley Hart,74,-0.095
25,T24,T24,Mike Weir,88,-0.095
26,27,27,Michael Allen,91,-0.092
27,T28,T28,Glen Day,64,-0.09
28,T28,T28,Martin Laird,98,-0.09
29,T28,T28,Mark Wilson,107,-0.09
30,T31,T31,Brian Gay,102,-0.08900000000000001
31,T31,T31,Tom Pernice Jr.,104,-0.08900000000000001
32,T31,T31,Kenny Perry,97,-0.08900000000000001
33,T31,T31,Kevin Streelman,114,-0.08900000000000001
34,T35,T35,Woody Austin,109,-0.08800000000000001
35,T35,T35,Ben Crane,86,-0.08800000000000001
36,T35,T35,D.J. Trahan,94,-0.08800000000000001
37,T38,T38,Gavin Coles,54,-0.087
38,T38,T38,Brenden Pappas,66,-0.087
39,T40,T40,George McNeill,97,-0.085
40,T40,T40,Nick O'Hern,82,-0.085
41,T40,T40,Tim Wilkinson,95,-0.085
42,T43,T43,Charles Howell III,101,-0.083
43,T43,T43,Ryuji Imada,80,-0.083
44,45,45,Retief Goosen,59,-0.08199999999999999
45,T46,T46,Geoff Ogilvy,65,-0.081
