,GIR_Percentage_-__100_yards_RANK THIS WEEK,GIR_Percentage_-__100_yards_RANK LAST WEEK,GIR_Percentage_-__100_yards_PLAYER NAME,GIR_Percentage_-__100_yards_ROUNDS,GIR_Percentage_-__100_yards_%,GIR_Percentage_-__100_yards_GREENS HIT,GIR_Percentage_-__100_yards_TOTAL HOLES,GIR_Percentage_-__100_yards_RELATIVE TO PAR
0,1,1,Tom Lehman,51,92.31,108,117,-0.49
1,2,2,Kevin Sutherland,98,91.84,259,282,-0.53
2,3,3,Mike Weir,88,91.83,191,208,-0.54
3,4,4,Steve Stricker,75,90.81,168,185,-0.55
4,5,5,Jason Gore,94,90.43,255,282,-0.55
5,6,6,Bob Tway,70,90.24,148,164,-0.53
6,T7,T7,Ryuji Imada,80,90.15,183,203,-0.51
7,T7,T7,Billy Mayfair,103,90.15,247,274,-0.45
8,9,9,Jim Furyk,95,90.13,210,233,-0.51
9,10,10,Brenden Pappas,66,90.05,172,191,-0.58
10,11,11,David Duval,51,89.92,107,119,-0.44
11,12,12,Tom Scherrer,56,89.84,115,128,-0.47
12,13,13,Tim Wilkinson,95,89.69,235,262,-0.48
13,14,14,Phil Mickelson,80,89.63,216,241,-0.58
14,T15,T15,Justin Bolli,87,89.52,205,229,-0.46
15,T15,T15,Ron Whittaker,54,89.52,94,105,-0.51
16,17,17,D.J. Trahan,94,89.45,246,275,-0.48
17,18,18,Woody Austin,109,89.36,294,329,-0.49
18,19,19,Fred Couples,60,89.32,184,206,-0.59
19,20,20,Martin Laird,98,89.17,280,314,-0.55
20,21,21,Jeff Gove,50,89.15,115,129,-0.5
21,22,22,Todd Demsey,80,89.1,188,211,-0.57
22,23,23,Scott Sterling,89,89.06,171,192,-0.48
23,T24,T24,Harrison Frazar,73,88.89,224,252,-0.48
24,T24,T24,Bo Van Pelt,101,88.89,280,315,-0.52
25,26,26,Shane Bertsch,96,88.64,242,273,-0.47
26,27,27,Bill Haas,99,88.59,295,333,-0.53
27,28,28,Craig Kanada,65,88.57,124,140,-0.45
28,29,29,Geoff Ogilvy,65,88.48,146,165,-0.44
29,T30,T30,Aaron Baddeley,76,88.41,183,207,-0.6
30,T30,T30,Davis Love III,78,88.41,183,207,-0.57
31,32,32,Tim Petrovic,97,88.33,227,257,-0.48
